PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
19-01700,31,2,1,0,6,0,12,1,1,4177.623508469369,9160,14,1,-9000.0,0,500,N,2,2,2,2,65,65,9875
30-00600,44,2,6,3,1,0,9,1,1,7871.620438499349,8562,13,8,27300.0,4,204,N,2,2,2,2,38,38,14914
29-01901,28,2,1,0,2,1,3,1,2,3186.3533976572103,7680,10,8,101300.0,3,276,N,2,2,2,2,84,67,13764
29-01901,1,1,N,0,3,4,4,1,2,16.3,9920,9,1,98400.0,9,67,N,N,N,2,2,31,17,26374
06-07502,28,1,6,0,1,0,N,1,2,33683.11869370784,7380,10,9,20400.0,9,501,N,2,2,2,2,45,45,2877
13-04600,32,1,1,0,2,0,12,1,1,15021.390636932652,8590,13,8,29000.0,4,335,N,2,2,2,2,140,150,5364
08-00803,65,1,1,0,2,0,12,1,1,3474.0673531373795,7690,1,6,24300.0,4,229,N,2,2,2,2,67,91,3818
38-00100,30,1,1,0,1,1,3,1,1,83.05459013952351,370,1,8,120270.0,9,501,N,2,2,2,2,93,94,17880
17-03529,65,2,1,0,1,0,2,1,1,15152.252554826819,7270,10,11,56400.0,9,501,N,2,2,2,2,39,40,7226
29-01901,53,2,6,0,2,0,N,1,2,5518.679265074403,N,N,5,110700.0,2,85,N,1,2,2,2,314,313,12915
17-03531,25,1,6,0,2,0,2,1,1,11270.226227264046,8870,14,7,5240.0,6,501,N,2,2,2,2,672,615,7607
13-04600,15,2,6,0,2,0,4,1,2,3692.5370410076416,N,N,3,10.0,0,319,N,2,2,2,2,224,128,4397
08-00803,21,2,6,0,1,N,N,3,0,3701.9897563114623,N,N,7,10040.0,0,N,N,2,2,2,2,63,1,3916
36-04010,13,2,6,1,1,3,5,1,2,19.86765698628661,9920,9,3,-3000.0,0,292,N,2,2,2,2,23,179,17453
08-00803,23,1,6,0,1,0,N,1,2,3724.387574945805,7770,3,8,220.0,1,168,N,1,2,2,2,80,78,4739
17-03529,16,1,6,0,2,0,2,1,1,11018.373673765005,9920,9,6,-100.0,0,22,N,2,2,2,2,64,59,4288
24-01004,25,1,6,4,1,0,4,1,1,4557.624667006652,5381,6,7,184000.0,1,51,N,2,2,2,2,137,107,11356
51-01301,39,2,1,0,6,0,12,1,2,11197.224466336009,8970,14,3,234100.0,3,491,N,2,2,2,2,128,90,22175
06-07502,13,2,6,0,6,1,2,1,2,3110.927808027628,9920,9,3,-2000.0,0,0,N,2,2,2,2,57,48,2074
51-01301,35,1,1,0,1,0,12,1,1,11186.722309231647,9160,14,8,53000.0,8,500,N,2,2,2,2,116,117,22560
06-07502,15,1,6,0,6,2,3,1,1,3150.6841931840477,9920,9,3,-300.0,0,500,N,2,2,2,2,48,41,2163
28-01100,10,1,N,0,2,1,2,1,2,2844.9522905503604,N,N,3,N,N,224,N,1,2,2,2,60,53,26910
29-01901,72,1,1,0,1,0,2,1,1,5479.130565521829,6890,9,10,25500.0,5,405,N,2,2,2,2,108,113,12881
26-02702,12,2,N,0,2,3,3,1,2,2517.0773183922765,9920,9,2,99000.0,9,72,N,2,2,2,2,125,106,26342
32-00405,58,1,1,4,1,0,12,1,2,52101.9191623432,4270,4,4,319800.0,4,449,N,2,1,2,2,75,73,15492
40-00200,26,2,5,0,1,1,4,1,1,217.40677993553732,N,N,4,10040.0,0,264,N,2,2,2,2,29,34,21179
06-07502,43,2,1,0,6,1,2,1,2,3132.721699945865,3895,3,8,-7250.0,7,500,N,2,2,2,2,85,81,769
19-01700,58,2,3,0,1,0,N,1,1,3579.7573800742184,1280,4,5,290100.0,5,221,N,2,2,2,2,86,87,7734
08-00803,25,1,6,0,1,0,N,1,2,3423.1003203708447,7870,11,9,36320.0,5,276,N,2,2,2,2,43,43,3362
17-03531,18,1,6,0,6,0,2,1,1,3463.7524619634432,7790,10,4,345000.0,4,500,N,2,2,2,2,69,97,7668
08-00803,23,2,6,0,6,0,4,1,1,3453.580521450929,7470,10,9,45600.0,6,501,N,2,2,2,2,156,121,3412
19-01700,50,2,1,0,6,1,2,1,1,4104.808315200335,8580,13,1,116000.0,7,500,N,2,2,2,2,106,107,8357
19-01700,22,2,1,0,1,0,12,1,2,4238.415807990423,9080,15,10,60100.0,7,369,N,2,2,2,2,108,128,9842
06-08507,71,1,1,0,1,0,3,1,1,3593.2072153945514,7880,11,12,2520.0,4,51,N,1,1,2,1,66,61,2244
36-04010,53,1,1,0,1,1,2,1,1,16.3,8780,14,4,3060.0,4,433,N,2,2,2,2,19,68,17562
30-00600,25,1,6,0,2,0,9,1,2,7887.434436722707,7570,1,6,26000.0,3,196,N,2,2,2,2,128,127,14899
17-03529,64,1,1,1,1,0,12,1,1,11045.312742432361,9920,9,2,142900.0,2,213,N,2,2,2,2,131,187,6124
30-00600,20,1,6,0,1,0,4,1,1,34.643791941596206,4690,6,7,120400.0,2,357,N,1,2,2,2,55,101,14413
06-07502,73,1,1,0,1,0,12,1,1,3032.7907577353653,9920,9,8,6900.0,6,50,N,2,2,2,2,43,44,1759
30-00600,50,2,4,1,5,0,9,1,2,7736.932196572413,8390,13,3,2860.0,4,213,N,2,2,2,1,37,35,14364
17-03531,6,1,N,0,2,1,2,1,1,11212.651470320798,N,N,2,N,N,501,N,2,2,2,2,63,55,25496
19-01700,49,1,2,0,1,0,4,1,1,3785.325916431199,4972,5,8,13880.0,8,50,N,2,2,2,2,99,104,7192
36-04010,43,1,1,0,1,2,3,1,1,16.3,8680,14,6,188700.0,8,500,N,2,2,2,2,18,47,17544
08-00803,49,1,4,0,1,0,N,1,1,3516.56482751449,3680,4,9,115800.0,9,501,N,2,2,2,2,59,57,3953
38-00100,76,2,1,0,1,0,2,1,1,225.85998535285358,1590,4,5,168600.0,3,395,N,2,2,2,2,64,37,20767
19-01700,65,1,4,0,1,0,N,1,2,3695.252012589537,6190,7,6,31100.0,5,239,N,2,2,2,1,73,75,8341
13-04600,49,1,1,0,2,0,2,1,2,3834.0559185563197,5690,6,5,42300.0,6,438,N,2,2,2,2,174,172,5473
36-04010,50,2,6,4,1,N,N,3,0,50753.035798433586,N,N,9,93600.0,2,70,N,1,2,2,2,10,0,16388
01-01301,61,1,1,0,2,0,12,1,2,2524.6355636979365,7680,2,3,282000.0,4,165,N,2,2,2,2,87,124,190
51-51255,36,1,1,0,1,0,2,1,2,11251.944174442455,8660,14,9,52600.0,6,501,N,2,2,2,2,83,83,22793
01-01301,76,1,1,0,2,0,2,1,1,3066.9474008277793,N,N,7,383000.0,6,51,N,2,2,2,2,81,80,705
36-04010,62,1,1,0,1,0,12,1,2,49.010825968814856,7790,10,4,49500.0,6,45,N,2,2,2,2,22,21,18276
17-03531,80,1,3,0,1,0,9,1,1,3430.727813330955,9920,9,4,-300.0,0,0,N,2,2,2,2,226,230,6834
38-00100,52,2,1,0,9,0,12,1,1,16.3,6190,6,4,3730.0,6,500,N,2,2,2,2,45,29,19279
19-01700,2,1,N,0,1,2,3,1,1,3981.6611368432914,9920,9,1,98920.0,9,500,N,N,N,2,2,68,70,25859
17-03529,44,2,6,0,2,1,2,1,2,15335.538836641224,N,N,4,10080.0,1,77,N,2,2,2,2,86,66,8189
30-00600,44,2,1,1,1,0,3,1,1,7748.944135686086,6390,7,2,-100.0,0,0,N,2,2,2,2,52,20,14433
36-03710,26,1,6,0,1,N,N,2,0,52864.7,470,6,4,100100.0,0,N,N,2,2,2,2,94,0,16684
32-00405,26,2,6,0,2,1,2,1,2,8245.924109151245,7670,10,4,22310.0,4,124,N,2,2,2,2,174,171,16936
17-03529,58,2,6,0,2,0,9,1,1,11139.89766239181,9920,9,6,4010.0,5,306,N,2,2,2,2,163,164,5774
51-51255,0,1,N,0,1,1,3,1,1,11296.01632574094,N,N,N,N,N,501,N,N,N,2,2,66,57,26263
29-01901,65,2,4,0,1,0,N,1,1,3049.937860317986,N,N,9,104000.0,3,85,N,2,1,2,2,142,105,13514
32-00405,0,1,N,1,9,0,5,1,2,8096.869100756882,N,N,N,N,N,N,N,N,N,2,2,192,195,23543
38-00100,84,1,1,0,1,0,2,1,1,154.70562905253226,8660,14,7,2890.0,4,232,N,2,2,2,2,23,25,19727
19-01700,86,2,3,0,1,0,2,1,1,3837.1359945886734,9380,15,5,66500.0,8,489,N,2,2,2,2,67,65,9085
51-01301,75,2,1,0,1,0,12,1,1,11200.18075683162,9920,9,8,80000.0,1,500,N,2,2,2,2,41,41,22001
26-02702,52,1,1,0,1,1,3,1,1,5151.317402328011,370,4,10,187700.0,9,501,N,2,2,2,2,137,140,11640
06-07502,8,2,N,0,1,0,4,1,1,3239.885468441292,9920,9,2,99310.0,9,422,N,2,2,2,2,41,43,23810
32-00405,18,2,6,1,1,2,5,1,1,8066.724668897644,N,N,5,100010.0,0,214,N,2,2,2,2,92,97,16241
06-07502,8,2,N,0,6,2,3,1,1,3101.254210178573,9920,9,2,98920.0,9,500,N,2,2,2,2,55,58,23399
38-00100,27,2,6,0,9,0,N,1,1,165.3059643872612,8891,14,7,135000.0,2,N,N,2,2,2,2,27,31,19625
38-00100,29,1,1,0,1,3,4,1,2,17.3921972687699,7690,1,5,294200.0,5,0,N,2,2,2,2,97,97,19167
29-01901,66,2,1,0,1,0,12,1,1,16.3,1670,0,6,831000.0,8,500,N,2,2,2,2,9,12,13424
24-01004,10,2,N,0,6,2,4,1,1,4353.930508372502,N,N,3,N,N,404,N,2,2,2,2,68,62,26347
36-04010,63,1,6,0,2,1,6,1,2,51086.382568119334,N,N,4,100190.0,0,195,N,2,2,2,2,71,70,18387
28-01100,16,1,6,0,2,2,4,1,1,2777.329357262609,N,N,4,100000.0,0,142,N,2,2,2,2,340,358,11915
32-00405,74,1,1,0,2,0,12,1,2,52534.84421121756,9920,9,4,38200.0,4,336,N,2,2,1,2,82,68,16097
01-01301,42,2,6,0,2,3,4,1,2,3022.9918026802065,5790,6,4,100300.0,0,106,N,2,2,2,2,156,156,1026
17-03531,48,1,1,0,1,0,3,1,1,3456.7154578849395,7370,1,7,76550.0,7,500,N,2,2,2,2,82,83,7790
36-04010,66,1,1,0,1,0,12,1,1,16.3,6880,8,1,100600.0,8,50,N,2,2,2,2,19,29,16963
19-01700,48,2,6,0,1,4,6,1,1,3761.7868938335446,8192,12,8,500.0,7,169,N,2,2,2,2,456,463,8605
36-03710,54,2,1,0,2,0,3,1,2,50209.55704797298,9920,9,5,-7250.0,0,331,N,2,2,2,2,74,80,16540
29-01901,46,1,4,0,2,5,6,1,2,3042.3889954607585,8780,14,7,34150.0,6,259,N,2,2,2,2,193,155,12987
08-00803,51,2,1,0,1,2,4,1,1,3517.894346104504,5090,6,12,13280.0,9,501,N,2,2,2,2,67,65,4058
19-01700,33,2,1,0,1,0,2,1,1,3745.743283910131,9590,16,10,44000.0,6,373,N,2,2,2,2,47,47,8770
30-00600,50,2,1,0,1,0,12,1,1,7946.139603733503,6570,7,1,52700.0,6,500,N,2,2,2,2,57,58,15300
32-00405,42,2,6,0,2,N,9,3,0,52730.80849273158,8080,11,3,303700.0,4,228,N,1,2,2,2,23,0,15929
32-00405,19,2,6,1,8,0,4,1,1,8079.705002202345,5190,6,5,100020.0,0,379,N,2,2,2,2,55,59,16120
38-00100,72,1,1,0,1,0,2,1,1,110.9704798243666,1870,0,9,34220.0,5,299,N,2,2,2,2,23,25,18110
38-00100,25,1,6,0,1,N,N,3,0,82.72449809326362,N,N,5,431100.0,1,320,N,1,2,2,2,61,0,17850
28-01100,31,2,6,0,2,0,4,1,2,2745.15263469033,8170,12,7,23040.0,5,227,N,2,2,2,1,323,157,12007
36-04010,0,1,N,0,1,4,5,1,1,16.3,9920,9,9,98730.0,9,425,N,N,N,2,2,10,3,23654
24-01004,81,1,4,0,2,0,N,1,2,4439.821101176248,N,N,11,2490.0,3,201,N,2,2,2,2,71,70,10908
28-01100,41,2,1,0,2,0,2,1,2,2981.6369334054457,8270,12,7,46100.0,7,422,N,2,2,2,2,144,180,12965
36-04010,4,2,N,0,1,3,5,1,1,16.3,9920,9,12,98040.0,9,50,N,2,2,2,2,171,181,22922
51-01301,39,1,2,0,6,2,5,1,2,11323.588207346344,8970,14,9,41980.0,5,269,N,2,2,2,2,64,67,23148
38-00100,42,2,1,0,1,1,3,1,2,232.3590867868577,5170,6,9,45360.0,1,317,N,2,2,2,2,74,73,20481
06-08507,18,2,6,0,6,0,2,1,1,3312.747431366599,7870,11,7,179400.0,9,501,N,2,2,2,2,43,41,2753
13-04600,1,2,N,0,1,1,3,1,1,15074.380617067247,9920,9,9,9970.0,9,500,N,N,N,2,2,40,43,24998
36-04010,56,2,1,0,1,0,12,1,1,31.30068530417888,7790,10,6,74500.0,7,500,N,2,2,2,2,12,11,19125
30-00600,6,1,N,0,1,1,2,1,1,102.36380209510308,N,N,1,N,N,418,N,2,2,2,2,136,78,27252
08-00803,17,2,6,0,1,N,9,3,0,3362.4374716532325,2170,3,6,123610.0,2,92,N,2,2,2,2,6,0,3166
36-04010,13,2,N,0,2,4,5,1,2,51085.30348220813,N,N,3,N,N,114,N,2,2,2,2,169,216,24371
13-04600,70,1,4,0,2,0,N,1,1,3755.6529486279705,N,N,8,263000.0,5,218,2,2,2,2,2,37,37,4678
36-04010,33,2,6,0,2,1,2,1,2,51552.204484544294,8191,12,5,2010.0,3,114,N,2,2,2,2,132,127,18216
08-00803,40,1,1,0,1,0,2,1,1,3837.32912639353,9480,15,9,569000.0,6,51,N,2,2,2,2,71,106,4680
30-00600,1,1,N,1,8,4,5,1,1,7896.111412728463,9920,9,9,99030.0,9,198,N,N,N,2,2,248,212,22687
51-01301,36,2,1,0,1,1,2,1,1,11174.001291953988,9180,15,1,116900.0,7,500,N,2,2,2,2,100,118,21632
30-00600,49,2,1,0,1,0,2,1,1,7656.958884739482,8090,11,4,120120.0,8,50,N,1,1,2,2,54,56,13757
26-02702,48,2,4,0,1,0,N,1,1,4936.647876447455,7870,11,7,82300.0,8,501,N,2,2,2,2,178,148,11394
06-08507,55,2,1,0,1,0,2,1,2,3636.358828214731,8290,12,2,12690.0,3,51,N,2,2,2,2,49,55,2456
36-04010,52,1,4,0,1,1,12,1,2,16.3,8270,11,5,43300.0,5,242,N,2,2,2,2,191,191,18455
28-01100,22,2,2,0,2,N,9,3,0,5304.7565360935005,5370,5,5,4000.0,5,305,N,2,2,2,2,14,0,12038
38-00100,20,2,6,0,1,1,4,1,1,16.3,4972,5,6,85400.0,0,181,N,2,2,2,2,79,77,18758
36-03710,9,1,N,0,2,3,4,1,2,50324.95969288217,9920,9,2,99500.0,9,393,N,2,2,2,2,119,119,23481
26-02702,14,1,N,4,1,3,5,1,1,4821.25308020565,N,N,3,N,N,421,N,2,2,2,2,123,77,26590
01-01301,7,2,N,0,2,1,2,1,2,2891.5073925501274,N,N,3,N,N,331,N,2,2,2,2,590,419,23818
01-01301,56,2,6,0,2,0,9,1,2,2614.8974986920707,9480,15,6,7860.0,8,500,N,2,2,2,2,178,178,118
24-01004,15,2,6,4,1,3,5,1,2,4194.398996542855,N,N,3,0.0,0,149,N,2,2,2,2,86,72,9834
38-00100,45,2,1,0,1,1,4,1,1,58.347064419657976,8180,11,4,32010.0,5,276,N,2,2,2,2,51,48,19630
13-04600,38,2,6,0,2,0,2,1,2,3839.299640531917,9590,16,4,51800.0,7,455,N,2,2,2,2,157,137,5173
30-00600,56,2,1,0,1,2,5,1,2,88.19770316077117,7770,3,6,209900.0,0,72,N,2,2,2,2,87,163,14800
06-08507,24,2,6,0,6,0,4,1,1,3472.3169823205303,N,N,9,100120.0,0,501,N,2,2,2,2,96,54,1768
13-04600,67,1,1,0,2,0,12,1,1,14983.696407683363,9920,9,8,104600.0,1,171,N,2,1,2,2,114,115,4959
01-01301,75,1,3,0,2,0,N,1,2,2888.607297747755,N,N,3,123610.0,3,N,N,2,2,2,2,103,102,775
51-01301,55,1,1,0,1,0,4,1,1,11223.187239591542,7380,10,9,20010.0,9,501,N,2,2,2,2,95,95,22072
17-03529,62,2,6,0,2,0,N,1,2,15097.562346256796,8470,13,4,8900.0,2,67,N,2,1,2,2,83,84,6102
24-01004,93,2,6,0,1,0,N,1,2,4641.080841581657,N,N,9,135040.0,8,51,N,2,2,2,2,70,68,11086
17-03529,12,2,N,0,2,2,3,1,1,11162.211302373402,9920,9,2,9970.0,9,500,N,2,2,2,2,99,97,25252
38-00100,15,2,6,0,3,0,7,1,2,110.42522926146748,N,N,4,100000.0,0,237,N,2,2,2,2,25,64,19501
06-07502,54,1,1,0,1,0,12,1,1,3099.0995201650812,7680,2,1,946000.0,8,500,N,2,2,2,2,33,33,511
08-00803,50,1,6,0,2,0,4,1,2,3208.9817629764593,6170,6,4,-100.0,0,0,N,2,2,2,2,36,36,3130
36-04010,66,1,1,0,2,0,4,1,1,50638.49738883414,2070,4,5,16240.0,1,501,N,2,2,2,2,111,144,17192
32-00405,65,1,6,0,2,0,N,1,2,8050.198741930576,6180,7,9,20400.0,9,501,N,2,2,2,2,106,107,16044
13-04600,62,1,1,0,2,0,12,1,1,10873.595695449103,9920,9,3,148750.0,2,5,N,2,2,2,2,74,55,3624
19-01700,4,2,N,0,1,2,4,1,1,3828.822089723514,N,N,1,N,N,471,N,N,N,2,2,93,98,25910
36-03710,61,2,4,0,2,0,2,1,1,50336.68127242856,7680,1,4,47400.0,5,500,N,2,2,2,2,55,68,16595
30-00600,18,2,6,0,1,0,N,1,2,29.631682973640082,8680,14,5,20360.0,4,154,N,2,2,2,2,154,141,14708
32-00405,32,1,6,1,1,N,9,2,0,52164.56974129421,7590,1,5,60500.0,6,93,N,2,2,2,2,44,0,15167
40-00200,49,2,1,0,3,2,4,1,1,130.07984369570815,4980,6,7,100000.0,0,87,N,2,2,2,2,43,43,20218
24-01004,32,2,1,0,9,1,3,1,2,4314.732571541617,N,N,9,100020.0,0,497,N,2,2,2,2,95,99,8969
24-01004,18,2,6,0,1,0,9,1,2,4803.754931739614,8670,13,4,253500.0,3,193,N,2,2,2,2,53,52,10818
17-03529,63,2,1,0,2,0,2,1,1,11137.133532920316,9920,9,10,52950.0,6,500,N,2,1,2,2,40,40,5477
13-04600,87,2,2,0,2,0,3,1,1,3959.669632373994,N,N,5,100300.0,0,251,N,2,2,2,2,30,35,5924
51-01301,10,1,N,0,1,1,2,1,1,11175.293298390225,N,N,3,N,N,464,N,2,2,2,2,183,146,25788
38-00100,48,1,4,0,3,0,9,1,1,16.3,8270,12,6,12960.0,2,0,N,2,2,1,2,59,61,19504
30-00600,51,2,6,0,1,0,N,1,1,28.752887372026155,7860,11,7,37400.0,6,284,N,2,2,2,2,30,30,13470
17-03529,23,1,6,0,1,0,N,1,2,15194.936223318073,6992,9,9,12310.0,2,94,N,2,2,2,2,38,38,6774
17-03529,84,2,3,0,2,0,12,1,2,11159.009197186178,9920,9,3,260900.0,3,238,N,2,1,2,2,46,46,6810
06-07502,67,1,1,0,6,0,2,1,2,33929.04497454597,770,10,3,107000.0,2,71,N,1,2,1,2,82,80,1911
29-01901,89,1,1,0,2,0,2,1,1,3068.1464727643515,N,N,3,15700.0,4,128,N,2,1,2,2,209,210,13232
24-01004,46,2,1,0,1,2,4,1,1,4262.988230991705,N,N,9,202500.0,1,501,N,2,2,2,2,12,14,8774
38-00100,17,2,6,0,1,3,6,1,1,179.7755917951361,N,N,4,10020.0,0,287,N,2,2,2,2,43,50,19847
24-01004,40,2,1,0,6,2,4,1,2,4260.867047314696,7970,12,10,10000.0,0,197,N,2,2,2,2,60,71,10552
13-04600,29,2,6,0,2,0,3,1,1,3851.768295888318,490,6,7,10020.0,2,334,N,2,2,2,2,168,124,5427
06-08507,61,2,4,1,1,N,N,2,0,3358.161570077414,N,N,5,114010.0,3,N,N,2,1,2,2,86,0,763
06-08507,31,2,4,0,1,2,4,1,2,3407.006716285205,8191,12,9,86800.0,8,501,N,2,2,2,2,64,44,2007
36-04010,32,2,1,0,1,3,5,1,1,16.3,7680,2,8,52090.0,0,500,N,2,2,2,2,190,196,17786
29-01901,28,1,6,0,1,N,N,3,0,5622.904285556309,N,N,1,99500.0,2,77,N,1,2,2,2,17,0,12829
29-01901,48,2,3,0,1,0,9,1,1,16.3,6170,6,8,224000.0,3,171,N,2,2,2,2,5,1,13476
38-00100,4,1,N,0,1,1,2,1,1,74.25353603606789,N,N,1,N,N,184,N,N,N,2,2,86,44,24445
29-01901,8,1,N,0,1,3,4,1,1,16.3,9920,9,2,98500.0,9,473,N,2,2,2,2,18,9,26435
17-03531,58,1,1,0,2,0,3,1,1,11176.350015766677,N,N,5,0.0,0,216,N,2,2,2,2,164,133,5956
38-00100,62,2,1,0,1,0,3,1,1,217.0911530570155,N,N,5,10050.0,0,327,N,2,1,2,2,53,56,19244
17-03529,68,2,6,0,2,0,2,1,1,11073.20890350496,9920,9,3,-2200.0,1,313,N,2,1,2,2,82,76,6313
01-01301,64,1,1,0,2,0,12,1,1,2586.078254281193,2480,3,6,139800.0,2,131,N,2,2,2,2,152,182,311
40-00200,19,1,6,4,8,N,9,3,0,11145.881036682407,8670,13,3,148200.0,2,112,N,2,2,2,2,20,0,20531
