SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT,target
2,1,1,1,5,9,0,48-02507,6,6528
2,6,1,2,5,8,0,48-02101,15,823
1,4,1,1,6,5,0,48-02102,7,6877
2,3,1,1,6,5,1,48-02515,N,1560
2,1,6,1,3,8,1,48-02102,10,7116
2,1,1,1,3,9,0,48-02516,7,4307
2,1,1,1,2,7,0,48-02102,7,2852
1,1,1,1,9,10,0,48-02507,9,5235
2,6,2,1,3,4,0,48-02102,12,6985
1,2,1,0,4,7,1,48-02101,7,8737
1,1,1,1,8,9,0,48-02507,7,2393
1,1,1,1,3,9,0,48-02102,15,6301
1,5,1,0,9,7,1,48-02516,10,4490
2,4,1,2,5,6,0,48-02507,12,8965
2,4,1,1,7,7,0,48-02510,7,2539
1,6,1,0,0,5,0,48-02507,N,5075
1,1,1,1,2,5,0,48-02515,12,4265
2,6,1,1,1,4,1,48-02102,4,8174
1,1,1,1,5,7,0,48-02101,3,8912
2,6,9,1,2,7,0,48-02515,6,4964
1,N,1,2,N,2,0,48-02510,N,6841
1,6,1,1,0,5,0,48-02507,18,8511
2,N,9,1,N,3,0,48-02102,N,2127
1,N,1,1,7,1,1,48-02101,1,913
1,6,1,1,4,7,0,48-02507,7,72
1,4,1,2,4,7,0,48-02515,N,5844
2,4,1,2,4,8,0,48-02102,3,8329
1,N,1,1,N,2,1,48-02510,N,776
2,4,1,1,4,5,0,48-02516,13,6488
2,6,1,0,3,6,0,48-02516,6,3010
1,2,1,0,3,9,0,48-02101,8,4339
1,5,1,0,8,5,1,48-02102,8,7085
1,N,1,1,N,N,4,48-02102,N,7553
1,5,1,2,6,7,0,48-02515,3,8430
2,6,9,2,4,7,0,48-02507,12,964
2,4,1,1,5,5,1,48-02101,12,4080
2,6,1,2,6,5,0,48-02515,11,2450
1,2,1,1,9,9,0,48-02515,9,4787
2,1,1,1,0,N,0,48-02510,12,5798
2,1,2,1,4,9,0,48-02507,2,8443
2,1,1,1,6,9,1,48-02101,16,2571
2,2,1,2,3,9,0,48-02507,2,873
2,1,1,0,1,6,0,48-02510,18,131
2,N,2,2,N,1,0,48-02515,N,6654
2,1,1,1,4,5,0,48-02101,16,6443
2,6,1,1,2,5,0,48-02102,9,7174
2,6,1,1,5,8,0,48-02515,8,6990
2,1,1,1,3,5,0,48-02102,11,3451
2,4,1,2,6,7,0,48-02510,N,6647
1,1,1,1,8,8,1,48-02516,10,2637
1,4,1,1,0,5,0,48-02516,N,5844
1,1,1,1,8,7,0,48-02510,8,7960
2,6,8,1,0,9,0,48-02516,N,2724
1,1,8,1,6,11,0,48-02101,8,3770
1,1,1,0,6,10,2,48-02101,4,7058
2,1,1,1,3,5,0,48-02507,12,1744
2,6,1,1,4,4,0,48-02515,15,5963
2,6,1,1,4,5,0,48-02101,10,343
1,3,1,2,2,3,0,48-02516,0,8774
1,N,1,1,N,3,0,48-02507,N,2220
1,6,1,2,0,4,0,48-02510,N,8166
2,1,1,2,0,9,0,48-02515,18,4424
1,1,8,1,9,9,0,48-02515,N,6203
1,1,1,1,8,9,1,48-02510,4,2058
2,6,1,2,1,7,0,48-02101,6,6349
2,6,1,1,8,8,0,48-02101,6,4476
1,6,8,1,3,9,0,48-02516,14,7451
1,2,1,1,7,7,0,48-02516,6,6846
2,6,1,1,0,4,0,48-02102,N,4541
2,1,1,1,3,5,0,48-02101,N,7730
2,1,1,1,2,7,0,48-02516,N,4862
1,N,1,2,N,2,0,48-02101,N,8815
2,4,1,1,4,9,0,48-02510,12,7424
2,1,1,2,5,5,0,48-02101,9,5827
2,N,1,1,N,3,4,48-02101,N,8036
2,N,1,2,N,3,1,48-02102,N,7270
1,1,1,1,5,5,0,48-02102,N,5550
2,6,6,1,0,4,0,48-02516,N,4057
2,6,1,0,4,3,0,48-02507,2,6817
1,6,1,1,0,5,0,48-02515,N,7606
1,6,1,1,0,4,0,48-02102,N,586
1,N,2,2,N,3,0,48-02101,N,1737
1,5,1,0,2,6,0,48-02102,3,7468
1,3,1,1,8,5,0,48-02515,10,4826
2,1,1,1,4,7,2,48-02102,7,8125
1,N,1,2,N,3,4,48-02101,N,3027
1,1,1,1,6,9,4,48-02101,14,5914
2,1,2,1,4,9,0,48-02101,N,3834
1,4,1,0,0,6,3,48-02515,N,8548
2,1,1,2,2,1,0,48-02101,N,8544
2,2,1,0,1,5,0,48-02510,17,8024
2,1,2,1,5,7,0,48-02510,N,6520
1,N,1,1,N,N,0,48-02516,N,1534
2,1,1,1,9,9,1,48-02102,17,4640
1,1,1,1,9,7,0,48-02102,7,7961
2,1,1,2,4,7,0,48-02510,6,5795
2,N,1,2,N,1,0,48-02507,N,819
2,6,6,2,4,9,0,48-02101,10,2743
2,N,1,1,N,3,2,48-02510,N,8928
2,4,1,0,8,8,1,48-02101,6,6465
2,6,1,1,1,5,0,48-02101,4,4163
2,3,1,1,8,7,0,48-02516,N,7663
1,1,1,1,8,10,0,48-02101,11,1363
1,1,2,1,4,5,0,48-02515,2,5363
2,1,1,2,6,7,0,48-02516,12,5955
1,1,1,0,0,8,1,48-02102,6,7681
1,1,1,1,7,5,0,48-02515,12,660
2,1,1,1,5,9,1,48-02102,4,8275
2,1,1,1,4,6,0,48-02516,N,2047
2,1,1,1,2,9,0,48-02507,10,2900
2,1,6,1,0,7,0,48-02515,N,6247
1,6,2,1,0,4,0,48-02101,N,7219
2,N,1,1,N,3,0,48-02515,N,1882
2,1,1,2,5,5,0,48-02516,9,6704
2,N,1,2,N,3,1,48-02507,N,6897
1,6,1,2,5,5,4,48-02510,4,4931
1,6,1,0,2,3,0,48-02516,N,8797
2,N,1,1,N,2,0,48-02101,N,1559
1,4,1,2,4,8,0,48-02507,14,4216
1,1,1,1,7,7,0,48-02515,16,1650
1,N,1,2,N,N,0,48-02101,N,7099
1,1,1,2,4,7,0,48-02507,3,9176
1,N,1,2,N,N,1,48-02101,N,8606
2,1,1,1,7,9,0,48-02510,6,2985
2,6,1,1,0,3,1,48-02101,N,2745
2,N,9,2,N,3,0,48-02510,N,5956
1,1,1,1,9,7,1,48-02515,7,5339
2,1,1,1,8,8,0,48-02516,N,3493
2,1,8,1,0,7,0,48-02102,14,4067
1,N,1,2,N,1,0,48-02101,N,6771
1,6,9,1,9,7,1,48-02515,9,5416
2,1,1,1,3,5,0,48-02516,16,6041
1,1,1,1,7,8,1,48-02515,10,4117
1,1,1,1,5,5,0,48-02101,10,9034
2,1,1,1,2,5,0,48-02102,N,3057
1,1,6,1,2,7,0,48-02101,3,1750
2,4,2,2,7,9,1,48-02101,11,6523
1,1,1,1,9,7,0,48-02516,16,2728
2,4,1,1,2,6,0,48-02102,N,4534
1,6,1,2,4,7,0,48-02515,12,4400
2,3,1,0,0,8,0,48-02516,0,944
1,1,1,1,3,7,4,48-02510,N,8643
2,6,1,1,0,4,0,48-02507,N,5636
2,4,1,2,7,8,0,48-02507,12,1811
2,6,1,1,1,5,0,48-02515,10,8070
2,4,1,1,7,7,0,48-02516,3,5651
2,N,1,2,N,N,0,48-02507,N,4213
2,N,1,2,N,3,0,48-02507,N,2393
1,N,1,1,N,1,0,48-02516,N,2175
1,4,1,2,7,5,1,48-02101,7,7762
1,N,1,1,N,3,0,48-02101,N,1470
2,N,1,1,N,3,0,48-02510,N,2424
2,1,1,1,8,4,0,48-02507,10,1480
2,4,1,1,3,5,0,48-02102,14,3850
1,N,2,2,N,3,0,48-02507,N,3810
2,4,8,2,6,11,0,48-02510,11,5128
2,1,7,2,5,5,0,48-02101,4,744
2,1,1,1,2,7,0,48-02101,N,8841
1,3,1,1,N,7,0,48-02507,5,8642
1,4,1,1,9,9,0,48-02516,10,6454
1,1,1,1,5,7,0,48-02101,3,6169
2,1,1,1,4,7,0,48-02507,N,8486
1,4,1,1,7,9,0,48-02507,4,4068
1,6,1,1,6,5,0,48-02516,3,7301
2,4,8,0,0,6,1,48-02102,N,6933
1,1,1,1,9,5,0,48-02507,5,7722
2,N,6,2,N,N,1,48-02516,N,1390
2,6,1,2,3,7,0,48-02507,14,5175
1,1,1,1,8,8,1,48-02515,14,5056
1,1,1,0,4,8,0,48-02516,14,7737
1,3,1,1,5,9,0,48-02102,N,7326
1,1,9,2,0,1,1,48-02516,N,8155
2,6,1,1,9,9,0,48-02507,N,5795
1,6,1,1,1,7,0,48-02101,6,734
1,N,1,1,N,3,0,48-02101,N,3727
1,1,1,1,9,7,0,48-02507,4,2432
1,3,9,1,6,7,1,48-02515,8,2378
1,N,1,1,N,2,0,48-02101,N,5047
1,N,1,1,N,N,0,48-02515,N,1686
1,1,1,1,8,6,0,48-02510,3,5039
2,4,1,2,8,7,0,48-02102,17,5748
2,N,1,0,9,3,0,48-02515,9,7260
2,4,9,1,3,4,0,48-02510,N,3511
2,1,1,1,4,10,0,48-02515,12,206
1,4,6,2,8,7,0,48-02516,10,9243
1,N,1,2,N,1,4,48-02101,N,5002
2,1,1,1,6,7,0,48-02515,15,4335
2,1,1,1,9,10,0,48-02516,4,4953
2,1,1,1,8,9,1,48-02510,11,5984
1,1,1,2,5,7,0,48-02101,9,451
1,1,6,2,7,5,0,48-02515,4,560
1,1,1,1,5,8,0,48-02510,6,88
1,1,1,1,9,10,0,48-02507,4,7234
2,6,1,1,3,5,0,48-02507,10,4757
1,3,1,1,7,8,0,48-02102,N,1084
2,N,1,1,N,3,0,48-02516,N,923
1,3,1,1,2,5,0,48-02515,N,9053
1,1,1,1,8,9,0,48-02515,11,1653
2,1,1,1,9,9,0,48-02101,6,2208
2,6,1,1,6,5,0,48-02510,9,8251
2,1,2,1,0,5,1,48-02516,N,2832
1,1,1,1,9,8,0,48-02507,4,7206
1,6,1,1,1,4,0,48-02101,14,1800
2,N,1,1,N,3,1,48-02510,N,7062
1,6,1,1,2,4,0,48-02101,8,8751
2,N,1,1,N,3,0,48-02101,N,1142
1,N,1,1,N,3,1,48-02516,N,7293
2,4,1,1,8,9,0,48-02510,1,6751
2,1,1,1,3,5,1,48-02102,11,4824
2,1,1,1,6,4,1,48-02507,11,3722
1,N,8,1,N,3,0,48-02507,N,4122
1,1,6,2,2,7,0,48-02510,6,8075
1,1,1,2,7,9,0,48-02515,5,848
1,1,1,2,1,6,0,48-02101,13,4479
1,1,1,1,8,7,1,48-02101,4,5101
1,3,1,1,8,5,1,48-02510,15,4446
2,1,1,1,7,7,1,48-02507,9,2775
2,1,2,1,4,7,0,48-02507,10,5450
1,1,1,1,9,7,0,48-02102,4,2891
1,6,1,1,6,5,1,48-02101,2,1640
2,1,1,1,5,10,0,48-02510,9,2749
2,1,1,1,0,5,0,48-02507,N,3177
2,N,1,1,N,3,0,48-02510,N,3847
2,4,6,2,7,5,0,48-02101,6,2611
2,3,6,0,3,7,0,48-02515,13,8799
1,1,1,1,4,4,0,48-02101,10,6402
2,4,1,1,7,9,0,48-02516,11,2982
2,6,1,1,3,5,0,48-02101,6,1469
2,1,1,2,9,9,0,48-02510,16,5621
2,4,2,1,2,7,0,48-02102,8,8894
1,6,1,1,0,10,0,48-02510,1,592
1,1,1,1,6,4,1,48-02507,15,1935
1,N,1,2,N,3,0,48-02101,N,8840
2,2,2,0,4,5,1,48-02516,N,6655
2,4,1,1,7,7,0,48-02102,3,8789
1,4,1,0,5,7,0,48-02102,16,74
1,N,1,1,N,3,0,48-02510,N,5607
1,1,1,1,8,7,0,48-02102,10,2260
2,1,1,2,8,8,0,48-02102,10,7093
1,1,1,1,7,9,0,48-02102,3,9082
2,3,1,1,9,8,0,48-02516,9,4883
2,N,1,2,N,3,0,48-02510,N,7575
1,6,2,1,4,4,2,48-02515,10,1704
2,1,1,1,0,4,0,48-02101,N,7038
1,6,1,1,1,5,4,48-02515,0,8205
1,2,1,1,2,7,0,48-02515,10,1243
1,1,1,1,5,4,0,48-02102,5,8128
1,N,1,2,N,3,0,48-02507,N,6063
2,1,1,1,3,5,0,48-02101,6,5952
2,1,1,1,6,7,0,48-02101,16,8025
1,N,1,1,N,3,0,48-02515,6,5500
1,1,1,1,5,5,0,48-02102,16,4422
2,1,1,1,6,7,0,48-02102,9,2251
1,4,1,2,9,6,0,48-02507,0,2740
2,1,1,1,8,10,0,48-02101,10,870
2,1,1,2,3,4,0,48-02515,12,5220
2,4,1,2,5,5,1,48-02516,3,5028
2,4,1,1,3,3,0,48-02101,N,1622
2,1,1,1,8,7,0,48-02507,7,4674
2,6,6,1,0,3,0,48-02101,N,7858
2,1,1,1,4,8,0,48-02510,12,2420
1,1,1,0,9,1,0,48-02101,3,1169
1,1,1,1,0,7,0,48-02515,15,1873
1,1,1,1,7,7,0,48-02516,6,5196
1,N,1,1,N,N,0,48-02507,N,6522
1,6,1,1,2,5,0,48-02102,5,5791
1,6,1,0,6,1,0,48-02101,13,1662
1,N,1,2,N,1,1,48-02507,N,5933
1,6,1,1,4,5,1,48-02102,10,5494
1,6,1,1,0,3,0,48-02510,N,6603
2,N,1,1,N,N,0,48-02102,N,835
2,1,1,1,5,7,0,48-02101,10,3750
1,3,1,0,3,5,0,48-02515,16,4795
2,1,1,1,5,10,0,48-02510,N,3828
2,1,6,2,5,4,1,48-02515,17,5896
1,6,1,2,1,4,0,48-02102,17,1311
1,1,2,1,9,5,0,48-02102,4,7722
1,N,1,2,N,N,0,48-02515,N,7375
1,6,1,1,4,7,0,48-02507,10,1902
2,1,1,1,4,5,0,48-02507,9,2807
2,1,1,1,2,6,0,48-02515,N,8492
2,1,1,1,0,7,0,48-02515,N,4052
1,4,8,2,6,6,0,48-02507,9,1665
1,6,1,0,4,6,1,48-02101,6,5891
2,3,1,1,0,5,0,48-02102,15,688
2,N,1,1,N,3,0,48-02507,N,425
2,1,1,1,9,9,0,48-02516,7,7894
2,1,1,1,3,8,0,48-02507,11,8094
1,3,1,2,9,8,0,48-02510,11,7852
1,1,8,1,9,9,0,48-02102,9,1514
1,1,1,1,9,9,0,48-02507,10,3709
2,1,1,1,8,5,0,48-02102,N,3832
1,4,1,0,8,12,0,48-02510,12,3432
2,1,1,2,3,7,4,48-02101,N,8908
2,3,1,0,2,4,0,48-02516,18,668
2,1,1,1,7,9,0,48-02515,14,5177
2,6,1,1,6,9,0,48-02101,8,7015
1,3,1,1,5,7,0,48-02101,4,7622
2,1,1,1,9,10,0,48-02101,12,468
2,5,1,1,4,5,0,48-02101,10,3296
2,1,1,1,7,9,0,48-02101,12,4183
2,1,1,1,8,5,0,48-02516,9,1601
1,6,1,1,5,5,0,48-02510,5,7432
2,1,1,0,3,1,0,48-02102,11,251
1,4,1,2,8,4,0,48-02515,16,8895
1,1,8,1,9,9,0,48-02516,6,5788
1,4,1,2,4,10,0,48-02101,7,7322
2,6,1,0,2,7,0,48-02101,N,1348
1,6,1,1,3,7,0,48-02101,6,2361
1,N,1,2,N,N,0,48-02515,8,7196
1,N,9,1,N,3,0,48-02101,N,3907
2,6,1,1,0,3,0,48-02515,N,5090
2,1,1,1,8,9,0,48-02516,6,8771
2,6,1,1,3,7,0,48-02102,13,8741
1,1,1,1,6,9,0,48-02516,14,7873
2,1,1,1,2,8,0,48-02101,N,6449
2,1,1,1,8,10,0,48-02101,10,9171
1,3,1,1,6,6,0,48-02101,6,6420
1,1,1,1,5,5,0,48-02516,10,4313
1,1,1,1,2,10,0,48-02507,0,8212
2,6,1,1,2,9,0,48-02516,14,3496
1,1,1,1,4,5,0,48-02102,14,4123
2,3,1,1,5,7,0,48-02515,12,5483
1,N,6,2,N,3,1,48-02101,N,2333
2,N,2,2,N,2,0,48-02102,N,7663
2,1,1,1,9,11,4,48-02510,3,2317
1,1,1,1,4,5,0,48-02507,N,4017
1,1,1,1,5,6,0,48-02507,15,1680
1,2,1,1,8,7,0,48-02507,5,1464
2,1,1,1,9,9,1,48-02515,12,1092
2,4,2,2,6,9,0,48-02515,10,6221
1,4,1,1,4,5,0,48-02516,10,7798
2,1,1,1,1,5,0,48-02510,6,2942
1,N,1,1,N,3,0,48-02102,N,8910
2,6,1,1,0,4,0,48-02101,N,4273
2,1,1,1,6,7,0,48-02507,N,5899
1,3,9,1,0,5,0,48-02101,8,1430
2,3,1,0,2,9,0,48-02515,N,6810
2,1,1,1,0,5,0,48-02101,11,5274
2,6,1,1,0,9,0,48-02101,N,7984
1,2,1,2,4,5,0,48-02101,N,7408
2,N,1,2,N,N,0,48-02515,N,3298
1,1,1,1,9,10,0,48-02507,7,8872
2,1,2,1,4,9,0,48-02101,15,8852
1,4,1,1,1,9,0,48-02515,1,2338
1,1,6,1,8,4,0,48-02101,7,1816
1,N,1,1,N,3,0,48-02510,N,6914
2,1,2,1,8,9,0,48-02516,7,7787
2,1,1,1,5,8,0,48-02101,N,7994
2,N,1,1,N,3,0,48-02515,N,4374
2,6,1,1,0,7,0,48-02101,N,1900
2,1,1,1,6,7,0,48-02101,14,838
1,6,1,0,0,5,1,48-02516,3,275
1,1,8,1,6,5,0,48-02101,3,1358
2,1,1,1,8,5,1,48-02101,9,3638
1,N,1,1,N,1,0,48-02101,N,7426
2,N,1,1,N,N,0,48-02102,N,8277
2,3,1,1,8,7,0,48-02510,N,5767
1,1,1,1,8,10,0,48-02510,11,5219
1,N,1,1,N,3,0,48-02510,N,5217
1,1,1,1,9,10,0,48-02101,10,8647
2,1,2,1,7,5,0,48-02515,11,1766
1,N,3,1,N,3,0,48-02102,N,5413
1,N,1,1,N,N,0,48-02102,N,5453
1,1,2,1,9,9,0,48-02101,4,5810
1,3,2,0,4,7,0,48-02102,N,2099
2,4,1,1,8,6,0,48-02102,2,8675
1,4,8,1,4,7,0,48-02510,16,1749
1,3,9,1,9,7,0,48-02507,15,6794
1,1,1,1,6,7,0,48-02102,16,5629
1,N,2,1,N,1,0,48-02102,N,992
1,4,3,0,9,10,1,48-02101,9,2714
1,1,1,1,9,10,0,48-02101,6,2582
1,1,1,1,8,5,0,48-02101,3,1600
1,N,1,1,N,2,0,48-02516,N,1587
2,6,1,1,2,9,0,48-02515,3,4807
2,1,1,1,0,9,4,48-02516,N,6404
2,1,6,1,0,3,0,48-02102,9,6319
2,1,1,2,0,4,1,48-02101,N,5080
1,1,1,1,6,7,0,48-02515,7,4337
1,6,1,1,0,4,0,48-02510,N,3024
2,1,1,2,8,5,0,48-02507,1,6595
1,1,1,2,8,4,0,48-02510,12,4868
2,N,1,1,N,3,0,48-02507,N,6461
1,5,1,0,9,6,0,48-02507,1,7340
1,6,1,2,0,4,0,48-02516,N,339
2,6,1,2,6,5,0,48-02507,4,6324
1,6,1,1,1,10,0,48-02515,6,514
2,N,9,2,0,3,1,48-02510,14,3674
1,6,2,1,0,5,0,48-02516,N,8956
2,1,1,1,5,4,0,48-02510,5,4405
2,1,2,1,4,9,0,48-02102,N,1805
2,1,1,1,7,9,1,48-02507,11,1971
1,6,9,2,4,8,0,48-02510,14,470
2,N,1,1,N,3,0,48-02507,N,7914
1,6,1,1,8,9,0,48-02510,12,4968
1,N,1,2,5,1,0,48-02510,7,1907
2,6,1,1,0,4,1,48-02507,N,6449
2,6,2,0,3,9,0,48-02101,N,2205
2,1,1,1,7,9,0,48-02102,14,4840
1,N,1,2,N,N,1,48-02510,N,4492
2,6,1,2,3,5,0,48-02101,11,2688
1,2,1,1,0,5,0,48-02515,4,1937
2,1,2,1,2,9,1,48-02101,N,3875
2,N,1,1,N,2,0,48-02510,N,8316
2,1,1,1,5,5,0,48-02510,12,2170
1,2,1,1,5,9,0,48-02515,2,4675
1,6,8,1,0,3,0,48-02507,N,6661
2,6,1,1,5,7,0,48-02102,12,4150
1,1,1,2,7,9,0,48-02510,13,1972
1,6,1,1,7,9,0,48-02102,14,2040
1,6,1,1,5,7,0,48-02516,6,1758
2,N,1,1,N,2,0,48-02516,N,2954
2,1,1,1,7,8,1,48-02102,13,6373
2,1,1,1,4,9,0,48-02515,13,8107
1,N,1,0,2,1,1,48-02102,11,7834
1,N,1,1,N,3,0,48-02101,N,3613
2,6,1,1,2,9,0,48-02101,14,3519
1,1,1,1,4,5,0,48-02515,3,3433
1,6,1,2,0,4,0,48-02516,N,450
1,N,2,1,N,3,0,48-02515,N,2590
1,3,1,2,3,8,0,48-02515,10,6721
1,6,9,2,7,9,0,48-02102,N,9136
1,N,1,1,N,3,0,48-02102,N,5018
2,1,1,1,8,10,0,48-02507,3,6803
2,6,1,1,8,10,0,48-02516,11,8382
1,3,1,1,1,4,1,48-02507,3,1874
1,1,1,1,3,9,0,48-02516,15,8710
1,3,1,1,6,5,0,48-02510,N,7262
2,6,9,1,0,9,0,48-02516,6,7314
1,4,1,1,7,5,0,48-02510,6,37
1,1,1,1,6,6,0,48-02507,15,507
2,1,9,1,0,9,0,48-02507,N,9188
2,1,1,1,6,9,1,48-02102,14,4166
1,1,1,1,9,8,0,48-02510,2,4180
2,N,1,1,N,3,0,48-02515,N,9055
1,1,2,1,0,7,0,48-02101,N,2949
1,N,8,1,N,3,0,48-02510,N,1769
2,1,1,1,9,11,0,48-02510,3,6887
2,6,1,1,1,4,0,48-02101,1,3833
2,6,1,1,5,6,0,48-02515,15,1933
2,N,1,1,N,N,0,48-02102,N,3443
2,1,1,1,0,9,0,48-02507,12,5
2,1,1,1,8,9,0,48-02102,11,355
2,4,1,1,2,5,0,48-02515,N,5774
1,4,6,2,8,9,0,48-02102,3,2778
1,6,1,2,6,3,0,48-02510,10,4613
1,4,1,2,7,9,0,48-02510,15,3422
2,1,1,1,6,7,0,48-02102,12,4865
2,1,1,1,7,9,0,48-02510,11,8444
1,1,1,1,8,9,1,48-02510,7,8659
2,1,1,1,3,7,0,48-02102,N,1868
2,6,1,1,1,8,0,48-02510,0,710
1,1,1,1,8,9,0,48-02516,8,1241
2,1,1,1,1,5,0,48-02516,6,8287
2,N,1,1,N,N,0,48-02101,N,4990
1,1,1,1,9,6,0,48-02507,4,4358
2,N,1,1,N,2,0,48-02101,N,7792
1,N,1,1,N,N,0,48-02507,N,1400
2,N,1,1,N,3,0,48-02516,N,337
1,1,1,1,6,5,0,48-02516,14,2208
1,1,1,1,8,9,0,48-02515,4,7522
1,1,1,1,9,11,0,48-02101,9,1248
1,4,1,1,2,5,0,48-02101,10,8031
2,1,1,2,4,6,0,48-02516,11,5434
1,6,1,1,5,5,0,48-02507,4,3550
1,1,1,1,8,5,1,48-02102,6,5031
2,6,1,1,0,5,0,48-02507,N,4119
2,N,1,1,N,3,1,48-02510,N,5662
2,N,1,1,N,3,0,48-02516,N,8902
2,1,1,1,5,8,0,48-02102,N,6061
2,3,1,1,4,7,0,48-02510,N,4110
1,1,1,1,6,7,0,48-02507,4,264
1,N,1,1,N,3,0,48-02510,N,8097
2,1,6,1,7,11,0,48-02101,4,1909
1,4,1,1,1,9,1,48-02507,N,3213
2,1,2,1,9,12,0,48-02101,4,6625
2,N,1,1,N,N,0,48-02516,N,5461
1,1,1,1,9,9,0,48-02510,12,5030
1,1,1,1,5,8,0,48-02515,N,49
2,2,1,1,7,7,0,48-02515,3,3074
2,1,1,1,6,9,0,48-02102,10,2173
1,1,1,1,9,9,0,48-02102,6,2237
2,N,1,1,N,N,1,48-02516,N,2317
2,1,3,1,9,7,0,48-02507,16,8083
2,1,1,1,0,9,0,48-02516,N,234
2,1,1,1,5,4,0,48-02515,10,1258
2,1,1,1,9,10,0,48-02102,N,7724
2,6,1,1,0,7,0,48-02510,N,7777
2,1,1,1,0,9,1,48-02101,13,6937
2,6,1,2,3,7,0,48-02515,6,4922
1,1,1,1,9,10,0,48-02510,4,6402
1,1,1,1,6,7,0,48-02515,15,3453
1,1,1,1,2,9,0,48-02101,9,2520
1,1,1,1,8,7,3,48-02102,5,3294
2,4,1,2,0,11,0,48-02516,7,7774
1,1,1,1,9,7,1,48-02101,16,5803
1,1,1,1,9,9,0,48-02102,9,4708
1,N,1,1,N,3,0,48-02510,N,2899
2,N,1,1,N,3,0,48-02510,N,1275
