,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU
84,35,6,1,1,1,2,N,5,10
85,41,1,1,2,1,1,N,1,3
86,39,1,6,1,1,1,N,0,10
87,79,1,1,1,1,1,N,7,5
88,25,1,6,2,1,1,N,5,9
89,17,1,6,2,1,2,N,0,4
90,66,1,1,1,1,1,N,7,10
91,75,1,1,1,1,2,N,9,4
92,30,1,6,1,1,1,N,9,10
93,94,1,3,1,1,2,N,0,4
94,15,1,6,2,2,0,N,0,4
95,78,1,1,2,1,1,N,4,7
96,26,1,6,1,1,1,N,3,9
97,74,1,1,2,1,1,N,6,5
98,39,1,1,2,1,1,N,0,7
99,87,1,1,1,1,1,N,4,3
100,54,1,1,2,1,1,N,1,9
101,59,1,1,1,1,1,N,8,10
102,77,1,1,1,1,1,N,2,5
103,48,1,1,2,1,2,N,7,7
104,9,1,N,2,1,1,N,N,10
105,30,1,6,1,1,1,N,8,11
106,52,1,1,1,1,1,N,9,12
107,33,1,4,1,1,1,N,7,9
108,45,6,1,1,1,1,N,7,11
109,60,1,1,1,1,2,N,9,7
110,60,1,4,2,1,1,N,8,9
111,23,1,6,2,1,1,N,6,5
112,9,1,N,2,1,1,N,N,1
113,17,1,6,2,1,2,N,0,4
114,51,1,6,1,1,1,N,8,5
115,50,1,1,1,1,1,N,0,4
116,15,6,6,1,3,0,N,0,3
117,48,1,1,1,1,1,N,7,11
118,83,1,6,2,1,2,N,2,12
119,90,1,3,1,1,1,N,1,7
120,29,1,6,2,1,2,N,7,9
121,35,1,1,1,1,1,N,9,7
122,83,1,3,2,3,0,N,2,9
123,49,1,1,1,1,1,N,9,10
124,55,1,6,2,1,1,N,4,7
125,4,1,N,1,1,2,N,N,1
126,67,1,2,2,1,1,N,4,5
127,78,1,1,1,1,1,N,4,7
128,47,1,1,1,1,1,N,7,10
129,91,1,2,2,2,0,N,1,9
130,70,1,6,1,1,2,N,9,3
131,51,1,1,2,1,1,N,8,3
132,35,1,2,1,1,1,N,8,10
133,71,1,1,2,1,1,N,2,10
134,19,1,6,2,1,1,N,3,7
135,80,1,3,2,3,0,N,2,10
136,59,1,1,1,1,1,N,1,5
137,85,1,5,1,1,1,N,4,5
138,74,1,4,2,1,1,N,5,8
139,8,6,N,2,1,2,N,N,3
140,53,1,1,1,1,2,N,9,9
141,16,1,6,1,1,1,N,1,4
142,18,1,6,1,1,1,N,1,4
143,38,1,1,2,1,1,N,4,9
144,85,1,6,2,3,0,N,5,5
145,48,1,6,1,3,0,N,7,7
146,1,1,N,1,1,1,N,N,N
147,67,1,1,1,1,1,N,6,9
148,51,1,4,2,1,1,N,2,5
149,31,1,1,1,1,1,N,7,10
150,56,1,1,2,1,1,N,9,10
151,78,1,4,2,1,1,N,4,10
152,46,1,1,2,1,1,N,7,8
153,89,1,1,1,1,1,N,3,9
154,24,1,6,1,1,1,N,1,9
155,36,1,1,1,1,1,N,7,9
156,24,1,4,1,1,1,N,1,5
157,33,1,1,2,1,1,N,5,9
158,54,1,1,2,1,1,N,7,9
159,42,1,1,2,1,1,N,8,10
160,69,1,4,1,1,2,N,5,10
161,79,1,2,1,1,1,N,7,8
162,54,1,1,2,1,1,N,2,10
163,23,1,1,2,1,1,N,1,11
164,23,1,6,1,1,1,N,2,9
165,13,1,N,2,1,1,N,N,3
166,42,1,1,2,1,1,N,5,5
167,28,1,1,1,1,1,N,6,7
168,36,1,6,2,1,1,N,6,10
169,45,1,1,2,1,1,N,3,12
170,66,1,6,2,1,2,N,5,5
171,84,1,1,2,1,2,N,2,7
172,12,1,N,1,1,1,N,N,3
173,5,1,N,2,1,1,N,N,2
174,45,1,2,1,1,2,N,6,5
175,67,1,1,1,1,1,N,2,7
176,56,1,6,2,1,2,N,9,8
177,30,1,6,2,1,1,N,7,5
178,20,1,6,2,1,2,3,1,5
179,18,1,6,1,1,2,N,2,4
180,94,1,3,2,1,2,N,1,7
181,4,1,N,2,1,1,N,N,2
182,17,1,6,1,1,2,N,1,4
183,31,1,1,2,1,2,N,8,10
184,41,1,6,1,1,1,N,8,10
185,58,1,1,1,1,1,N,6,5
186,58,1,1,1,1,1,N,8,9
187,33,1,1,2,1,1,N,0,7
188,27,1,6,1,1,1,N,2,9
189,43,1,1,2,1,1,N,N,11
190,79,1,2,2,1,1,N,8,5
191,19,1,6,2,1,1,N,0,7
192,17,6,2,2,3,0,N,0,4
193,13,1,N,1,1,1,N,N,3
194,5,1,N,1,1,2,N,4,1
195,52,1,1,1,1,1,N,6,7
196,91,1,6,1,1,2,N,8,8
197,58,1,1,2,1,1,N,8,9
198,12,1,N,1,1,1,N,N,3
199,28,1,1,2,1,2,N,7,5
200,61,1,1,2,1,1,N,4,8
201,76,1,1,1,1,1,N,7,5
202,42,1,4,2,1,2,N,9,5
203,56,1,1,2,1,1,N,2,3
204,74,1,N,2,1,1,N,6,8
205,47,1,4,2,1,1,N,8,9
206,44,1,6,1,1,1,N,7,9
207,80,1,1,2,1,1,N,3,9
208,75,6,1,1,1,1,N,7,8
209,56,6,1,1,1,1,N,8,3
210,50,1,1,1,1,1,N,9,5
211,53,6,1,2,1,1,N,5,10
212,47,1,1,2,1,1,N,3,5
213,7,6,N,2,1,2,N,N,3
214,1,1,N,1,1,1,N,6,N
215,15,1,6,2,1,2,N,0,3
216,44,1,1,2,1,1,N,6,9
217,39,1,1,1,1,1,N,5,12
218,75,1,1,2,1,1,N,5,7
219,48,1,1,1,1,2,N,9,9
220,39,1,1,1,1,2,N,0,10
221,14,1,N,2,1,2,N,N,3
222,29,1,6,2,1,1,N,1,5
223,57,1,1,2,1,1,N,3,1
224,49,1,1,2,1,2,N,7,9
225,86,2,1,1,1,1,N,1,5
226,94,1,3,1,1,1,N,4,5
227,67,1,6,2,1,2,N,3,5
228,67,1,3,2,1,2,N,8,9
229,45,1,1,1,1,1,N,6,10
230,19,1,6,1,3,0,N,1,N
231,16,1,6,2,3,0,N,0,4
232,37,1,6,2,1,1,N,7,9
233,47,1,1,1,1,1,N,9,5
234,20,1,6,2,3,0,N,1,7
235,25,1,6,2,1,1,N,6,5
236,72,1,1,2,1,1,N,4,10
237,17,6,6,2,1,1,N,1,4
238,64,1,4,1,1,2,N,9,9
239,64,1,1,1,1,1,N,6,5
240,40,1,1,1,1,1,N,8,10
241,11,1,N,2,1,1,N,N,3
242,18,1,6,1,1,2,N,0,7
243,55,1,1,1,1,1,N,0,9
244,15,1,6,2,1,2,N,0,4
245,23,1,2,1,1,1,N,3,9
246,53,6,4,1,1,2,N,3,9
247,59,1,1,2,1,1,N,9,5
248,64,6,1,2,1,1,N,6,7
249,63,1,1,1,1,1,N,9,5
250,29,1,6,1,1,2,N,5,8
251,46,1,1,2,1,1,N,8,10
252,75,2,1,1,1,1,N,3,2
253,67,1,3,1,1,2,N,1,7
254,19,1,6,1,1,2,N,1,7
255,67,1,1,1,1,1,N,9,5
256,71,1,1,2,1,1,2,5,10
257,38,1,1,1,1,1,N,8,11
258,88,1,6,2,1,1,N,1,10
259,70,1,1,2,1,1,N,3,7
260,9,1,N,2,1,1,N,N,3
261,25,1,6,1,1,1,N,2,8
262,63,1,4,2,1,2,N,7,5
263,75,1,1,2,1,1,N,6,7
264,0,1,N,1,1,1,N,N,N
265,78,1,1,2,1,1,N,0,8
266,30,1,6,1,1,1,N,8,7
267,32,6,6,2,1,1,N,2,9
268,77,1,1,2,1,1,N,2,10
269,32,1,6,2,1,2,N,2,7
270,54,1,1,2,1,1,N,9,5
271,14,1,N,2,1,2,N,N,3
272,50,6,1,1,1,1,N,0,9
273,0,1,N,2,1,1,N,N,N
274,41,1,6,1,1,2,N,9,9
275,56,1,5,2,1,1,N,1,12
276,4,1,N,2,1,1,N,N,2
277,74,1,1,2,1,1,N,4,10
278,83,1,6,2,3,0,N,3,5
279,69,1,6,2,1,2,N,3,6
280,10,1,N,2,1,1,N,N,3
281,68,1,3,2,3,0,N,9,4
282,5,1,N,1,3,0,N,N,2
283,69,6,1,1,1,1,N,7,5
284,46,1,1,2,1,2,N,8,9
285,47,1,1,1,1,1,N,N,5
286,46,1,1,1,1,2,N,2,8
287,77,1,3,1,1,1,N,4,1
288,71,1,6,2,1,2,N,6,5
289,8,1,N,1,1,2,N,7,3
290,46,1,6,1,1,1,N,9,9
291,11,6,N,2,1,2,N,N,3
292,6,1,N,1,1,1,N,2,2
293,36,1,1,1,1,2,N,6,9
294,41,1,6,1,3,0,N,9,7
295,32,1,6,1,1,2,N,6,9
296,13,1,N,1,1,1,N,N,3
297,12,6,N,2,1,1,N,3,3
298,35,1,1,1,1,1,N,8,9
299,18,1,6,2,2,0,N,2,5
300,75,1,1,2,1,1,N,3,7
301,3,1,N,2,1,1,N,N,1
302,64,1,1,1,1,1,N,2,9
303,45,1,6,2,1,1,N,9,7
304,25,1,6,1,1,1,N,4,12
305,62,1,1,2,1,1,N,7,10
306,75,1,2,1,1,2,N,7,10
307,46,2,6,1,3,0,N,4,9
308,68,1,1,2,1,1,N,6,8
309,61,1,4,1,1,1,N,9,8
310,58,1,1,1,1,2,N,9,10
311,61,1,1,1,1,1,N,4,10
312,58,1,1,2,1,1,N,2,7
313,28,1,1,2,1,1,N,6,9
314,53,1,1,1,1,1,N,5,5
315,3,1,N,1,1,1,N,N,1
316,75,2,1,2,1,1,N,1,7
317,62,1,1,2,1,1,N,8,9
318,27,1,6,2,3,0,N,4,7
319,6,1,3,2,1,1,N,N,2
320,50,1,6,2,1,1,N,2,5
321,60,9,1,1,1,1,N,4,7
322,60,1,1,1,1,2,N,2,9
323,64,1,1,2,1,2,N,1,5
324,57,1,1,2,1,1,N,5,12
325,27,6,6,2,1,1,N,1,9
326,75,1,6,2,1,1,N,3,10
327,22,1,6,2,1,2,N,2,5
328,52,1,1,1,1,1,N,7,12
329,65,1,1,1,1,1,N,6,12
330,91,1,3,2,1,1,N,4,5
331,66,1,2,2,3,0,N,7,8
332,11,1,N,1,1,1,N,N,11
333,51,1,1,1,1,1,N,8,N
334,67,1,1,1,1,2,N,4,3
335,17,1,6,1,1,1,N,0,4
336,86,1,5,2,1,1,N,1,10
337,11,6,N,1,1,1,N,N,3
338,66,1,1,1,1,1,N,9,6
339,49,1,1,2,1,2,N,2,7
340,62,1,1,2,1,1,N,2,8
341,43,1,4,2,1,1,N,N,9
342,37,1,1,2,1,1,N,7,3
343,31,1,1,1,1,1,N,4,1
344,58,1,1,1,1,2,N,8,9
345,73,1,1,2,1,1,N,4,11
346,70,1,6,2,1,1,N,7,10
347,45,1,1,2,1,1,N,1,9
348,59,1,6,1,1,1,N,9,9
349,7,1,N,2,1,1,N,N,2
350,50,1,1,2,1,1,N,9,8
351,28,1,6,1,1,1,N,4,9
352,54,1,1,2,1,1,N,4,9
353,57,1,1,2,1,1,N,5,7
354,49,1,1,2,1,1,N,5,9
355,13,1,N,2,1,1,N,N,3
356,56,1,1,1,1,1,N,8,7
357,67,1,1,1,1,1,N,8,4
358,27,9,6,2,2,0,N,6,9
359,65,1,1,2,1,1,N,3,5
360,84,1,1,1,1,1,N,1,3
361,7,1,N,1,1,1,N,N,2
362,62,1,1,1,1,1,N,4,1
363,67,1,1,2,1,1,N,0,10
364,19,1,6,2,1,2,N,3,5
365,13,1,N,2,1,1,N,N,3
366,61,1,1,2,1,1,N,9,9
367,14,1,N,2,1,1,N,N,4
368,54,1,1,1,1,1,N,0,5
369,24,1,6,2,1,1,N,1,7
370,69,1,4,2,1,1,N,9,7
371,45,6,1,1,1,1,N,9,7
372,33,1,6,2,1,1,N,7,7
373,14,1,N,1,1,2,N,N,3
374,4,1,N,1,1,1,N,N,2
375,0,1,N,2,1,1,N,N,N
376,56,1,1,1,1,1,N,9,5
377,77,1,1,1,1,1,N,4,10
378,55,1,1,2,1,1,N,8,5
379,71,1,1,1,1,1,N,2,10
380,2,1,N,2,1,1,N,N,N
381,44,1,1,1,1,1,N,9,10
382,12,1,N,2,1,1,N,N,3
383,20,1,6,1,1,1,N,6,5
384,58,1,6,1,2,0,N,9,12
385,12,1,N,1,1,1,N,N,3
386,36,1,1,2,1,1,N,0,8
387,86,8,6,1,3,0,N,N,5
388,11,1,N,2,1,1,N,N,3
389,33,1,3,1,2,0,N,5,9
390,35,1,1,2,1,1,N,8,10
391,41,1,6,2,1,1,N,7,10
392,33,1,1,1,1,1,N,4,9
393,70,6,6,2,2,0,N,6,7
394,54,1,2,2,1,1,N,8,9
395,22,1,6,2,1,1,N,1,11
396,75,1,3,2,1,1,N,1,8
397,20,1,6,2,1,1,N,1,7
398,22,1,6,2,3,0,N,2,9
399,89,1,6,1,1,1,N,1,9
400,51,6,1,1,1,1,N,9,5
401,30,1,1,2,1,1,N,0,9
402,29,1,6,1,1,2,N,6,9
403,52,1,1,1,1,1,N,3,9
404,34,1,1,2,1,1,N,7,5
405,21,6,6,2,1,2,N,1,7
406,21,1,6,1,1,2,N,1,7
407,14,6,N,2,1,1,N,N,3
408,56,1,1,1,1,1,N,9,5
409,75,1,1,1,1,1,N,1,2
410,25,1,6,2,1,1,N,2,8
411,84,1,3,1,1,1,N,3,5
412,38,8,1,2,1,1,N,9,8
413,35,1,N,1,1,1,N,7,7
414,85,1,1,2,1,1,N,3,4
415,21,1,6,2,1,1,N,6,5
416,26,1,6,1,3,0,N,4,5
417,63,1,6,1,1,1,N,8,8
418,35,1,1,1,1,1,N,6,5
419,36,1,1,2,1,1,N,7,10
420,41,1,1,1,1,1,N,2,3
421,60,1,4,1,1,1,N,5,7
422,21,6,6,1,1,1,N,3,7
423,25,1,6,1,1,2,N,1,5
424,71,1,1,2,1,1,N,3,10
425,38,1,1,2,1,1,N,6,9
426,6,1,N,1,1,1,N,N,2
427,42,1,1,1,1,1,N,9,10
428,36,1,1,1,1,1,N,8,5
429,33,1,6,1,1,2,N,3,9
430,17,1,6,1,1,2,N,1,1
431,16,1,6,2,1,1,N,0,4
432,22,1,6,2,1,1,N,3,9
433,91,1,3,1,1,1,N,1,9
434,56,1,1,2,1,1,N,2,11
435,51,1,6,2,1,1,N,8,9
436,52,1,6,2,1,2,N,1,9
437,51,1,4,1,1,1,N,8,10
438,68,1,1,2,1,1,N,9,3
439,21,1,6,1,1,1,N,9,5
440,84,1,3,2,1,1,N,8,5
441,74,1,1,2,1,2,N,9,10
442,56,1,1,2,1,1,N,6,10
443,16,1,6,1,3,0,N,0,4
444,2,1,N,2,1,1,N,N,N
445,23,1,6,1,1,2,N,0,5
446,41,1,1,2,1,1,N,6,7
447,44,1,1,1,1,1,N,7,10
448,59,6,1,1,1,1,N,7,7
449,94,1,3,2,1,1,N,4,5
450,48,1,1,1,1,2,N,9,9
451,29,2,6,1,1,1,N,5,5
452,27,1,1,2,1,2,N,5,10
453,35,1,1,1,1,1,N,8,8
454,6,1,N,1,1,1,N,N,2
455,89,1,3,2,1,1,N,2,5
456,4,1,N,1,1,2,N,N,1
457,58,1,3,2,1,1,N,2,9
458,56,1,1,1,1,1,N,3,5
459,54,1,2,2,3,0,N,2,4
460,74,1,1,1,1,1,N,3,8
461,63,1,4,2,1,1,N,0,10
462,50,1,1,1,1,1,N,9,9
463,49,1,1,2,1,1,N,6,7
464,26,1,6,1,3,0,N,7,7
465,14,2,4,1,1,1,N,N,3
466,36,1,1,1,1,2,N,9,10
467,72,1,1,2,1,1,N,0,10
468,58,1,1,1,1,1,N,3,5
469,66,1,4,1,1,1,N,9,7
470,61,1,1,2,1,1,N,7,5
471,80,1,1,2,1,1,N,2,5
472,27,1,6,2,1,1,N,7,9
473,73,1,4,2,1,1,N,4,5
474,18,1,6,2,1,1,N,0,7
475,65,1,1,2,1,1,N,6,7
476,61,1,4,1,1,1,N,9,5
477,28,1,6,1,1,1,N,7,10
478,65,1,4,2,1,1,N,4,10
479,61,1,6,1,1,1,N,4,7
480,49,1,1,1,1,1,N,8,9
481,27,1,6,1,3,0,N,5,10
482,16,1,6,2,1,1,N,0,4
483,33,1,1,1,1,1,N,8,9
484,30,1,6,1,1,1,N,9,10
485,38,1,1,1,1,1,N,7,9
486,6,1,N,1,1,1,N,N,2
487,89,1,6,1,3,0,N,7,7
488,84,1,1,1,1,1,N,1,7
489,62,1,1,2,1,2,N,7,10
490,14,1,N,1,1,1,N,N,3
491,73,1,1,2,1,1,N,3,5
492,60,2,1,1,1,1,N,5,12
493,11,1,6,1,1,2,N,7,3
494,1,1,N,1,1,1,N,N,N
495,24,1,1,2,1,1,N,3,9
496,75,1,2,2,3,0,N,3,4
497,54,1,1,2,1,1,N,6,8
498,42,6,1,2,1,1,N,0,9
499,41,1,1,1,1,1,N,7,9
500,58,1,1,1,1,1,N,2,10
501,11,6,N,2,1,2,N,N,3
502,56,1,1,2,1,1,N,8,10
503,6,1,N,2,1,2,N,N,2
504,71,1,1,2,1,1,N,2,7
505,8,1,N,1,1,1,N,N,3
506,55,2,4,2,1,1,N,0,9
507,74,6,1,2,1,1,N,3,12
508,1,1,N,2,1,2,N,N,N
509,62,1,6,2,2,0,N,2,9
510,59,1,1,1,1,1,N,5,8
511,4,1,N,1,1,1,N,N,2
512,69,1,1,1,1,1,N,0,5
513,94,1,3,1,3,0,N,2,2
514,94,1,1,2,1,1,N,7,5
515,47,1,4,2,1,1,N,8,7
516,22,1,6,1,1,1,N,2,7
517,31,1,1,2,1,1,N,8,7
518,11,1,N,1,1,1,N,N,3
519,85,1,1,2,1,1,N,3,9
520,8,1,N,2,1,1,N,N,5
521,4,1,N,2,1,1,N,N,2
522,79,1,1,2,1,1,6,0,9
523,28,1,6,1,1,1,N,5,9
524,36,1,1,1,1,1,N,8,5
525,9,9,N,1,1,1,N,N,9
526,45,1,4,2,1,1,N,8,12
527,19,1,6,1,1,1,N,0,5
528,27,1,2,2,1,1,N,0,5
529,48,1,6,1,1,1,N,9,8
530,2,1,N,1,1,1,N,N,N
531,66,1,2,2,1,1,N,7,10
532,61,1,1,2,1,1,N,4,7
533,37,1,1,2,1,1,N,7,10
534,77,1,3,2,1,2,N,7,7
535,31,1,6,1,1,2,N,7,9
536,55,1,1,2,1,1,N,2,7
537,44,1,6,1,1,1,N,7,9
538,51,1,4,1,1,1,N,9,3
539,62,1,1,2,1,2,N,9,5
540,78,6,N,1,1,1,N,0,9
541,41,2,1,1,1,1,N,9,7
542,9,1,N,1,1,1,N,N,3
543,3,1,N,1,1,1,N,N,2
544,52,1,6,2,3,0,N,9,9
545,35,1,1,2,1,1,N,9,10
546,24,1,6,2,1,1,N,8,9
547,32,9,1,2,1,1,N,8,6
548,56,1,1,1,1,1,N,6,9
549,12,1,1,1,1,1,N,N,3
550,84,1,4,1,1,1,N,7,10
551,28,1,1,2,1,1,N,8,10
552,59,1,1,2,1,1,N,9,9
553,47,1,1,1,1,1,N,8,9
554,81,1,3,1,1,2,N,1,10
555,49,1,1,1,1,1,N,9,6
556,52,1,6,2,1,2,N,8,8
557,67,1,1,2,1,1,N,3,7
558,74,1,1,2,1,2,N,2,10
559,40,9,1,2,1,1,N,7,10
560,57,1,6,2,1,2,N,7,5
561,15,1,6,1,3,0,N,0,4
562,1,1,N,1,1,2,N,N,N
563,83,1,1,2,1,2,N,2,5
564,14,1,N,2,1,1,6,N,3
565,36,1,1,2,1,1,N,9,10
566,34,6,1,2,1,2,N,6,10
567,43,1,1,2,1,1,N,7,10
568,71,1,1,2,1,2,N,4,7
569,66,1,4,2,1,1,N,6,8
570,81,1,6,2,2,0,N,3,7
571,88,1,4,1,3,0,N,5,4
572,45,1,N,1,1,2,N,3,9
573,3,1,N,1,1,2,N,N,1
574,15,1,6,2,1,2,N,0,3
575,29,1,1,2,1,2,N,4,9
576,29,1,6,2,1,1,N,7,7
577,28,1,6,1,1,1,N,8,10
578,45,1,2,2,1,1,N,2,5
579,27,1,1,1,1,1,N,0,9
580,14,1,N,2,1,1,N,N,3
581,94,6,1,2,1,1,2,2,9
582,18,1,1,2,1,1,N,1,7
583,57,1,1,2,1,1,N,1,5
584,61,1,1,2,1,1,N,4,5
585,35,1,3,1,1,1,N,5,7
586,67,1,1,1,1,2,N,9,10
587,5,1,N,1,1,1,N,N,10
588,33,1,6,2,1,1,N,9,9
589,74,1,3,1,1,2,N,0,9
590,14,1,5,1,1,2,N,N,3
591,25,6,6,1,1,1,N,5,9
592,57,1,1,1,1,1,N,2,9
593,55,1,1,1,1,1,N,7,10
594,68,1,1,2,1,1,N,7,9
595,43,1,4,2,1,1,N,4,10
596,25,1,6,2,1,1,N,2,9
597,32,1,1,1,1,1,N,6,10
598,34,1,6,2,1,1,N,8,4
599,61,1,1,2,1,1,N,7,10
600,2,1,N,2,1,1,N,N,N
601,40,1,6,2,1,2,N,7,12
602,35,6,1,2,1,1,N,4,9
603,33,1,1,1,1,1,N,9,8
604,56,1,1,2,1,1,N,9,8
605,41,1,1,1,1,1,N,8,11
606,14,6,N,1,1,1,N,N,3
607,91,1,3,2,1,1,N,2,5
608,91,1,3,2,1,1,N,2,5
609,94,1,3,1,1,1,N,4,5
610,67,1,4,2,1,1,N,2,5
611,13,1,N,2,1,1,N,N,3
612,59,1,1,2,1,1,N,3,5
613,18,1,6,2,1,1,N,6,5
614,68,1,1,2,1,1,N,7,7
615,48,6,1,2,1,1,N,8,4
616,3,1,N,2,1,1,2,N,6
617,18,1,6,2,1,1,N,0,7
618,37,1,1,1,1,1,N,0,11
619,4,1,N,1,1,2,N,N,2
620,49,8,1,2,1,1,N,7,12
621,70,1,1,1,1,2,N,0,8
622,56,1,1,2,1,1,N,8,8
623,23,1,6,2,1,1,N,5,11
624,10,1,N,1,1,1,N,N,3
625,36,6,6,2,1,2,N,6,9
626,77,6,4,2,1,1,N,0,10
627,54,1,1,1,1,1,N,8,4
628,23,1,6,2,1,2,N,4,9
629,55,1,1,1,1,1,N,4,8
630,15,1,6,2,1,1,N,0,4
631,44,1,6,1,1,2,N,8,12
632,53,1,1,1,1,2,N,8,4
633,40,7,1,2,1,2,N,7,9
634,36,1,1,2,1,1,N,6,9
635,29,1,1,2,1,1,N,8,5
636,65,1,2,2,1,1,N,6,9
637,73,1,4,1,1,1,N,7,5
638,15,1,6,2,1,1,N,0,4
639,14,1,N,1,1,1,N,N,3
640,29,1,1,1,1,1,N,6,9
641,1,2,N,2,1,2,N,N,N
642,48,1,1,1,1,1,N,7,5
643,29,1,6,1,1,1,N,5,9
644,48,1,1,2,1,1,N,8,9
645,52,1,4,2,1,2,N,6,5
646,18,6,6,1,1,1,N,0,7
647,26,1,6,1,2,0,N,8,9
648,14,6,5,2,1,2,N,1,3
649,66,1,1,2,1,1,N,8,6
650,14,1,N,2,1,1,N,9,3
651,18,1,6,1,1,2,N,1,5
652,8,6,N,1,1,1,N,N,3
653,57,1,6,1,1,1,N,9,7
654,34,1,1,2,1,1,N,2,12
655,7,1,N,1,1,1,N,N,3
656,75,1,1,2,1,1,N,1,5
657,10,1,N,2,1,1,N,N,8
658,46,1,4,1,1,1,N,0,6
659,32,1,1,1,1,1,N,7,9
660,54,1,4,2,1,2,N,9,8
661,80,1,4,2,1,2,N,3,9
662,71,1,1,1,1,1,N,4,10
663,40,1,1,1,1,1,N,9,12
664,43,1,1,1,1,1,N,5,10
665,44,1,1,2,1,1,N,8,7
666,75,6,1,1,1,1,N,3,3
667,10,2,N,1,1,1,N,9,3
668,47,1,4,1,1,2,N,8,5
669,47,1,6,2,1,1,N,N,9
670,9,1,N,2,1,1,N,N,3
671,6,1,N,2,1,1,N,N,2
672,37,1,1,2,1,1,N,7,7
673,43,1,1,1,1,1,N,9,9
674,23,1,6,1,1,1,N,0,5
675,17,1,6,2,1,1,N,1,4
676,67,1,1,2,1,1,N,6,5
677,45,1,1,1,1,1,N,4,9
678,8,1,N,1,1,2,N,N,3
679,84,2,6,1,1,2,N,7,5
680,89,1,3,2,1,2,N,2,7
681,69,1,3,2,1,2,N,5,9
682,50,6,1,2,1,1,N,6,5
683,13,1,N,2,1,1,N,N,3
684,65,1,4,2,1,1,N,2,7
685,46,1,6,2,1,1,N,7,9
686,82,1,6,2,1,1,N,3,5
687,36,1,1,1,1,2,N,8,10
688,19,1,6,2,1,1,N,1,7
689,17,1,6,2,1,1,N,1,4
690,78,1,4,2,1,1,N,6,7
691,64,1,1,2,1,1,N,7,5
692,57,1,1,1,1,1,N,9,5
693,31,8,6,1,1,1,N,8,10
