SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE
2,6,1,1,0,4,28,1,N,2
1,3,1,1,9,7,52,1,N,2
1,N,1,1,N,3,13,1,N,2
2,3,2,2,3,5,28,1,N,2
2,1,1,1,0,9,71,1,N,2
2,1,1,1,3,7,45,1,N,2
1,6,1,2,5,7,21,1,N,2
2,1,1,1,8,10,48,1,N,2
1,6,1,1,7,7,33,1,N,2
1,6,1,1,0,4,13,1,N,2
1,6,1,2,2,5,24,1,N,2
1,1,1,1,7,7,32,1,N,2
1,1,1,1,7,7,35,1,N,2
2,1,1,1,3,5,66,1,N,2
2,1,6,1,0,9,45,1,N,2
1,6,1,1,0,4,10,1,N,2
1,N,1,1,N,3,4,1,N,2
2,1,1,1,8,9,39,1,N,2
2,6,1,1,0,5,18,1,N,2
2,1,1,1,7,9,39,1,N,2
1,N,1,1,N,3,12,1,N,2
1,6,1,1,N,3,12,1,N,2
1,1,1,1,9,9,35,1,N,2
2,3,1,2,4,5,75,1,N,2
1,6,1,2,0,4,15,1,N,2
2,1,1,1,8,9,60,1,N,2
1,N,1,1,N,3,16,1,N,2
1,1,1,1,9,9,65,1,N,2
2,1,1,1,7,9,32,1,N,2
2,3,1,1,8,10,59,1,N,2
2,3,1,2,4,5,73,1,N,2
2,1,1,1,7,9,63,1,N,2
1,6,1,1,6,9,24,1,N,2
1,1,1,1,6,7,62,1,N,2
1,6,1,1,0,7,28,1,N,2
2,1,1,1,3,5,72,1,N,2
2,N,1,2,N,2,4,1,N,2
2,6,1,2,3,7,30,1,N,2
2,1,1,1,0,9,28,1,N,2
2,1,1,1,3,7,63,1,N,2
1,N,1,1,N,3,16,1,N,2
1,1,1,1,8,7,38,1,N,2
1,6,1,1,0,4,25,1,N,2
2,1,1,1,0,9,39,1,N,2
1,1,1,1,9,9,62,1,N,2
1,1,1,1,8,7,48,1,N,2
2,N,1,1,N,3,7,1,N,2
2,6,1,1,0,7,22,1,N,2
1,6,1,1,N,3,13,1,N,2
1,6,1,2,N,3,12,1,N,2
2,6,1,1,0,4,22,1,N,2
1,N,1,2,N,3,10,1,N,2
1,1,1,1,9,9,64,1,N,2
1,6,1,2,5,7,29,1,N,2
2,1,1,1,3,5,81,1,N,2
2,N,1,1,N,3,13,1,N,2
2,1,1,1,7,9,39,1,N,2
1,6,6,1,0,4,15,1,N,2
1,1,1,1,7,7,70,1,N,2
1,N,8,2,N,3,24,1,N,2
1,1,1,1,8,9,72,1,N,2
1,1,1,1,8,9,57,1,N,2
1,4,1,1,6,7,69,1,N,2
2,1,1,1,0,5,62,1,N,2
1,1,1,1,8,7,68,1,N,2
1,N,1,1,N,3,15,1,N,2
2,6,1,1,0,5,27,1,N,2
1,1,1,2,9,9,43,1,N,2
1,6,1,1,0,4,15,1,N,2
1,1,1,1,8,10,58,1,N,2
2,4,1,2,3,5,49,1,N,2
1,3,1,1,6,7,75,1,N,2
1,N,1,1,N,2,13,1,N,2
1,4,1,1,8,9,65,1,N,2
2,1,1,1,5,7,26,1,N,2
2,6,1,2,0,4,16,1,N,2
1,N,1,2,N,1,14,1,N,2
1,1,1,2,7,7,52,1,N,2
2,1,1,1,8,10,67,1,N,2
2,6,1,2,4,5,36,1,N,2
2,6,1,1,N,1,8,1,N,2
2,1,1,1,5,9,34,1,N,2
2,4,1,1,5,5,48,1,N,2
2,N,1,2,N,3,14,1,N,2
1,4,1,2,8,7,53,1,N,2
2,6,1,1,5,5,24,1,N,2
2,1,1,1,3,7,67,1,N,2
1,1,1,1,8,7,53,1,N,2
2,1,1,1,8,9,32,1,N,2
1,1,1,1,8,9,50,1,N,2
2,1,1,1,0,9,39,1,N,2
2,1,1,1,0,9,35,1,N,2
1,1,1,1,9,9,49,1,N,2
1,4,1,2,8,7,39,1,N,2
2,6,1,1,0,4,16,1,N,2
2,1,1,1,8,9,33,1,N,2
1,6,1,1,8,9,32,1,N,2
2,1,1,1,0,5,21,1,N,2
2,1,1,1,5,7,63,1,N,2
1,6,1,2,0,4,16,1,N,2
2,3,1,1,3,5,82,1,N,2
2,2,1,0,2,5,60,2,N,2
2,1,1,1,4,7,59,1,N,2
1,N,1,2,N,3,15,1,N,2
1,6,1,1,0,4,19,1,N,2
2,3,1,1,8,9,50,1,N,2
1,N,1,1,N,N,9,1,N,2
2,1,1,1,0,7,34,1,N,2
2,1,1,1,6,7,22,1,N,2
1,6,1,2,8,9,30,1,N,2
1,1,1,1,8,7,41,1,N,2
1,1,1,1,8,7,66,1,N,2
2,1,1,1,3,5,64,1,N,2
2,N,1,0,N,3,14,3,N,2
2,1,1,1,8,9,59,1,N,2
1,N,1,1,N,3,12,1,N,2
2,1,1,1,3,5,66,1,N,2
2,6,1,1,0,3,21,1,N,2
1,1,1,1,6,7,66,1,N,2
1,N,1,2,N,3,7,1,N,2
2,6,1,2,0,3,15,1,N,2
1,1,1,1,7,7,51,1,N,2
1,3,1,1,6,7,76,1,N,2
2,1,1,1,6,7,69,1,N,2
1,1,1,1,9,9,61,1,N,2
1,6,1,2,0,4,17,1,N,2
2,N,1,1,N,3,13,1,N,2
2,1,1,1,7,7,62,1,N,2
2,6,1,1,0,4,29,1,N,2
1,N,1,2,N,3,9,1,N,2
1,1,1,1,8,9,38,1,N,2
2,6,6,1,0,7,25,1,N,2
1,1,1,1,9,9,65,1,N,2
1,6,8,1,0,4,13,1,N,2
1,1,1,1,8,9,46,1,N,2
2,1,1,2,5,7,34,1,N,2
1,6,1,1,0,4,10,1,N,2
2,6,1,1,3,5,26,1,N,2
1,1,1,1,8,9,61,1,N,2
1,4,1,2,5,5,53,1,N,2
1,N,1,2,N,3,24,1,N,2
2,6,1,2,0,5,22,1,N,2
1,N,1,1,N,3,16,1,N,2
2,1,1,1,6,7,76,1,N,2
2,6,9,1,0,4,30,1,N,2
2,1,1,1,8,9,66,1,N,2
1,N,8,1,N,3,8,1,N,2
1,1,1,1,8,7,73,1,N,2
2,1,1,1,4,7,42,1,N,2
2,N,1,1,N,3,14,1,N,2
1,1,1,1,8,9,62,1,N,2
1,1,1,1,8,9,31,1,N,2
2,3,1,1,5,5,77,1,N,2
1,4,1,1,8,7,51,1,N,2
1,1,1,1,8,9,33,1,N,2
2,N,1,1,N,3,11,1,N,2
2,1,1,1,3,5,77,1,N,2
2,1,1,1,7,9,54,1,N,2
1,6,8,2,N,5,17,1,N,2
2,N,1,1,N,3,21,1,N,2
2,N,1,1,N,3,15,1,N,2
2,N,1,1,N,3,9,1,N,2
2,1,1,1,8,9,39,1,N,2
2,4,1,1,5,5,61,1,N,2
1,1,1,1,8,9,40,1,N,2
2,N,1,1,N,3,15,1,N,2
2,1,1,1,8,9,31,1,N,2
1,1,8,1,8,9,49,1,N,2
1,1,1,2,5,7,35,1,N,2
1,1,1,1,8,9,63,1,N,2
1,1,1,1,9,9,70,1,N,2
2,1,1,1,7,9,43,1,N,2
2,1,1,1,7,9,49,1,N,2
2,4,1,1,3,5,73,1,N,2
1,6,1,2,N,4,17,1,N,2
2,1,1,1,3,7,57,1,N,2
1,4,1,0,4,5,59,2,N,2
1,1,1,1,8,10,60,1,N,2
1,1,1,1,8,9,56,1,N,2
1,6,1,1,0,4,19,1,N,2
1,1,1,1,5,7,49,1,N,2
1,1,1,1,6,7,58,1,N,2
2,6,1,1,0,3,18,1,N,2
1,N,2,2,N,3,6,1,N,2
2,1,1,1,6,7,48,1,N,2
2,6,1,1,0,9,29,1,N,2
2,1,1,1,7,9,35,1,N,2
2,1,1,1,0,9,62,1,N,2
1,1,1,1,8,9,47,1,N,2
1,N,1,1,N,3,13,1,N,2
2,1,1,1,5,7,67,1,N,2
2,6,1,0,0,5,18,2,N,2
2,N,1,2,N,3,15,1,N,2
2,1,1,1,7,9,37,1,N,2
2,1,6,1,0,9,28,1,N,2
2,4,1,2,3,5,54,1,N,2
1,1,1,1,7,7,72,1,N,2
1,N,1,1,N,3,7,1,N,2
1,6,1,2,5,7,24,1,N,2
2,1,1,1,7,7,74,1,N,2
1,1,1,1,8,9,38,1,N,2
2,1,1,1,0,9,33,1,N,2
1,6,1,1,0,7,30,1,N,2
1,N,1,1,N,3,17,1,N,2
2,4,1,0,3,7,58,2,N,2
2,1,1,1,0,3,18,1,N,2
2,N,1,1,N,3,7,1,N,2
1,1,1,1,8,9,60,1,N,2
1,6,2,2,0,4,18,1,N,2
1,N,1,2,N,3,10,1,N,2
2,6,1,1,2,3,19,1,N,2
1,1,1,1,8,9,67,1,N,2
2,3,1,1,3,5,71,1,N,2
2,1,1,1,7,9,33,1,N,2
1,4,1,2,5,5,32,1,N,2
2,6,1,1,0,4,26,1,N,2
2,1,1,1,5,9,53,1,N,2
2,1,1,1,7,7,64,1,N,2
2,1,1,1,8,9,75,1,N,2
1,6,1,1,0,4,15,1,N,2
1,6,1,1,0,4,28,1,N,2
1,1,8,1,8,9,41,1,N,2
2,N,1,1,N,3,7,1,N,2
1,1,1,1,8,7,67,1,N,2
2,6,1,1,0,3,13,1,N,2
2,1,1,1,8,9,41,1,N,2
1,N,1,1,N,3,9,1,N,2
1,4,1,1,9,7,64,1,N,2
1,6,1,2,0,4,18,1,N,2
2,N,1,1,N,3,15,1,N,2
2,1,1,1,0,9,35,1,N,2
1,N,1,2,N,3,17,1,N,2
2,6,1,2,0,3,19,1,N,2
2,1,1,1,2,3,59,1,N,2
1,N,1,2,N,3,8,1,N,2
2,1,1,1,5,7,34,1,N,2
1,1,1,1,8,10,70,1,N,2
2,N,1,2,N,3,16,1,N,2
2,6,1,2,3,5,34,1,N,2
2,6,1,1,3,5,29,1,N,2
2,1,1,1,6,9,54,1,N,2
2,6,1,1,0,5,28,1,N,2
2,4,1,2,5,5,62,1,N,2
1,N,1,2,N,3,21,1,N,2
2,6,1,2,4,5,41,1,N,2
1,3,1,1,8,7,75,1,N,2
2,1,1,1,8,9,59,1,N,2
1,6,1,2,0,4,16,1,N,2
1,1,1,1,8,9,42,1,N,2
2,1,1,1,4,7,58,1,N,2
1,6,6,1,0,4,17,1,N,2
1,1,1,1,8,9,62,1,N,2
2,4,1,2,4,5,71,1,N,2
2,6,1,1,0,7,28,1,N,2
2,1,1,1,5,5,53,1,N,2
1,6,1,1,0,5,17,1,N,2
2,1,1,1,6,9,47,1,N,2
2,N,2,1,N,2,13,1,N,2
1,6,1,1,0,4,24,1,N,2
2,6,1,0,0,3,10,1,N,2
2,1,1,2,3,5,29,1,N,2
2,6,1,1,0,4,23,1,N,2
2,N,1,2,N,3,14,1,N,2
2,1,6,1,2,5,63,1,N,2
2,1,2,1,6,7,47,1,N,2
1,6,1,1,0,4,18,1,N,2
2,1,1,2,3,5,35,1,N,2
1,N,1,2,N,3,18,1,N,2
1,1,1,1,8,9,65,1,N,2
2,1,1,1,6,9,39,1,N,2
1,N,9,2,N,3,10,1,N,2
2,N,1,1,N,3,6,1,N,2
2,6,1,1,0,5,16,1,N,2
1,1,1,1,9,9,66,1,N,2
1,1,1,1,8,9,51,1,N,2
1,1,1,1,9,9,74,1,N,2
1,1,6,1,9,9,43,1,N,2
2,1,1,1,4,5,63,1,N,2
2,1,1,1,3,5,74,1,N,2
2,N,1,1,N,3,16,1,N,2
1,3,1,1,8,9,60,1,N,2
1,1,6,1,7,9,42,1,N,2
1,6,1,2,5,7,28,1,N,2
2,1,1,1,7,9,35,1,N,2
2,1,1,1,6,9,58,1,N,2
2,1,1,1,7,9,37,1,N,2
1,1,1,1,7,7,65,1,N,2
1,1,1,1,8,9,43,1,N,2
2,1,1,1,5,7,41,1,N,2
2,1,1,1,4,7,78,1,N,2
2,1,1,1,2,3,66,1,N,2
1,1,1,1,8,7,53,1,N,2
2,1,1,1,5,7,67,1,N,2
2,1,1,1,4,7,58,1,N,2
1,6,1,2,0,3,10,1,N,2
1,6,1,1,0,4,20,1,N,2
2,6,1,0,0,3,48,1,N,2
1,1,1,1,7,7,67,1,N,2
2,6,1,2,2,3,18,1,N,2
2,1,1,1,3,5,68,1,N,2
2,1,1,1,0,9,54,1,N,2
1,6,1,1,N,N,8,1,N,2
2,1,1,1,0,9,32,1,N,2
2,1,1,1,5,7,62,1,N,2
2,1,1,1,0,5,64,1,N,2
2,6,1,1,2,3,23,1,N,2
2,1,1,1,7,9,42,1,N,2
2,1,1,1,6,5,55,1,N,2
2,N,1,2,N,3,11,1,N,2
1,6,1,1,0,4,16,1,N,2
1,1,1,1,9,9,62,1,N,2
1,4,1,0,0,6,67,2,N,2
1,1,1,1,7,7,55,1,N,2
2,N,1,0,N,3,16,3,N,2
1,1,1,1,9,9,59,1,N,2
1,N,6,1,N,2,15,1,N,2
1,4,2,2,4,7,22,1,N,2
2,6,1,2,3,5,24,1,N,2
1,1,1,2,8,7,34,1,N,2
1,1,1,1,7,9,37,1,N,2
2,6,1,1,0,4,18,1,N,2
1,6,2,2,0,7,28,1,N,2
2,1,1,1,0,9,38,1,N,2
1,1,1,1,7,7,55,1,N,2
2,N,1,2,N,3,16,1,N,2
2,1,1,1,5,7,42,1,N,2
2,6,1,0,3,5,32,2,N,2
2,N,1,1,N,1,6,1,N,2
1,1,1,1,8,9,38,1,N,2
2,1,1,1,0,5,45,1,N,2
2,1,1,1,0,7,55,1,N,2
1,6,1,1,0,4,20,1,N,2
1,4,1,1,6,7,67,1,N,2
1,N,1,1,N,4,18,1,N,2
2,6,1,2,3,5,19,1,N,2
2,6,1,2,3,7,30,2,N,2
1,N,1,1,N,3,16,1,N,2
1,1,1,2,8,7,55,1,N,2
1,1,1,1,7,7,54,1,N,2
1,1,1,1,7,9,39,1,N,2
2,1,1,1,0,9,53,1,N,2
2,N,1,2,N,N,7,1,N,2
1,6,1,1,0,5,22,1,N,2
1,6,2,2,4,5,22,1,N,2
2,1,1,1,7,9,64,1,N,2
2,1,1,1,3,5,60,1,N,2
2,1,1,1,0,9,46,1,N,2
2,1,1,1,0,9,33,1,N,2
2,4,1,2,3,5,70,1,N,2
1,6,1,2,5,7,31,1,N,2
2,1,1,1,3,5,29,1,N,2
2,N,1,2,N,3,6,1,N,2
2,3,1,1,3,5,92,1,N,2
1,N,1,1,N,3,10,1,N,2
2,1,1,1,0,9,28,1,N,2
1,1,1,1,9,9,54,1,N,2
2,1,1,1,7,9,50,1,N,2
2,1,1,1,7,9,34,1,N,2
1,1,1,1,7,7,59,1,N,2
2,4,1,2,6,5,66,1,N,2
2,1,1,1,5,9,63,1,N,2
1,6,1,2,0,4,22,1,N,2
1,N,1,2,N,3,8,1,N,2
1,1,1,1,8,7,69,1,N,2
2,3,1,2,4,5,57,1,N,2
2,1,1,1,3,5,37,1,N,2
1,1,1,1,8,9,51,1,N,2
1,6,1,1,7,7,42,1,N,2
2,1,1,1,5,9,40,1,N,2
1,1,1,1,8,9,32,1,N,2
2,1,1,2,4,7,58,1,N,2
2,4,1,2,5,5,58,1,N,2
2,1,1,1,8,9,47,1,N,2
1,1,1,1,7,9,32,1,N,2
1,1,1,1,9,9,47,1,N,2
2,6,1,1,0,4,28,1,N,2
2,3,1,2,3,5,79,1,N,2
2,1,1,1,0,9,33,1,N,2
1,N,8,1,N,3,22,1,N,2
2,N,2,2,N,3,22,1,N,2
2,4,1,2,6,5,50,1,N,2
2,4,1,1,3,5,59,1,N,2
2,N,1,1,N,3,10,1,N,2
2,N,2,2,N,3,14,1,N,2
1,6,1,2,8,7,36,1,N,2
2,N,1,1,N,3,18,1,N,2
1,6,1,2,9,9,37,1,N,2
1,1,1,2,6,7,42,1,N,2
1,1,1,1,8,9,54,1,N,2
2,6,1,1,0,3,19,1,N,2
2,1,1,1,7,9,39,1,N,2
2,6,1,1,3,5,21,1,N,2
1,4,1,2,9,9,53,1,N,2
2,1,1,1,0,5,23,1,N,2
2,3,1,1,3,5,82,1,N,2
2,1,1,1,3,5,85,1,N,2
1,6,9,2,0,4,16,1,N,2
2,N,1,1,N,3,19,1,N,2
1,1,1,1,8,7,62,1,N,2
1,N,1,1,N,3,14,1,N,2
1,N,1,1,N,N,8,1,N,2
2,3,1,1,4,5,81,1,N,2
2,6,1,2,3,5,26,1,N,2
1,N,9,1,N,1,15,1,N,2
1,1,6,1,8,9,22,1,N,2
2,N,6,1,N,1,10,1,N,2
2,1,8,1,4,5,36,1,N,2
2,4,1,2,4,5,69,1,N,2
1,6,1,1,5,5,35,1,N,2
2,3,1,1,3,5,88,1,N,2
1,1,1,1,5,7,57,1,N,2
2,1,6,1,0,9,29,1,N,2
2,1,1,1,0,9,68,1,N,2
2,N,2,2,N,3,13,1,N,2
1,6,9,2,4,4,28,1,N,2
1,4,1,2,7,7,67,1,N,2
1,1,1,1,8,10,55,1,N,2
1,6,1,2,0,4,17,1,N,2
1,N,1,1,N,3,8,1,N,2
2,N,1,1,N,3,3,1,N,2
1,1,1,1,7,9,35,1,N,2
1,6,1,1,5,5,37,1,N,2
1,6,1,1,0,7,26,1,N,2
2,6,1,2,5,7,30,1,N,2
2,1,1,1,5,9,49,1,N,2
1,6,1,2,0,4,17,1,N,2
1,6,1,1,5,5,23,1,N,2
2,1,1,1,3,7,61,1,N,2
2,6,1,1,0,9,32,1,N,2
1,1,1,1,7,7,34,1,N,2
2,6,1,1,5,7,41,1,N,2
1,6,1,2,6,7,30,1,N,2
2,1,1,1,7,9,53,1,N,2
1,6,1,1,0,4,16,1,N,2
1,3,1,1,6,7,73,1,N,2
1,N,1,2,N,2,0,1,N,2
2,3,1,1,4,5,77,1,N,2
1,4,1,2,7,7,48,1,N,2
1,1,1,1,8,9,60,1,N,2
1,N,1,1,N,3,21,1,N,2
1,1,1,1,8,9,49,1,N,2
1,4,1,1,8,5,51,1,N,2
1,6,1,1,5,7,40,1,N,2
1,N,1,2,N,3,8,1,N,2
2,N,1,0,N,3,15,3,N,2
1,1,1,1,8,9,46,1,N,2
1,N,2,2,N,3,10,1,N,2
1,1,1,1,8,7,75,1,N,2
1,1,1,1,7,9,41,1,N,2
1,N,1,1,N,3,16,1,N,2
1,1,1,1,7,9,34,1,N,2
1,6,1,1,0,4,21,1,N,2
2,6,1,1,0,4,16,1,N,2
2,6,1,1,0,3,17,1,N,2
2,N,1,2,N,3,7,1,N,2
1,N,1,1,N,3,6,1,N,2
2,1,1,1,8,9,54,1,N,2
1,1,1,1,9,9,32,1,N,2
2,1,1,1,8,9,47,1,N,2
2,1,1,1,8,9,26,1,N,2
1,1,1,1,9,9,68,1,N,2
2,1,1,1,5,7,64,1,N,2
1,6,1,2,4,5,25,1,N,2
1,1,1,1,6,7,74,1,N,2
1,1,1,1,6,7,49,1,N,2
2,N,1,1,N,3,16,1,N,2
2,6,1,1,0,3,13,1,N,2
2,1,1,1,0,5,27,1,N,2
2,1,1,1,6,7,62,1,N,2
2,6,2,0,0,6,28,2,N,2
2,1,1,1,8,9,46,1,N,2
1,N,1,2,N,3,14,1,N,2
2,1,1,1,3,5,65,1,N,2
2,6,1,2,3,5,20,1,N,2
2,1,1,1,0,5,51,1,N,2
1,N,1,1,N,3,8,1,N,2
2,1,1,1,8,9,33,1,N,2
2,1,1,1,8,9,26,1,N,2
2,6,1,1,N,1,8,1,N,2
1,N,1,1,N,3,15,1,N,2
1,4,1,1,6,7,65,1,N,2
2,1,1,1,3,7,38,1,N,2
1,6,1,1,5,5,36,1,N,2
1,1,1,1,9,10,70,1,N,2
2,1,1,1,4,7,45,1,N,2
2,6,1,1,3,3,14,1,N,2
2,1,1,1,5,7,62,1,N,2
1,6,1,2,4,5,29,1,N,2
2,1,1,1,5,7,57,1,N,2
1,4,1,1,8,7,65,1,N,2
1,6,1,2,0,4,17,1,N,2
2,1,1,1,0,9,32,1,N,2
2,6,1,1,0,3,15,1,N,2
2,3,1,1,7,7,67,1,N,2
2,3,1,1,4,5,66,1,N,2
1,N,6,1,N,3,13,1,N,2
2,N,1,2,N,2,12,1,N,2
1,1,1,1,6,7,70,1,N,2
2,6,1,2,3,5,27,1,N,2
2,4,1,2,3,5,61,1,N,2
1,N,1,1,N,N,9,1,N,2
2,4,1,1,3,5,67,1,N,2
1,N,1,1,N,3,17,1,N,2
2,1,1,1,6,7,72,1,N,2
