,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,index_col
138,2,N,1,1,N,2,59,1,N,2,138
139,1,3,4,1,N,9,2,1,N,2,139
140,2,5,1,1,6,6,34,3,N,2,140
141,2,N,1,1,0,1,34,3,N,2,141
142,2,3,1,1,N,8,16,3,N,2,142
143,1,N,1,1,4,N,37,1,N,2,143
144,1,2,2,1,1,5,79,2,N,2,144
145,1,2,1,1,2,6,50,1,N,2,145
146,2,2,1,1,4,4,6,3,N,2,146
147,1,6,2,1,4,1,7,3,N,2,147
148,1,2,1,1,5,5,73,2,N,2,148
149,1,N,1,1,N,6,76,3,N,2,149
150,2,1,1,2,5,1,5,3,N,2,150
151,1,5,1,1,N,4,8,1,N,2,151
152,2,3,1,1,4,9,40,2,N,2,152
153,2,6,1,1,5,9,56,3,N,2,153
154,2,6,1,1,7,4,5,3,N,2,154
155,1,6,1,1,3,9,86,3,N,2,155
156,1,N,1,1,N,12,41,3,N,2,156
157,1,5,1,1,3,2,15,2,N,2,157
158,2,3,1,1,N,8,19,1,N,2,158
159,1,5,1,2,6,2,57,1,5,2,159
160,1,N,1,1,N,7,16,2,N,2,160
161,2,4,1,1,7,8,22,3,N,2,161
162,2,3,1,1,7,1,71,3,N,2,162
163,1,6,1,1,3,4,21,3,N,2,163
164,2,1,1,1,6,4,64,3,N,2,164
165,2,3,1,1,4,1,25,3,5,2,165
166,1,3,1,1,5,12,7,3,N,2,166
167,2,6,1,1,1,5,89,3,N,2,167
168,2,5,1,1,6,8,38,2,N,2,168
169,1,3,1,1,7,7,31,3,N,2,169
170,2,1,1,1,6,12,39,1,N,2,170
171,1,5,1,1,8,2,30,1,N,2,171
172,2,4,1,1,8,6,68,1,5,2,172
173,2,6,1,1,9,6,26,3,N,2,173
174,2,5,1,1,6,11,4,1,N,2,174
175,1,5,1,1,4,7,63,3,2,2,175
176,1,3,2,1,4,10,28,2,N,2,176
177,2,6,1,1,7,9,40,3,N,2,177
178,1,5,1,1,N,3,19,2,N,2,178
179,2,1,1,1,5,11,82,3,N,2,179
180,2,5,1,1,5,7,93,2,N,2,180
181,2,4,1,1,6,8,66,3,N,2,181
182,2,2,1,1,4,9,57,3,N,2,182
183,2,5,1,1,8,12,45,1,N,2,183
184,1,2,1,1,6,7,63,1,5,2,184
185,1,3,1,1,4,10,69,3,5,2,185
186,1,2,1,1,4,9,52,3,N,2,186
187,2,1,1,1,N,11,13,3,5,2,187
188,1,3,4,1,6,3,35,3,5,2,188
189,1,4,1,1,2,1,20,3,N,2,189
190,2,5,1,1,N,3,64,3,N,2,190
191,1,3,1,1,6,1,49,3,N,2,191
192,1,N,1,1,3,6,56,2,N,2,192
193,2,2,1,1,0,5,51,3,N,2,193
194,2,N,1,1,8,3,39,3,5,2,194
195,1,3,1,2,9,4,46,3,N,2,195
196,2,1,1,1,N,9,44,3,N,2,196
197,1,3,1,1,9,7,69,3,N,2,197
198,1,2,1,1,7,9,14,3,N,2,198
199,1,5,1,1,7,9,78,1,N,2,199
200,1,3,1,1,N,4,12,3,N,2,200
201,2,6,1,1,1,7,83,3,N,2,201
202,2,6,1,1,1,5,76,1,N,2,202
203,1,1,1,1,N,10,15,3,N,2,203
204,2,N,1,1,6,11,11,3,N,2,204
205,1,4,1,1,2,10,72,3,N,2,205
206,2,6,1,1,3,7,20,3,N,2,206
207,2,2,1,1,7,5,82,3,N,2,207
208,2,1,1,1,8,7,11,3,N,2,208
209,2,2,1,1,7,8,2,3,N,2,209
210,1,N,5,1,5,N,7,3,N,2,210
211,2,6,1,1,1,5,87,3,N,2,211
212,2,2,1,1,9,5,91,3,N,2,212
213,1,4,1,1,5,5,35,3,N,2,213
214,1,N,1,1,8,10,75,2,N,2,214
215,1,6,1,1,2,5,62,3,N,2,215
216,2,6,1,1,7,6,16,3,N,2,216
217,1,3,1,1,2,1,75,2,N,2,217
218,1,5,1,1,N,7,70,1,N,2,218
219,1,3,1,1,2,1,37,3,N,2,219
220,1,4,1,1,6,7,3,3,N,2,220
221,1,1,1,1,2,8,62,3,5,2,221
222,1,4,1,1,0,5,72,3,N,2,222
223,2,6,1,1,1,5,66,3,N,2,223
224,2,3,1,1,2,10,11,3,N,2,224
225,2,5,1,1,8,7,65,3,N,2,225
226,2,1,1,1,1,4,41,3,N,2,226
227,1,6,1,1,1,5,70,1,N,2,227
228,1,N,1,1,N,N,7,1,N,2,228
229,1,2,1,1,1,1,46,3,N,2,229
230,2,5,1,1,5,9,17,1,N,2,230
231,2,N,1,1,0,3,78,3,N,2,231
232,1,2,1,1,7,6,23,3,N,2,232
233,1,3,1,1,3,3,44,3,2,2,233
234,2,6,1,1,1,7,56,3,N,2,234
235,2,2,1,1,0,8,78,3,N,2,235
236,2,5,1,1,5,7,71,3,5,2,236
237,2,N,1,1,8,4,52,3,N,2,237
238,1,1,1,1,4,6,52,3,N,2,238
239,2,1,2,1,6,9,73,1,N,2,239
240,2,3,1,1,8,4,7,3,N,2,240
241,1,6,1,1,1,8,54,3,N,2,241
242,2,2,1,1,3,7,80,3,5,2,242
243,1,2,1,1,3,7,50,3,N,2,243
244,1,N,1,2,N,4,37,1,5,2,244
245,1,4,1,1,9,6,38,3,N,2,245
246,2,3,1,1,6,10,67,1,N,2,246
247,1,4,1,1,6,8,45,3,N,2,247
248,2,N,1,1,8,1,37,3,N,2,248
249,1,1,1,1,7,2,38,1,N,2,249
250,2,3,1,1,N,7,60,3,N,2,250
251,2,1,1,1,4,6,43,1,N,2,251
252,2,3,1,1,4,9,44,3,N,2,252
253,1,2,1,1,5,5,56,3,N,2,253
254,2,3,1,1,7,10,57,2,N,2,254
255,1,4,1,1,8,7,54,3,N,2,255
256,1,3,1,1,9,9,59,3,N,2,256
257,2,3,1,1,5,11,45,1,N,2,257
258,1,4,1,1,4,3,25,1,N,2,258
259,1,4,1,1,0,12,73,3,N,2,259
260,2,N,1,1,8,1,4,3,N,2,260
261,2,4,1,1,9,4,63,3,N,2,261
262,2,2,1,1,7,8,62,2,N,2,262
263,1,2,1,1,N,6,4,3,N,2,263
264,2,3,1,1,N,4,3,3,N,2,264
265,1,1,1,1,3,10,43,2,N,2,265
266,1,5,1,1,9,6,32,1,N,2,266
267,2,1,1,1,9,1,33,3,N,2,267
268,1,3,1,1,6,6,51,2,N,2,268
269,2,N,1,1,7,1,38,1,N,2,269
270,2,1,1,1,9,7,63,3,N,2,270
271,2,3,1,1,8,7,57,3,N,2,271
272,2,2,3,1,0,1,49,3,N,2,272
273,1,3,1,2,5,10,1,3,N,2,273
274,1,N,1,1,6,8,34,3,N,2,274
275,1,6,4,1,1,8,69,3,N,2,275
276,2,1,1,1,8,1,33,2,N,2,276
277,2,3,2,1,9,9,22,3,N,2,277
278,2,1,2,1,7,10,30,3,N,2,278
279,1,6,2,1,1,9,65,3,N,2,279
280,1,5,1,1,0,3,42,3,N,2,280
281,1,3,1,1,7,5,14,1,N,2,281
282,2,2,1,1,1,5,85,2,5,2,282
283,1,4,1,1,4,5,63,1,5,2,283
284,1,2,1,1,9,4,24,3,5,2,284
285,2,5,1,1,4,12,38,2,N,2,285
286,2,3,1,2,9,8,18,3,N,2,286
287,2,6,1,1,1,5,47,3,5,2,287
288,2,5,1,1,N,10,42,3,N,2,288
289,1,1,1,1,6,9,74,1,N,2,289
290,2,6,1,1,1,9,25,3,N,2,290
291,1,6,1,1,2,5,44,3,N,2,291
292,2,1,1,1,6,3,27,3,N,2,292
293,2,6,2,1,1,5,68,3,N,2,293
294,1,3,1,1,8,8,87,1,N,2,294
295,1,4,1,1,7,4,30,3,N,2,295
296,1,4,1,1,6,3,9,3,N,2,296
297,2,6,1,1,0,5,77,3,N,2,297
298,1,6,1,1,9,7,27,3,N,2,298
299,2,N,1,1,N,8,20,1,N,2,299
300,1,6,1,1,5,7,25,3,N,2,300
301,2,4,1,1,1,7,89,3,N,2,301
302,2,3,1,1,2,5,86,3,N,2,302
303,2,2,1,1,0,5,90,3,N,2,303
304,1,1,1,1,5,6,74,3,N,2,304
305,2,3,1,1,8,7,43,3,N,2,305
306,1,2,1,1,2,5,46,2,N,2,306
307,2,5,1,1,N,8,28,2,N,2,307
308,2,2,1,1,1,5,76,3,N,2,308
309,2,3,1,1,N,9,16,3,N,2,309
310,2,1,1,1,2,7,63,1,N,2,310
311,2,5,1,1,6,2,10,2,N,2,311
312,2,3,1,2,6,4,57,1,5,2,312
313,2,5,1,1,3,7,38,3,N,2,313
314,1,4,1,1,8,8,23,3,N,2,314
315,1,2,1,1,7,5,75,3,N,2,315
316,2,6,1,1,0,8,48,2,N,2,316
317,2,4,1,1,N,2,2,3,N,2,317
318,2,2,1,1,2,9,22,3,N,2,318
319,1,4,1,1,3,3,16,3,N,2,319
320,2,4,1,1,0,5,33,3,N,2,320
321,1,6,1,2,6,5,16,2,N,2,321
322,1,1,1,1,N,7,54,3,5,2,322
323,2,1,1,1,5,6,65,1,N,2,323
324,2,5,1,1,6,7,44,3,5,2,324
325,2,N,1,1,N,11,43,1,N,2,325
326,1,3,2,1,5,8,41,3,N,2,326
327,1,4,1,1,0,6,59,3,N,2,327
328,1,6,1,1,3,5,76,3,N,2,328
329,2,N,1,1,5,12,13,3,N,2,329
330,2,5,1,1,3,9,67,2,N,2,330
331,2,4,1,1,7,5,78,2,N,2,331
332,2,6,1,1,7,9,66,3,N,2,332
333,1,6,1,1,7,5,55,1,N,2,333
334,2,6,1,1,0,5,81,3,N,2,334
335,2,4,1,1,9,9,80,3,N,2,335
336,2,2,1,1,4,8,66,2,N,2,336
337,2,2,1,1,5,8,76,2,N,2,337
338,1,1,1,1,3,5,83,3,N,2,338
339,1,6,1,1,3,9,72,3,N,2,339
340,2,6,1,1,1,7,68,3,N,2,340
341,1,1,1,1,4,9,55,3,N,2,341
342,1,N,1,1,N,1,13,2,5,2,342
343,1,2,1,1,2,5,19,1,N,2,343
344,2,6,1,1,7,5,75,3,N,2,344
345,1,5,1,1,N,6,38,1,N,2,345
346,2,1,1,1,2,7,42,3,N,2,346
347,2,6,2,1,7,4,34,3,N,2,347
348,2,2,1,1,9,7,51,1,N,2,348
349,1,2,1,1,4,5,59,3,N,2,349
350,1,5,1,1,6,1,18,3,N,2,350
351,2,6,1,1,1,5,81,3,N,2,351
352,2,1,1,1,8,7,50,3,N,2,352
353,2,6,1,1,0,6,91,1,N,2,353
354,2,5,1,1,6,7,80,3,5,2,354
355,1,1,1,1,6,8,31,3,N,2,355
356,2,1,2,1,6,1,19,3,N,2,356
357,2,1,1,1,3,10,66,2,5,2,357
358,2,6,1,1,3,6,16,3,N,2,358
359,1,3,1,1,5,6,26,3,N,2,359
360,2,2,1,2,9,5,59,3,N,2,360
361,2,4,1,1,9,9,30,2,N,2,361
362,2,6,2,1,9,5,74,3,N,2,362
363,1,5,1,1,5,8,35,1,N,2,363
364,1,N,2,1,N,6,8,3,N,2,364
365,2,1,1,1,N,6,26,3,N,2,365
366,2,5,1,1,N,4,32,3,N,2,366
367,1,5,1,1,N,4,34,3,N,2,367
368,2,1,1,2,6,11,40,1,N,2,368
369,2,2,1,1,3,7,31,3,N,2,369
370,1,1,1,1,N,N,19,3,N,2,370
371,1,5,1,1,6,12,38,1,N,2,371
372,2,2,1,1,0,8,51,3,N,2,372
373,2,5,1,1,8,1,37,3,N,2,373
374,1,1,1,1,N,10,31,3,5,2,374
375,1,4,1,1,0,5,82,3,N,2,375
376,1,2,1,1,8,6,11,3,N,2,376
377,1,4,1,1,0,8,54,3,N,2,377
378,2,5,2,1,N,4,4,3,N,2,378
379,1,3,2,1,7,6,43,1,N,2,379
380,1,5,1,1,N,10,39,3,N,2,380
381,2,2,1,1,7,6,28,2,N,2,381
382,1,4,2,1,8,4,20,2,N,2,382
383,1,N,1,1,8,5,49,2,N,2,383
384,1,4,1,1,N,3,4,3,N,2,384
385,1,6,1,2,5,8,25,3,N,2,385
386,1,6,1,1,0,5,47,3,N,2,386
387,1,N,2,1,5,10,65,2,5,2,387
388,2,5,1,1,8,4,29,1,N,2,388
389,1,1,1,1,9,9,22,2,N,2,389
390,2,3,1,1,0,1,42,3,N,2,390
391,1,3,1,1,9,10,58,3,N,2,391
392,2,1,1,1,3,1,26,3,5,2,392
393,1,6,1,1,5,1,61,3,5,2,393
394,2,4,1,1,9,5,69,3,N,2,394
395,2,2,1,1,7,1,11,3,N,2,395
396,1,6,1,1,9,8,32,3,N,2,396
397,2,N,1,1,8,10,73,1,N,2,397
398,1,6,1,1,8,5,94,1,N,2,398
399,2,6,1,1,9,5,75,3,N,2,399
400,2,4,1,1,8,7,70,3,N,2,400
401,2,3,1,1,5,7,73,3,N,2,401
402,2,2,1,1,9,6,17,2,N,2,402
403,1,5,1,1,8,6,35,1,N,2,403
404,2,6,1,1,1,5,93,3,5,2,404
405,1,1,1,1,4,8,69,1,N,2,405
406,2,3,1,1,7,5,75,2,N,2,406
407,2,5,1,1,8,6,13,3,N,2,407
408,1,1,1,1,8,9,80,3,N,2,408
409,2,N,1,1,N,12,28,2,N,2,409
410,1,6,1,1,0,5,55,3,N,2,410
411,2,2,1,1,4,5,72,2,N,2,411
412,2,3,1,1,9,5,88,3,N,2,412
413,2,4,1,1,4,1,60,2,N,2,413
414,2,1,1,1,6,11,45,3,N,2,414
415,1,4,1,1,7,5,86,3,N,2,415
416,1,2,1,1,5,5,67,3,N,2,416
417,1,6,1,1,0,10,69,3,5,2,417
418,2,3,1,1,0,5,43,3,N,2,418
419,2,3,1,1,8,6,17,3,N,2,419
420,2,6,1,1,2,9,66,3,N,2,420
421,1,5,1,1,1,12,48,3,5,2,421
422,2,5,1,1,8,10,39,3,N,2,422
423,2,1,1,1,7,1,45,3,5,2,423
424,2,3,1,1,7,11,71,3,5,2,424
425,2,3,1,1,0,10,76,3,N,2,425
426,2,2,1,1,0,3,65,3,N,2,426
427,2,4,2,1,9,7,13,3,N,2,427
428,2,2,1,1,3,5,67,3,N,2,428
429,2,6,1,1,0,7,76,3,N,2,429
430,2,5,1,1,N,8,30,3,N,2,430
431,1,2,1,1,1,8,75,3,N,2,431
432,2,4,1,1,0,5,64,3,N,2,432
433,2,3,1,1,7,1,65,1,2,2,433
434,2,4,1,1,8,5,42,3,N,2,434
435,1,2,1,1,9,5,24,3,N,2,435
436,1,3,1,1,6,3,55,2,N,2,436
437,2,2,2,1,1,9,59,3,N,2,437
438,1,4,2,1,1,9,48,3,N,2,438
439,1,3,1,1,N,1,30,1,N,2,439
440,2,1,1,1,9,10,38,3,5,2,440
441,2,2,1,1,9,7,62,3,N,2,441
442,1,3,1,1,3,10,22,3,N,2,442
443,2,4,1,1,0,5,84,3,N,2,443
444,1,6,1,1,3,9,93,3,N,2,444
445,2,4,4,1,1,8,69,3,N,2,445
446,1,4,1,1,5,8,32,3,N,2,446
447,1,5,1,1,8,9,86,3,N,2,447
448,2,6,1,1,7,8,37,3,N,2,448
449,2,3,1,1,9,4,36,3,N,2,449
450,1,6,1,1,1,5,57,3,N,2,450
451,1,4,1,1,1,8,87,2,5,2,451
452,2,2,1,1,2,5,25,3,N,2,452
453,2,6,1,1,1,7,32,3,N,2,453
454,2,N,1,1,8,8,49,3,N,2,454
455,1,5,1,1,2,8,66,3,N,2,455
456,1,N,1,1,6,4,40,2,N,2,456
457,2,2,1,1,0,5,48,3,N,2,457
458,1,4,1,1,6,3,10,3,N,2,458
459,2,2,1,1,3,8,61,3,5,2,459
460,2,3,1,1,6,7,21,3,2,2,460
461,1,3,1,1,N,8,36,1,N,2,461
462,1,6,1,1,1,8,43,3,N,2,462
463,2,3,1,1,3,8,69,3,N,2,463
464,2,N,1,1,8,9,16,1,N,2,464
465,1,5,1,1,8,7,53,3,N,2,465
466,1,2,1,1,7,5,69,3,N,2,466
467,1,4,1,1,6,5,20,3,N,2,467
468,2,2,1,1,2,5,62,3,N,2,468
469,2,6,1,1,1,8,57,3,N,2,469
470,2,N,1,1,7,2,31,3,N,2,470
471,2,3,1,1,7,10,73,3,N,2,471
472,1,4,2,1,9,10,11,3,N,2,472
473,2,3,1,1,8,5,51,3,N,2,473
474,1,5,1,1,N,9,31,3,N,2,474
475,2,5,1,1,7,8,43,3,5,2,475
476,1,6,1,1,5,7,63,1,N,2,476
477,2,N,1,1,6,10,25,1,N,2,477
478,2,4,1,1,5,1,30,3,N,2,478
479,1,3,1,1,5,7,85,3,5,2,479
480,1,N,1,1,N,11,41,1,5,2,480
481,1,4,1,1,9,10,21,3,N,2,481
482,1,6,1,1,0,8,68,2,N,2,482
483,2,4,1,1,4,11,49,2,N,2,483
484,2,5,1,1,N,2,15,2,N,2,484
485,2,6,1,1,9,6,56,3,N,2,485
486,2,4,1,1,7,5,94,2,N,2,486
487,1,5,1,1,4,5,24,3,N,2,487
488,1,4,1,1,0,7,26,3,N,2,488
489,2,4,1,1,3,2,16,3,N,2,489
490,1,3,1,1,5,8,53,1,N,2,490
491,2,3,1,1,5,11,14,3,N,2,491
492,1,3,1,1,4,7,25,2,N,2,492
493,1,5,1,1,N,1,22,3,5,2,493
494,1,1,1,1,0,10,74,1,N,2,494
495,2,N,1,1,N,12,49,3,5,2,495
496,1,6,1,1,1,5,93,3,N,2,496
497,1,6,1,1,1,5,84,3,N,2,497
498,1,5,1,1,6,3,9,3,N,2,498
499,2,5,1,1,5,7,65,3,N,2,499
500,1,1,1,1,6,1,45,3,N,2,500
501,2,5,1,1,5,12,20,3,N,2,501
502,2,6,1,1,2,10,48,3,N,2,502
503,1,4,3,1,6,5,12,3,N,2,503
504,2,1,1,1,8,10,3,1,N,2,504
505,1,3,2,1,5,12,3,1,N,2,505
506,2,3,1,1,4,5,58,3,N,2,506
507,2,5,2,1,5,4,51,3,N,2,507
508,1,6,1,1,7,9,65,3,N,2,508
509,2,3,1,1,4,5,68,3,N,2,509
510,2,2,1,1,1,5,84,3,N,2,510
511,2,3,1,1,8,7,41,3,N,2,511
512,1,2,1,2,N,5,85,2,N,2,512
513,1,N,1,1,N,6,35,2,N,2,513
514,1,2,1,1,7,5,90,2,N,2,514
515,2,5,1,1,8,N,8,1,N,2,515
516,1,6,1,1,6,10,25,3,N,2,516
517,1,5,1,2,8,2,50,3,N,2,517
518,1,5,1,1,8,1,54,1,N,2,518
519,2,N,1,1,N,11,8,1,N,2,519
520,1,6,2,1,3,5,45,3,N,2,520
521,2,1,1,1,8,1,15,3,N,2,521
522,1,N,1,1,5,7,28,3,N,2,522
523,2,6,2,1,1,7,62,3,N,2,523
524,1,N,1,1,6,N,2,1,N,2,524
525,2,5,1,1,3,5,21,3,N,2,525
526,1,2,1,1,3,1,35,3,N,2,526
527,1,N,1,1,6,6,29,2,N,2,527
528,2,2,1,1,1,6,81,3,N,2,528
529,2,4,1,1,7,12,36,2,N,2,529
530,1,1,1,1,8,9,60,2,N,2,530
531,2,5,1,1,N,6,45,2,N,2,531
532,2,3,1,1,5,11,81,3,N,2,532
533,1,1,1,2,8,4,26,1,N,2,533
534,1,4,1,1,3,10,2,3,N,2,534
535,2,1,1,1,6,5,80,3,N,2,535
536,1,5,1,1,2,11,57,3,N,2,536
537,2,6,1,1,7,9,53,3,N,2,537
538,1,2,1,1,0,8,25,3,N,2,538
539,1,2,1,1,8,9,78,1,N,2,539
540,1,4,1,1,9,3,3,3,N,2,540
541,1,6,1,1,0,7,62,3,N,2,541
542,1,2,1,1,6,11,30,1,N,2,542
543,1,5,1,1,6,8,53,3,N,2,543
544,2,N,1,1,6,12,3,2,5,2,544
545,1,4,1,1,6,5,12,1,N,2,545
546,2,2,1,1,3,7,46,3,N,2,546
547,1,6,1,1,9,7,17,3,N,2,547
548,2,N,1,1,7,6,43,3,5,2,548
549,2,3,1,1,N,12,51,1,5,2,549
550,2,1,1,1,2,6,48,3,N,2,550
551,1,2,2,1,1,9,78,3,N,2,551
552,1,N,2,1,N,2,31,1,N,2,552
553,2,2,1,1,3,4,49,3,N,2,553
554,1,3,1,1,3,9,55,3,N,2,554
555,1,4,1,1,2,6,58,3,N,2,555
556,2,2,1,1,9,6,53,1,N,2,556
557,1,6,1,1,9,3,17,2,N,2,557
558,1,6,1,1,1,5,49,3,N,2,558
559,1,2,1,1,4,6,36,3,N,2,559
560,1,N,2,1,6,4,3,3,5,2,560
561,1,1,1,1,7,12,19,3,N,2,561
562,1,N,1,1,N,9,36,3,5,2,562
563,2,6,1,1,8,3,36,3,N,2,563
564,1,2,1,1,5,5,56,3,N,2,564
565,2,6,1,1,1,7,59,3,N,2,565
566,1,N,1,1,6,2,1,1,5,2,566
567,2,6,1,1,4,7,79,3,N,2,567
568,1,6,1,1,0,1,8,3,N,2,568
569,1,3,1,2,5,7,72,3,N,2,569
570,1,6,2,1,0,7,66,3,N,2,570
571,1,2,1,1,8,8,32,3,N,2,571
572,1,5,1,1,N,1,30,3,N,2,572
573,2,5,1,1,5,11,12,1,N,2,573
574,1,2,1,1,2,5,73,3,5,2,574
575,2,2,1,1,4,8,52,3,N,2,575
576,1,4,1,1,5,8,91,3,N,2,576
