SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE
2,1,1,1,0,9,49,1,N,2
1,6,1,1,1,4,25,1,N,2
2,1,1,1,7,9,44,1,N,2
2,1,1,1,8,9,50,1,N,2
2,1,1,1,8,9,45,1,N,2
2,6,2,2,7,7,56,1,N,2
1,N,1,1,N,N,1,1,N,2
2,6,2,1,0,4,40,1,N,2
1,6,2,1,0,5,33,1,N,2
2,1,1,1,8,10,62,1,N,2
1,6,2,2,0,4,26,1,N,2
2,6,1,2,1,7,39,1,N,2
2,1,1,1,0,9,53,1,N,2
2,N,2,2,N,2,69,1,N,2
1,N,1,0,0,1,9,2,N,2
1,N,1,1,N,1,1,1,N,2
2,6,8,2,0,3,31,1,N,2
2,6,2,1,3,7,48,1,N,2
1,1,2,2,8,9,56,1,N,2
2,1,1,1,0,5,49,1,N,2
1,4,2,1,4,7,71,1,N,2
1,N,1,2,0,2,6,1,N,2
1,6,1,1,0,3,13,1,N,2
1,6,1,2,7,9,33,1,N,2
2,6,1,2,2,5,65,1,N,2
2,6,2,2,2,7,32,1,N,2
2,6,1,2,7,9,20,1,N,2
1,1,1,1,8,10,57,1,N,2
2,6,2,1,2,5,63,1,N,2
1,1,2,1,4,7,58,1,N,2
2,N,2,2,N,1,2,1,N,2
2,6,2,2,0,7,18,1,N,2
1,N,1,1,0,2,7,1,N,2
2,1,6,1,8,10,31,1,N,2
1,6,2,1,0,4,14,1,N,2
1,1,1,1,8,7,42,1,N,2
2,1,1,1,8,9,52,1,N,2
2,6,1,2,1,7,31,1,N,2
1,1,2,1,4,5,62,1,N,2
1,1,2,1,4,5,67,1,N,2
1,6,1,0,1,7,29,3,N,2
1,1,2,2,7,7,69,1,N,2
2,1,1,1,3,5,55,1,N,2
1,N,1,1,0,3,15,1,N,2
2,N,8,2,N,1,4,1,N,2
1,6,1,0,5,7,24,3,N,2
2,1,1,1,4,7,60,1,N,2
2,1,1,1,8,9,55,1,N,2
1,6,2,1,6,7,43,1,N,2
2,1,1,2,6,9,20,1,N,2
1,1,1,1,8,10,40,1,N,2
1,N,1,1,0,3,10,1,N,2
1,6,1,0,7,7,36,1,N,2
1,6,1,1,7,9,36,1,N,2
2,1,1,1,1,10,50,1,N,2
1,N,1,1,N,2,2,1,N,2
1,6,1,1,1,7,29,1,N,2
1,6,2,1,0,4,21,1,N,2
2,4,2,2,5,7,63,1,N,2
1,1,1,1,7,7,55,1,N,2
1,N,2,2,0,N,0,1,N,2
2,N,8,2,0,3,17,1,N,2
1,N,1,1,0,3,5,1,N,2
1,6,1,2,7,9,32,1,N,2
1,6,1,1,6,9,31,1,N,2
1,6,2,1,0,5,27,1,N,2
1,1,6,2,8,10,26,1,N,2
2,N,1,1,N,2,74,1,N,2
1,6,1,2,5,7,59,1,N,2
1,1,1,1,2,4,70,1,N,2
1,6,1,2,8,9,41,1,N,2
2,3,2,1,2,3,75,1,N,2
2,1,1,1,7,9,60,1,N,2
1,6,1,1,8,9,26,1,N,2
2,6,1,2,2,9,57,1,N,2
1,1,2,1,8,7,65,1,N,2
2,1,1,1,6,9,71,1,N,2
1,6,1,2,5,9,24,1,N,2
2,1,1,1,6,11,79,1,N,2
2,1,2,2,4,5,64,1,N,2
1,6,1,2,0,3,12,1,N,2
1,1,1,1,8,10,65,1,N,2
2,4,2,2,7,7,43,1,N,2
2,1,2,1,4,5,70,1,N,2
1,N,2,1,N,N,2,1,N,2
1,6,1,2,5,7,22,1,N,2
2,1,1,1,3,5,79,1,N,2
1,1,1,2,8,10,34,1,N,2
1,1,1,1,6,9,35,1,N,2
2,6,6,1,0,4,16,1,N,2
1,N,1,2,N,N,2,1,N,2
1,6,1,2,8,9,38,1,N,2
1,N,2,2,0,3,13,1,N,2
2,4,2,1,3,5,66,1,N,2
2,1,6,1,7,10,30,1,N,2
2,N,8,2,0,3,14,1,N,2
1,1,2,1,4,5,84,1,N,2
2,6,2,1,4,7,41,1,N,2
2,N,8,2,N,1,1,1,N,2
2,6,2,2,5,7,52,1,N,2
1,N,2,1,0,N,4,1,N,2
1,1,1,1,8,10,51,1,N,2
1,1,1,1,8,9,27,1,N,2
1,6,1,2,6,9,49,1,N,2
1,1,1,1,4,7,66,1,N,2
2,6,1,1,5,9,25,1,N,2
1,6,1,2,8,9,31,1,N,2
1,6,1,2,7,9,33,1,N,2
2,6,2,2,2,7,44,1,N,2
2,1,1,1,6,9,32,1,N,2
2,1,1,1,4,7,78,1,N,2
1,1,1,1,8,10,35,1,N,2
1,N,1,2,0,2,8,1,N,2
2,3,1,1,2,5,68,1,N,2
1,6,1,1,8,9,41,1,N,2
1,6,1,2,6,9,50,1,N,2
2,1,2,1,3,5,62,1,N,2
2,N,6,2,0,3,8,1,N,2
1,N,2,2,0,3,9,1,N,2
2,N,6,2,0,3,12,1,N,2
1,N,1,1,0,3,5,1,N,2
2,6,2,2,1,7,30,1,N,2
1,6,6,1,1,4,21,1,N,2
1,1,1,2,8,10,44,1,N,2
1,N,1,0,0,3,17,2,N,2
2,6,2,1,3,5,55,1,N,2
2,6,2,2,3,5,53,1,N,2
2,3,2,1,3,4,70,1,N,2
2,6,1,1,N,1,54,1,N,2
1,1,8,1,0,1,62,1,N,2
2,N,2,2,0,3,11,1,N,2
2,3,2,0,3,4,83,2,N,2
2,1,1,1,0,4,47,1,N,2
2,1,1,1,0,9,48,1,N,2
2,6,2,2,7,7,59,1,N,2
2,6,1,1,0,4,53,1,N,2
2,6,1,2,2,9,62,1,N,2
2,N,1,1,N,1,2,1,N,2
1,1,1,2,8,9,61,1,N,2
2,1,2,2,7,9,68,1,N,2
1,1,2,1,6,7,35,1,N,2
2,1,1,1,2,5,80,1,N,2
1,1,6,1,7,10,31,1,N,2
2,4,2,1,4,7,55,1,N,2
2,1,1,1,0,5,45,1,N,2
1,1,1,1,8,9,32,1,N,2
2,4,1,2,2,5,62,1,N,2
2,6,1,2,0,4,24,1,N,2
2,1,1,1,0,9,58,1,N,2
1,6,1,2,8,9,43,1,N,2
2,1,1,1,0,1,44,1,N,2
2,3,1,1,3,2,72,1,N,2
1,1,6,2,8,11,66,1,N,2
1,6,2,2,6,7,26,1,N,2
1,N,1,1,0,3,12,1,N,2
2,4,1,2,5,7,70,1,N,2
2,6,2,2,1,7,33,1,N,2
1,6,1,2,8,10,52,1,N,2
1,N,6,1,0,3,12,1,N,2
1,1,1,1,8,10,53,1,N,2
2,1,2,2,4,5,53,1,N,2
1,6,1,2,6,9,32,1,N,2
1,3,1,1,3,5,90,1,N,2
2,1,8,1,0,5,31,1,N,2
2,1,1,1,4,7,64,1,N,2
1,6,1,2,8,9,37,1,N,2
2,1,1,1,0,1,53,1,N,2
2,3,1,2,2,5,80,1,N,2
1,1,1,1,8,10,30,1,N,2
2,6,1,2,3,5,39,1,N,2
1,6,6,2,8,9,30,1,N,2
2,1,1,1,8,9,49,1,N,2
2,6,1,1,0,4,31,1,N,2
1,6,2,1,0,5,28,1,N,2
2,1,1,1,2,9,63,1,N,2
2,4,2,1,8,7,59,1,N,2
2,6,1,1,2,1,60,1,N,2
1,1,1,1,8,7,69,1,N,2
2,1,1,2,6,9,34,1,N,2
2,3,1,1,6,7,79,1,N,2
1,6,1,2,8,10,57,1,N,2
2,6,2,0,3,5,70,2,N,2
2,6,2,0,0,4,41,3,N,2
2,6,2,2,0,7,30,1,N,2
1,6,2,2,0,1,48,1,N,2
1,6,1,1,8,9,28,1,N,2
2,6,2,2,5,7,50,1,N,2
1,4,2,1,7,7,60,1,N,2
1,N,2,1,N,1,2,1,N,2
1,6,1,0,1,7,27,3,N,2
2,6,2,2,3,5,43,1,N,2
2,1,1,1,0,9,42,1,N,2
2,6,2,1,5,7,33,1,N,2
1,1,6,1,4,10,85,1,N,2
2,1,1,1,0,9,62,1,N,2
2,1,1,1,8,9,49,1,N,2
1,1,2,1,0,4,58,1,N,2
1,1,2,1,8,7,43,1,N,2
2,4,1,1,2,5,53,1,N,2
2,N,6,1,0,3,11,1,N,2
1,6,1,1,0,4,27,1,N,2
2,6,1,1,0,4,16,1,N,2
2,3,1,1,3,4,74,1,N,2
2,1,2,1,2,5,81,1,N,2
2,N,1,1,N,1,0,1,N,2
1,6,1,2,7,9,32,1,N,2
1,1,1,2,8,9,35,1,N,2
1,6,1,2,0,4,14,1,N,2
2,3,2,1,2,4,78,1,N,2
2,1,1,2,5,9,30,1,N,2
1,6,1,0,0,4,32,3,N,2
2,1,1,1,2,9,71,1,N,2
2,6,2,1,4,5,40,1,N,2
2,6,1,2,0,4,53,1,N,2
1,1,8,1,0,5,43,1,N,2
2,6,1,1,3,7,33,1,N,2
2,N,9,1,0,3,8,1,N,2
2,6,2,2,2,5,34,1,N,2
2,N,2,2,N,2,4,1,N,2
2,1,2,2,4,5,63,1,N,2
2,1,1,1,3,5,72,1,N,2
2,4,1,1,3,7,55,1,N,2
1,1,1,1,8,10,36,1,N,2
1,1,2,1,7,7,45,1,N,2
1,6,2,1,0,4,15,1,N,2
1,6,2,1,0,4,28,1,N,2
1,1,1,2,8,9,49,1,N,2
1,6,1,1,8,9,38,1,N,2
2,3,1,1,3,9,85,1,N,2
2,1,1,1,7,9,40,1,N,2
2,6,1,0,3,5,42,3,N,2
1,1,3,1,0,5,56,1,N,2
1,N,1,1,0,2,9,1,N,2
2,6,1,1,5,9,23,1,N,2
2,6,2,1,0,4,58,1,N,2
2,6,2,2,6,7,29,1,N,2
1,6,2,1,0,4,40,1,N,2
2,1,2,2,6,7,48,1,N,2
2,1,1,1,3,5,58,1,N,2
2,1,6,1,0,4,31,1,N,2
1,1,6,1,7,10,78,1,N,2
1,1,1,2,8,10,42,1,N,2
2,N,1,1,N,1,84,1,N,2
1,6,1,2,8,9,51,1,N,2
1,1,1,1,8,10,52,1,N,2
2,6,2,2,0,1,57,1,N,2
1,1,2,1,4,5,72,1,N,2
1,1,1,1,6,10,38,1,N,2
2,6,2,2,2,7,34,1,N,2
1,1,1,2,8,10,52,1,N,2
2,1,6,2,3,9,38,1,N,2
2,6,6,2,2,9,33,1,N,2
1,6,1,1,6,7,35,1,N,2
2,1,1,1,2,9,61,1,N,2
1,6,2,1,0,4,29,1,N,2
1,6,2,1,3,5,28,1,N,2
2,N,1,2,0,N,15,1,N,2
1,1,1,2,8,10,74,1,N,2
1,1,1,1,6,7,74,1,N,2
2,6,2,2,0,7,18,1,N,2
1,N,1,2,0,2,12,1,N,2
1,1,2,1,7,7,41,1,N,2
1,1,1,1,8,7,65,1,N,2
1,1,2,1,6,7,41,1,N,2
2,6,2,2,0,7,31,1,N,2
2,6,1,2,5,9,35,1,N,2
1,6,1,1,6,9,34,1,N,2
2,6,1,2,3,5,34,1,N,2
2,6,6,2,0,1,53,1,N,2
1,1,1,2,7,9,77,1,N,2
2,6,6,2,6,9,28,1,N,2
2,1,8,2,0,5,46,1,N,2
1,1,2,1,4,5,37,1,N,2
1,6,1,1,1,7,35,1,N,2
2,1,1,1,3,9,61,1,N,2
2,6,1,2,6,9,40,1,N,2
2,N,1,1,0,1,28,1,N,2
2,1,1,2,6,9,50,1,N,2
2,6,2,2,0,4,21,1,N,2
1,1,1,1,8,10,44,1,N,2
2,6,2,1,3,7,31,1,N,2
2,6,2,0,2,5,59,1,N,2
1,6,6,2,0,4,26,1,N,2
1,1,1,1,8,10,50,1,N,2
1,N,2,2,0,3,4,1,N,2
1,N,2,1,0,3,16,1,N,2
2,1,2,2,4,5,69,1,N,2
1,1,2,1,8,10,54,1,N,2
1,1,1,2,8,10,31,1,N,2
1,N,2,2,0,3,18,1,N,2
2,1,1,2,7,10,57,1,N,2
2,N,1,2,N,2,5,1,N,2
2,1,1,1,0,9,33,1,N,2
1,1,2,1,6,7,68,1,N,2
1,1,8,1,0,5,66,1,N,2
1,6,1,2,8,9,32,1,N,2
1,1,1,1,6,7,60,1,N,2
1,1,2,1,4,5,53,1,N,2
2,1,1,1,8,10,71,1,N,2
1,6,1,2,8,9,30,1,N,2
1,N,2,1,0,3,8,1,N,2
1,6,1,1,0,4,17,1,N,2
1,N,1,1,N,1,9,1,N,2
2,N,1,1,N,1,3,1,N,2
1,N,1,2,0,2,9,1,N,2
2,1,1,2,0,9,38,1,N,2
1,6,1,2,8,9,42,1,N,2
2,6,1,1,0,4,19,1,N,2
2,6,2,1,2,4,69,1,N,2
2,6,6,2,1,9,17,1,N,2
1,6,2,1,5,7,41,1,N,2
1,6,2,1,4,7,24,1,N,2
1,N,8,1,N,1,1,1,N,2
1,4,1,2,8,10,55,1,N,2
2,N,1,2,N,N,0,1,N,2
1,1,6,1,8,10,54,1,N,2
2,6,2,2,0,7,33,1,N,2
1,1,2,1,4,7,49,1,N,2
2,1,2,2,2,5,58,1,N,2
1,1,2,1,8,9,49,1,N,2
1,6,2,1,0,5,30,1,N,2
1,N,2,1,N,1,10,1,N,2
1,1,1,1,6,11,49,1,N,2
1,1,1,1,8,10,32,1,N,2
2,6,1,0,2,9,69,3,N,2
2,6,2,2,4,7,30,1,N,2
2,6,2,2,5,7,68,1,N,2
1,N,2,2,0,3,8,1,N,2
2,1,6,1,4,9,32,1,N,2
2,1,2,2,6,7,45,1,N,2
2,N,1,1,N,N,66,1,N,2
2,6,1,2,6,10,40,1,N,2
2,6,8,1,0,4,17,1,N,2
1,6,2,0,0,4,16,2,N,2
1,1,1,2,8,9,31,1,N,2
1,6,1,0,3,9,59,3,N,2
1,1,2,1,6,7,43,1,N,2
1,6,1,1,0,4,10,1,N,2
2,1,2,2,0,4,53,1,N,2
1,1,1,2,8,10,52,1,N,2
1,1,6,2,8,11,27,1,N,2
2,N,1,1,N,1,4,1,N,2
2,6,2,1,6,7,37,1,N,2
2,6,2,2,5,7,34,1,N,2
1,1,1,1,8,10,52,1,N,2
2,1,1,1,0,5,35,1,N,2
1,1,2,1,8,9,55,1,N,2
2,6,2,1,0,4,18,1,N,2
