,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
17,01-01301,17,1,3.0,2,8,4.0,6.0,3,2,15924.79972274972,5810.0277763311615,10.223271039521855,7.0,-9000.0,6.0,289.22043144503755,6.0,1.0,1.0,1,1,777,131
18,32-00405,34,1,4.0,1,6,9.0,3.0,3,0,15615.912800714585,2930.019018509336,12.446360583105433,6.0,-9000.0,4.0,118.13091846621609,6.0,1.0,1.0,1,1,1636,376
19,40-00200,95,1,4.0,1,6,9.0,4.0,3,0,16533.52277708036,8873.40484891395,12.536502576584772,6.0,273779.1721162463,1.0,471.8778213511801,6.0,1.0,1.0,1,1,1636,131
20,51-51255,95,1,4.0,1,6,9.0,3.0,3,0,14994.02277555846,170.0,12.862441988927209,6.0,-9000.0,4.0,501.0,6.0,1.0,1.0,1,1,1636,179
21,26-02702,62,1,2.0,1,6,3.0,3.0,3,0,47503.379104930485,170.0,12.893365742450506,7.0,109024.78385957492,6.0,501.0,6.0,1.0,1.0,1,1,325,102
22,38-00100,93,1,2.0,1,6,9.0,3.0,3,0,13985.225532102604,3268.3468137497675,0.0,6.0,86625.10994482679,1.0,417.2505895870575,6.0,1.0,1.0,1,1,210,116
23,36-04010,74,1,2.0,1,6,9.0,3.0,3,0,33478.51459916683,6683.75950461466,8.44040087561769,6.0,5564.699208858059,0.0,280.0661124207587,6.0,1.0,1.0,1,1,1636,239
24,51-51255,95,2,5.0,1,6,9.0,3.0,3,0,13868.663773573875,2332.992471772135,12.116366893817883,6.0,75023.64195589008,1.0,251.94767547859072,6.0,1.0,1.0,1,1,1636,0
25,38-00100,45,1,4.0,1,6,3.0,4.0,3,0,13402.727072401527,3125.8105252273253,1.4877218644783965,6.0,-9000.0,4.0,151.16187765936988,6.0,1.0,1.0,1,1,1311,64
26,51-51255,83,1,4.0,1,6,9.0,3.0,3,0,15947.68058068062,170.0,13.5506325965281,6.0,236739.42118398927,4.0,248.51589125346726,6.0,1.0,1.0,1,1,1332,211
27,36-04010,56,1,4.0,1,6,9.0,3.0,3,0,13402.727072401527,6344.77613844761,12.670089252623475,6.0,-9000.0,2.0,206.1399505562859,6.0,1.0,1.0,1,1,1636,315
28,40-00200,42,1,2.0,1,6,9.0,3.0,3,0,15432.799437351123,170.0,10.788069673682752,7.0,37991.29967602537,0.0,34.02327218607811,5.0,1.0,1.0,1,1,1074,242
29,51-01301,83,1,4.0,1,6,9.0,2.0,3,0,15124.33524319278,1793.324694185988,12.544118456622815,7.0,108495.85107570958,3.0,476.08142650837465,6.0,1.0,1.0,1,1,1636,0
30,40-00200,61,1,4.0,1,6,9.0,3.0,3,0,15012.875892254264,3827.9173313957294,9.386331047515132,6.0,-9000.0,3.0,118.13091846621609,6.0,1.0,1.0,1,1,1636,376
31,51-51255,79,1,4.0,1,6,9.0,3.0,3,0,14311.447420567165,3853.9583677924234,13.064902624482002,6.0,125365.973657702,4.0,300.4492617092427,6.0,1.0,1.0,1,1,1636,348
32,38-00100,80,1,2.0,1,6,9.0,3.0,3,0,14709.736049156661,4515.44497051903,6.185734238742608,6.0,116307.14376213984,0.0,118.13091846621609,2.0,1.0,1.0,1,1,492,215
33,51-01301,43,2,4.0,1,6,9.0,4.0,3,0,16283.552816084395,5117.245737986692,11.209639106640811,6.0,102205.46790033046,0.0,501.0,6.0,1.0,1.0,1,1,1636,376
34,36-04010,78,1,4.0,1,6,9.0,3.0,3,0,52144.82586850791,170.0,11.7134731136975,6.0,67690.38163271858,3.0,254.28571478161152,6.0,1.0,1.0,1,1,1636,376
35,36-04010,57,2,4.0,1,6,9.0,3.0,3,0,16270.231976039786,5053.260242311868,10.383331375863946,6.0,97724.94752329953,1.0,310.0878190919717,3.0,1.0,1.0,1,1,1492,262
36,51-01301,65,1,4.0,1,6,9.0,3.0,3,0,14317.364955918847,170.0,11.989149392427883,7.0,132414.92932191674,4.0,250.4443683359395,6.0,1.0,1.0,1,1,1636,238
37,51-51255,90,2,4.0,2,6,9.0,4.0,3,0,15644.727012916643,170.0,0.0,7.0,23415.767928225454,2.0,92.10303481529921,6.0,1.0,1.0,1,1,342,291
38,36-03710,86,1,2.0,1,6,9.0,3.0,3,0,14471.328484018019,5616.850564975469,0.0,7.0,174486.19459469174,1.0,0.0,6.0,1.0,1.0,1,1,855,376
39,51-51255,0,1,2.0,1,6,9.0,4.0,3,0,32793.774314758346,626.1303797459286,9.819796744336118,7.0,-9000.0,2.0,263.4620486712846,2.0,1.0,1.0,1,1,357,0
40,51-51255,93,1,4.0,1,6,9.0,3.0,3,0,13402.727072401527,170.0,12.824629216970742,6.0,-9000.0,4.0,363.35751183022774,6.0,1.0,1.0,1,1,1636,312
41,36-04010,88,1,4.0,1,6,7.0,3.0,3,0,13402.727072401527,1496.5092511992475,12.134156103295007,6.0,-9000.0,4.0,138.79713502695955,6.0,1.0,1.0,1,1,1636,119
42,51-51255,47,1,2.0,1,6,9.0,4.0,3,0,36860.57565379518,9920.0,5.007605565205488,6.0,74690.53145255917,9.0,392.6503890025455,6.0,1.0,1.0,1,1,872,305
43,51-51255,95,1,4.0,1,6,7.0,2.0,3,0,16667.65875060089,5263.775673280118,1.0892140846528349,6.0,286824.09149002447,1.0,273.97363329074204,6.0,1.0,1.0,1,1,1636,0
44,24-01004,88,1,2.0,1,6,4.0,3.0,3,2,14051.58267506099,270.7482250817852,11.026717032500327,7.0,141528.0914475555,1.0,0.0,6.0,1.0,1.0,1,1,291,465
45,51-51255,60,1,4.0,1,6,4.0,3.0,3,0,29795.12392786471,170.0,9.996488048434632,6.0,70099.04289839932,4.0,347.58377579004065,6.0,1.0,1.0,1,1,1125,460
46,51-51255,43,1,4.0,1,6,9.0,3.0,3,0,13757.434199997539,9920.0,12.866129222799406,6.0,-9000.0,4.0,187.9650570642589,6.0,1.0,1.0,1,1,1369,348
47,51-51255,75,1,4.0,1,6,9.0,4.0,3,0,14618.893611840707,8702.278715497978,9.775516342851718,6.0,194623.25402738218,3.0,501.0,6.0,1.0,1.0,1,1,1636,301
48,51-01301,55,1,2.0,1,6,7.0,3.0,3,0,15849.578191332139,7366.856485588787,10.485477302873214,12.0,-9000.0,0.0,118.13091846621609,6.0,1.0,1.0,1,1,1444,7
49,13-04600,75,1,4.0,1,6,4.0,4.0,3,0,13402.727072401527,6200.526657342965,0.0,6.0,-9000.0,1.0,263.737711144912,6.0,1.0,1.0,1,1,592,99
50,51-51255,49,1,4.0,1,6,9.0,3.0,3,0,14106.419715101223,1176.3006006668584,11.774526617870428,6.0,7310.923014051659,1.0,375.29304218264565,6.0,1.0,1.0,1,1,233,118
51,51-51255,95,1,4.0,1,6,9.0,4.0,3,0,14142.376219824873,1889.781053264885,12.139478569143387,6.0,-9000.0,4.0,330.51881505584845,6.0,1.0,1.0,1,1,1636,63
52,38-00100,10,1,4.0,1,6,3.0,3.0,3,0,14428.279209058901,770.470243713175,12.240533004494857,6.0,211582.59098039853,2.0,489.55545527199274,6.0,1.0,1.0,1,1,805,197
53,51-51255,95,1,4.0,1,6,9.0,3.0,3,0,14400.617359799731,5103.555208393404,13.5506325965281,6.0,-9000.0,4.0,273.39133677555606,6.0,1.0,1.0,1,1,1636,105
54,51-51255,32,1,4.0,1,6,9.0,4.0,3,0,15461.126688802724,2840.879455993597,12.874158402316922,7.0,68096.95123774293,2.0,325.3511708879198,6.0,1.0,1.0,1,1,1574,376
55,51-51255,93,1,4.0,1,6,7.0,3.0,3,0,14351.743800507873,6459.798462804513,10.019768832359196,6.0,22759.858193969383,4.0,501.0,6.0,1.0,1.0,1,1,702,338
56,36-04010,32,1,4.0,1,6,9.0,3.0,3,0,15786.893355113227,4850.678028554452,12.602617489935284,6.0,37984.49309546988,3.0,501.0,6.0,1.0,1.0,1,1,1636,187
57,36-04010,83,2,4.0,1,6,7.0,3.0,3,0,14578.271080037963,662.2476681479006,0.0,6.0,-9000.0,6.0,498.94063108715807,1.0,1.0,1.0,1,1,645,376
58,51-51255,56,1,4.0,1,6,7.0,4.0,3,0,14830.942197102337,9000.634065447057,10.135599186972954,6.0,165235.46856073124,0.0,360.64391917223213,6.0,1.0,1.0,1,1,1636,376
59,40-00200,0,1,4.0,1,6,9.0,2.0,3,0,35333.05139277353,170.0,12.490297221283068,7.0,34980.6928655809,5.0,404.711228205268,6.0,1.0,1.0,1,1,50,256
60,40-00200,54,1,2.0,1,6,7.0,4.0,3,0,15433.664465239155,4648.9050955110815,12.338710355809857,1.0,189182.08367147623,3.0,501.0,6.0,1.0,1.0,1,1,1442,261
61,36-04010,54,1,4.0,1,6,7.0,3.0,3,0,14878.810574894766,4784.839851518314,9.386331047515132,6.0,78915.87794113926,2.0,118.13091846621609,6.0,1.0,1.0,1,1,1636,302
62,38-00100,95,1,4.0,1,6,9.0,4.0,3,0,13402.727072401527,170.0,10.345025339021316,6.0,-9000.0,2.0,346.8341396937915,6.0,1.0,1.0,1,1,1636,218
63,40-00200,43,1,4.0,1,6,7.0,4.0,3,0,13402.727072401527,2238.555847010276,13.247978000382695,6.0,-9000.0,1.0,118.13091846621609,6.0,1.0,1.0,1,1,1636,280
64,36-04010,43,2,4.0,1,6,9.0,3.0,3,0,13402.727072401527,7549.286413371198,9.386331047515132,7.0,188632.30969565862,1.0,118.13091846621609,6.0,1.0,1.0,1,1,706,274
65,51-51255,32,1,2.0,1,6,9.0,3.0,3,0,29795.12392786471,948.3908588806585,12.60030117821495,7.0,114229.6948891044,3.0,501.0,6.0,1.0,1.0,1,1,449,254
66,40-00200,89,1,4.0,1,6,7.0,2.0,3,0,15544.316723822749,7644.681288298425,11.093007990009397,6.0,221668.87864713155,3.0,455.44945529380004,6.0,1.0,1.0,1,1,1095,48
67,51-51255,87,1,4.0,1,6,7.0,3.0,3,0,13402.727072401527,9920.0,11.355495353127504,6.0,131529.26897472044,1.0,501.0,6.0,1.0,1.0,1,1,1143,167
68,51-51255,74,1,4.0,1,6,9.0,3.0,3,0,15087.457714628881,1706.3713044549986,13.5506325965281,6.0,-9000.0,2.0,313.1684074634092,6.0,1.0,1.0,1,1,1636,0
69,40-00200,95,1,4.0,1,6,9.0,2.0,3,0,13402.727072401527,2901.361931070306,10.823342095894313,6.0,-9000.0,1.0,393.3632893163594,6.0,1.0,1.0,1,1,1636,112
70,40-00200,58,2,5.0,1,6,9.0,4.0,3,2,16783.586039473998,4249.963879862487,3.4409426632815023,6.0,198091.8595930303,0.0,285.0830556344906,6.0,1.0,1.0,1,1,1636,259
71,51-51255,45,1,4.0,1,6,9.0,3.0,3,0,14768.640239189184,3677.5839800354197,12.75200867458144,6.0,245380.95192063466,3.0,423.6325948655856,6.0,1.0,1.0,1,1,570,376
72,40-00200,0,1,4.0,1,6,9.0,3.0,3,0,14106.304650094598,170.0,12.669852458647778,6.0,-9000.0,1.0,144.402257210679,6.0,1.0,1.0,1,1,931,236
73,51-51255,67,1,4.0,1,6,7.0,4.0,3,0,13658.078891772186,8196.114053394922,10.574664487939543,6.0,-9000.0,3.0,118.13091846621609,6.0,1.0,1.0,1,1,1636,311
74,36-04010,39,1,4.0,1,6,9.0,4.0,3,0,14474.120523305319,4508.566413639644,10.514031826728662,7.0,220245.88502954633,0.0,253.67833654331434,6.0,1.0,1.0,1,1,1156,376
75,51-51255,76,1,4.0,1,6,9.0,3.0,3,0,13402.727072401527,170.0,10.461407033906054,6.0,-9000.0,3.0,475.8726141429569,6.0,1.0,1.0,1,1,1636,181
76,51-51255,55,1,4.0,1,6,7.0,4.0,3,0,15073.740595537809,4786.284951758539,11.490408162304208,6.0,-9000.0,1.0,501.0,6.0,1.0,1.0,1,1,1429,209
77,38-00100,89,1,4.0,1,6,9.0,4.0,3,0,14955.744731049754,3968.0698014530144,4.29440750996233,6.0,-9000.0,9.0,256.95671876244467,6.0,1.0,1.0,1,1,1636,193
78,51-51255,85,1,4.0,1,6,9.0,4.0,3,0,13868.92251870261,442.95023922574865,12.682055167065156,6.0,-9000.0,2.0,241.09895082081482,6.0,1.0,1.0,1,1,1636,250
79,40-00200,43,1,2.0,1,6,9.0,3.0,3,0,16149.136233068724,9837.585350318383,11.532572444733981,7.0,205475.06652826682,1.0,0.0,6.0,1.0,1.0,1,1,1382,139
80,51-51255,95,1,4.0,1,6,9.0,3.0,3,0,14406.571520484084,170.0,13.12585895376868,6.0,-9000.0,2.0,150.39497108966438,6.0,1.0,1.0,1,1,1496,274
81,51-51255,52,1,4.0,1,6,4.0,4.0,3,0,13402.727072401527,5577.109079393266,13.047924819099794,6.0,96832.06231406107,4.0,160.10128755289014,6.0,1.0,1.0,1,1,987,267
82,51-51255,88,1,4.0,1,6,9.0,3.0,3,0,13402.727072401527,4761.420133204074,9.386331047515132,9.0,-5866.794394139753,0.0,208.8140435648917,6.0,1.0,1.0,1,1,1028,275
83,51-51255,95,1,5.0,1,5,3.0,3.0,3,0,31616.035690143217,986.7642835908673,0.8205532292203541,6.0,188274.8818277174,1.0,383.47846325896427,6.0,1.0,1.0,1,1,1,112
84,51-51255,35,1,3.0,1,6,3.0,2.0,3,0,14952.744577251782,4252.623706722332,5.271824021545752,6.0,138270.38213995696,3.0,118.13091846621609,2.0,1.0,1.0,1,1,1144,332
85,38-00100,94,1,4.0,1,6,9.0,2.0,2,2,31607.456498145864,1275.819645097336,11.62712596706924,7.0,-9000.0,0.0,0.0,6.0,1.0,1.0,1,1,319,166
86,51-51255,49,1,4.0,1,6,9.0,4.0,3,0,15007.36833896209,170.0,11.991201296619277,6.0,85267.59005509893,3.0,142.3337466658518,6.0,1.0,1.0,1,1,1194,367
87,51-01301,60,1,4.0,1,6,9.0,3.0,3,0,35365.68556114158,3732.095020261758,12.958903067141224,6.0,-8040.970860963134,4.0,349.9783413452939,6.0,1.0,1.0,1,1,1593,17
88,51-51255,63,1,4.0,1,6,7.0,12.0,3,0,13402.727072401527,3954.196812811658,11.11912169294319,9.0,-9000.0,4.0,92.04083988236698,6.0,1.0,1.0,1,1,158,0
89,40-00200,76,1,2.0,1,6,9.0,3.0,3,0,13579.716196506919,8375.86549170723,10.302498109011916,6.0,28867.490385271885,4.0,118.13091846621609,6.0,1.0,1.0,1,1,1636,206
90,51-51255,90,1,4.0,1,6,9.0,3.0,3,0,13402.727072401527,4992.078567659567,12.399670780589824,6.0,-9000.0,3.0,138.98342261570008,6.0,1.0,1.0,1,1,1636,0
91,36-04010,95,2,4.0,1,6,9.0,2.0,3,0,33465.26012555391,1300.2263296382998,9.584499184931756,6.0,189272.44514778932,0.0,118.13091846621609,6.0,1.0,1.0,1,1,391,203
92,38-00100,85,1,4.0,1,6,9.0,3.0,3,0,15379.162745988808,170.0,13.346023737436047,6.0,44906.34822612742,4.0,375.1864485544326,6.0,1.0,1.0,1,1,1636,257
93,32-00405,57,1,4.0,1,6,4.0,11.0,3,0,15095.43674738473,7876.774163902563,12.883244643805748,6.0,-9000.0,0.0,362.05673923219797,6.0,1.0,1.0,1,1,1636,262
94,40-00200,78,1,4.0,1,6,9.0,3.0,3,0,13624.124135285514,4729.584211486159,12.358290723072225,6.0,-9000.0,4.0,122.79981397418345,6.0,1.0,1.0,1,1,1636,301
95,51-51255,8,1,3.0,1,6,7.0,3.0,3,0,13572.071325830293,1508.0149247678146,12.633695334081015,6.0,-4031.818862596818,2.0,358.94680140191076,6.0,1.0,1.0,1,1,641,88
96,51-51255,0,1,4.0,1,6,4.0,4.0,3,0,13402.727072401527,6493.007501881048,10.788069673682752,6.0,5728.716252411352,2.0,156.9798323786228,6.0,1.0,1.0,1,1,1636,139
97,38-00100,22,1,4.0,1,6,9.0,3.0,3,0,16129.76480746118,2175.8182009232783,11.401435928582693,1.0,25655.392772513092,4.0,501.0,6.0,1.0,1.0,1,1,791,274
98,36-04010,70,1,4.0,1,6,7.0,2.0,3,0,14786.416875895793,4820.259335774089,0.0,7.0,269158.9108658836,0.0,501.0,6.0,1.0,1.0,1,1,409,376
99,51-51255,95,1,4.0,1,6,9.0,4.0,3,0,15474.201680672059,2881.8607150354455,13.5506325965281,6.0,132335.00586997508,2.0,412.8888269469039,6.0,1.0,1.0,1,1,1636,50
100,36-03710,13,1,4.0,1,6,9.0,3.0,3,0,14082.438031662541,3433.3631806294966,12.863149937589466,6.0,-9000.0,3.0,337.0676019690358,6.0,1.0,1.0,1,1,1636,247
101,51-51255,82,1,4.0,1,6,9.0,3.0,3,0,14586.682463006973,8495.256650273557,13.523541156624166,6.0,-9000.0,3.0,443.2546091888867,6.0,1.0,1.0,1,1,1636,258
102,38-00100,43,1,2.0,1,6,9.0,2.0,3,0,14637.610668196476,6296.231234229099,10.788069673682752,6.0,34517.88387328078,1.0,368.5546523336256,6.0,1.0,1.0,1,1,770,376
103,38-00100,80,1,4.0,1,6,9.0,3.0,3,0,15384.02119460591,170.0,10.157132173740886,10.0,-9000.0,0.0,306.4922868348222,6.0,1.0,1.0,1,1,1636,306
104,40-00200,43,1,4.0,1,6,9.0,3.0,3,0,14184.287489777571,2656.699841486543,13.5506325965281,6.0,-9000.0,2.0,320.1578279303274,6.0,1.0,1.0,1,1,1636,149
105,51-01301,85,1,4.0,1,6,9.0,4.0,3,0,13402.727072401527,874.2253158508279,10.638936367256472,6.0,-9000.0,0.0,357.1674401146467,6.0,1.0,1.0,1,1,1636,144
106,38-00100,45,1,2.0,1,6,9.0,4.0,3,0,30834.088213184932,8642.194779790156,11.069455267637402,7.0,247673.1978434626,3.0,343.2989986685996,6.0,1.0,1.0,1,1,994,294
107,36-04010,79,1,4.0,1,6,7.0,3.0,3,0,13402.727072401527,170.0,10.977683118552354,6.0,-9000.0,0.0,501.0,6.0,1.0,1.0,1,1,1636,268
108,51-51255,78,1,4.0,1,6,9.0,2.0,3,0,14739.32410375551,170.0,12.106600631590691,7.0,287146.2316107282,3.0,474.60848495212997,6.0,1.0,1.0,1,1,93,233
109,36-03710,13,1,3.0,1,6,9.0,4.0,3,0,15138.554033621846,170.0,9.431652893218834,7.0,276878.2830268232,0.0,501.0,5.0,1.0,1.0,1,1,391,376
110,51-51255,65,1,4.0,1,6,9.0,3.0,3,0,16438.744073698217,1412.3437058024251,13.5506325965281,6.0,98496.89551331058,2.0,394.4662532866592,6.0,1.0,1.0,1,1,1636,376
111,36-03710,3,1,4.0,1,6,7.0,4.0,3,0,14793.121326923261,170.0,10.539628535687477,6.0,-9000.0,1.0,351.8819731852501,6.0,1.0,1.0,1,1,682,244
112,38-00100,51,1,4.0,1,6,7.0,3.0,3,0,13925.613697317207,5536.234916833806,12.708307527268,6.0,105945.59043600064,1.0,118.13091846621609,6.0,1.0,1.0,1,1,1636,376
113,51-51255,63,1,2.0,1,6,9.0,3.0,3,2,14828.985966042892,8739.233531416532,1.3837177000484564,7.0,234436.18586573936,1.0,368.7073014814744,6.0,1.0,1.0,1,1,662,124
114,51-01301,45,1,4.0,1,6,9.0,3.0,3,0,13959.529057641364,2424.245346350999,13.5506325965281,6.0,-9000.0,1.0,118.13091846621609,6.0,1.0,1.0,1,1,1636,72
115,51-01301,73,2,4.0,1,6,7.0,3.0,3,0,14739.26364928618,170.0,10.261425896073307,6.0,126970.66621804892,4.0,382.4851117394735,6.0,1.0,1.0,1,1,1636,208
116,51-51255,67,1,4.0,1,6,7.0,3.0,3,0,15763.148955466668,170.0,13.5506325965281,6.0,-9000.0,4.0,118.13091846621609,6.0,1.0,1.0,1,1,1636,260
117,38-00100,0,1,3.0,1,6,3.0,4.0,3,0,14853.513553339628,4017.4221156792555,4.719957366525843,10.0,297959.5191055953,0.0,501.0,2.0,1.0,1.0,1,1,184,349
118,51-51255,32,2,4.0,1,6,9.0,3.0,3,0,15455.310263550997,4677.80341338749,13.5506325965281,6.0,-9000.0,2.0,306.83983201932233,6.0,1.0,1.0,1,1,1636,336
119,51-01301,95,1,4.0,1,6,9.0,3.0,3,0,15071.295590093829,170.0,10.253529040374373,6.0,-9000.0,7.0,433.97218419226505,6.0,1.0,1.0,1,1,506,56
120,51-01301,95,2,4.0,1,6,7.0,6.0,3,2,14639.609091437642,2458.426154329203,9.386331047515132,6.0,64688.635244557045,3.0,354.2194434568391,6.0,1.0,1.0,1,1,253,376
121,38-00100,65,1,4.0,1,6,9.0,3.0,3,0,13402.727072401527,4427.274082518892,13.5506325965281,6.0,-9000.0,3.0,213.6262315334144,6.0,1.0,1.0,1,1,1636,97
122,40-00200,92,1,4.0,1,6,9.0,3.0,3,0,14792.807366712537,618.1488480605335,12.862226649695257,6.0,63974.97731475007,8.0,0.0,6.0,1.0,1.0,1,1,386,458
123,51-51255,95,1,4.0,1,6,7.0,3.0,3,0,15008.453440010506,5721.26568502384,11.596099937118924,6.0,43068.349660203705,4.0,118.13091846621609,6.0,1.0,1.0,1,1,1582,204
124,38-00100,76,1,4.0,1,6,9.0,3.0,3,0,13719.432016789196,170.0,13.223477642567119,6.0,126384.02960182064,3.0,460.4593114796994,6.0,1.0,1.0,1,1,1636,283
125,51-51255,95,1,4.0,1,6,7.0,3.0,3,0,35737.723867017674,339.16777847948515,10.788069673682752,6.0,-132.45941687801678,5.0,352.15201185472677,6.0,1.0,1.0,1,1,1636,29
126,36-03710,0,1,4.0,1,6,9.0,3.0,3,0,14693.566418191667,8339.557677361598,11.235704470343194,7.0,39518.217230248425,1.0,279.8507229387914,6.0,1.0,1.0,1,1,1557,293
127,51-01301,93,1,4.0,1,6,9.0,4.0,3,0,33171.67385004683,4366.071729060706,9.386331047515132,6.0,-9000.0,0.0,394.087415068419,6.0,1.0,1.0,1,1,1636,99
128,51-01301,95,1,4.0,1,6,9.0,4.0,3,0,47367.425848342726,5849.686481599518,1.6208905878537694,6.0,-9000.0,0.0,500.83166294540985,6.0,1.0,1.0,1,1,1439,204
129,51-01301,95,1,4.0,1,6,7.0,3.0,3,0,15017.323527562903,170.0,9.386331047515132,6.0,139821.21779009848,1.0,306.4031040904188,6.0,1.0,1.0,1,1,1636,356
130,51-01301,3,1,4.0,1,6,9.0,3.0,3,0,16501.360092579544,5642.146051843537,12.176470615865023,6.0,278148.1856202943,1.0,295.9671267512059,6.0,1.0,1.0,1,1,1636,376
131,51-51255,90,1,4.0,1,6,9.0,3.0,3,0,16681.745548771916,170.0,13.5506325965281,6.0,1722.462319543978,0.0,501.0,6.0,1.0,1.0,1,1,1636,521
132,51-51255,16,1,4.0,1,6,7.0,3.0,3,0,13504.538746473225,5760.2904142300595,11.19398101191849,7.0,1960.1775104416447,3.0,413.0861256633509,6.0,1.0,1.0,1,1,1,228
133,51-51255,95,1,4.0,1,6,9.0,4.0,3,0,14023.614220884865,3061.8349491447225,13.287490947330397,7.0,-9000.0,0.0,324.00090733535995,6.0,1.0,1.0,1,1,1636,219
134,51-01301,43,1,4.0,1,6,7.0,3.0,3,0,13402.727072401527,4643.904918759581,11.75009042278307,6.0,-9000.0,2.0,181.28048964441794,6.0,1.0,1.0,1,1,1602,202
135,51-01301,95,1,4.0,1,6,7.0,3.0,3,0,14942.978535571887,170.0,12.480174651139617,6.0,-9000.0,3.0,243.52494612515227,6.0,1.0,1.0,1,1,1636,22
136,51-01301,87,1,4.0,1,6,9.0,3.0,3,0,14183.932622042601,170.0,10.870265279474541,1.0,6360.105818912096,1.0,0.0,6.0,1.0,1.0,1,1,68,220
137,40-00200,47,2,4.0,1,6,7.0,2.0,3,0,16331.932915770343,1761.9636839186628,11.573163064893404,6.0,-9000.0,9.0,416.6672658592868,6.0,1.0,1.0,1,1,905,261
138,51-51255,57,1,4.0,1,6,7.0,4.0,3,0,13535.646903514025,170.0,11.931135519938,6.0,-9000.0,4.0,331.14108787662366,6.0,1.0,1.0,1,1,687,45
139,51-51255,72,1,2.0,1,6,9.0,3.0,3,0,13971.718794564802,6768.5864146822305,11.57820944950564,6.0,12329.10938538135,1.0,140.8547083442663,6.0,1.0,1.0,1,1,1636,376
140,51-51255,63,1,2.0,1,6,7.0,4.0,3,0,13402.727072401527,4219.601998705975,11.477519893131198,6.0,35132.960461802155,0.0,478.7839267484593,6.0,1.0,1.0,1,1,119,81
