SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,target
1,1,1,1,5,9,68,1,N,2,525
1,N,1,1,N,1,58,1,N,2,8582
1,6,1,1,1,5,18,1,N,2,2301
1,6,1,1,6,8,25,1,N,2,5139
2,6,1,1,8,9,29,1,N,2,4705
2,6,1,2,0,7,31,1,N,2,8532
2,1,1,1,1,9,4,1,N,2,7128
2,1,1,2,3,7,60,1,N,2,564
2,N,1,1,7,8,15,1,N,2,7726
2,1,1,1,0,4,37,1,N,2,7269
1,1,1,1,0,7,62,1,N,2,2225
1,6,1,2,0,9,29,1,N,2,666
2,4,1,1,8,4,55,1,N,2,3820
2,1,1,1,6,8,30,1,N,2,7357
1,1,1,1,8,6,15,1,N,2,4015
2,6,1,1,5,6,30,1,N,2,7626
2,3,1,1,5,9,33,1,N,2,5468
2,1,1,1,1,6,30,1,N,2,7060
1,1,1,1,8,8,77,1,N,2,3235
2,6,1,2,9,5,61,1,N,2,2048
1,1,1,1,7,9,59,1,N,2,6839
2,1,1,1,8,9,31,1,N,2,7210
1,3,1,1,5,9,60,1,N,2,2494
2,4,1,1,3,7,64,1,N,2,3589
1,2,1,1,1,7,16,1,N,2,3639
2,6,1,1,N,12,46,1,N,2,4133
2,1,1,1,7,4,51,1,N,2,6206
1,3,1,1,1,5,69,1,N,2,3462
1,1,1,1,3,1,40,1,N,2,4060
2,1,1,1,7,5,59,1,N,2,3815
2,1,1,1,0,1,60,1,N,2,1841
2,N,1,1,1,7,17,1,N,2,8702
1,N,1,1,9,9,4,1,N,2,7328
2,1,6,1,8,8,38,1,N,2,7573
2,N,6,1,9,6,14,1,N,2,2763
1,6,1,1,4,9,19,1,N,2,5297
2,1,1,1,1,3,60,1,N,2,697
1,1,1,1,4,9,62,1,N,2,5958
2,1,2,1,1,9,34,1,N,2,7505
1,4,1,1,8,9,35,1,N,2,7171
2,N,1,1,N,8,55,1,N,2,5533
2,4,1,1,5,5,45,1,N,2,7175
2,1,1,1,6,9,52,1,N,2,7109
2,6,1,1,6,7,39,1,N,2,1988
1,1,1,1,8,12,48,1,N,2,2759
2,3,1,1,5,6,71,1,N,2,559
2,1,1,1,5,5,74,1,N,2,4320
2,4,1,1,7,6,71,1,N,2,6938
1,1,1,1,3,4,54,1,N,2,4062
1,1,1,1,4,6,28,1,N,2,778
2,6,1,0,6,7,38,1,N,2,7173
2,1,1,1,1,9,28,1,N,2,5419
1,6,1,1,3,4,13,1,N,2,3874
2,6,1,1,3,4,28,1,N,2,495
2,1,1,1,N,6,56,1,N,2,2100
2,3,1,1,5,1,75,1,N,2,5657
2,1,1,1,6,7,33,1,N,2,7126
2,1,1,1,3,4,60,1,N,2,4012
1,1,1,1,3,5,63,1,N,2,2129
1,6,1,1,4,5,34,1,N,2,4136
1,3,1,2,6,4,62,1,N,2,5540
1,4,1,1,0,5,46,1,N,2,3725
2,1,1,1,8,1,57,1,N,2,7366
2,3,1,1,5,4,64,1,N,2,2198
1,1,1,1,7,10,49,1,N,2,3180
2,1,1,1,5,9,54,1,N,2,4200
1,1,1,1,9,8,63,1,N,2,7691
1,1,1,1,0,3,57,1,N,2,3567
2,N,1,1,N,9,9,1,N,2,8622
2,1,1,1,N,2,14,1,N,2,7614
2,4,1,1,5,1,39,2,N,2,6114
2,6,1,1,N,5,28,1,N,2,2090
2,1,1,2,6,9,38,1,N,2,2331
2,1,1,1,3,6,57,1,N,2,950
1,2,1,1,7,9,70,1,N,2,4712
2,1,1,1,4,3,60,1,N,2,5733
1,1,1,1,7,7,52,1,N,2,7159
1,1,1,1,N,7,64,1,N,2,2397
1,6,1,1,8,6,14,1,N,2,8614
1,1,1,1,8,8,28,1,N,2,3659
1,1,1,1,8,1,59,1,N,2,777
1,N,1,1,9,12,6,1,N,2,8546
2,1,1,1,6,9,41,1,N,2,2959
2,6,1,2,3,9,18,1,N,2,5580
2,6,1,1,6,1,49,1,N,2,5495
1,2,1,1,1,5,15,1,N,2,7473
2,1,1,1,1,4,76,1,N,2,436
1,6,1,1,7,9,13,1,N,2,3906
2,6,1,1,0,4,39,1,N,2,594
2,1,1,2,4,9,26,1,N,2,7468
1,1,1,1,6,6,29,1,N,2,5792
1,2,1,1,5,6,78,1,N,2,533
1,1,1,1,3,7,65,1,N,2,7315
2,4,1,1,8,12,67,1,N,2,3247
1,1,1,1,0,7,55,1,N,2,3052
2,1,1,1,6,7,37,1,N,2,1877
1,1,6,1,1,6,39,1,N,2,3875
2,1,1,1,0,5,47,1,N,2,7202
1,1,1,1,0,9,61,1,N,2,1679
2,1,1,1,6,8,40,1,N,2,3294
1,1,1,1,8,4,54,1,N,2,729
1,3,1,1,5,6,71,1,N,2,5042
1,N,1,1,9,3,14,1,N,2,5747
1,1,1,1,N,9,74,1,N,2,8507
1,N,1,1,9,2,14,1,N,2,7360
1,1,1,1,8,9,16,1,N,2,671
2,1,1,1,0,5,47,1,N,2,7182
1,1,1,1,6,5,58,1,N,2,7218
2,1,1,1,7,12,63,1,N,2,3776
1,1,1,1,7,8,41,1,N,2,7576
2,4,2,2,3,2,5,1,N,2,8544
2,1,1,1,4,5,62,1,N,2,5580
2,6,1,1,5,4,69,1,N,2,4152
1,1,1,2,3,8,16,1,N,2,7504
1,3,1,1,7,9,72,1,N,2,642
2,1,1,1,9,12,72,1,N,2,7539
1,1,1,1,1,7,61,1,N,2,2069
1,1,1,1,8,9,62,1,N,2,2494
1,1,1,1,N,6,13,1,N,2,3972
1,6,1,1,8,1,58,1,N,2,8566
2,1,1,1,1,5,27,1,N,2,6511
1,1,1,1,7,4,60,1,N,2,2091
1,1,1,1,7,3,71,1,N,2,2702
1,N,1,1,9,9,65,1,N,2,8725
2,N,1,1,9,12,6,1,N,2,7465
2,1,1,1,5,8,30,1,N,2,7483
2,1,1,1,5,6,39,1,N,2,3366
1,N,1,2,N,3,15,1,N,2,7993
1,N,1,1,N,5,6,1,N,2,7493
2,1,1,1,0,9,46,1,N,2,6482
1,N,1,1,1,9,58,1,N,2,4081
2,1,1,1,7,7,41,1,N,2,4817
2,1,1,1,1,4,80,1,N,2,4496
2,1,1,1,3,7,65,1,N,2,708
2,1,1,1,1,9,59,1,N,2,7259
2,1,1,1,N,9,37,1,N,2,684
2,6,1,1,0,4,14,1,N,2,1922
2,1,2,2,6,6,28,1,N,2,4711
1,1,1,1,5,5,61,1,N,2,7420
2,1,1,1,1,3,51,1,N,2,5432
1,1,2,1,6,8,57,1,N,2,8738
1,1,1,1,9,1,38,1,N,2,6338
2,N,1,2,9,9,26,1,N,2,709
1,1,1,1,5,9,49,1,N,2,622
2,1,1,1,3,5,64,1,N,2,3859
1,1,2,2,6,4,55,1,N,2,3436
1,1,1,1,4,12,66,1,N,2,7079
1,1,1,1,6,3,60,1,N,2,3450
1,1,1,2,5,4,29,1,N,2,5340
1,6,1,1,5,5,13,1,N,2,3362
1,1,1,1,4,4,29,1,N,2,791
2,1,1,1,0,6,28,1,N,2,2010
1,6,1,1,4,5,39,1,N,2,3118
1,6,1,1,1,7,60,1,N,2,7240
1,4,1,0,4,5,49,1,N,2,1779
1,2,1,1,8,9,58,1,N,2,3910
1,1,1,1,6,9,72,1,N,2,1976
2,4,1,1,3,5,53,1,N,2,344
1,1,1,1,6,4,28,1,N,2,7157
2,1,1,1,5,4,31,1,N,2,1861
2,6,1,1,7,9,27,1,N,2,7322
2,6,1,1,3,5,51,1,N,2,457
2,4,1,1,2,7,61,1,N,1,3663
1,1,1,1,7,9,56,1,N,2,933
2,6,1,1,7,2,37,1,N,2,6961
2,6,1,1,0,3,39,1,N,2,3553
1,1,1,1,7,1,38,1,N,2,7394
1,4,1,1,7,8,73,1,N,2,4812
2,N,1,1,9,3,56,1,N,2,5183
1,1,1,1,9,1,65,1,N,2,1897
1,6,1,2,6,7,45,1,N,2,2240
2,3,1,1,7,8,30,1,N,2,7376
1,4,1,1,8,7,70,1,N,2,5399
1,1,1,1,1,6,57,1,N,2,4027
1,6,1,1,4,8,30,1,N,2,595
2,1,1,1,0,4,39,1,N,2,4185
1,1,1,1,8,9,61,1,N,2,7070
1,1,1,1,3,8,38,1,N,2,5565
2,1,1,1,0,9,60,1,N,2,1705
1,6,1,1,9,9,46,1,N,2,1662
2,3,6,1,5,8,71,1,N,2,7300
2,1,1,2,3,6,38,1,N,2,3196
2,1,1,1,7,4,74,1,N,2,3813
2,6,1,1,6,7,35,1,N,2,5770
1,4,1,1,9,9,35,1,N,2,821
1,N,1,1,9,3,13,1,N,2,8723
1,1,1,1,N,9,36,1,N,2,8786
2,1,1,1,6,1,76,1,N,2,2592
1,1,1,1,0,1,60,1,N,2,7098
1,1,1,1,5,5,63,1,N,2,4041
2,3,1,2,6,5,79,1,N,2,934
1,4,1,1,0,7,36,1,N,2,7182
1,6,1,1,1,4,20,1,N,2,5868
1,1,1,1,9,7,73,1,N,2,841
1,1,1,1,5,4,62,1,N,2,4876
1,1,1,1,7,8,70,1,N,2,7419
1,1,1,1,6,6,63,1,N,2,1797
2,1,1,2,1,4,55,1,N,2,7575
1,1,1,1,9,8,66,1,N,2,7533
1,1,1,2,8,5,63,1,N,2,5398
1,1,1,1,6,4,46,1,N,2,5450
2,1,1,1,8,3,16,1,N,2,6761
1,6,1,1,5,4,17,1,N,2,2839
1,6,1,1,7,9,34,1,N,2,6307
1,1,1,1,7,3,28,1,N,2,676
2,1,1,1,3,4,60,1,N,2,1737
1,1,1,1,4,9,67,1,N,2,3411
2,1,1,1,5,8,28,1,N,2,1034
2,1,1,1,0,4,69,1,N,2,7387
1,1,1,1,3,8,19,1,N,2,767
2,3,1,1,0,5,62,1,N,2,1873
1,6,1,1,N,3,18,1,N,2,8703
1,1,1,1,9,3,58,1,N,2,2107
2,1,1,1,6,7,14,1,N,2,1964
2,6,1,1,4,12,31,1,N,2,641
1,1,1,1,0,7,44,1,N,2,6628
2,6,1,1,N,1,39,1,N,2,7463
2,1,1,1,3,3,73,1,N,2,3778
1,1,1,1,9,9,64,1,N,2,652
2,3,1,1,0,4,50,1,N,2,6939
1,1,1,1,9,8,29,1,N,2,2259
1,1,1,1,5,2,38,1,N,2,8577
2,1,1,1,1,3,65,1,N,2,2117
1,6,1,1,6,7,55,1,N,2,3843
1,6,1,1,7,7,28,1,N,2,2127
1,1,1,2,9,9,58,1,N,2,5799
2,6,1,1,0,3,17,1,N,2,7189
2,6,2,1,4,7,20,1,N,2,8396
1,1,1,2,8,7,71,1,N,2,4018
1,6,1,1,3,5,65,3,N,2,5950
2,6,1,1,3,1,15,1,N,2,1811
1,1,1,1,5,8,29,1,N,2,3878
2,4,1,1,3,4,55,1,N,2,709
1,1,1,1,1,6,27,1,N,2,5413
1,1,1,1,5,8,37,1,N,2,5845
1,1,6,1,7,9,28,1,N,2,1960
1,1,1,1,3,8,75,1,N,2,2173
1,1,1,2,1,4,15,2,N,2,4456
1,1,1,1,8,6,4,1,N,2,2499
1,6,1,2,4,4,73,1,N,2,2151
2,3,1,1,0,9,18,1,N,2,7113
1,1,2,1,9,9,48,1,N,2,2132
2,1,1,1,6,7,65,1,N,2,5663
1,4,1,1,7,12,33,1,N,2,7448
1,1,1,1,4,8,15,1,N,2,5918
1,1,6,1,1,6,57,1,N,2,490
2,4,1,1,5,5,59,1,N,2,2010
2,3,1,1,7,3,72,1,N,1,6959
2,1,1,2,3,1,60,1,N,1,5610
1,1,1,1,9,9,55,1,N,2,2135
1,1,6,1,9,7,39,1,N,2,8771
1,1,1,1,7,6,15,1,N,2,8567
2,1,1,1,3,9,61,1,N,2,2261
1,N,1,1,N,2,15,1,N,2,8862
2,1,1,2,1,7,72,1,N,1,2188
2,2,2,1,0,4,44,1,N,2,2148
2,1,1,1,9,9,39,1,N,1,8673
1,1,1,1,1,7,56,1,N,2,5590
1,6,1,1,0,3,18,1,N,2,6488
2,1,1,1,1,1,65,1,N,2,2219
1,4,1,1,8,6,41,1,N,2,1774
1,1,1,1,6,5,35,1,N,2,1916
2,2,1,1,6,3,56,1,N,2,1887
2,1,1,1,6,7,61,1,N,2,8775
1,N,1,1,4,9,14,1,N,2,7487
2,1,1,1,1,1,16,1,N,2,4976
1,4,1,1,5,5,62,1,N,2,4554
1,1,2,1,7,12,61,1,N,2,1962
1,1,1,2,7,4,55,1,N,2,796
2,1,1,1,8,1,37,1,N,2,2271
2,N,1,1,N,9,3,1,N,2,8746
2,1,1,1,8,6,74,1,N,2,2270
2,1,1,1,0,9,37,1,N,2,4175
2,4,1,2,7,9,60,1,N,2,7421
2,1,1,2,7,7,16,1,N,2,2093
1,1,1,1,1,3,37,1,N,2,7440
2,1,1,1,5,4,65,1,N,2,6646
2,1,1,1,5,7,73,1,N,2,7164
2,4,2,1,8,7,52,1,N,2,3959
1,6,1,1,8,6,31,1,N,2,7424
2,6,1,1,4,5,56,1,N,2,865
2,1,1,2,8,9,60,1,N,2,669
2,6,1,1,6,4,49,1,N,2,5574
2,1,1,2,6,1,72,1,N,2,537
1,N,1,1,N,9,73,1,N,2,7240
1,1,1,2,4,4,71,1,N,2,3249
2,1,1,1,3,5,14,1,N,2,6115
1,1,1,1,0,1,32,1,N,2,4014
1,1,1,1,4,10,38,1,N,2,7358
2,1,1,1,7,9,25,1,N,2,5715
2,1,1,1,9,9,62,1,N,2,8786
2,1,1,1,8,7,32,1,N,2,2363
1,1,1,1,5,5,47,1,N,2,730
2,1,1,1,0,4,63,1,N,2,771
2,1,1,1,6,4,37,1,N,2,2308
1,3,1,1,5,12,74,1,N,2,3883
2,1,1,1,5,9,49,1,N,2,3521
1,1,1,1,9,1,59,1,N,2,1806
1,2,1,1,1,1,28,1,N,2,3703
2,6,1,1,0,6,19,1,N,2,8775
2,4,1,1,2,7,51,1,N,2,4335
1,1,1,1,8,8,27,1,N,2,7537
1,1,1,1,7,6,34,1,N,2,5412
2,6,1,1,8,1,49,1,N,2,399
1,1,1,1,8,8,71,1,N,2,713
1,4,1,1,0,6,26,1,N,2,967
1,N,1,1,7,5,44,1,N,2,5375
2,6,1,1,5,1,61,1,N,2,2154
1,6,1,1,0,3,36,1,N,2,3925
1,1,1,1,9,4,38,1,N,2,5535
1,4,1,1,0,7,59,1,N,1,3353
2,6,1,2,3,1,27,1,N,2,2203
2,3,2,2,1,9,71,1,N,2,5390
2,1,1,2,6,7,55,1,N,2,8359
1,4,1,1,N,2,46,1,N,2,2021
1,1,1,1,6,1,58,1,N,2,1859
2,4,1,2,5,7,27,1,N,2,3885
