,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP
80,2,1,2,1,6,9,0,28-01100,N
81,2,1,1,1,3,5,0,29-01901,7690
82,2,N,1,2,4,5,0,17-03531,N
83,2,1,1,1,2,5,0,17-03531,8191
84,1,N,1,2,8,9,0,24-01004,770
85,1,N,8,2,9,9,0,32-00405,8090
86,1,1,1,1,6,5,0,13-04600,5580
87,1,4,1,1,8,7,0,08-00803,7380
88,2,1,1,1,2,7,0,08-00803,8191
89,1,1,1,2,2,5,0,06-08507,N
90,1,6,2,1,4,7,0,17-03529,7270
91,2,N,1,1,8,9,0,19-01700,N
92,1,1,1,1,9,11,4,32-00405,N
93,1,4,3,1,9,12,0,36-04010,N
94,2,1,2,1,1,7,0,36-03710,7860
95,1,6,2,2,N,2,0,17-03529,7860
96,2,N,1,1,7,7,4,08-00803,8680
97,1,1,1,1,0,5,0,19-01700,4971
98,2,1,6,1,6,5,0,26-02702,N
99,1,1,1,1,N,N,0,13-04600,N
100,2,6,6,1,N,3,0,08-00803,3095
101,1,N,1,1,N,3,1,17-03529,8680
102,2,N,1,1,2,1,0,26-02702,5070
103,1,1,3,2,3,7,0,38-00100,N
104,1,6,1,2,N,2,0,06-07502,6470
105,2,N,2,1,2,6,0,17-03529,7380
106,1,6,1,2,N,N,0,38-00100,4270
107,1,1,1,1,0,7,0,30-00600,6080
108,2,N,2,2,N,1,0,40-00200,7860
109,1,1,2,1,9,10,0,38-00100,N
110,1,6,1,1,6,2,0,30-00600,180
111,1,1,1,1,9,10,4,24-01004,N
112,1,6,1,1,9,11,0,24-01004,N
113,2,3,1,1,3,5,0,38-00100,370
114,1,6,8,1,0,5,0,24-01004,N
115,2,4,1,1,1,10,4,36-03710,N
116,1,2,2,1,4,10,1,06-07502,3690
117,1,4,1,1,6,5,0,17-03529,N
118,2,6,2,0,3,10,0,24-01004,5381
119,2,N,2,1,9,10,0,51-51255,N
120,2,6,2,2,3,5,0,30-00600,N
121,2,4,2,1,7,5,0,06-08507,N
122,1,1,1,2,1,7,0,28-01100,5593
123,1,1,1,2,5,7,0,24-01004,N
124,2,N,1,2,N,3,0,13-04600,7860
125,2,N,2,2,0,3,0,24-01004,7270
126,1,1,2,2,0,5,0,06-08507,N
127,2,4,1,1,8,4,0,38-00100,N
128,2,3,1,1,8,12,0,17-03529,6170
129,1,3,2,1,1,4,0,51-01301,9570
130,2,6,9,1,2,10,0,24-01004,7470
131,2,3,1,2,7,12,1,32-00405,8680
132,2,1,1,2,9,11,0,24-01004,N
133,2,N,2,1,N,4,0,40-00200,8191
134,2,1,1,1,N,3,0,30-00600,8370
135,2,6,1,1,4,7,2,36-03710,N
136,2,N,2,1,3,10,0,13-04600,5391
137,1,1,1,1,9,7,0,19-01700,8680
138,1,6,9,2,7,9,0,30-00600,180
139,2,6,6,1,N,3,4,24-01004,N
140,2,6,9,1,6,9,0,08-00803,7860
141,2,N,1,2,4,12,0,17-03531,N
142,2,1,1,1,5,7,0,36-04010,770
143,2,1,1,1,N,3,0,17-03529,370
144,1,1,1,2,9,4,0,29-01901,8590
145,2,6,1,2,2,1,0,30-00600,8980
146,2,N,2,2,0,7,0,17-03531,7870
147,1,N,2,1,N,3,0,28-01100,8191
148,1,6,3,2,5,7,0,08-00803,6570
149,1,2,1,0,1,7,0,06-08507,7780
150,1,4,1,1,0,7,0,13-04600,N
151,2,6,1,1,0,7,0,19-01700,8270
152,2,6,2,2,5,7,0,38-00100,N
153,1,6,1,1,N,3,0,51-01301,8680
154,1,N,6,1,7,9,0,36-04010,7860
155,1,1,1,1,2,4,0,28-01100,7580
156,1,1,1,0,1,9,0,38-00100,N
157,1,6,1,1,8,5,0,51-01301,9590
158,1,6,3,1,3,9,0,19-01700,N
159,1,1,2,2,7,10,0,24-01004,N
160,2,N,2,0,0,7,0,13-04600,N
161,1,1,1,1,N,4,0,40-00200,N
162,1,6,1,1,8,10,0,26-02702,9380
163,1,1,1,1,5,8,0,24-01004,N
164,1,1,2,2,4,10,0,17-03529,6180
165,2,6,1,2,5,9,0,36-03710,1691
166,1,N,1,2,0,9,0,30-00600,770
167,2,1,1,1,7,9,0,06-07502,7270
168,2,3,2,1,8,9,0,36-04010,N
169,1,N,2,1,2,5,4,24-01004,N
170,2,6,2,2,8,9,0,06-07502,7490
171,1,N,8,0,8,9,0,24-01004,N
172,2,1,1,1,5,7,0,19-01700,6170
173,2,1,1,2,N,1,0,13-04600,6290
174,2,6,1,2,5,10,0,29-01901,5391
175,1,2,6,1,1,4,0,06-07502,770
176,1,1,1,2,6,8,0,17-03529,7680
177,2,3,2,1,9,10,0,40-00200,8191
178,2,6,1,1,9,9,0,51-01301,N
179,1,N,1,1,N,N,0,17-03529,N
180,2,6,2,1,1,5,0,38-00100,N
181,1,6,1,1,9,9,0,32-00405,8191
182,2,1,1,1,8,9,0,28-01100,N
183,2,3,2,1,9,9,0,17-03531,N
184,2,6,1,1,1,4,0,24-01004,N
185,1,1,1,2,0,9,0,29-01901,9160
186,2,1,1,1,9,9,0,06-07502,7460
187,1,6,1,1,6,6,1,32-00405,8590
188,1,6,1,1,N,3,0,13-04600,8670
189,2,1,1,0,2,7,0,29-01901,N
190,2,6,1,2,5,6,0,36-04010,9480
191,2,6,2,1,0,9,0,28-01100,7860
192,2,1,1,2,2,9,0,40-00200,6190
193,1,1,1,2,0,8,0,17-03529,8191
194,2,1,1,2,7,10,0,28-01100,N
195,1,1,1,0,0,4,0,17-03529,N
196,1,N,9,1,1,4,0,24-01004,N
197,1,1,8,1,3,5,0,26-02702,8090
198,2,6,1,1,9,11,0,28-01100,N
199,2,1,1,1,9,3,0,28-01100,N
200,2,3,2,1,0,3,0,06-07502,7270
201,2,6,2,1,8,10,0,24-01004,7770
202,1,1,2,0,2,4,0,06-08507,N
203,1,6,2,1,9,12,0,40-00200,N
204,1,N,6,2,0,9,0,36-04010,N
205,1,6,2,1,3,8,0,51-01301,N
206,1,1,3,1,6,8,0,17-03531,N
207,2,N,1,2,2,4,0,36-04010,7490
208,1,6,1,0,0,4,0,36-04010,8470
209,2,N,1,2,N,N,0,17-03529,7870
210,2,N,2,0,0,7,1,32-00405,N
211,2,6,1,1,N,2,0,06-07502,7770
212,1,6,2,2,2,5,0,36-04010,N
213,1,6,1,2,8,9,0,06-07502,7380
214,1,1,1,1,5,7,0,30-00600,770
215,1,1,1,1,8,11,0,13-04600,7290
216,1,6,1,1,6,7,0,38-00100,8191
217,2,6,2,1,0,6,0,30-00600,N
218,1,6,1,2,3,7,0,38-00100,770
219,1,4,2,0,5,7,4,19-01700,N
220,2,6,1,1,1,5,0,30-00600,4580
221,1,6,1,1,7,10,4,26-02702,7790
222,2,1,1,1,N,1,0,17-03531,1691
223,1,1,1,1,0,4,0,19-01700,N
224,1,1,1,2,0,9,0,32-00405,N
225,2,4,8,1,N,3,4,29-01901,N
226,1,1,1,2,9,9,0,19-01700,8180
227,1,6,1,1,3,9,0,08-00803,9370
228,1,6,1,1,5,10,0,17-03529,9920
229,2,6,6,2,N,3,0,40-00200,N
230,2,3,2,1,8,7,0,30-00600,N
231,1,1,2,1,8,10,0,08-00803,7280
232,2,4,8,1,2,9,0,40-00200,N
233,1,6,1,1,N,3,0,40-00200,N
234,1,6,1,2,N,3,4,32-00405,N
235,2,N,2,2,5,5,0,17-03531,N
236,2,6,2,2,1,4,0,29-01901,770
237,2,6,1,2,1,9,0,30-00600,N
238,1,1,6,2,2,3,0,17-03529,3180
239,2,2,2,1,5,5,0,36-03710,8191
240,2,3,3,1,0,1,0,13-04600,6170
241,2,1,1,1,N,3,0,38-00100,N
242,1,N,1,1,8,10,0,19-01700,8680
243,1,6,2,1,4,10,0,26-02702,N
244,1,5,2,2,6,9,0,19-01700,N
245,1,N,6,2,4,9,0,40-00200,N
246,1,1,6,1,9,7,0,30-00600,N
247,1,1,2,1,9,9,0,30-00600,N
248,2,4,1,0,1,6,0,36-04010,8170
249,1,6,2,1,2,7,0,40-00200,N
250,2,6,1,0,N,N,0,17-03529,770
251,2,6,1,2,6,10,0,40-00200,N
252,2,N,2,2,5,7,0,17-03531,7071
253,2,1,1,0,2,5,0,51-01301,7270
254,1,4,2,1,8,5,0,24-01004,1370
255,2,4,2,1,N,3,0,24-01004,7460
256,1,6,1,2,8,9,0,40-00200,6070
257,1,6,1,1,6,7,0,29-01901,8980
258,1,1,1,0,1,6,0,24-01004,9170
259,2,1,2,0,5,7,0,06-07502,6970
260,1,1,1,1,0,4,1,38-00100,N
261,2,N,2,1,9,10,0,17-03529,7680
262,2,3,1,2,2,6,0,01-01301,9170
263,1,6,1,1,N,3,0,06-08507,8090
264,2,N,2,1,8,7,0,36-04010,N
265,1,6,2,1,6,5,0,51-51255,7290
266,1,N,1,1,4,5,0,51-51255,3990
267,2,1,1,2,5,9,0,29-01901,8680
268,1,6,1,1,N,1,0,36-04010,N
269,2,1,1,1,0,6,0,51-01301,4690
270,1,6,1,1,5,6,1,19-01700,N
271,2,N,1,2,3,5,0,26-02702,7870
272,1,N,1,2,1,7,0,06-07502,8590
273,1,6,1,1,8,8,0,13-04600,N
274,2,N,2,1,9,9,0,36-04010,8370
275,1,1,1,1,N,3,0,24-01004,N
276,1,6,2,1,9,10,0,51-51255,N
277,2,6,1,2,7,9,0,06-07502,8970
278,1,1,1,2,0,7,0,28-01100,6390
279,1,6,1,1,3,10,0,24-01004,N
280,2,N,2,2,9,9,0,17-03529,5391
281,2,6,2,1,9,10,0,28-01100,8191
282,2,3,2,1,1,8,0,08-00803,7870
283,2,1,2,1,7,10,0,01-01301,7860
284,1,1,1,1,8,9,2,36-04010,5190
285,1,3,2,1,6,10,0,32-00405,3390
286,2,N,2,1,3,1,0,38-00100,770
287,1,1,1,2,1,7,0,06-08507,9680
288,1,1,1,2,3,4,0,24-01004,N
289,2,6,8,0,1,7,0,19-01700,N
290,1,4,1,1,6,10,0,30-00600,5490
291,1,6,2,1,N,3,0,17-03531,N
292,1,1,2,1,9,10,0,06-07502,5170
293,2,1,1,2,1,8,1,36-03710,8680
294,2,1,1,2,1,5,2,36-03710,N
295,1,1,2,1,4,7,0,17-03531,8090
296,1,1,1,1,8,6,0,17-03529,7870
297,2,N,2,2,2,7,0,30-00600,8370
298,1,N,1,2,8,12,0,13-04600,6570
299,2,1,2,2,5,7,0,13-04600,N
300,2,1,1,2,1,11,0,13-04600,770
301,1,N,2,1,7,7,0,19-01700,N
302,2,6,2,1,N,3,0,40-00200,N
303,2,1,8,1,7,8,0,06-07502,N
304,2,6,1,0,4,5,0,28-01100,N
305,2,3,2,1,0,8,0,19-01700,8470
306,1,6,1,2,1,9,0,51-01301,N
307,2,3,2,2,7,5,0,38-00100,7580
308,2,1,1,1,4,7,0,38-00100,7980
309,1,N,1,1,0,6,4,24-01004,7270
310,1,N,1,1,2,7,0,19-01700,7790
311,1,6,1,1,6,5,0,08-00803,N
312,2,1,2,2,0,9,0,36-04010,8191
313,2,6,2,2,4,10,0,28-01100,N
314,2,N,2,1,6,7,0,51-51255,6570
315,2,6,1,2,8,9,0,28-01100,1180
316,2,6,1,2,0,5,4,29-01901,5070
317,2,6,3,1,4,8,0,06-08507,N
318,1,6,1,1,8,9,0,40-00200,N
319,2,3,1,1,9,9,0,36-04010,N
320,2,6,1,0,0,7,0,26-02702,9170
321,2,6,9,2,N,3,0,38-00100,N
322,1,6,1,1,2,6,0,28-01100,N
323,2,N,1,1,2,5,0,28-01100,7860
324,1,N,8,2,0,10,0,38-00100,170
325,1,4,2,2,7,9,0,01-01301,N
326,2,1,1,2,6,9,0,32-00405,N
327,2,4,1,1,3,10,0,29-01901,N
328,1,1,1,1,2,4,0,24-01004,N
329,1,N,1,0,0,7,1,32-00405,8170
330,1,6,1,1,N,N,0,08-00803,2190
331,1,6,6,2,3,7,0,51-51255,N
332,1,N,2,1,5,5,0,06-08507,N
333,2,N,1,2,N,3,0,29-01901,N
334,2,1,1,1,5,10,0,13-04600,4770
335,2,4,2,2,0,9,1,32-00405,7690
336,2,3,2,2,N,N,0,28-01100,8270
337,1,6,1,0,3,5,0,13-04600,8590
338,2,N,1,1,3,7,0,19-01700,7490
339,2,1,1,2,9,11,0,19-01700,N
340,1,1,1,1,3,6,0,40-00200,N
341,2,3,1,2,0,10,1,06-07502,N
342,2,6,1,1,2,6,0,08-00803,9390
343,2,4,2,2,2,6,0,28-01100,N
344,2,1,1,2,8,9,0,17-03531,8191
345,1,6,1,1,6,9,0,28-01100,7860
346,2,1,1,1,2,11,0,17-03529,N
347,1,1,1,2,6,7,4,36-04010,770
348,2,1,1,0,0,5,0,30-00600,N
349,1,6,1,1,N,N,4,29-01901,N
350,2,6,2,1,9,10,0,28-01100,4670
351,1,1,1,1,9,10,0,17-03529,5180
352,1,6,2,1,N,N,0,24-01004,8191
353,1,N,1,1,0,4,0,30-00600,770
354,2,6,2,1,0,9,0,19-01700,7380
355,1,1,1,1,3,6,0,06-07502,N
356,1,N,1,2,9,10,0,38-00100,4270
357,2,1,1,0,N,3,0,06-07502,7380
358,2,N,1,1,4,5,0,24-01004,8191
359,1,N,1,2,N,N,0,30-00600,N
360,2,6,2,2,N,2,0,13-04600,N
361,1,6,6,2,6,9,0,17-03531,N
362,1,4,1,0,0,5,0,24-01004,N
363,1,1,1,2,N,N,0,24-01004,N
364,2,N,2,2,5,10,0,24-01004,9470
365,2,1,1,1,3,8,4,24-01004,4880
366,2,6,1,1,9,10,1,32-00405,8680
367,1,6,1,2,N,N,0,38-00100,N
368,1,6,1,1,2,4,0,06-08507,6991
369,1,N,1,2,N,N,0,51-01301,6180
370,2,6,1,1,3,8,0,30-00600,N
371,1,6,1,1,N,3,0,13-04600,N
372,1,4,1,2,3,7,0,24-01004,9470
373,2,1,1,2,N,N,0,38-00100,N
374,1,6,1,1,9,11,0,40-00200,N
375,1,1,2,1,6,9,0,51-51255,7280
376,1,1,1,2,9,10,0,32-00405,N
377,2,6,1,2,3,5,0,13-04600,N
378,2,N,6,1,5,7,0,24-01004,7390
379,1,6,2,2,2,8,0,24-01004,4080
380,1,4,1,1,N,3,0,24-01004,7870
381,2,N,1,1,6,9,0,24-01004,9190
382,1,6,2,0,3,5,0,24-01004,N
383,1,1,1,1,1,4,0,13-04600,7780
384,1,N,2,2,5,10,0,28-01100,7890
385,2,N,1,2,5,5,0,51-01301,4090
386,2,6,2,1,9,10,4,51-51255,9070
387,1,6,2,1,2,4,0,08-00803,N
388,2,N,3,0,0,7,0,13-04600,770
389,1,1,1,1,1,4,0,38-00100,5391
390,1,1,1,1,N,3,0,40-00200,8090
391,1,1,1,2,0,9,0,30-00600,8680
392,2,N,1,0,0,7,0,24-01004,N
393,2,N,9,2,5,10,0,08-00803,7860
394,1,6,1,2,1,7,0,19-01700,8191
395,2,6,1,2,3,12,4,51-01301,8270
396,1,6,1,2,9,11,0,06-08507,N
397,1,N,2,1,9,9,0,51-51255,7380
398,2,N,6,1,2,8,0,24-01004,N
399,1,N,6,1,2,5,0,17-03531,7580
400,1,1,3,1,N,2,0,30-00600,N
401,2,1,1,1,N,3,0,13-04600,8390
402,1,1,2,1,7,10,4,24-01004,N
403,1,N,1,2,N,10,0,30-00600,180
404,2,6,2,2,3,5,0,06-07502,6490
405,2,6,1,2,2,4,2,36-03710,6992
406,1,1,1,2,3,9,0,28-01100,N
407,2,N,2,2,9,10,0,24-01004,7390
408,1,6,6,2,4,5,0,32-00405,7860
409,1,1,1,2,6,9,0,06-08507,7380
410,1,6,3,2,6,10,0,36-04010,6870
411,1,1,6,1,4,3,1,06-08507,7380
412,2,2,2,1,6,7,3,40-00200,N
413,2,1,8,1,N,3,0,24-01004,8680
414,2,1,1,1,2,8,0,06-07502,6570
415,1,1,1,1,6,9,0,06-08507,7870
416,1,1,1,2,4,8,0,19-01700,8680
417,2,1,1,2,4,5,0,24-01004,7390
418,1,6,1,1,0,5,0,28-01100,7680
419,2,6,2,1,9,5,0,17-03529,5170
420,2,3,1,2,N,N,0,19-01700,8180
421,2,1,3,1,2,3,4,36-03710,9370
422,1,1,2,2,5,9,0,40-00200,N
423,2,1,1,1,7,5,0,06-08507,7380
424,1,2,2,1,8,9,0,13-04600,N
425,1,1,1,1,1,7,0,17-03529,N
426,2,6,1,1,N,N,0,19-01700,4971
427,1,1,1,1,7,7,0,30-00600,5090
428,1,4,2,2,2,4,0,51-01301,N
429,2,6,1,2,4,6,0,17-03529,7870
430,1,1,1,1,9,5,0,17-03531,N
431,2,1,6,2,6,9,0,17-03529,490
432,1,6,6,1,8,10,0,29-01901,N
433,1,6,2,1,1,4,1,51-01301,770
434,2,1,2,1,8,7,0,51-01301,8470
435,1,6,1,2,1,5,0,13-04600,N
436,2,6,2,1,7,9,0,30-00600,N
437,1,6,1,2,2,7,0,26-02702,7071
438,1,6,1,2,0,3,0,24-01004,7860
439,1,1,1,1,8,10,0,17-03529,2070
440,1,1,1,2,4,5,0,51-51255,9370
441,1,1,6,1,9,10,1,19-01700,N
442,2,3,9,2,N,2,0,17-03531,7890
443,2,5,1,1,0,7,0,51-01301,6890
444,2,4,1,1,8,7,0,51-51255,9590
445,1,5,1,1,9,10,0,08-00803,6370
446,1,1,1,2,N,4,0,24-01004,7860
447,2,6,1,2,N,2,0,38-00100,7860
448,1,6,2,2,N,3,0,17-03529,N
449,1,6,1,1,0,7,0,28-01100,8680
450,1,6,1,1,8,7,0,30-00600,5381
451,2,1,2,1,2,7,0,08-00803,4971
452,2,3,1,1,8,3,0,38-00100,N
453,2,N,8,2,N,3,0,30-00600,N
454,2,6,2,0,1,7,0,19-01700,8191
455,2,6,1,2,3,4,0,17-03531,7860
456,1,N,1,1,6,5,0,06-08507,N
457,2,4,1,2,4,3,0,32-00405,9770
458,2,6,2,2,2,5,0,13-04600,N
459,1,1,6,2,8,1,0,19-01700,2390
460,1,6,1,2,N,2,0,06-08507,9470
461,1,6,2,1,7,3,0,30-00600,180
462,1,N,8,1,N,1,0,24-01004,N
463,1,6,1,1,7,11,0,51-01301,8191
464,1,1,1,2,5,7,0,08-00803,7380
465,2,N,6,2,N,3,0,26-02702,N
466,2,4,2,2,0,9,0,30-00600,180
467,1,6,1,1,N,3,0,17-03529,N
468,2,1,1,2,8,7,0,17-03531,N
469,1,6,1,2,N,N,0,01-01301,9170
470,2,4,1,2,9,9,0,40-00200,7860
471,1,1,1,2,6,9,4,51-01301,N
472,1,1,2,0,1,7,0,30-00600,N
473,1,6,1,0,1,7,0,08-00803,N
474,1,1,1,2,4,5,0,06-08507,7860
475,2,6,2,1,5,7,0,24-01004,N
476,1,6,9,1,1,9,0,19-01700,7290
477,2,N,1,1,5,5,0,19-01700,7270
478,2,N,1,2,N,3,0,24-01004,N
479,2,1,2,0,0,6,0,13-04600,N
480,2,1,1,2,7,9,0,13-04600,9480
481,2,6,1,1,N,N,0,17-03531,N
482,1,6,1,1,7,12,0,29-01901,8870
483,1,1,6,1,N,N,0,26-02702,7870
484,2,1,2,1,6,7,0,26-02702,7870
485,1,4,1,1,7,9,0,40-00200,3390
486,2,5,1,1,N,N,0,06-07502,8170
487,2,6,2,1,N,3,0,24-01004,7270
488,2,1,1,1,8,7,0,17-03529,N
489,1,N,1,2,8,9,0,13-04600,8680
490,1,N,1,1,1,9,0,51-51255,N
491,1,1,1,1,1,10,0,51-51255,N
492,2,6,2,0,1,9,0,13-04600,6991
493,1,6,1,2,N,1,0,38-00100,N
494,2,2,8,1,N,N,0,13-04600,N
495,2,3,2,1,N,1,0,17-03529,N
496,2,1,1,0,2,5,0,24-01004,5480
497,1,6,1,1,4,10,0,32-00405,4971
498,1,N,2,1,1,4,0,06-08507,6992
499,1,1,1,1,N,3,0,36-03710,N
500,2,N,8,2,7,7,4,24-01004,N
501,1,6,2,2,4,9,1,38-00100,7390
502,2,N,1,1,8,3,0,17-03531,N
503,1,6,1,1,8,8,0,19-01700,N
504,1,4,1,1,0,7,0,36-04010,7690
505,2,6,9,1,3,4,0,38-00100,N
506,2,6,1,1,N,3,0,28-01100,N
507,1,1,1,1,4,3,4,36-03710,7380
508,1,1,1,2,N,3,0,06-08507,7470
509,2,6,1,1,0,3,0,51-01301,7380
510,1,6,3,1,5,10,0,24-01004,N
511,1,6,1,2,5,5,0,30-00600,7860
512,1,4,2,2,3,4,1,13-04600,5580
513,1,N,2,1,3,4,0,38-00100,N
514,2,1,1,1,2,5,0,06-07502,5593
515,1,1,3,2,3,9,0,38-00100,5790
516,2,6,1,2,9,11,0,51-51255,N
517,2,6,1,1,0,6,0,24-01004,N
518,2,6,1,1,5,6,0,26-02702,9490
519,1,1,3,1,1,4,0,38-00100,7860
520,1,1,1,2,4,10,1,19-01700,770
521,1,N,1,2,4,11,0,13-04600,N
522,1,N,2,1,2,9,0,06-08507,N
523,2,5,2,2,0,7,2,24-01004,5580
524,2,6,2,1,9,9,0,06-08507,7380
525,1,6,1,2,4,5,0,38-00100,N
526,1,1,1,1,4,3,0,32-00405,8660
527,1,1,1,2,N,3,0,36-04010,7460
528,1,1,1,1,5,7,0,17-03531,7280
529,2,2,8,1,7,8,0,24-01004,N
530,1,6,2,1,1,7,0,24-01004,9470
531,2,3,2,2,0,5,0,38-00100,7770
532,1,1,6,1,9,9,0,24-01004,9470
533,2,4,9,1,4,7,4,19-01700,6370
534,2,6,9,1,7,5,1,32-00405,770
535,1,4,1,1,3,7,0,19-01700,N
536,2,4,2,1,N,3,0,51-51255,9190
537,1,6,1,2,0,4,0,13-04600,N
538,2,1,1,0,0,7,0,29-01901,N
539,1,N,2,1,N,3,0,40-00200,N
540,1,1,1,0,0,9,2,36-03710,7490
541,1,6,1,1,8,12,0,17-03529,8170
542,2,6,2,1,9,12,0,51-51255,4971
543,1,1,2,1,4,5,0,13-04600,N
544,1,1,1,1,1,7,0,32-00405,N
545,1,6,1,1,4,9,0,24-01004,9160
546,1,4,1,2,0,12,0,24-01004,N
547,1,N,6,2,0,5,0,38-00100,8680
548,2,4,2,1,9,10,0,13-04600,5690
549,2,6,1,1,9,11,0,01-01301,8270
550,1,6,2,1,6,9,0,40-00200,N
551,1,N,1,2,9,10,0,38-00100,N
552,1,1,1,1,N,3,0,26-02702,2280
553,2,1,1,1,8,9,4,36-03710,9470
554,1,6,2,2,6,7,0,17-03531,N
555,1,6,2,1,8,10,0,17-03531,N
556,2,6,1,2,N,2,0,38-00100,N
557,1,6,1,2,7,7,0,19-01700,8191
558,2,N,1,1,8,9,0,26-02702,N
559,1,1,1,2,0,3,0,24-01004,9090
560,2,1,1,2,4,5,0,19-01700,8191
561,1,1,1,1,9,9,0,13-04600,N
562,2,3,2,2,7,10,0,19-01700,N
563,1,5,2,1,5,5,0,24-01004,7860
564,2,1,6,1,N,3,0,19-01700,3960
565,2,1,8,1,N,3,0,24-01004,7390
566,2,2,6,2,N,8,0,26-02702,9920
567,1,1,2,2,1,5,0,30-00600,N
568,2,2,2,1,5,5,0,01-01301,7970
569,2,6,2,2,5,9,0,30-00600,8780
570,1,6,8,1,5,5,0,17-03529,9490
571,1,6,1,2,7,7,0,28-01100,N
572,2,4,2,2,2,5,0,30-00600,9920
573,1,1,1,1,7,12,0,19-01700,N
574,2,6,1,2,1,5,0,24-01004,7380
575,1,1,1,1,2,4,0,17-03531,N
576,2,1,1,1,7,9,0,40-00200,8191
577,1,6,2,2,9,8,0,38-00100,N
578,1,6,1,1,3,3,0,17-03529,6070
579,1,1,1,1,0,4,0,40-00200,7680
580,2,N,1,1,6,9,0,38-00100,770
581,2,N,1,1,9,8,0,51-01301,3580
582,1,3,3,1,9,11,4,24-01004,7870
583,1,6,1,1,9,9,0,38-00100,5391
584,1,1,9,1,1,4,0,30-00600,7072
585,2,3,2,1,5,5,0,28-01100,N
586,2,6,1,2,N,3,0,38-00100,7380
587,2,6,1,1,1,7,0,13-04600,9480
588,2,6,2,1,6,7,0,38-00100,770
589,2,6,1,1,5,10,0,13-04600,9920
