,PUMA,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU,NOC,HISP
207,24-01004,56,1,5,1,1,1,N,2,10,0,0
208,38-00100,30,1,1,2,1,1,N,N,N,1,0
209,06-07502,76,6,4,2,1,2,N,8,4,0,0
210,24-01004,17,1,N,2,1,1,N,5,3,3,0
211,51-01301,37,1,N,2,1,1,N,0,9,0,0
212,28-01100,50,2,4,2,1,2,N,N,9,1,0
213,01-01301,44,2,6,1,1,1,N,8,12,2,0
214,24-01004,5,1,N,1,1,0,N,1,7,0,0
215,17-03529,14,9,6,2,1,2,N,7,9,0,0
216,30-00600,20,1,1,2,1,2,N,7,7,0,0
217,30-00600,19,1,1,1,1,1,N,0,9,0,0
218,28-01100,20,1,6,1,1,2,N,3,3,1,4
219,26-02702,73,1,N,2,1,1,N,0,3,0,4
220,51-01301,56,1,1,1,1,2,N,9,5,1,0
221,36-03710,80,2,6,2,1,1,N,N,12,0,0
222,01-01301,60,2,1,1,1,2,N,2,9,0,0
223,26-02702,55,1,1,1,1,1,N,6,8,0,0
224,08-00803,58,1,6,1,3,1,N,0,9,0,0
225,30-00600,77,1,6,1,1,2,N,1,4,2,0
226,08-00803,37,1,1,1,1,1,N,N,8,0,0
227,17-03529,31,9,N,2,1,1,N,8,10,0,0
228,26-02702,48,1,2,2,1,2,N,2,2,0,0
229,38-00100,16,1,6,2,3,1,N,1,2,3,0
230,06-08507,48,1,6,1,1,2,N,9,5,0,0
231,30-00600,72,1,6,1,2,1,N,8,9,0,0
232,19-01700,43,1,1,2,1,2,N,0,9,1,1
233,32-00405,39,8,4,1,1,1,N,9,7,0,0
234,24-01004,60,1,6,2,1,1,N,8,9,0,0
235,06-07502,48,1,6,2,1,2,N,2,4,1,1
236,06-08507,62,1,6,1,1,2,N,2,4,0,4
237,51-01301,16,1,6,2,1,2,N,2,8,0,0
238,06-07502,2,2,1,2,1,1,N,9,12,0,0
239,38-00100,66,1,4,1,1,1,N,7,6,0,0
240,26-02702,0,9,2,2,1,1,N,8,2,1,0
241,28-01100,22,2,1,2,1,1,N,6,5,1,4
242,06-08507,50,6,6,2,1,1,N,6,2,2,0
243,17-03531,12,2,6,2,1,2,N,N,9,0,0
244,13-04600,19,1,2,2,1,1,N,2,3,3,0
245,32-00405,10,8,1,1,1,1,N,7,2,2,0
246,30-00600,54,1,6,2,1,2,N,4,2,1,0
247,19-01700,26,6,1,1,1,1,N,N,7,0,0
248,24-01004,23,6,N,1,1,2,N,1,7,0,0
249,17-03529,56,2,6,1,3,1,N,9,7,0,0
250,19-01700,29,1,1,1,1,2,N,7,7,2,0
251,30-00600,61,1,1,2,1,2,N,1,9,0,0
252,36-04010,24,2,6,1,1,2,N,1,9,0,0
253,26-02702,17,1,5,1,1,2,N,7,7,0,1
254,19-01700,27,1,6,2,1,2,N,5,2,2,0
255,36-04010,18,1,6,1,3,1,N,2,9,0,4
256,24-01004,39,8,6,2,1,1,N,9,7,N,0
257,38-00100,42,1,1,2,1,2,N,2,12,0,0
258,13-04600,29,1,3,2,1,1,N,N,4,2,0
259,29-01901,70,2,1,2,1,1,N,0,7,0,0
260,17-03529,54,2,5,2,1,0,N,0,4,N,0
261,17-03531,76,2,1,2,1,1,N,1,5,0,0
262,51-51255,18,1,1,2,1,2,N,N,12,0,0
263,30-00600,5,1,6,2,1,2,N,N,7,0,1
264,51-51255,52,1,1,2,1,1,N,N,11,0,0
265,24-01004,46,1,1,2,1,1,N,7,3,3,0
266,38-00100,3,9,6,1,1,1,N,8,9,0,0
267,17-03529,22,2,4,1,1,1,N,9,7,2,0
268,24-01004,77,1,N,1,1,2,N,8,3,1,0
269,30-00600,42,1,6,1,1,2,N,9,7,1,0
270,17-03529,71,2,N,2,1,1,N,0,8,0,0
271,13-04600,29,1,1,2,1,1,N,N,3,1,0
272,29-01901,16,1,1,2,1,1,N,1,7,0,0
273,38-00100,30,3,1,1,1,1,N,6,7,0,0
274,36-03710,25,2,1,1,1,1,N,8,7,0,0
275,24-01004,64,1,6,1,2,1,N,7,5,0,0
276,06-07502,56,6,6,2,1,1,N,6,8,0,0
277,26-02702,42,1,N,1,1,2,N,3,9,2,0
278,17-03529,11,9,4,1,2,1,N,9,9,0,0
279,32-00405,19,2,6,1,1,1,N,N,4,0,0
280,38-00100,86,1,3,2,1,1,N,5,5,N,0
281,17-03529,45,2,4,2,1,1,N,5,6,N,0
282,24-01004,12,6,1,1,1,2,N,4,4,2,0
283,36-04010,60,2,2,2,1,1,N,0,5,2,1
284,13-04600,25,1,6,1,3,1,N,3,5,N,0
285,38-00100,66,1,6,1,1,1,N,9,7,0,0
286,30-00600,5,1,6,1,3,1,N,1,6,0,2
287,08-00803,88,1,1,2,1,1,N,5,5,N,0
288,51-51255,70,1,N,2,1,2,N,N,8,0,0
289,28-01100,22,2,1,1,1,1,N,N,10,0,0
290,24-01004,14,1,1,2,1,2,N,5,8,0,0
291,40-00200,38,3,6,1,1,1,N,6,N,3,0
292,24-01004,52,1,1,2,1,1,N,9,11,0,0
293,32-00405,28,1,6,1,1,1,N,N,10,0,0
294,06-07502,53,2,3,2,1,1,N,7,9,2,0
295,30-00600,53,1,4,2,1,1,N,4,7,N,0
296,30-00600,17,1,1,1,1,1,N,N,6,0,3
297,13-04600,53,1,1,2,1,0,N,3,10,0,0
298,26-02702,33,1,1,1,1,1,N,7,12,0,0
299,19-01700,24,6,3,2,1,2,N,N,7,0,0
300,24-01004,19,1,6,1,1,1,N,8,6,0,0
301,30-00600,67,1,6,2,1,1,N,0,1,1,0
302,32-00405,68,8,6,1,1,0,N,0,9,0,0
303,17-03531,50,2,2,2,1,1,N,1,11,0,0
304,51-51255,28,1,1,2,1,0,N,0,4,0,0
305,36-04010,72,2,4,2,1,1,N,3,6,0,0
306,06-07502,25,1,N,2,1,1,N,N,3,5,0
307,30-00600,2,1,1,2,1,1,N,4,5,0,0
308,38-00100,23,9,1,2,1,2,N,N,9,0,0
309,28-01100,52,1,N,2,1,1,N,4,9,0,0
310,06-08507,33,1,2,2,1,2,N,6,5,0,4
311,36-04010,42,2,1,2,1,1,N,N,8,2,0
312,19-01700,36,1,6,2,1,2,N,4,10,0,0
313,17-03529,88,2,N,2,1,2,N,5,7,0,0
314,51-01301,26,1,6,1,1,2,N,7,9,0,0
315,19-01700,11,1,6,1,1,1,N,7,1,3,0
316,29-01901,73,1,1,1,1,2,N,7,7,0,0
317,24-01004,14,1,N,1,1,2,N,7,2,2,0
318,29-01901,30,1,6,1,2,2,N,4,3,0,0
319,30-00600,4,1,1,2,1,1,N,0,12,0,2
320,19-01700,18,1,4,2,1,2,N,0,N,1,0
321,06-07502,89,1,N,2,1,1,N,9,5,N,0
322,24-01004,56,1,1,2,1,2,N,6,7,N,0
323,32-00405,22,1,3,1,1,1,N,6,10,0,0
324,51-01301,32,1,6,1,2,0,N,1,4,2,0
325,38-00100,79,1,1,1,1,2,N,1,7,0,0
326,36-04010,33,2,1,1,1,1,N,9,4,0,0
327,36-03710,59,1,1,1,1,1,N,2,5,0,0
328,24-01004,70,1,1,2,1,2,N,2,5,N,0
329,38-00100,74,1,N,1,1,1,N,4,N,2,0
330,40-00200,62,1,6,2,1,2,N,0,7,N,0
331,38-00100,4,1,4,1,1,1,N,8,3,4,0
332,19-01700,23,1,1,1,1,2,N,2,9,3,0
333,24-01004,18,1,3,2,1,1,N,7,12,2,0
334,06-08507,0,1,6,2,1,2,N,5,10,0,0
335,28-01100,4,1,6,2,1,2,N,N,7,0,0
336,24-01004,41,1,3,2,1,2,N,0,2,2,0
337,24-01004,61,6,N,2,1,2,5,7,4,1,0
338,08-00803,27,1,5,2,1,2,N,3,12,0,0
339,40-00200,52,3,N,2,1,1,N,N,7,0,0
340,30-00600,4,1,6,2,1,1,N,1,8,0,0
341,30-00600,23,1,N,2,1,1,N,N,4,0,0
342,40-00200,77,1,1,1,1,1,N,3,3,5,4
343,24-01004,73,1,1,1,1,2,N,0,12,0,0
344,08-00803,85,9,N,1,1,1,N,0,6,1,0
345,51-01301,10,2,6,1,1,1,N,N,9,0,0
346,51-01301,72,1,6,1,1,1,N,8,5,0,0
347,19-01700,75,1,4,1,1,0,N,0,4,0,0
348,13-04600,21,2,1,1,1,2,N,7,7,0,0
349,24-01004,47,1,6,2,1,1,N,9,3,3,0
350,51-51255,3,2,6,1,1,1,N,2,3,2,0
351,01-01301,69,1,6,1,1,2,N,7,4,5,0
352,38-00100,63,1,6,2,3,1,N,3,9,0,0
353,06-07502,28,9,6,1,3,0,N,2,9,0,0
354,40-00200,54,1,1,1,1,1,N,4,9,0,0
355,38-00100,3,3,6,2,1,1,N,N,1,3,0
356,51-01301,6,9,6,1,1,2,N,0,9,1,0
357,30-00600,9,1,6,2,1,1,N,9,9,0,0
358,32-00405,60,1,1,2,1,1,N,9,7,2,0
359,30-00600,66,1,1,1,1,1,N,N,5,0,0
360,06-07502,76,1,N,1,1,2,N,1,7,0,0
361,30-00600,23,3,6,2,1,2,N,4,10,1,0
362,06-08507,35,6,N,2,1,1,N,3,7,0,0
363,24-01004,40,1,5,2,1,2,N,2,9,0,0
364,08-00803,31,1,6,2,3,2,N,6,4,N,0
365,30-00600,94,3,4,2,1,0,N,0,4,0,0
366,28-01100,72,1,6,1,3,2,N,N,6,0,0
367,13-04600,67,2,1,1,1,1,N,5,10,2,0
368,28-01100,68,2,6,1,1,1,N,9,12,2,0
369,13-04600,7,2,1,1,1,2,N,9,5,0,0
370,30-00600,51,1,1,1,1,1,N,2,3,4,0
371,36-04010,79,2,6,2,1,2,N,5,7,0,0
372,06-08507,56,1,1,2,1,1,N,9,10,0,0
373,28-01100,8,2,1,2,1,2,N,2,7,N,0
374,01-01301,66,2,1,1,1,1,N,5,5,0,1
375,28-01100,66,2,1,1,1,2,N,4,9,1,0
376,28-01100,51,6,6,1,2,1,N,9,7,0,0
377,32-00405,14,8,N,1,1,0,N,0,10,0,0
378,51-01301,33,1,6,1,3,2,N,6,5,0,0
379,26-02702,53,6,3,1,2,1,N,9,3,3,0
380,19-01700,36,1,6,1,1,1,N,9,10,1,0
381,06-08507,35,6,6,1,1,2,N,N,10,0,0
382,17-03529,17,2,6,1,1,1,N,2,9,0,0
383,51-51255,36,1,1,2,1,2,N,4,9,0,0
384,30-00600,26,1,1,1,1,1,N,N,5,0,1
385,30-00600,59,3,6,2,1,1,N,5,9,1,2
386,28-01100,50,2,6,2,1,1,N,N,5,7,0
387,30-00600,94,1,1,1,1,1,N,3,4,1,1
388,17-03529,32,2,1,2,1,2,N,N,9,0,0
389,30-00600,8,3,1,2,1,1,N,5,9,0,0
390,30-00600,78,1,N,2,1,1,N,6,10,0,0
391,08-00803,19,1,1,1,1,2,N,0,4,1,0
392,36-04010,63,1,3,1,1,1,N,8,10,0,0
393,13-04600,65,2,N,1,1,2,N,6,5,0,0
394,28-01100,61,2,2,2,1,1,N,6,6,0,1
395,01-01301,61,2,2,1,2,0,N,0,5,1,4
396,06-08507,53,6,N,1,1,1,N,9,5,0,0
397,08-00803,58,1,1,2,1,2,N,N,5,0,0
398,17-03529,1,2,1,2,1,1,N,5,1,3,0
399,26-02702,33,1,6,2,1,2,N,9,4,2,0
400,30-00600,68,1,1,1,1,2,N,0,5,2,0
401,38-00100,56,1,6,1,3,2,N,5,7,0,0
402,13-04600,21,6,6,1,1,1,N,0,3,2,0
403,51-01301,28,2,N,2,1,1,N,4,7,N,0
404,17-03529,67,1,N,2,1,1,N,6,2,2,0
405,06-08507,0,6,N,2,1,1,N,8,12,0,0
406,29-01901,12,2,1,2,1,1,N,N,3,0,0
407,01-01301,44,2,1,1,1,1,N,N,10,0,0
408,40-00200,51,1,1,1,1,2,N,2,3,0,0
409,36-03710,25,8,1,1,1,1,N,0,9,2,0
410,17-03531,45,2,1,1,1,2,N,5,9,0,0
411,08-00803,62,1,N,1,1,2,N,2,5,0,0
412,38-00100,77,3,1,2,1,2,N,N,4,0,4
413,40-00200,68,1,1,2,1,1,N,9,9,2,0
414,36-04010,63,2,1,2,1,1,N,9,6,0,0
415,30-00600,28,1,6,2,1,2,N,3,10,0,0
416,36-04010,4,2,4,1,1,1,N,N,3,2,0
417,24-01004,38,1,1,1,1,1,N,N,3,0,0
418,30-00600,28,1,1,1,1,1,N,0,10,0,0
419,36-03710,54,8,6,1,1,1,N,N,10,1,0
420,51-01301,29,1,6,2,1,2,N,7,8,0,0
421,51-51255,55,6,6,2,1,2,N,3,9,0,0
422,06-07502,28,2,6,2,1,1,N,2,3,1,4
423,51-01301,57,1,N,2,1,1,N,7,12,1,0
424,51-51255,61,1,N,1,1,2,N,N,8,0,0
425,51-01301,88,9,6,2,1,2,N,N,5,0,0
426,24-01004,9,1,1,1,1,1,N,9,10,0,0
427,17-03529,71,2,3,1,1,1,N,9,7,0,0
428,24-01004,77,1,6,2,1,2,N,N,7,0,0
429,08-00803,20,1,1,1,1,1,N,7,5,1,0
430,30-00600,18,1,6,1,1,1,N,9,11,0,0
431,28-01100,69,1,N,2,1,2,N,N,5,0,0
432,24-01004,11,1,4,2,1,2,N,6,9,0,0
433,38-00100,73,1,1,2,1,1,N,4,9,0,0
434,19-01700,11,8,4,2,1,0,N,0,3,0,0
435,17-03529,36,1,6,1,1,2,N,3,10,0,0
436,30-00600,39,1,1,1,1,1,N,1,7,2,0
437,24-01004,63,1,6,2,1,1,N,8,10,1,0
438,29-01901,6,2,1,1,1,1,N,N,5,2,0
439,38-00100,30,1,6,2,1,2,N,9,3,0,2
440,06-08507,8,6,2,2,1,2,N,9,7,1,0
441,32-00405,72,8,N,1,1,1,N,N,9,1,0
442,06-07502,70,6,6,1,1,1,N,N,4,1,0
443,08-00803,19,1,1,2,1,1,N,N,7,0,0
444,24-01004,35,1,6,2,3,2,N,4,9,0,0
445,13-04600,56,2,1,1,1,1,N,0,5,1,0
446,38-00100,55,1,6,1,1,1,N,9,9,0,0
447,06-08507,49,1,6,1,3,1,N,6,7,0,0
448,08-00803,8,1,6,2,1,2,N,6,3,1,0
449,08-00803,56,1,N,1,1,2,N,5,5,4,0
450,08-00803,79,1,1,1,1,2,N,9,4,0,0
451,13-04600,73,2,6,1,1,1,N,1,10,2,0
452,51-01301,77,1,6,2,1,2,N,N,9,0,0
453,51-01301,24,1,1,1,1,1,N,9,7,N,0
454,26-02702,72,2,1,2,1,1,N,3,9,0,0
455,38-00100,65,1,6,2,1,1,N,1,7,N,0
456,08-00803,60,1,2,1,1,2,N,9,9,1,0
457,36-04010,43,2,6,1,1,1,N,4,5,0,0
458,30-00600,47,1,1,1,1,1,N,4,1,0,0
459,51-01301,74,1,1,2,1,1,N,4,12,0,0
460,24-01004,40,1,1,2,1,1,N,9,10,0,0
461,19-01700,77,1,6,1,1,2,N,7,7,1,0
462,17-03531,45,2,1,2,1,1,N,2,8,2,0
463,36-03710,17,2,1,2,1,1,N,6,7,0,0
464,40-00200,53,3,1,1,1,2,N,4,2,2,0
465,51-01301,10,6,N,2,1,1,N,9,1,0,0
466,29-01901,20,1,6,1,1,0,N,1,5,0,0
467,17-03531,11,2,6,2,1,1,N,8,10,0,1
468,36-03710,68,8,6,2,1,1,N,4,7,0,0
469,38-00100,16,1,1,2,1,2,N,0,3,0,0
470,32-00405,76,1,6,2,1,1,N,9,4,0,0
471,30-00600,20,1,6,2,1,1,N,2,5,2,0
472,51-51255,29,6,1,2,1,0,N,1,5,0,0
473,38-00100,45,1,6,2,1,0,N,1,5,1,0
474,19-01700,2,1,1,2,1,2,N,N,5,0,0
475,28-01100,87,1,1,1,1,1,N,1,6,0,0
476,06-07502,22,1,4,2,1,1,N,N,4,0,0
