"","AGEP","SEX","MSP","RAC1P","EDU","PINCP_DECILE","DVET","DREM","HOUSING_TYPE","OWN_RENT"
"149","30","2","6","1","10","8","N","2","1","2"
"150","26","1","6","8","4","7","N","2","1","2"
"151","13","2","N","6","3","N","N","2","1","1"
"152","29","1","6","2","5","4","N","2","1","2"
"153","23","1","6","2","7","4","N","2","1","2"
"154","34","2","6","1","12","9","N","2","1","2"
"155","70","1","1","2","4","3","N","1","1","1"
"156","66","1","1","1","9","7","N","2","1","1"
"157","61","2","1","1","7","1","N","2","1","1"
"158","65","2","3","2","6","2","N","2","1","2"
"159","36","1","6","1","10","9","N","2","1","1"
"160","76","1","4","1","7","2","N","1","1","2"
"161","23","2","6","1","7","2","N","2","2","0"
"162","69","1","1","1","5","3","N","2","1","1"
"163","59","2","6","2","5","6","N","2","1","1"
"164","31","1","6","2","7","9","N","2","1","2"
"165","44","2","6","2","7","1","N","2","1","1"
"166","1","1","N","1","N","N","N","N","1","1"
"167","40","2","2","1","10","8","N","2","1","1"
"168","73","2","1","1","10","7","N","2","1","1"
"169","58","2","1","1","10","9","N","2","1","1"
"170","32","1","6","2","9","7","N","2","1","2"
"171","27","2","6","1","8","5","N","2","2","0"
"172","84","1","4","9","9","9","N","2","1","1"
"173","79","2","4","1","3","5","N","1","1","2"
"174","27","2","6","2","10","5","N","2","1","2"
"175","58","1","6","1","5","6","N","2","1","2"
"176","71","2","1","1","8","3","N","2","1","1"
"177","20","1","6","2","7","1","N","2","3","0"
"178","48","1","1","6","9","9","N","2","1","1"
"179","21","1","6","1","7","5","N","2","1","2"
"180","36","2","1","1","7","6","N","2","1","1"
"181","78","2","6","6","12","2","N","2","1","1"
"182","33","2","6","6","7","2","N","2","3","0"
"183","46","1","1","1","11","6","N","2","1","1"
"184","52","2","6","1","7","1","N","2","1","2"
"185","0","2","N","1","N","N","N","N","1","1"
"186","13","1","N","2","3","N","N","2","1","2"
"187","26","2","6","2","9","5","N","2","1","2"
"188","33","2","1","2","4","4","N","2","1","1"
"189","32","1","6","2","9","8","N","2","1","2"
"190","16","2","6","2","4","0","N","2","1","1"
"191","31","1","6","1","11","9","N","2","1","2"
"192","46","2","1","1","5","7","N","2","1","1"
"193","45","1","2","6","1","0","N","2","3","0"
"194","35","1","6","2","9","6","N","2","1","2"
"195","47","1","1","1","9","9","N","2","1","1"
"196","57","2","1","1","10","8","N","2","1","1"
"197","7","1","N","1","3","N","N","2","1","1"
"198","75","1","1","2","7","0","N","2","1","1"
"199","48","2","1","1","5","8","N","2","1","1"
"200","62","2","1","2","5","3","N","2","1","2"
"201","54","2","2","2","8","0","N","2","1","1"
"202","46","2","6","2","3","5","N","2","1","1"
"203","41","2","5","8","5","3","N","2","1","1"
"204","23","2","6","1","7","1","N","2","3","0"
"205","25","1","4","3","7","4","N","2","1","2"
"206","30","2","6","9","11","3","N","2","1","2"
"207","75","2","1","1","11","7","N","2","1","1"
"208","6","1","N","2","2","N","N","2","1","2"
"209","95","2","1","1","9","2","N","2","1","2"
"210","54","2","1","1","5","7","N","2","1","2"
"211","75","2","1","1","7","3","N","1","1","1"
"212","10","2","N","2","3","N","N","2","1","1"
"213","66","1","4","1","5","6","N","2","1","1"
"214","52","2","6","2","4","3","N","2","1","1"
"215","5","2","N","1","1","N","N","2","1","2"
"216","38","2","1","2","5","4","N","2","1","1"
"217","28","1","6","9","4","0","N","2","1","2"
"218","32","2","6","2","9","0","N","2","1","1"
"219","28","1","6","1","9","4","N","2","1","2"
"220","36","1","1","1","11","9","N","2","1","2"
"221","24","1","1","6","9","2","N","2","1","1"
"222","44","2","1","1","12","8","N","2","1","1"
"223","23","2","6","9","10","5","N","2","1","1"
"224","14","1","N","2","3","N","N","2","1","2"
"225","50","2","4","1","10","9","N","2","1","1"
"226","62","1","4","1","10","9","N","2","1","1"
"227","51","1","1","1","10","8","N","2","1","1"
"228","27","1","6","1","10","2","N","2","1","2"
"229","86","1","1","1","9","9","N","2","1","1"
"230","62","2","1","1","7","3","N","2","1","1"
"231","73","1","1","1","9","0","N","2","1","1"
"232","30","2","6","2","9","5","N","2","1","2"
"233","79","2","1","1","9","6","N","2","1","1"
"234","48","2","1","2","6","4","N","2","1","2"
"235","50","2","1","1","9","6","N","2","1","1"
"236","66","2","4","1","7","4","N","2","1","1"
"237","69","2","4","2","9","5","N","2","1","1"
"238","26","2","6","1","6","3","N","1","1","1"
"239","64","2","4","1","8","7","N","2","1","1"
"240","24","1","6","8","7","0","N","2","1","2"
"241","41","1","1","6","10","9","N","2","1","1"
"242","54","1","4","2","7","5","N","2","1","2"
"243","19","2","6","1","7","1","N","2","3","0"
"244","67","2","1","1","10","7","N","2","1","1"
"245","17","2","6","1","4","0","N","2","1","2"
"246","48","1","6","8","5","0","N","2","2","0"
"247","74","2","3","1","5","3","N","1","1","1"
"248","15","2","6","2","4","0","N","2","1","2"
"249","39","2","6","2","6","6","N","2","1","2"
"250","48","1","1","5","10","9","N","2","1","2"
"251","46","2","4","1","10","9","N","2","1","1"
"252","0","2","N","1","N","N","N","N","1","1"
"253","36","2","6","2","7","0","N","2","1","2"
"254","38","2","6","8","7","3","N","2","1","1"
"255","35","2","5","2","9","0","N","2","1","2"
"256","94","2","3","6","9","2","N","2","1","1"
"257","20","2","6","9","5","0","N","2","1","2"
"258","6","2","N","1","2","N","N","2","1","2"
"259","30","2","6","9","4","0","N","2","1","1"
"260","64","2","1","2","7","0","N","2","1","1"
"261","23","1","6","2","8","3","N","2","1","2"
"262","76","1","1","1","10","9","N","2","1","1"
"263","2","1","N","1","N","N","N","N","1","1"
"264","81","1","6","2","5","2","N","2","1","1"
"265","59","2","4","8","4","2","N","2","1","2"
"266","29","1","1","1","10","9","N","2","1","1"
"267","20","2","6","1","7","0","N","2","3","0"
"268","15","2","6","1","4","0","N","2","1","1"
"269","21","1","6","1","7","0","N","2","1","2"
"270","36","1","1","1","9","9","N","2","1","1"
"271","10","1","N","1","3","N","N","2","1","1"
"272","57","2","6","2","7","4","N","1","1","1"
"273","89","2","1","1","7","3","N","2","1","2"
"274","21","1","6","1","7","2","N","2","1","2"
"275","27","1","5","2","5","1","N","2","1","1"
"276","59","2","4","2","5","9","N","2","1","1"
"277","42","2","1","1","9","2","N","2","1","2"
"278","76","2","4","2","7","3","N","2","1","1"
"279","11","1","N","6","3","N","N","2","1","1"
"280","63","1","1","2","7","6","N","2","1","2"
"281","64","1","1","1","10","9","N","2","1","1"
"282","10","2","N","1","3","N","N","2","1","2"
"283","10","2","N","1","3","N","N","2","1","1"
"284","67","2","4","3","7","5","N","2","1","1"
"285","57","2","2","2","9","3","N","2","1","2"
"286","45","2","1","6","9","0","N","1","1","1"
"287","14","2","N","1","3","N","N","2","1","1"
"288","28","1","1","6","10","7","N","2","1","1"
"289","23","1","6","1","9","1","N","2","3","0"
"290","66","2","1","1","10","9","N","2","1","1"
"291","41","2","1","1","11","7","N","2","1","1"
"292","30","2","6","1","9","5","N","2","1","2"
"293","60","2","6","1","9","3","N","2","1","2"
"294","66","2","1","1","11","9","N","2","1","1"
"295","49","2","6","2","5","4","N","2","1","2"
"296","87","1","4","1","7","5","N","2","1","1"
"297","29","1","1","1","4","0","N","2","1","1"
"298","57","2","4","2","5","7","N","2","1","2"
"299","42","2","6","9","3","2","N","1","1","2"
"300","65","1","6","6","12","9","N","2","1","2"
"301","34","2","4","1","11","6","N","2","1","1"
"302","61","2","1","1","5","3","N","2","1","1"
"303","79","2","2","2","7","6","N","2","1","1"
"304","29","1","1","1","7","5","N","2","1","2"
"305","16","1","6","6","3","0","N","2","1","1"
"306","11","1","N","2","3","N","N","1","1","2"
"307","68","1","1","2","6","5","N","2","1","2"
"308","1","1","N","1","N","N","N","N","3","0"
"309","11","1","N","3","3","N","N","2","1","2"
"310","15","2","6","2","4","0","N","2","1","1"
"311","34","2","1","1","10","8","N","2","1","1"
"312","6","2","N","1","2","N","N","2","1","1"
"313","13","1","N","2","3","N","N","2","1","1"
"314","40","2","3","1","8","9","N","2","1","1"
"315","76","1","3","2","9","3","N","2","1","1"
"316","37","2","6","6","11","7","N","2","1","2"
"317","15","1","6","6","3","0","N","2","1","1"
"318","4","1","N","9","2","N","N","N","1","2"
"319","7","1","N","1","3","N","N","2","1","1"
"320","40","1","6","2","5","1","N","2","1","2"
"321","35","2","1","2","7","7","N","2","1","2"
"322","51","2","5","8","6","2","N","2","1","2"
"323","21","2","6","2","5","1","N","2","3","0"
"324","72","2","1","2","8","2","N","2","1","1"
"325","86","2","3","1","7","4","N","1","1","1"
"326","32","1","6","1","7","6","N","2","1","2"
"327","10","2","N","1","3","N","N","2","1","1"
"328","86","1","1","1","12","9","N","2","1","1"
"329","16","2","6","3","4","0","N","2","1","1"
"330","57","2","1","1","10","9","N","2","1","1"
"331","39","2","1","1","9","8","N","2","1","1"
"332","1","1","N","9","N","N","N","N","1","1"
"333","24","2","1","6","9","4","N","2","1","1"
"334","39","1","2","2","5","5","N","2","1","2"
"335","27","1","6","2","1","0","N","2","3","0"
"336","17","1","6","6","4","0","N","2","1","1"
"337","30","2","6","1","9","8","N","2","1","2"
"338","41","2","4","2","5","1","N","2","1","2"
"339","29","2","6","1","9","3","N","2","1","2"
"340","83","1","1","1","6","2","N","1","1","1"
"341","10","2","N","1","3","N","N","2","1","1"
"342","37","1","1","1","10","9","N","2","1","1"
"343","71","2","1","1","10","3","N","2","1","1"
"344","70","2","4","2","10","6","N","2","1","1"
"345","5","1","N","1","2","N","N","2","1","1"
"346","55","1","1","2","7","8","N","2","1","1"
"347","27","2","1","1","10","0","N","2","1","1"
"348","43","2","1","6","12","2","N","2","1","1"
"349","7","1","N","1","3","N","N","2","1","2"
"350","16","1","6","1","4","1","N","2","1","1"
"351","37","2","1","6","10","8","N","2","1","1"
"352","62","1","1","1","5","0","N","2","1","1"
"353","8","2","N","1","3","N","N","2","1","2"
"354","62","2","1","2","7","0","N","2","1","1"
"355","31","2","1","1","10","7","N","2","1","2"
"356","39","2","2","8","9","8","N","2","1","1"
"357","67","1","1","1","7","4","N","2","1","1"
"358","54","2","1","2","5","0","N","2","1","1"
"359","68","2","4","2","1","2","N","2","1","2"
"360","63","2","1","1","9","0","N","2","1","2"
"361","1","1","N","2","N","N","N","N","1","1"
"362","53","1","6","2","4","8","N","2","1","1"
"363","33","1","6","3","10","7","N","2","1","2"
"364","54","2","2","2","4","0","N","2","2","0"
"365","35","1","6","9","4","7","N","2","1","2"
"366","5","1","N","1","2","N","N","2","1","1"
"367","9","1","N","2","3","N","N","2","1","1"
"368","57","1","4","1","10","9","N","2","1","1"
"369","5","1","N","1","2","N","N","2","1","2"
"370","20","2","6","1","7","0","N","2","3","0"
"371","72","2","6","1","8","4","N","2","1","1"
"372","38","1","6","2","1","0","N","1","2","0"
"373","72","1","4","1","9","6","N","2","1","1"
"374","29","2","1","1","10","8","N","2","1","2"
"375","25","2","6","6","9","7","N","2","1","2"
"376","41","1","4","1","9","4","N","2","1","1"
"377","9","2","N","2","3","N","N","2","1","1"
"378","25","1","6","2","5","3","N","2","1","2"
"379","0","1","N","1","N","N","N","N","1","1"
"380","50","2","1","6","10","8","N","2","1","1"
"381","6","2","N","6","2","N","N","2","1","1"
"382","52","1","4","1","4","1","N","2","1","1"
"383","20","2","6","1","6","5","N","2","1","1"
"384","39","2","5","1","8","5","N","2","3","0"
"385","75","1","1","6","10","1","N","2","1","1"
"386","1","1","N","9","N","N","N","N","1","1"
"387","26","2","2","1","7","6","N","2","1","2"
"388","10","2","N","3","3","N","N","2","1","1"
"389","64","1","6","1","5","6","N","2","1","1"
"390","31","1","1","1","10","6","N","2","1","1"
"391","34","1","6","1","8","1","N","2","1","1"
"392","30","2","6","3","5","4","N","2","1","2"
"393","60","2","6","3","9","8","N","2","1","1"
"394","65","2","5","6","10","4","N","2","1","2"
"395","34","1","6","2","9","6","N","2","1","2"
"396","27","1","6","1","9","8","N","2","1","2"
"397","3","1","N","1","1","N","N","N","1","2"
"398","60","1","1","2","9","9","N","2","1","1"
"399","11","1","N","1","3","N","N","2","1","1"
"400","20","2","6","1","5","5","N","2","1","2"
"401","64","2","1","1","7","3","N","2","1","1"
"402","37","1","6","1","5","2","N","2","1","2"
"403","64","1","6","1","7","7","N","2","1","1"
"404","12","2","N","2","3","N","N","2","1","1"
"405","17","2","6","3","4","0","N","2","1","2"
"406","66","1","4","2","7","2","N","2","1","1"
"407","55","1","4","2","7","6","N","2","1","1"
"408","37","1","6","1","5","0","N","1","2","0"
"409","29","2","5","9","7","7","N","2","1","1"
"410","15","1","6","6","4","0","N","2","1","1"
"411","68","1","1","2","6","4","N","2","1","1"
"412","32","2","4","1","9","9","N","2","1","1"
"413","59","1","1","1","10","9","N","2","1","1"
"414","70","1","6","1","9","9","N","2","1","1"
"415","26","1","1","1","9","3","N","2","1","1"
"416","7","1","N","3","3","N","N","2","1","1"
"417","45","1","6","1","9","6","N","2","1","1"
"418","60","2","1","1","9","8","N","2","1","1"
"419","5","2","N","1","2","N","N","2","1","1"
"420","77","1","1","1","10","9","N","2","1","1"
"421","35","2","4","8","12","4","N","2","1","2"
"422","12","2","N","1","3","N","N","2","1","1"
"423","1","1","N","1","N","N","N","N","1","1"
"424","26","1","6","8","7","4","N","2","1","2"
"425","31","1","6","1","10","8","N","2","1","1"
"426","29","1","1","1","9","8","N","2","1","1"
"427","21","1","6","1","7","0","N","2","3","0"
"428","2","1","N","9","N","N","N","N","1","1"
"429","48","1","4","3","7","4","N","2","1","1"
"430","65","1","1","1","5","6","N","2","1","1"
"431","5","1","N","1","2","N","N","2","1","2"
"432","0","2","N","1","N","N","N","N","1","2"
"433","50","2","1","2","9","4","N","2","1","2"
"434","4","1","N","1","2","N","N","N","1","1"
"435","52","2","1","1","9","7","N","2","1","1"
"436","71","2","4","1","8","2","N","2","1","2"
"437","68","1","1","6","9","7","N","2","1","1"
"438","35","2","1","1","9","8","N","2","1","1"
"439","7","2","N","1","3","N","N","1","1","1"
"440","15","1","6","1","4","0","N","2","1","1"
"441","18","2","6","6","4","5","N","2","1","2"
"442","29","2","6","1","9","0","N","2","1","2"
"443","66","2","1","1","9","1","N","2","1","1"
"444","70","1","1","3","5","4","N","2","1","2"
"445","4","1","N","6","1","N","N","N","1","2"
"446","36","1","6","2","7","7","N","2","1","2"
"447","4","2","N","1","1","N","N","N","1","1"
"448","67","1","1","1","7","9","3","2","1","1"
"449","12","1","N","2","3","N","N","2","1","2"
"450","36","1","1","1","9","9","N","2","1","2"
"451","9","2","N","1","3","N","N","2","1","2"
"452","23","2","1","6","7","4","N","2","1","1"
"453","5","2","N","2","1","N","N","2","1","1"
"454","33","1","1","2","6","1","N","2","1","2"
"455","36","1","6","1","5","3","N","2","1","2"
"456","40","1","6","1","10","9","N","2","1","2"
"457","39","1","2","6","12","8","N","2","1","2"
"458","17","2","6","1","5","1","N","2","1","1"
"459","37","1","1","1","9","7","N","2","1","1"
"460","65","1","1","2","10","6","N","2","1","1"
"461","47","2","1","2","7","2","N","2","1","1"
"462","57","2","1","1","5","5","N","2","1","1"
"463","21","2","6","2","8","3","N","2","1","1"
"464","8","1","N","1","3","N","N","2","1","2"
"465","58","1","1","1","4","2","N","2","1","2"
"466","17","1","6","6","4","0","N","1","1","2"
"467","72","1","1","2","7","8","N","2","1","1"
"468","18","2","6","1","7","0","N","2","3","0"
"469","34","1","1","1","7","8","N","2","1","2"
"470","52","1","6","2","5","7","N","2","1","2"
"471","4","2","N","1","1","N","N","N","1","2"
"472","94","1","1","1","9","8","N","2","1","1"
"473","23","1","6","1","9","7","N","1","1","2"
"474","18","1","6","1","7","0","N","2","2","0"
"475","55","1","1","2","5","7","N","2","1","1"
"476","63","2","1","2","10","8","N","2","1","2"
"477","12","2","N","1","3","N","N","2","1","1"
"478","10","1","N","3","3","N","N","2","1","2"
"479","49","1","1","1","5","9","N","2","1","1"
"480","24","1","6","8","6","4","N","2","1","2"
"481","16","2","6","2","4","0","N","2","1","1"
"482","20","2","6","8","7","2","N","2","3","0"
"483","68","2","4","2","7","6","N","2","1","1"
"484","18","2","6","1","7","0","N","2","3","0"
"485","72","1","4","1","5","4","N","2","1","1"
"486","53","2","1","1","9","8","N","2","1","2"
"487","45","1","1","1","10","9","N","2","1","1"
"488","20","2","6","8","7","2","N","2","3","0"
"489","20","2","6","1","7","2","N","2","3","0"
"490","6","1","N","9","2","N","N","2","1","2"
"491","63","2","1","2","5","3","N","2","1","1"
"492","26","1","6","1","4","5","N","2","1","2"
"493","18","2","6","2","3","0","N","2","3","0"
"494","64","2","1","6","9","2","N","2","1","1"
"495","27","2","6","2","9","8","N","2","1","2"
"496","63","2","4","2","9","7","N","2","1","1"
"497","8","1","N","9","3","N","N","1","1","1"
"498","15","2","6","2","3","0","N","2","1","1"
"499","32","1","1","1","7","7","N","2","1","2"
"500","47","2","1","1","10","6","N","2","1","1"
"501","1","2","N","9","N","N","N","N","1","2"
"502","55","1","1","5","7","0","N","2","1","1"
"503","42","1","1","2","9","9","N","2","1","1"
"504","38","1","6","1","11","9","N","2","1","1"
"505","47","2","1","1","10","2","N","2","1","1"
"506","84","1","6","9","9","3","N","2","1","1"
"507","5","2","N","1","2","N","N","2","1","1"
"508","13","1","N","1","3","N","N","2","1","1"
"509","43","2","1","1","6","2","N","2","1","1"
"510","74","2","3","2","3","3","N","2","1","1"
"511","33","2","4","8","3","2","N","2","1","2"
"512","13","1","N","3","3","N","N","2","1","1"
"513","41","1","1","1","10","9","N","2","1","1"
"514","2","2","N","9","N","N","N","N","1","2"
"515","53","2","6","1","10","9","3","2","1","1"
"516","21","2","6","6","7","0","N","2","1","2"
"517","42","1","1","6","10","8","N","2","1","1"
"518","15","1","6","2","4","0","N","2","1","1"
"519","75","2","1","1","9","9","N","2","1","1"
"520","29","1","6","1","12","6","N","2","1","1"
"521","49","1","1","1","10","6","N","2","1","1"
"522","17","2","6","1","4","0","N","2","1","2"
"523","42","2","1","6","10","0","N","2","1","1"
"524","75","2","1","1","9","6","N","2","1","1"
"525","0","1","N","2","N","N","N","N","1","2"
"526","21","1","6","1","7","5","N","2","1","2"
"527","27","2","6","1","7","4","N","2","1","2"
"528","4","2","N","2","1","N","N","N","1","2"
"529","63","2","4","2","12","6","N","2","1","2"
"530","10","1","N","1","3","N","N","2","1","1"
"531","45","1","1","1","9","4","N","1","1","1"
"532","30","2","6","1","12","8","N","2","1","1"
"533","2","2","N","1","N","N","N","N","1","2"
"534","50","2","1","1","7","7","N","2","1","1"
"535","58","2","4","1","3","0","N","2","1","1"
"536","48","1","1","1","5","5","N","2","1","1"
"537","0","2","N","6","N","N","N","N","1","2"
"538","91","1","3","1","9","7","N","1","1","1"
"539","14","2","N","1","3","N","N","2","1","1"
"540","14","2","N","1","4","N","N","2","1","2"
"541","70","2","1","1","9","8","N","2","1","1"
"542","30","2","1","1","9","7","N","2","1","1"
"543","9","1","N","8","3","N","N","2","1","2"
"544","18","1","6","2","7","1","N","2","3","0"
"545","17","1","6","3","4","0","N","2","1","2"
"546","60","1","1","1","10","9","N","2","1","1"
"547","81","2","4","9","5","3","N","2","1","1"
"548","18","2","6","2","4","1","N","2","1","2"
"549","24","2","6","1","7","1","N","2","1","2"
"550","53","2","1","1","12","8","N","2","1","1"
"551","56","2","1","6","12","8","N","2","1","1"
"552","13","2","N","2","3","N","N","2","1","2"
"553","60","2","1","1","12","6","N","2","1","1"
"554","41","1","1","1","5","9","N","2","1","1"
"555","37","1","1","6","10","9","N","2","1","1"
"556","13","2","N","6","3","N","N","2","1","2"
"557","79","2","1","1","9","5","N","2","1","1"
"558","49","2","1","1","10","9","N","2","1","1"
"559","11","1","N","1","3","N","N","2","1","1"
"560","8","2","N","2","3","N","N","1","1","1"
"561","27","2","6","6","9","6","N","2","1","2"
"562","32","2","1","1","9","2","N","2","1","1"
"563","38","2","5","8","5","3","N","2","2","0"
"564","22","2","6","1","7","1","N","2","2","0"
"565","51","2","1","1","7","8","N","2","1","1"
"566","49","1","6","6","11","9","N","2","1","2"
"567","53","2","1","1","9","7","N","2","1","1"
"568","33","2","1","8","7","0","N","2","1","1"
"569","75","2","3","1","11","5","N","2","1","1"
"570","1","1","N","1","N","N","N","N","1","1"
"571","63","2","1","1","7","4","N","2","1","1"
"572","23","2","6","1","10","8","N","2","1","2"
"573","71","1","2","2","1","3","N","2","3","0"
"574","39","2","6","1","5","0","N","2","1","2"
"575","44","1","1","1","8","4","N","2","1","1"
"576","29","1","6","1","8","3","N","2","1","1"
"577","32","2","1","1","9","9","N","2","1","1"
"578","49","2","1","6","11","3","N","2","1","2"
