,AGEP_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
41,77,N,9,1,1,1,3,7,2,62,N,1,0,50.0
42,70,N,7,1,3,2,6,9,2,64,N,1,3,50.0
43,9,N,3,1,4,2,N,9,1,70,N,1,5,50.0
44,47,N,5,2,5,0,6,2,1,56,N,3,1,25.0
45,38,N,1,1,6,1,4,5,1,78,N,1,5,50.0
46,73,N,4,1,3,2,2,8,1,76,N,1,3,50.0
47,57,N,1,1,4,1,9,6,2,49,N,1,2,50.0
48,38,N,9,1,5,2,8,9,2,38,N,1,5,75.0
49,85,N,11,1,4,2,9,2,2,80,N,1,7,50.0
50,65,N,8,1,4,1,2,6,2,66,N,1,8,50.0
51,3,N,3,1,3,1,N,6,1,89,N,1,6,50.0
52,74,N,9,1,4,1,0,8,2,61,N,1,0,75.0
53,46,N,4,1,N,2,0,3,1,14,N,1,N,50.0
54,52,N,4,1,2,2,0,8,2,47,N,1,2,50.0
55,81,N,3,1,3,2,7,8,1,68,N,1,2,50.0
56,58,N,11,1,2,1,9,2,2,37,N,1,6,50.0
57,46,N,8,1,6,1,4,5,2,52,N,1,7,50.0
58,36,N,8,1,1,2,3,9,1,24,N,1,9,50.0
59,47,N,3,2,3,0,0,6,2,94,N,2,2,50.0
60,51,N,10,1,6,1,9,3,1,30,N,1,1,50.0
61,87,N,9,3,4,0,8,8,2,42,N,2,0,25.0
62,63,N,12,1,5,2,9,2,1,73,N,1,3,50.0
63,32,N,8,1,6,2,7,5,2,40,N,1,0,50.0
64,33,N,8,1,5,1,4,1,1,43,N,1,9,50.0
65,39,N,6,1,2,2,2,1,1,25,N,1,2,75.0
66,27,N,5,3,6,0,3,3,1,19,N,3,0,50.0
67,76,N,7,1,3,2,3,8,1,63,N,1,9,50.0
68,31,N,11,3,6,0,8,2,2,25,N,3,0,50.0
69,56,N,8,1,4,1,2,8,1,38,N,1,6,50.0
70,83,N,5,1,3,1,2,5,2,65,N,1,9,50.0
71,18,N,1,1,6,2,0,7,1,25,N,1,9,50.0
72,35,N,7,1,1,1,4,7,1,66,N,1,6,50.0
73,82,N,3,1,2,2,0,8,2,83,N,1,2,50.0
74,15,2,8,1,6,1,0,6,2,31,N,1,6,25.0
75,83,N,9,1,2,1,8,8,1,35,N,1,7,50.0
76,36,N,5,1,5,2,4,3,1,36,N,1,2,75.0
77,80,N,3,1,3,1,0,9,2,82,N,1,1,50.0
78,48,N,10,1,1,2,8,8,2,30,N,1,0,50.0
79,52,N,8,1,2,1,3,5,2,39,N,1,7,50.0
80,23,N,7,1,6,1,1,7,2,50,N,1,3,50.0
81,63,N,8,1,5,2,5,9,1,54,N,1,3,50.0
82,82,N,7,1,3,1,5,8,1,66,N,1,2,50.0
83,65,N,11,1,1,2,9,8,2,33,N,1,8,50.0
84,58,N,9,2,5,0,8,1,1,63,N,2,0,50.0
85,39,N,6,1,5,1,0,2,2,59,N,1,3,50.0
86,54,N,6,3,4,0,4,1,2,69,N,2,2,25.0
87,54,N,7,1,2,1,4,8,1,36,N,1,3,50.0
88,70,N,1,1,4,2,0,6,2,73,N,1,2,50.0
89,10,N,N,3,N,0,N,2,2,2,N,3,N,75.0
90,3,N,3,1,2,1,N,2,1,88,N,1,3,50.0
91,50,N,7,1,6,2,5,5,1,34,N,1,5,75.0
92,63,N,9,1,1,2,9,3,2,33,N,1,8,50.0
93,67,N,6,2,2,0,2,2,1,36,N,2,7,50.0
94,23,N,6,1,6,2,4,6,2,79,N,1,5,50.0
95,50,N,8,1,5,2,7,6,1,64,N,1,3,50.0
96,64,N,11,1,3,1,3,2,1,44,N,1,1,50.0
97,37,N,10,1,2,2,7,3,2,34,N,1,2,50.0
98,45,N,10,1,4,2,9,9,1,84,N,1,7,50.0
