PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
48-02507,67,1,6,0,1,0,2,1,1,4971,6,6,95000.0,8,501,N,2,2,2,2
48-02516,70,1,1,0,1,0,2,1,1,N,N,7,21300.0,4,104,5,2,2,2,2
48-02102,1,1,N,0,1,3,5,1,1,N,N,N,N,N,501,N,N,N,2,2
48-02515,5,2,N,4,1,3,6,1,1,N,N,2,N,N,264,N,2,2,2,2
48-02515,48,2,1,0,1,1,3,1,2,7870,11,5,2000.0,1,179,N,2,2,2,2
48-02507,63,2,1,0,2,0,2,1,1,8370,13,9,61800.0,7,501,N,2,2,2,2
48-02102,60,1,6,0,1,N,N,2,0,N,N,4,0.0,0,N,N,2,2,2,2
48-02102,50,2,1,0,1,0,3,1,1,7860,11,10,69000.0,8,501,N,2,2,2,2
48-02510,56,1,1,1,1,0,2,1,1,6070,7,7,62000.0,7,501,N,2,2,2,2
48-02102,48,1,1,1,1,1,4,1,1,7071,9,9,51000.0,7,256,N,2,2,2,2
48-02510,32,1,1,0,1,1,3,1,1,9490,16,9,55500.0,7,501,4,2,2,2,2
48-02510,79,2,4,0,1,0,N,1,2,N,N,9,51000.0,7,427,N,2,2,2,2
48-02507,44,1,4,1,1,0,2,1,1,7790,10,5,9000.0,2,142,N,2,2,2,2
48-02102,49,1,1,0,1,1,3,1,1,8891,15,8,11500.0,3,501,N,2,2,2,1
48-02102,0,1,N,0,1,6,8,1,2,N,N,N,N,N,202,N,N,N,2,2
48-02102,53,1,1,0,1,1,4,1,1,7860,11,10,93000.0,8,501,N,2,2,2,2
48-02102,70,1,1,0,1,0,2,1,1,6991,9,11,176600.0,9,501,N,2,2,2,2
48-02102,80,2,3,0,1,0,3,1,1,8980,15,5,45900.0,6,314,N,2,2,2,2
48-02101,42,2,5,1,1,1,2,1,2,8680,14,7,12400.0,3,77,N,2,2,2,2
48-02515,23,1,1,1,1,1,3,1,2,3875,4,6,17000.0,3,106,N,2,2,2,2
48-02101,32,2,1,0,1,2,4,1,1,7071,9,8,45000.0,6,395,N,2,2,2,2
48-02515,57,1,4,1,1,N,N,3,0,8680,14,10,43500.0,6,190,N,2,2,2,2
48-02510,66,1,2,0,1,0,N,1,1,N,N,5,15220.0,3,121,N,2,1,2,2
48-02507,3,1,N,0,9,2,7,1,2,N,N,1,N,N,122,N,N,N,2,2
48-02507,23,1,6,1,1,1,5,1,1,8590,14,4,0.0,0,501,N,2,2,2,2
48-02515,13,1,N,1,1,2,7,1,1,N,N,3,N,N,140,N,2,2,2,2
48-02510,63,1,3,0,1,0,2,1,1,N,N,5,25450.0,5,444,N,2,2,2,2
48-02101,53,2,1,0,1,0,5,1,1,9380,16,9,95000.0,8,501,N,2,2,2,2
48-02507,15,1,6,1,1,1,3,1,1,N,N,4,0.0,0,501,N,2,2,2,2
48-02507,14,1,N,0,2,2,4,1,2,N,N,3,N,N,122,N,2,2,2,2
48-02101,11,1,N,1,8,2,4,1,1,N,N,3,N,N,501,N,1,2,2,2
48-02516,65,1,1,0,1,0,2,1,1,770,3,5,40000.0,6,501,N,2,2,2,1
48-02101,58,2,3,0,1,0,N,1,1,7870,11,9,500.0,1,9,N,2,2,2,2
48-02102,2,1,N,1,1,3,5,1,2,N,N,N,N,N,125,N,N,N,2,2
48-02102,83,2,3,0,1,0,N,1,2,N,N,7,35100.0,6,312,N,2,1,1,1
48-02516,21,1,6,0,2,0,6,1,1,3580,4,9,22100.0,4,501,N,2,2,2,2
48-02102,60,2,1,0,1,0,5,1,1,4690,6,9,62000.0,7,501,N,2,2,2,2
48-02507,30,1,6,0,1,0,2,1,1,4195,5,9,31000.0,5,501,N,2,2,2,2
48-02515,41,2,1,0,1,2,5,1,2,N,N,10,500.0,1,399,N,2,2,2,2
48-02101,12,1,N,0,1,3,6,1,1,N,N,3,N,N,495,N,2,2,2,2
48-02102,84,1,3,0,1,0,2,1,1,N,N,7,1500.0,1,241,N,2,1,2,2
48-02507,58,1,1,0,1,0,3,1,1,8370,13,12,120000.0,9,501,N,2,2,2,2
48-02516,24,2,1,0,1,0,2,1,2,490,1,7,45000.0,6,459,N,2,2,2,2
48-02102,57,2,1,0,1,0,3,1,1,N,N,5,0.0,0,152,N,2,2,2,2
48-02510,53,2,1,0,1,0,2,1,1,770,3,9,200000.0,9,501,N,2,2,2,2
48-02101,59,2,1,0,1,0,2,1,1,N,N,5,0.0,0,373,N,2,2,2,2
48-02102,45,1,1,0,1,1,6,1,1,6480,8,8,82500.0,8,292,N,2,2,2,2
48-02516,18,1,6,0,1,0,6,1,1,7071,9,5,10400.0,3,476,N,2,2,2,2
48-02507,40,1,1,0,6,0,2,1,1,6170,7,8,58000.0,7,398,N,2,2,2,2
48-02516,1,2,N,0,1,3,5,1,1,N,N,N,N,N,361,N,N,N,2,2
48-02101,39,1,1,0,1,2,6,1,1,2490,4,5,15000.0,3,501,N,2,2,2,2
48-02515,3,2,N,0,1,2,4,1,1,N,N,2,N,N,358,N,N,N,2,2
48-02507,11,2,N,0,1,3,5,1,1,N,N,3,N,N,501,N,2,2,2,2
48-02516,8,2,N,0,1,2,3,1,2,N,N,3,N,N,186,N,2,2,2,2
48-02507,23,1,6,0,6,0,5,1,1,5391,6,7,20000.0,4,256,N,2,2,2,2
48-02101,44,1,1,0,1,1,6,1,1,4770,6,7,39000.0,6,252,N,2,2,2,2
48-02516,48,2,1,0,1,0,2,1,2,6970,9,5,0.0,0,118,N,1,2,2,2
48-02102,56,2,3,0,1,0,2,1,1,N,N,5,11700.0,3,323,N,2,2,2,2
48-02515,26,1,6,0,1,0,N,1,2,7280,10,7,18000.0,4,146,N,2,2,2,2
48-02510,13,2,N,1,1,1,3,1,1,N,N,3,N,N,501,N,2,2,2,2
48-02516,4,1,N,0,1,0,5,1,1,N,N,2,N,N,281,N,N,N,2,2
48-02102,47,2,1,0,1,2,4,1,1,8191,12,5,30000.0,5,501,N,2,2,2,2
48-02101,54,1,1,0,1,1,3,1,2,3370,4,7,30000.0,5,501,N,2,2,2,2
48-02102,70,2,1,0,1,0,2,1,1,N,N,6,520.0,1,501,N,2,2,2,2
48-02101,45,2,1,0,1,2,4,1,1,7860,11,10,59000.0,7,501,N,2,2,2,2
48-02515,40,1,6,0,1,N,N,3,0,N,N,4,19000.0,4,501,N,2,1,2,2
48-02516,38,1,1,0,1,1,6,1,1,7860,11,7,75000.0,8,289,N,2,2,2,2
48-02102,39,1,1,0,1,1,3,1,2,7071,9,7,25000.0,4,501,N,2,2,2,2
48-02102,41,2,6,0,1,1,2,1,1,7390,10,10,80000.0,8,381,N,2,2,2,2
48-02510,26,2,1,2,8,1,3,1,2,3580,4,5,10000.0,2,300,N,2,2,2,2
48-02101,51,1,1,0,1,1,3,1,1,N,N,7,0.0,0,232,5,2,2,2,2
48-02101,51,1,1,0,1,2,4,1,1,8790,15,8,61000.0,7,251,N,2,2,2,2
48-02516,53,2,1,1,1,0,3,1,1,4971,6,9,114000.0,9,501,N,2,2,2,2
48-02102,2,2,N,0,2,1,3,1,2,N,N,N,N,N,220,N,N,N,2,2
48-02515,52,2,2,0,1,0,N,1,2,8680,14,5,27000.0,5,219,N,2,2,2,2
48-02507,71,2,1,0,1,0,2,1,1,N,N,5,17000.0,3,289,N,2,2,2,2
48-02510,47,2,1,0,1,0,2,1,1,N,N,5,0.0,0,501,N,2,2,2,2
48-02102,34,1,1,0,1,3,5,1,1,7770,10,4,19800.0,4,147,N,2,2,2,2
48-02516,66,2,1,0,1,0,3,1,1,N,N,10,39600.0,6,501,N,2,2,2,2
48-02102,45,2,1,0,1,1,4,1,1,5790,6,5,38000.0,6,323,N,2,2,2,2
48-02102,80,2,1,0,1,0,2,1,1,N,N,4,9300.0,2,501,N,2,2,2,2
48-02101,68,2,1,0,1,0,2,1,1,7860,11,7,19700.0,4,369,N,2,2,2,2
48-02101,14,1,N,1,1,3,5,1,2,N,N,3,N,N,285,N,2,2,2,2
48-02101,3,1,N,0,2,1,3,1,2,N,N,1,N,N,130,N,N,N,2,2
48-02101,6,1,N,1,1,2,3,1,1,N,N,2,N,N,292,N,2,2,2,2
48-02102,54,2,1,0,1,1,4,1,1,7690,10,7,6400.0,2,501,N,2,2,2,2
48-02516,77,2,3,0,1,N,N,3,0,N,N,7,105000.0,9,190,N,1,1,2,1
48-02101,50,1,1,0,2,2,4,1,1,6080,7,5,45000.0,6,391,N,2,2,2,2
48-02507,68,1,1,0,1,0,2,1,1,8191,12,9,59000.0,7,473,N,2,2,2,2
48-02510,16,1,6,0,2,4,6,1,1,8680,14,4,1800.0,1,501,N,2,2,2,2
48-02101,31,2,1,0,1,0,3,1,1,8980,15,5,40600.0,6,501,N,2,2,2,2
48-02101,52,1,1,0,1,0,3,1,2,7380,10,9,126000.0,9,501,5,2,2,2,2
48-02101,47,2,4,0,1,2,3,1,1,7270,10,5,28000.0,5,501,N,2,2,2,2
48-02515,17,1,6,1,1,1,5,1,2,4270,5,4,10400.0,3,120,N,2,2,2,2
48-02515,76,1,1,0,1,0,2,1,1,N,N,10,74000.0,8,501,N,2,2,2,1
48-02515,36,2,1,0,1,1,4,1,1,7870,11,10,84000.0,8,501,N,2,2,2,2
48-02510,72,2,1,0,1,0,2,1,1,7290,10,5,6600.0,2,334,N,2,2,2,2
48-02101,60,1,1,1,1,0,2,1,1,8191,12,9,156210.0,9,501,N,2,2,2,2
48-02102,13,1,N,0,1,7,8,1,2,N,N,3,N,N,390,N,2,2,2,2
48-02507,42,1,4,0,2,0,N,1,2,6170,7,5,50000.0,7,380,N,2,2,2,2
48-02515,55,1,4,0,1,0,N,1,1,7071,9,9,100000.0,9,501,N,2,2,2,2
48-02101,48,2,1,0,1,0,2,1,2,9470,16,7,22100.0,4,264,N,2,2,2,2
48-02515,40,2,4,0,1,1,2,1,1,N,N,7,12000.0,3,46,N,2,2,2,2
48-02515,43,1,1,1,6,2,5,1,1,1990,4,5,40000.0,6,228,N,2,2,2,2
48-02510,12,1,N,0,2,4,5,1,1,N,N,3,N,N,501,N,2,2,2,2
48-02516,42,1,1,0,1,3,5,1,1,8680,14,9,80000.0,8,258,N,2,2,2,2
48-02510,33,2,2,0,1,0,2,1,1,7870,11,10,84000.0,8,495,N,2,2,2,2
48-02102,20,2,2,1,1,0,6,1,1,8680,14,5,0.0,0,473,N,2,2,2,2
48-02516,36,1,4,0,1,0,4,1,1,9680,17,7,70000.0,8,501,N,2,2,2,2
48-02510,68,1,1,0,1,0,2,1,1,8370,13,9,41200.0,6,384,N,2,2,2,2
48-02516,67,1,1,0,1,0,2,1,1,770,3,9,86900.0,8,501,N,2,2,2,2
48-02510,59,2,1,0,1,0,2,1,1,7860,11,11,37000.0,6,501,N,2,2,2,2
48-02510,78,1,1,0,1,0,2,1,1,5391,6,5,56200.0,7,501,N,2,2,2,2
48-02102,19,1,6,0,1,1,3,1,1,7870,11,5,27000.0,5,501,N,2,2,2,2
48-02515,15,2,6,1,1,0,5,1,1,N,N,4,0.0,0,254,N,2,2,2,2
48-02507,21,1,6,0,1,0,3,1,2,9290,15,9,32000.0,5,148,N,2,2,2,2
48-02102,37,2,1,0,1,2,4,1,1,N,N,5,700.0,1,155,N,2,2,2,2
48-02101,48,1,1,0,9,0,3,1,1,8180,12,10,20000.0,4,501,N,2,2,2,2
48-02102,8,1,N,0,1,3,5,1,1,N,N,3,N,N,307,N,2,2,2,2
48-02102,4,1,N,0,1,2,4,1,1,N,N,1,N,N,253,N,N,N,2,2
48-02101,53,2,1,0,1,0,6,1,1,6890,9,5,43000.0,6,376,N,2,2,2,2
48-02101,77,1,4,0,1,0,3,1,1,N,N,7,30000.0,5,447,N,2,2,2,2
48-02516,72,2,1,0,1,0,2,1,1,N,N,5,12100.0,3,154,N,2,2,2,2
48-02101,35,1,6,0,1,0,2,1,1,N,N,5,0.0,0,501,3,2,2,2,1
48-02510,66,1,1,0,1,0,2,1,1,1180,4,7,75000.0,8,501,N,2,2,2,2
48-02507,30,2,6,0,6,1,2,1,1,6070,7,7,11200.0,3,61,N,2,2,2,2
48-02510,56,2,1,0,1,0,2,1,1,7380,10,5,25000.0,4,501,N,2,2,2,2
48-02102,47,2,3,0,1,0,N,1,1,7860,11,9,52000.0,7,395,N,2,2,2,2
48-02515,30,1,2,0,1,N,N,2,0,2390,4,4,50000.0,7,N,N,2,2,2,2
48-02101,68,2,3,0,1,0,N,1,1,7860,11,12,60300.0,7,501,N,2,2,1,2
48-02101,37,1,6,1,1,2,3,1,2,6970,9,4,13000.0,3,167,N,2,2,2,2
48-02101,63,2,1,0,1,0,2,1,1,7860,11,7,20000.0,4,501,N,2,2,2,2
48-02102,70,1,1,0,1,0,2,1,1,770,3,7,82000.0,8,501,N,2,2,2,2
48-02515,44,2,4,1,1,0,N,1,2,4670,6,6,16000.0,3,120,N,2,2,2,2
48-02102,45,1,6,0,1,0,N,1,1,N,N,8,25000.0,4,193,N,1,1,1,2
48-02510,11,2,N,0,1,1,2,1,2,N,N,3,N,N,448,N,2,2,2,2
48-02102,42,2,4,0,1,0,5,1,1,6890,9,8,80000.0,8,501,N,2,2,2,2
48-02510,7,2,N,0,2,2,4,1,1,N,N,3,N,N,501,N,2,2,2,2
48-02515,32,1,6,0,1,0,N,1,2,5391,6,9,44000.0,6,328,N,2,2,2,2
48-02510,2,1,N,0,1,2,4,1,1,N,N,N,N,N,501,N,N,N,2,2
48-02515,79,2,1,0,1,0,7,1,1,N,N,9,4300.0,2,259,N,2,1,2,2
48-02102,54,1,1,0,1,0,3,1,1,7860,11,10,180100.0,9,501,3,2,2,2,1
48-02101,36,2,1,0,1,2,4,1,1,5580,6,9,55000.0,7,403,N,2,2,2,2
48-02515,26,1,1,0,1,1,3,1,1,8590,14,9,55000.0,7,371,N,2,2,2,2
48-02101,53,1,2,0,1,0,2,1,1,6170,7,5,73900.0,8,472,N,2,2,2,2
48-02102,2,1,N,1,1,3,5,1,1,N,N,N,N,N,211,N,N,N,2,2
48-02101,9,2,N,0,1,2,4,1,1,N,N,3,N,N,191,N,2,2,2,2
48-02101,69,2,2,0,1,0,3,1,1,5391,6,7,49000.0,7,501,N,2,2,2,1
48-02510,47,2,1,0,1,0,4,1,1,7390,10,9,70000.0,8,501,N,2,2,2,2
48-02515,54,2,1,1,2,1,4,1,1,N,N,3,0.0,0,241,N,1,2,2,2
48-02101,24,2,2,0,1,0,N,1,2,6380,7,7,5300.0,2,45,N,2,2,2,2
48-02510,39,2,1,1,1,3,5,1,2,N,N,9,0.0,0,199,N,2,2,2,2
48-02515,28,2,1,0,1,0,2,1,1,4971,6,6,9010.0,2,104,N,2,2,2,2
48-02102,69,2,1,0,1,0,2,1,1,N,N,5,48700.0,7,501,N,2,2,2,2
48-02515,29,1,6,1,1,N,N,3,0,8680,14,7,12000.0,3,91,N,2,2,2,2
48-02102,62,2,1,0,1,0,2,1,1,N,N,7,0.0,0,417,N,2,2,2,2
48-02101,7,1,N,0,1,2,4,1,1,N,N,2,N,N,147,N,2,2,2,2
48-02507,58,1,1,0,1,0,2,1,1,4670,6,8,55000.0,7,461,N,2,2,2,2
48-02515,48,2,1,0,1,0,2,1,2,8680,14,6,40000.0,6,451,N,2,2,2,1
48-02510,73,2,1,0,1,0,2,1,1,N,N,8,13000.0,3,233,N,2,2,2,2
48-02101,46,1,1,0,1,0,4,1,1,180,0,7,32800.0,5,471,5,1,1,2,2
48-02102,32,2,1,0,1,4,6,1,1,7860,11,9,54000.0,7,490,N,2,2,2,2
48-02510,66,1,1,0,1,0,2,1,1,6570,8,8,50000.0,7,458,N,2,2,2,2
48-02101,22,2,6,0,2,0,2,1,2,6870,9,9,50000.0,7,458,N,2,2,2,2
48-02507,5,2,N,0,1,3,5,1,1,N,N,2,N,N,383,N,2,2,2,2
48-02507,28,2,1,1,1,0,5,1,2,8980,15,5,9800.0,2,306,N,2,2,2,2
48-02510,27,2,1,0,1,0,5,1,1,5391,6,5,36000.0,6,384,N,2,2,2,2
48-02507,56,1,1,0,1,0,2,1,1,N,N,9,45570.0,6,477,N,2,1,2,1
48-02102,36,2,1,1,1,2,4,1,1,8980,15,6,15000.0,3,402,N,2,2,2,2
48-02102,14,1,N,0,1,0,N,1,1,N,N,3,N,N,N,N,2,2,2,2
48-02510,67,1,1,0,1,0,2,1,1,7280,10,9,103970.0,9,501,N,2,2,2,2
48-02507,67,1,1,0,1,0,2,1,1,7880,11,11,101200.0,9,501,N,2,2,2,2
48-02515,60,2,1,0,1,0,2,1,1,2780,4,9,42000.0,6,501,N,2,2,2,2
48-02510,10,1,N,1,1,1,2,1,1,N,N,3,N,N,105,N,2,2,2,2
48-02102,52,1,1,0,1,0,5,1,1,7690,10,6,31000.0,5,228,N,2,2,2,2
48-02515,25,2,1,0,1,0,3,1,1,770,3,8,8400.0,2,114,N,2,2,2,2
48-02101,64,1,1,0,1,0,2,1,1,7870,11,9,50000.0,7,501,N,2,2,2,2
48-02515,32,2,2,0,1,0,N,1,1,7860,11,5,14000.0,3,102,N,2,2,2,2
48-02515,57,2,1,1,1,1,3,1,2,4490,5,5,12000.0,3,200,N,2,2,2,2
48-02507,2,2,N,1,9,2,4,1,2,N,N,N,N,N,393,N,N,N,2,2
48-02515,42,2,1,0,1,1,3,1,1,8180,12,8,52000.0,7,501,N,2,2,2,2
48-02510,29,1,6,1,1,0,5,1,2,8191,12,12,10000.0,2,287,N,2,2,2,2
48-02516,20,2,6,0,1,0,4,1,1,N,N,5,0.0,0,197,N,2,2,2,2
48-02510,11,1,N,0,1,0,N,1,1,N,N,3,N,N,N,N,2,2,2,2
48-02510,48,1,4,0,1,1,2,1,1,2190,4,5,76000.0,8,401,N,2,2,2,2
48-02102,22,1,1,0,1,0,2,1,2,7690,10,4,34000.0,5,207,N,2,2,2,2
48-02507,49,1,1,0,1,0,2,1,2,4890,6,5,79600.0,8,501,N,2,2,2,2
48-02101,62,2,1,0,1,0,2,1,1,7480,10,9,40000.0,6,501,N,2,2,2,2
48-02101,92,2,3,0,1,0,2,1,1,N,N,4,30000.0,5,501,N,2,2,2,2
