,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
150,1,6,1,1,2,0,51-01301,26,N,N,501
151,1,N,2,1,N,0,36-04010,4,0,2,501
152,2,1,1,2,4,0,19-01700,69,0,3,137
153,1,1,9,1,8,0,51-51255,45,1,2,501
154,2,4,2,2,2,0,29-01901,48,0,N,159
155,2,1,2,1,2,0,17-03531,76,2,4,417
156,1,2,1,1,3,0,26-02702,38,0,N,327
157,1,N,5,1,N,0,24-01004,9,2,8,501
158,1,2,2,1,6,4,36-03710,54,0,4,466
159,2,N,1,2,1,0,51-51255,39,2,4,206
160,2,6,1,1,2,0,08-00803,30,0,N,501
161,1,1,1,1,9,0,24-01004,60,0,4,501
162,2,6,1,1,8,0,06-07502,25,N,N,501
163,1,4,2,0,0,1,36-03710,40,0,N,N
164,1,1,2,1,5,0,01-01301,75,0,2,498
165,1,N,6,1,N,0,06-08507,9,2,5,501
166,2,4,1,2,5,0,26-02702,36,0,12,275
167,2,1,1,1,4,0,51-51255,28,2,4,267
168,2,1,1,0,0,0,08-00803,26,1,2,73
169,2,N,6,2,N,1,32-00405,6,3,5,169
170,1,1,8,1,N,2,36-03710,31,0,2,372
171,2,6,6,2,1,0,51-01301,17,0,N,7
172,1,N,1,2,N,0,06-07502,11,3,4,84
173,2,6,1,2,N,0,24-01004,21,0,N,323
174,1,6,3,1,5,0,38-00100,40,N,N,62
175,2,6,5,1,3,0,06-07502,65,0,N,501
176,2,N,1,1,N,1,32-00405,10,2,4,103
177,1,5,2,0,1,0,36-04010,61,0,N,N
178,2,N,8,1,N,0,32-00405,3,1,3,109
179,2,N,6,1,8,0,17-03529,0,0,2,501
180,1,4,1,0,N,0,08-00803,52,0,N,73
181,2,1,2,1,1,0,28-01100,30,0,2,165
182,2,1,6,1,7,0,06-07502,35,0,2,501
183,2,6,2,0,2,0,17-03529,30,0,2,N
184,1,6,1,2,0,0,08-00803,15,N,N,0
185,2,6,1,2,1,0,29-01901,18,4,7,368
186,2,1,1,1,0,0,40-00200,51,0,6,329
187,1,6,6,1,8,0,06-08507,59,0,N,501
188,1,4,8,2,7,0,32-00405,70,0,N,90
189,1,6,1,1,1,0,40-00200,22,0,4,198
190,2,3,2,1,3,0,17-03529,86,0,2,459
191,2,4,1,2,2,0,40-00200,77,0,N,286
192,1,3,9,2,9,0,17-03529,46,0,N,501
193,1,1,6,1,1,0,06-08507,54,0,2,501
194,2,N,1,1,5,0,38-00100,28,5,6,368
195,1,6,1,2,1,0,30-00600,69,0,N,58
196,1,6,1,1,3,0,28-01100,27,0,N,443
197,2,5,2,2,2,4,32-00405,65,0,N,27
198,1,6,1,1,6,0,40-00200,28,0,N,392
199,2,6,2,2,1,0,29-01901,18,0,2,122
200,1,6,2,1,3,0,28-01100,24,0,N,133
201,1,N,6,2,N,0,06-08507,14,0,4,501
202,1,4,1,1,9,0,26-02702,69,0,3,501
203,1,3,2,2,9,0,36-04010,46,0,N,501
204,1,N,2,1,N,0,28-01100,10,0,N,320
205,1,6,2,1,0,0,29-01901,25,3,4,0
206,2,6,1,2,4,4,38-00100,25,0,N,352
207,2,6,1,2,2,0,19-01700,57,0,2,463
208,2,6,6,1,9,0,24-01004,32,0,N,501
209,2,6,2,2,4,0,13-04600,19,0,N,10
210,1,4,6,1,6,0,06-08507,55,0,N,175
211,2,1,2,1,2,0,13-04600,35,0,2,449
212,1,1,1,2,2,0,30-00600,92,0,2,403
213,1,4,1,1,5,0,51-51255,64,0,3,501
214,2,1,6,2,5,1,32-00405,28,3,6,5
215,2,1,2,1,7,0,01-01301,43,0,4,204
216,1,6,1,2,0,0,13-04600,28,N,N,120
217,1,1,9,1,4,1,40-00200,59,0,2,270
218,2,6,2,2,2,0,36-04010,20,0,N,247
219,1,1,2,1,5,0,24-01004,69,0,3,501
220,1,6,9,1,7,0,51-51255,90,0,N,167
221,2,3,1,1,6,0,38-00100,64,N,N,152
222,1,1,2,1,8,0,17-03531,53,1,4,501
223,1,6,9,1,3,0,01-01301,82,1,3,108
224,2,1,1,1,7,0,38-00100,38,0,4,501
225,1,6,1,0,1,0,26-02702,20,N,N,N
226,1,N,8,2,5,0,19-01700,7,2,9,110
227,1,1,5,1,9,0,06-08507,49,3,4,501
228,1,5,2,1,6,0,17-03531,63,0,N,42
229,1,6,1,1,7,0,24-01004,23,N,N,501
230,1,3,1,2,8,0,19-01700,93,0,N,501
231,2,N,6,1,8,0,51-51255,50,2,3,268
232,1,N,2,2,4,0,28-01100,11,2,4,156
233,2,1,1,1,6,0,19-01700,36,0,3,220
234,1,N,1,2,N,1,19-01700,12,2,7,442
235,2,6,1,1,7,0,13-04600,66,0,N,486
236,2,N,1,1,4,0,19-01700,9,3,5,216
237,2,6,2,0,6,0,28-01100,63,0,N,N
238,1,6,2,2,1,0,01-01301,20,0,N,98
239,1,N,1,2,N,0,06-08507,10,1,3,161
240,1,1,2,0,2,0,13-04600,76,0,4,N
241,2,4,1,0,6,0,38-00100,54,2,9,170
242,2,2,2,1,0,0,32-00405,29,0,N,255
243,1,6,1,2,1,0,30-00600,21,0,2,14
244,2,1,8,2,4,1,32-00405,84,0,2,492
245,1,6,1,1,8,0,30-00600,38,0,2,501
246,1,1,1,1,6,0,24-01004,51,0,5,501
247,1,6,1,1,9,0,38-00100,30,0,N,501
248,2,4,1,2,0,1,32-00405,18,0,2,0
249,1,4,1,1,9,0,24-01004,60,2,4,501
250,2,1,1,1,0,0,28-01100,55,1,5,65
251,1,N,3,2,1,1,40-00200,39,7,8,375
252,1,6,6,1,8,0,24-01004,31,0,N,501
253,2,N,1,1,N,0,24-01004,6,2,5,501
254,2,1,6,2,8,0,06-08507,40,1,3,501
255,2,3,2,2,6,0,29-01901,76,0,3,346
256,1,4,1,1,1,3,32-00405,54,0,4,0
257,2,6,2,2,0,0,29-01901,42,1,3,198
258,1,1,2,1,0,0,13-04600,57,2,4,482
259,1,6,9,2,3,0,24-01004,54,0,N,155
260,1,6,8,2,5,2,36-03710,79,0,2,368
261,1,1,1,1,3,1,32-00405,90,0,2,11
262,2,1,1,1,9,0,38-00100,64,1,3,501
263,1,4,1,1,8,0,06-07502,53,0,N,501
264,2,1,3,1,8,0,38-00100,53,0,2,501
265,1,6,1,1,5,0,40-00200,17,0,N,365
266,1,1,1,1,9,0,51-51255,57,0,2,501
267,1,3,1,2,9,0,30-00600,55,1,3,501
268,2,N,6,2,N,0,17-03529,12,1,3,0
269,1,6,2,2,0,1,17-03529,15,0,N,0
270,1,N,6,1,N,0,06-08507,4,2,4,501
271,1,1,3,1,9,0,38-00100,45,0,2,501
272,1,4,3,2,7,0,30-00600,70,0,2,90
273,1,N,1,1,N,0,08-00803,9,3,6,501
274,1,6,2,1,8,0,17-03529,38,0,N,501
275,2,4,1,1,2,0,30-00600,63,0,2,469
276,1,6,2,2,N,0,01-01301,19,0,8,27
277,1,1,1,0,7,0,38-00100,69,0,2,72
278,1,1,2,1,9,0,17-03531,45,0,2,501
279,1,6,1,1,3,0,30-00600,20,0,N,265
280,1,1,9,1,9,0,51-01301,65,0,2,501
281,2,6,2,2,6,2,29-01901,23,0,2,501
282,1,1,1,1,8,0,30-00600,36,0,2,501
283,2,6,8,2,5,2,32-00405,57,1,3,495
284,2,1,1,1,5,0,38-00100,59,0,2,501
285,2,1,1,1,9,0,06-07502,42,0,2,501
286,2,1,1,2,3,0,26-02702,71,1,5,356
287,1,6,2,1,0,0,13-04600,25,0,6,0
288,2,6,1,2,4,0,38-00100,44,0,N,48
289,1,1,1,1,3,1,30-00600,61,2,4,133
290,2,4,2,1,9,0,24-01004,56,N,N,501
291,1,6,6,1,9,0,06-08507,29,0,2,501
292,1,1,1,2,2,0,26-02702,66,0,2,463
293,2,N,6,2,N,0,26-02702,10,2,4,354
294,1,6,1,2,4,0,38-00100,31,N,N,501
295,2,1,1,1,8,0,24-01004,71,1,2,501
296,2,1,1,2,3,0,19-01700,91,0,2,148
297,1,6,2,1,0,0,28-01100,19,0,2,319
298,2,4,1,1,N,0,30-00600,3,0,N,501
299,1,N,2,0,N,0,13-04600,9,0,2,N
300,2,3,2,2,6,0,17-03531,64,0,N,438
301,2,1,5,0,0,1,30-00600,53,2,4,N
302,1,N,2,2,7,0,28-01100,14,2,4,497
303,1,6,1,0,5,2,36-03710,28,N,N,N
304,2,1,1,1,3,0,30-00600,61,0,2,76
305,2,6,6,2,9,0,06-08507,63,0,N,501
306,2,6,1,1,3,0,19-01700,66,0,N,137
307,1,6,1,2,N,0,19-01700,20,0,3,30
308,1,1,1,2,7,0,38-00100,78,0,2,501
309,2,6,1,1,5,0,06-07502,31,0,5,483
310,1,6,2,2,1,0,13-04600,16,0,N,68
311,2,1,1,1,0,0,40-00200,28,0,2,262
312,2,4,2,2,2,0,29-01901,72,0,2,90
313,1,4,2,1,8,0,13-04600,58,0,N,501
314,1,1,8,1,6,1,36-03710,45,1,3,419
315,2,1,2,1,3,0,32-00405,75,0,2,281
316,1,6,1,0,7,0,08-00803,67,N,N,N
317,1,1,2,2,2,0,36-04010,69,0,2,333
318,1,1,1,2,9,0,38-00100,48,1,3,501
319,2,6,2,2,2,1,01-01301,18,2,4,462
320,2,N,1,1,N,1,24-01004,0,2,4,501
321,1,1,1,1,2,0,24-01004,72,3,4,328
322,2,1,1,1,3,0,08-00803,38,0,2,313
323,1,1,2,2,2,0,36-04010,41,0,2,295
324,2,4,1,2,5,0,30-00600,63,N,N,501
325,1,N,1,2,N,1,32-00405,4,0,2,135
326,1,1,1,1,N,0,24-01004,33,0,2,501
327,2,1,1,1,8,0,26-02702,47,0,3,501
328,1,1,1,2,9,0,51-51255,75,0,3,501
329,2,4,1,2,8,0,24-01004,53,N,N,418
330,2,N,2,1,N,0,24-01004,10,3,5,501
331,1,2,1,1,3,0,38-00100,50,0,N,168
332,2,1,1,2,2,0,38-00100,56,2,4,417
333,2,1,1,1,N,0,08-00803,52,1,4,501
334,2,6,1,2,0,0,38-00100,18,1,4,126
335,2,1,6,1,3,0,51-51255,3,0,2,501
336,2,2,1,2,8,0,51-01301,45,0,N,501
337,2,N,1,2,N,0,51-51255,6,1,3,501
338,2,1,2,1,3,0,17-03529,74,0,3,302
339,2,N,1,1,6,0,19-01700,10,3,7,77
340,1,6,1,1,8,0,08-00803,34,0,N,501
341,2,N,1,1,8,4,24-01004,5,1,3,501
342,2,6,3,1,2,0,40-00200,60,0,N,403
343,1,1,3,2,3,0,38-00100,41,3,5,53
344,2,3,3,2,2,0,30-00600,93,0,2,155
345,2,N,1,1,N,0,24-01004,14,4,6,56
346,1,N,3,1,N,0,38-00100,11,2,4,501
347,2,1,1,0,0,0,40-00200,48,0,3,N
348,2,1,2,1,2,0,17-03531,64,0,6,374
349,2,1,1,1,5,0,51-51255,43,1,4,501
350,1,1,1,1,1,0,19-01700,78,3,5,501
351,1,N,2,1,0,0,13-04600,28,2,4,303
352,2,4,2,1,6,0,29-01901,31,0,2,86
353,1,4,1,1,N,0,24-01004,5,0,N,501
354,1,2,1,1,2,0,19-01700,39,0,N,449
355,2,N,2,1,8,0,17-03531,0,1,4,501
356,1,1,1,1,4,0,13-04600,67,0,2,246
357,1,3,3,1,1,0,40-00200,73,0,2,188
358,1,1,1,2,5,0,30-00600,21,1,4,47
359,1,6,1,1,7,4,36-04010,28,0,N,501
360,1,6,1,0,1,0,38-00100,25,0,N,N
361,1,6,1,2,7,0,17-03529,23,0,3,82
362,2,N,6,0,N,0,13-04600,8,1,3,N
363,1,1,1,2,3,0,38-00100,76,1,3,117
364,1,1,1,2,3,0,24-01004,77,0,2,40
365,1,6,2,1,0,0,17-03531,46,0,N,0
366,1,2,1,2,5,0,40-00200,59,N,N,130
367,1,1,1,2,8,0,06-08507,33,0,2,275
368,2,6,2,2,1,0,29-01901,21,0,N,270
369,2,6,1,1,7,0,38-00100,29,N,N,501
370,2,N,1,1,N,0,51-01301,6,5,6,415
371,2,6,1,0,0,0,08-00803,16,1,3,N
372,2,4,1,1,3,0,30-00600,93,0,N,501
373,1,4,1,1,0,0,30-00600,40,0,N,500
374,1,6,1,2,8,0,24-01004,30,0,N,501
375,2,1,1,1,9,0,38-00100,49,0,2,501
376,1,1,1,2,8,0,24-01004,56,0,2,501
377,1,N,6,1,N,0,32-00405,6,2,5,195
378,2,6,6,1,4,0,24-01004,21,0,2,449
379,2,6,2,1,5,2,36-03710,70,7,N,445
380,2,6,2,1,0,0,17-03529,19,0,N,501
381,1,1,1,1,9,0,24-01004,35,2,4,501
382,2,1,1,1,9,0,06-07502,48,3,4,501
383,1,1,1,1,9,0,08-00803,46,0,5,501
384,2,6,2,1,6,0,17-03531,16,0,N,94
385,2,6,1,2,3,0,40-00200,24,N,N,53
386,1,6,1,2,1,0,38-00100,23,0,N,87
387,2,6,1,1,3,0,24-01004,41,0,N,465
388,2,6,8,2,6,4,36-03710,42,0,N,272
389,2,N,1,2,N,2,36-03710,7,2,3,120
390,1,5,6,1,7,0,06-07502,15,0,N,501
391,1,6,8,1,9,0,06-08507,32,N,N,501
392,1,N,6,2,N,0,06-07502,10,2,4,335
393,1,6,1,1,N,0,08-00803,16,4,6,56
394,1,N,2,2,N,0,17-03529,4,3,4,501
395,1,3,1,2,2,0,19-01700,78,0,N,238
396,1,6,6,0,0,0,13-04600,19,0,2,N
397,1,6,6,1,9,0,06-07502,52,1,3,501
398,1,1,1,1,8,0,51-01301,37,0,2,501
399,2,6,2,2,1,0,17-03531,16,0,N,479
400,1,1,1,1,5,1,19-01700,43,0,3,313
401,2,4,9,1,N,0,17-03531,14,1,3,192
402,2,6,1,2,9,0,24-01004,40,0,8,501
403,1,1,1,0,4,0,17-03529,44,0,2,0
404,2,4,1,1,7,0,26-02702,55,0,2,501
405,2,1,6,1,4,0,13-04600,53,0,2,163
406,2,6,1,1,8,0,26-02702,32,0,N,501
407,1,6,1,1,9,0,51-51255,29,0,2,501
408,1,1,1,1,8,0,30-00600,76,2,5,336
409,2,1,2,0,1,0,17-03529,38,0,4,N
410,2,6,1,1,4,0,24-01004,46,0,N,276
411,2,1,1,1,1,0,24-01004,38,0,2,501
412,2,1,1,1,7,0,19-01700,80,0,5,501
413,2,1,1,1,8,0,24-01004,60,1,3,501
414,2,1,2,0,1,2,36-03710,53,0,3,N
415,1,N,2,1,N,0,28-01100,5,3,5,154
416,2,6,2,2,0,0,19-01700,19,0,2,3
417,1,N,1,1,N,0,38-00100,13,0,2,501
418,1,1,2,1,1,0,17-03529,65,0,2,335
419,2,1,1,2,1,0,17-03529,25,1,2,497
420,2,N,2,1,N,0,01-01301,10,2,4,141
421,1,6,1,2,0,0,08-00803,15,0,N,73
422,2,N,1,1,N,0,51-51255,12,2,4,501
423,2,6,1,2,8,0,06-08507,37,0,4,501
424,1,N,1,2,N,0,06-07502,13,2,3,501
425,1,6,1,1,5,0,30-00600,59,2,4,104
426,1,4,6,1,9,0,24-01004,67,0,N,501
427,2,6,1,1,6,0,24-01004,23,0,N,208
428,2,1,6,1,7,0,24-01004,34,1,2,501
429,2,1,2,2,3,0,28-01100,23,0,4,151
430,2,N,1,2,N,0,06-08507,10,3,5,148
431,2,4,1,1,6,0,38-00100,62,0,N,256
432,2,6,1,1,9,0,51-51255,51,0,N,501
433,2,3,6,1,N,0,06-08507,88,N,N,199
434,1,6,1,1,1,0,08-00803,16,1,6,31
435,2,6,1,1,4,0,38-00100,21,0,8,385
436,1,6,1,2,9,0,06-08507,34,0,N,501
437,1,4,1,1,3,0,08-00803,54,0,N,243
438,1,4,6,1,8,0,26-02702,92,0,N,501
439,2,1,1,2,8,0,24-01004,40,1,3,37
440,1,6,1,2,2,0,17-03531,42,0,4,249
441,2,1,1,2,0,1,32-00405,54,1,5,255
442,2,1,1,2,4,4,36-03710,72,0,2,42
443,1,1,6,2,9,0,17-03529,35,0,3,501
444,1,N,1,2,N,0,24-01004,3,2,3,501
445,2,1,2,0,0,0,26-02702,0,0,3,N
446,1,1,2,0,1,0,13-04600,44,0,2,N
447,1,1,2,1,8,0,36-04010,54,1,3,501
448,1,6,1,1,4,0,26-02702,38,0,N,493
449,1,1,1,1,9,0,38-00100,56,0,2,501
450,2,6,1,1,N,0,38-00100,3,0,N,17
451,2,4,2,2,4,0,29-01901,30,0,3,212
452,1,4,1,1,8,0,51-51255,31,N,N,501
453,1,6,1,2,2,0,19-01700,50,2,4,232
454,1,1,2,2,4,0,36-04010,33,0,2,211
455,2,6,1,1,0,0,30-00600,16,3,5,0
456,2,6,3,1,1,0,28-01100,16,1,3,354
457,2,1,2,1,9,0,36-04010,32,2,4,501
458,1,4,1,1,4,0,06-08507,83,2,4,176
459,1,1,1,1,5,0,06-08507,73,2,3,497
460,1,N,1,1,N,0,51-51255,5,3,5,501
461,1,1,1,2,1,0,51-01301,53,3,5,501
462,2,1,8,1,5,1,32-00405,53,0,2,202
463,2,6,2,2,7,0,36-03710,43,0,N,25
464,2,3,2,2,5,0,13-04600,81,N,N,80
465,1,1,2,1,7,0,29-01901,50,0,2,241
466,1,6,3,1,0,0,40-00200,17,N,N,201
467,1,4,1,1,9,0,51-01301,56,0,N,501
468,2,5,1,1,N,0,38-00100,2,6,N,501
469,1,1,1,1,0,0,32-00405,69,0,2,338
470,1,6,1,2,0,0,51-51255,16,5,7,0
471,2,1,8,1,5,0,36-04010,59,0,2,501
472,2,6,2,1,4,0,29-01901,47,0,2,456
473,1,6,1,1,8,0,08-00803,25,3,4,501
474,2,N,1,1,N,4,51-51255,12,5,5,501
475,2,6,1,2,5,0,24-01004,26,3,4,501
476,1,6,2,2,1,0,28-01100,16,0,N,123
477,2,6,6,0,1,0,51-51255,19,2,4,N
478,2,4,1,1,7,0,51-51255,69,0,N,501
479,2,1,1,1,8,0,51-01301,35,1,3,501
480,2,6,6,1,9,0,06-07502,60,0,N,501
481,1,6,2,1,0,4,36-04010,20,0,N,455
482,1,1,2,1,8,0,36-04010,88,1,2,501
483,2,1,1,1,5,0,30-00600,37,1,4,346
484,1,6,1,2,3,0,38-00100,27,3,5,101
485,2,N,1,0,1,1,30-00600,11,2,4,N
486,2,1,1,2,N,0,29-01901,33,0,3,291
487,1,N,2,1,N,0,24-01004,6,1,5,501
488,1,4,1,1,8,0,24-01004,47,2,4,501
489,2,1,2,1,4,1,13-04600,51,0,2,236
490,2,6,6,0,0,0,06-08507,19,2,3,N
491,2,1,1,1,8,0,13-04600,47,1,3,501
492,1,6,1,2,1,0,01-01301,22,0,N,198
493,1,1,6,2,8,0,06-08507,52,0,2,501
494,1,1,1,2,5,0,19-01700,58,0,2,363
495,1,1,6,2,3,0,24-01004,76,4,7,333
496,2,1,1,2,5,0,26-02702,57,0,2,148
497,1,1,1,1,1,0,32-00405,39,0,2,226
498,2,6,1,1,3,0,38-00100,35,1,3,320
499,2,6,1,1,0,1,51-01301,19,0,N,501
500,2,N,2,1,3,0,17-03529,35,0,5,478
501,2,N,1,1,N,0,51-51255,12,2,3,501
502,1,1,1,1,7,0,08-00803,43,0,2,501
503,2,6,1,2,6,0,08-00803,29,0,N,48
504,2,1,3,2,1,4,36-03710,62,0,3,296
505,2,1,1,1,4,0,32-00405,47,1,2,492
506,1,4,1,1,8,0,06-08507,56,0,N,501
507,2,3,4,1,5,0,40-00200,87,0,2,354
508,2,3,1,2,1,0,19-01700,81,0,N,324
509,1,6,1,1,5,0,40-00200,32,N,N,137
510,1,6,2,2,1,0,13-04600,17,0,N,67
511,1,N,2,2,N,0,29-01901,14,0,N,157
512,1,1,1,1,N,0,51-01301,48,0,2,501
513,2,6,1,2,2,0,38-00100,24,N,7,40
