PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
25-00503,6,2,N,0,1,2,4,1,2,2872.7,N,2,N,N,235,N,2,2,2,2
25-00703,84,2,1,0,1,0,2,1,2,2195.3,N,5,16220.0,3,425,N,1,1,2,2
25-01300,48,1,1,0,1,1,3,1,1,1457.2,9,9,426000.0,9,501,N,2,2,2,2
25-00703,14,1,N,0,1,3,5,1,1,2195.3,N,4,N,N,501,N,2,2,2,2
25-02800,40,2,4,0,6,1,2,1,1,3683.9,6,1,18000.0,3,102,N,2,2,2,2
25-00703,62,2,6,0,1,0,N,1,1,2195.3,10,10,39900.0,5,302,N,2,2,2,2
25-01300,1,1,N,0,6,2,4,1,1,1457.2,N,N,N,N,501,N,N,N,2,2
25-00503,43,1,1,0,1,2,4,1,1,2872.7,5,9,503500.0,9,501,N,2,2,2,2
25-02800,31,2,1,0,1,2,4,1,1,3683.9,10,10,80000.0,7,501,N,2,2,2,2
25-01000,39,2,1,0,9,2,4,1,1,2447.1,2,9,80400.0,7,501,N,2,2,2,2
25-01000,68,2,1,0,1,0,2,1,1,2447.1,N,9,11600.0,2,283,N,2,2,2,2
25-00703,67,2,1,0,1,0,2,1,1,2195.3,N,9,35000.0,5,483,N,2,2,2,2
25-00703,91,2,3,0,1,0,N,1,2,2195.3,N,7,12000.0,2,98,N,2,1,2,2
25-01300,11,1,N,0,1,2,4,1,1,1457.2,N,3,N,N,470,N,2,2,2,2
25-01000,54,2,1,0,1,2,4,1,1,2447.1,10,9,90000.0,8,501,N,2,2,2,2
25-01000,87,2,4,0,1,0,N,1,2,2447.1,N,12,21000.0,3,173,N,1,1,2,2
25-00703,45,1,1,2,8,0,2,1,2,2195.3,6,6,42000.0,5,412,N,2,2,2,2
25-00503,43,2,1,0,6,2,4,1,1,2872.7,12,10,145000.0,9,501,N,2,2,2,2
25-01300,49,2,4,0,1,1,3,1,1,1457.2,10,5,61500.0,6,464,N,2,2,2,2
25-00703,71,1,1,0,1,0,2,1,1,2195.3,4,9,133900.0,9,501,N,2,2,2,2
25-02800,75,1,1,0,1,0,2,1,2,3683.9,N,6,1400.0,1,233,N,2,2,2,2
25-00503,73,2,1,0,1,0,2,1,1,2872.7,N,9,22600.0,3,501,N,2,2,2,2
25-02800,54,2,6,0,1,0,3,1,1,3683.9,12,7,36800.0,5,501,N,2,2,2,2
25-02800,7,2,N,0,1,2,4,1,1,3683.9,N,3,N,N,501,N,2,2,2,2
25-00703,51,2,4,0,1,2,3,1,1,2195.3,16,9,65300.0,7,321,N,2,2,2,2
25-01300,31,1,6,0,1,0,4,1,1,1457.2,3,5,67000.0,7,501,N,2,2,2,2
25-02800,20,2,6,0,6,0,3,1,1,3683.9,N,9,0.0,0,61,N,2,2,2,2
25-00503,49,2,1,0,1,2,4,1,1,2872.7,4,10,177000.0,9,501,N,2,2,2,2
25-01300,70,2,6,0,1,N,N,2,0,1457.2,N,7,9400.0,2,N,N,1,1,2,2
25-01300,10,2,N,0,1,2,4,1,1,1457.2,N,3,N,N,501,N,2,2,2,2
25-01300,43,1,6,0,2,N,N,2,0,1457.2,N,4,0.0,0,N,N,2,2,2,2
25-00703,27,2,6,0,6,N,N,3,0,2195.3,13,4,9100.0,2,69,N,2,2,2,2
25-01000,3,1,N,0,6,4,6,1,1,2447.1,N,1,N,N,297,N,N,N,2,2
25-00703,72,1,1,0,1,0,2,1,1,2195.3,11,10,105000.0,8,501,N,2,2,2,1
25-02800,7,2,N,0,1,2,4,1,1,3683.9,N,3,N,N,501,N,2,2,2,2
25-00503,23,2,6,0,6,0,N,1,2,2872.7,9,9,6000.0,1,45,N,2,2,2,2
25-00503,3,1,N,0,6,2,4,1,1,2872.7,N,1,N,N,347,N,N,N,2,2
25-00503,39,1,1,0,1,1,3,1,1,2872.7,6,7,74000.0,7,501,N,2,2,2,2
25-00703,28,2,6,0,1,0,N,1,2,2195.3,14,9,88000.0,8,501,N,2,2,2,2
25-00503,68,1,1,0,1,0,2,1,1,2872.7,N,11,21600.0,3,199,N,2,1,2,2
25-00703,42,1,1,0,1,2,4,1,1,2195.3,8,10,240000.0,9,501,N,2,2,2,2
25-00703,4,1,N,0,1,0,7,1,2,2195.3,N,2,N,N,329,N,N,N,1,1
25-00703,79,2,1,0,1,0,2,1,2,2195.3,N,9,-1600.0,0,501,N,2,2,2,2
25-00503,55,2,2,0,1,0,N,1,1,2872.7,3,9,16000.0,3,121,N,2,2,2,2
25-00703,82,2,3,0,1,0,N,1,2,2195.3,N,5,32600.0,4,269,N,2,1,2,2
25-02800,28,1,1,0,1,1,3,1,2,3683.9,10,10,55210.0,6,355,N,2,2,2,2
25-00503,2,1,N,0,1,2,4,1,1,2872.7,N,N,N,N,501,N,N,N,2,2
25-00703,66,1,1,0,1,0,2,1,1,2195.3,3,5,55000.0,6,501,N,2,2,2,2
25-00703,94,2,3,0,1,0,5,1,1,2195.3,N,6,10700.0,2,501,N,2,2,2,1
25-00503,18,1,6,0,1,N,N,3,0,2872.7,11,7,7000.0,2,N,N,2,2,2,2
25-01300,27,2,6,0,1,0,2,1,1,1457.2,6,5,24200.0,4,366,N,1,2,2,2
25-02800,30,2,1,0,1,3,5,1,1,3683.9,N,7,0.0,0,501,N,2,2,2,2
25-01300,60,2,4,0,1,0,N,1,1,1457.2,10,7,55000.0,6,419,N,2,2,2,2
25-01300,48,1,1,0,1,1,3,1,1,1457.2,4,8,84000.0,7,449,5,2,2,2,2
25-01300,47,1,6,4,8,N,N,2,0,1457.2,3,4,12700.0,2,N,N,2,2,2,2
25-00703,86,2,3,0,1,0,N,1,1,2195.3,N,5,81900.0,7,501,N,2,2,2,1
25-01000,56,2,4,0,1,0,N,1,1,2447.1,11,8,346500.0,9,501,N,1,1,2,2
25-00703,75,2,1,0,1,0,2,1,1,2195.3,N,3,17000.0,3,213,N,2,2,2,2
25-01000,14,1,N,0,8,2,4,1,1,2447.1,N,3,N,N,276,N,2,2,2,2
25-00703,20,2,6,0,9,0,2,1,2,2195.3,6,7,8000.0,2,390,N,2,2,2,2
25-02800,0,2,N,0,1,2,5,1,1,3683.9,N,N,N,N,324,N,N,N,2,2
25-01300,30,1,6,0,1,0,N,1,1,1457.2,9,9,91000.0,8,501,N,2,2,2,2
25-01000,40,1,1,0,1,1,3,1,2,2447.1,17,7,32000.0,4,244,N,2,2,2,2
25-02800,49,2,1,0,1,1,4,1,1,3683.9,16,10,135000.0,9,501,N,2,2,2,2
25-00503,75,1,1,0,6,0,5,1,1,2872.7,N,9,8600.0,2,454,N,2,2,2,2
25-01000,56,2,4,0,1,0,2,1,1,2447.1,10,5,60000.0,6,501,N,2,2,2,2
25-01300,61,1,1,0,1,0,2,1,1,1457.2,10,9,82200.0,7,501,N,2,2,2,2
25-02800,57,1,1,0,2,0,2,1,1,3683.9,14,9,50000.0,6,501,N,2,2,2,2
25-00503,25,2,6,0,1,0,4,1,1,2872.7,11,9,1000.0,1,501,N,2,2,2,2
25-02800,35,1,1,0,1,0,2,1,1,3683.9,3,6,427000.0,9,501,N,2,2,2,2
25-01000,66,1,1,0,1,0,2,1,1,2447.1,10,10,49000.0,6,501,N,2,2,2,2
25-01000,11,2,N,0,1,2,6,1,1,2447.1,N,3,N,N,449,N,2,2,2,2
25-00703,72,1,3,0,1,0,N,1,2,2195.3,N,10,27600.0,4,227,N,1,2,2,2
25-00503,10,2,N,0,1,2,4,1,1,2872.7,N,3,N,N,501,N,2,2,2,2
25-00703,66,2,4,0,1,0,N,1,1,2195.3,N,7,35000.0,5,288,N,2,2,2,2
25-00703,68,2,1,0,1,0,2,1,1,2195.3,N,5,11700.0,2,216,N,2,2,2,2
25-00703,54,2,4,0,1,0,2,1,2,2195.3,N,6,0.0,0,60,N,1,1,1,2
25-00703,45,1,1,0,6,2,7,1,1,2195.3,12,9,100000.0,8,501,N,2,2,2,2
25-00503,14,1,N,0,9,3,5,1,1,2872.7,N,3,N,N,501,N,2,2,2,2
25-00703,26,1,6,0,1,0,N,1,2,2195.3,15,6,2120.0,1,16,N,2,2,2,2
25-01300,0,1,N,0,1,1,3,1,1,1457.2,N,N,N,N,501,N,N,N,2,2
25-01000,47,2,4,0,1,3,4,1,1,2447.1,10,9,80000.0,7,501,N,2,2,2,2
25-01300,48,2,1,0,1,0,3,1,1,1457.2,11,7,50000.0,6,501,N,2,2,2,2
25-00703,72,2,1,0,1,0,2,1,1,2195.3,N,5,11940.0,2,425,N,2,2,2,2
25-01000,54,2,6,0,1,0,N,1,1,2447.1,13,7,55000.0,6,415,N,2,1,2,2
25-01300,30,2,6,0,1,0,3,1,1,1457.2,9,7,42000.0,5,501,N,2,2,2,2
25-02800,17,2,6,0,1,1,2,1,2,3683.9,6,4,11000.0,2,166,N,2,2,2,2
25-01000,16,2,6,0,1,3,5,1,1,2447.1,N,4,0.0,0,481,N,2,2,2,2
25-00503,88,2,3,0,1,0,2,1,1,2872.7,N,4,4200.0,1,170,N,2,2,2,2
25-01000,53,2,1,0,1,0,5,1,1,2447.1,4,4,24000.0,4,394,N,2,2,2,2
25-01300,39,2,1,0,2,4,7,1,1,1457.2,10,9,190000.0,9,501,N,2,2,2,2
25-00503,1,2,N,0,1,0,3,1,1,2872.7,N,N,N,N,86,N,N,N,2,2
25-01300,26,1,6,0,1,0,2,1,1,1457.2,6,7,0.0,0,501,N,2,2,2,2
25-01000,55,2,4,0,1,0,N,1,1,2447.1,4,5,123400.0,9,501,N,2,2,2,2
25-01300,15,2,6,0,9,1,2,1,2,1457.2,N,4,0.0,0,501,N,2,2,2,2
25-02800,41,1,1,0,1,0,2,1,1,3683.9,3,7,25000.0,4,501,N,2,2,2,2
25-01300,62,2,1,0,1,0,3,1,1,1457.2,13,7,11000.0,2,501,N,2,2,2,2
25-02800,57,1,6,0,1,0,N,1,2,3683.9,10,8,35000.0,5,267,N,2,2,2,2
25-00503,53,1,4,0,1,1,2,1,2,2872.7,9,10,727000.0,9,501,N,2,2,2,2
25-00703,11,1,N,0,1,3,5,1,2,2195.3,N,3,N,N,462,N,2,2,2,2
25-00703,1,1,N,0,1,1,3,1,1,2195.3,N,N,N,N,501,N,N,N,2,2
25-00503,72,2,1,0,6,0,2,1,1,2872.7,12,9,38200.0,5,501,N,2,1,2,2
25-00703,69,1,6,0,1,0,N,1,1,2195.3,9,9,50200.0,6,417,N,2,2,2,2
25-00503,41,2,1,0,1,0,2,1,2,2872.7,12,10,38000.0,5,501,N,2,2,2,2
25-01300,40,2,1,0,6,2,4,1,1,1457.2,12,12,65000.0,7,501,N,2,2,2,2
25-00703,16,1,6,0,1,2,3,1,1,2195.3,N,4,0.0,0,88,N,2,2,2,2
25-01300,41,2,1,0,6,2,4,1,2,1457.2,N,7,0.0,0,273,N,2,2,2,2
25-01000,55,2,1,0,1,0,2,1,1,2447.1,6,10,120000.0,8,501,N,2,2,2,2
25-00503,71,2,1,0,1,0,2,1,1,2872.7,11,10,48000.0,6,501,N,2,2,2,2
25-01300,13,1,N,2,1,3,5,1,1,1457.2,N,3,N,N,420,N,2,2,2,2
25-01000,16,1,6,0,1,1,3,1,1,2447.1,14,4,9400.0,2,368,N,2,2,2,2
25-01000,81,2,3,0,1,0,N,1,1,2447.1,N,4,22300.0,3,184,N,2,2,2,2
25-02800,70,2,1,0,1,0,2,1,1,3683.9,9,9,126000.0,9,501,N,2,2,2,2
25-00503,50,2,6,2,1,0,4,1,2,2872.7,12,7,5490.0,1,158,N,1,2,2,2
25-00703,50,1,6,0,1,0,N,1,1,2195.3,10,9,125100.0,9,501,N,2,2,2,2
25-00703,72,1,6,0,1,0,N,1,1,2195.3,11,9,79000.0,7,501,N,2,2,2,2
25-02800,10,2,N,0,1,0,6,1,2,3683.9,N,3,N,N,435,N,2,2,2,2
25-00703,52,1,1,0,1,0,3,1,1,2195.3,12,12,627000.0,9,501,N,2,2,2,2
25-01000,77,2,6,0,1,N,N,2,0,2447.1,N,6,9400.0,2,N,N,1,1,2,2
25-00503,52,1,1,0,1,0,4,1,1,2872.7,8,8,100000.0,8,501,N,2,2,2,2
25-01300,52,2,1,0,1,0,2,1,1,1457.2,2,8,130000.0,9,501,N,2,2,2,2
25-01300,45,2,1,0,6,2,4,1,1,1457.2,5,10,62000.0,6,441,N,2,2,2,2
25-00703,79,1,1,0,1,0,2,1,1,2195.3,N,10,37100.0,5,378,N,2,1,2,2
25-00503,30,1,6,0,1,0,N,1,2,2872.7,9,9,130000.0,9,501,N,2,2,2,2
25-00703,64,2,1,0,1,0,2,1,1,2195.3,16,9,49000.0,6,501,N,2,2,2,2
25-01000,84,2,3,0,6,0,N,1,2,2447.1,N,3,3400.0,1,28,N,2,2,2,2
25-02800,13,1,N,0,1,1,3,1,1,3683.9,N,3,N,N,501,N,2,2,2,2
25-00703,11,1,N,0,1,0,2,1,1,2195.3,N,3,N,N,416,N,2,2,2,2
25-00703,67,2,1,0,1,0,3,1,1,2195.3,12,9,70200.0,7,501,N,2,2,2,2
25-00503,52,2,4,0,1,0,N,1,2,2872.7,12,5,45800.0,5,349,N,2,2,2,2
25-00703,61,2,1,0,1,0,2,1,1,2195.3,13,8,26300.0,4,185,N,2,2,2,2
25-02800,50,2,1,0,1,0,2,1,1,3683.9,15,5,45000.0,5,501,N,2,2,2,2
25-01000,50,1,1,0,1,2,4,1,1,2447.1,10,9,135000.0,9,501,N,2,2,2,2
25-00703,47,1,1,0,1,1,3,1,1,2195.3,2,5,105000.0,8,501,N,2,2,2,2
25-02800,67,1,2,0,1,2,6,1,1,3683.9,N,9,0.0,0,501,N,2,2,2,2
25-00503,15,2,6,0,6,2,4,1,1,2872.7,N,4,0.0,0,501,N,2,2,2,2
25-02800,31,2,1,0,6,0,2,1,1,3683.9,14,9,34000.0,4,387,N,2,2,2,2
25-02800,59,1,6,0,1,0,N,1,1,3683.9,3,7,80000.0,7,501,N,2,2,2,2
25-00703,64,2,3,0,1,0,N,1,1,2195.3,12,9,148200.0,9,501,N,2,2,2,2
25-01300,36,2,6,0,1,0,N,1,1,1457.2,12,10,115000.0,8,501,N,2,2,2,2
25-01000,48,2,2,0,1,0,4,1,1,2447.1,6,8,8000.0,2,279,N,2,2,2,2
25-00503,0,2,N,0,1,3,5,1,1,2872.7,N,N,N,N,501,N,N,N,2,2
25-02800,52,2,6,0,1,0,N,1,2,3683.9,14,9,42000.0,5,317,N,2,2,2,2
25-00703,41,1,1,0,1,1,3,1,1,2195.3,16,7,80000.0,7,501,N,2,2,2,2
25-00503,53,2,4,0,6,1,2,1,1,2872.7,12,11,290000.0,9,501,N,2,2,2,2
25-00703,38,2,6,0,1,0,N,1,2,2195.3,12,9,26100.0,4,197,N,2,2,2,2
25-00703,48,1,6,0,1,0,N,1,1,2195.3,3,9,130500.0,9,501,N,2,2,2,2
25-00503,54,2,1,0,1,0,4,1,1,2872.7,10,9,172000.0,9,501,N,2,2,2,2
25-00503,56,1,1,0,1,0,2,1,1,2872.7,12,11,644100.0,9,501,N,2,2,2,2
25-01300,29,1,6,0,1,0,N,1,1,1457.2,10,9,110000.0,8,501,N,2,2,2,2
25-01000,49,2,1,0,1,0,2,1,1,2447.1,12,9,165000.0,9,501,N,2,2,2,2
25-00503,53,2,1,0,1,0,6,1,1,2872.7,10,9,50000.0,6,501,N,2,2,2,2
25-02800,34,1,1,0,1,2,6,1,1,3683.9,9,7,177000.0,9,501,N,2,2,2,2
25-01000,51,1,1,0,1,1,3,1,1,2447.1,4,9,453000.0,9,501,N,2,2,2,2
25-00503,32,2,6,0,6,0,N,1,2,2872.7,10,9,111000.0,8,501,N,2,2,2,2
25-01000,26,2,6,4,1,1,6,1,1,2447.1,16,5,82000.0,7,501,N,2,2,2,2
25-01000,94,2,3,0,1,N,N,2,0,2447.1,N,5,18200.0,3,N,N,2,1,2,1
25-01300,45,2,4,0,1,0,N,1,1,1457.2,12,9,105000.0,8,501,N,2,2,2,2
25-00703,25,2,6,0,1,0,3,1,1,2195.3,7,9,55000.0,6,445,N,2,2,2,2
25-00503,46,1,5,0,1,2,3,1,2,2872.7,10,7,176000.0,9,501,N,2,2,2,2
25-00503,18,2,6,0,1,1,4,1,1,2872.7,N,4,0.0,0,439,N,2,2,2,2
25-00703,68,1,6,0,1,0,N,1,1,2195.3,12,7,30200.0,4,250,N,2,2,2,2
25-01000,76,1,1,0,1,0,2,1,1,2447.1,N,10,38000.0,5,501,N,2,2,2,2
25-02800,13,1,N,0,1,1,6,1,1,3683.9,N,3,N,N,501,N,2,2,2,2
25-02800,80,1,1,0,1,0,2,1,1,3683.9,15,5,112200.0,8,501,N,2,2,2,2
25-00503,32,2,2,0,6,0,5,1,1,2872.7,9,9,60000.0,6,454,N,2,2,2,2
25-01300,51,1,6,0,1,0,2,1,1,1457.2,4,5,35000.0,5,501,N,2,2,2,2
25-00703,63,2,1,0,1,0,2,1,1,2195.3,N,5,7820.0,2,501,N,2,2,2,2
25-00703,17,2,6,0,1,2,4,1,1,2195.3,14,5,7000.0,2,471,N,2,2,1,2
25-01000,56,2,4,0,1,0,2,1,1,2447.1,15,7,7000.0,2,53,N,2,2,2,2
25-02800,68,1,1,0,1,0,2,1,2,3683.9,10,9,87000.0,8,501,N,2,2,2,2
25-02800,42,2,1,0,1,3,5,1,1,3683.9,13,10,41000.0,5,501,N,2,2,2,2
25-01000,17,1,6,0,9,1,2,1,2,2447.1,9,4,5400.0,1,344,N,2,2,2,2
25-02800,13,1,N,0,1,2,4,1,1,3683.9,N,3,N,N,128,N,2,2,2,2
25-00503,19,1,6,0,1,0,4,1,1,2872.7,14,5,5000.0,1,501,N,2,2,2,2
25-02800,84,1,4,0,1,N,N,3,0,3683.9,N,4,18000.0,3,148,N,2,2,2,2
25-01000,67,1,1,0,1,0,2,1,1,2447.1,16,8,85000.0,8,501,N,2,2,2,2
25-02800,16,1,6,0,1,2,5,1,1,3683.9,14,4,0.0,0,501,N,2,2,2,2
25-01000,34,1,1,0,1,1,3,1,1,2447.1,9,9,133010.0,9,501,N,2,2,2,2
25-02800,50,1,1,0,1,0,2,1,1,3683.9,7,4,55000.0,6,501,N,2,2,2,2
25-00503,0,2,N,0,1,1,3,1,2,2872.7,N,N,N,N,501,N,N,N,2,2
25-00503,56,2,1,0,1,0,6,1,1,2872.7,N,6,0.0,0,365,N,2,2,2,2
25-01000,59,1,4,0,1,0,N,1,1,2447.1,9,10,94300.0,8,501,N,2,2,2,2
25-00703,19,2,6,0,6,0,4,1,1,2195.3,6,7,10000.0,2,501,N,2,2,2,2
25-00703,48,1,1,0,1,3,5,1,1,2195.3,4,9,160000.0,9,501,N,2,2,2,2
25-00503,75,1,1,0,6,0,2,1,2,2872.7,N,5,2400.0,1,31,N,2,2,2,2
25-01300,56,2,4,0,1,0,N,1,1,1457.2,7,7,61400.0,6,463,N,2,2,2,2
25-02800,64,2,6,0,1,0,3,1,1,3683.9,11,9,64000.0,7,493,N,2,2,2,2
25-02800,20,1,6,0,1,0,3,1,2,3683.9,N,7,0.0,0,428,N,2,2,2,2
25-00703,62,2,4,0,1,0,N,1,1,2195.3,15,7,60000.0,6,458,N,2,2,2,2
25-00703,69,1,1,0,1,0,2,1,1,2195.3,6,8,45500.0,5,387,N,2,2,2,2
25-00503,55,2,1,0,1,0,3,1,1,2872.7,12,11,230000.0,9,501,N,2,2,2,2
25-00703,21,2,6,0,1,0,N,1,2,2195.3,14,5,1100.0,1,8,N,2,2,2,2
25-02800,48,1,1,0,1,1,4,1,1,3683.9,10,5,75000.0,7,501,N,2,2,2,2
25-01000,0,2,N,0,1,1,3,1,1,2447.1,N,N,N,N,501,N,N,N,2,2
25-01000,25,1,6,0,1,0,4,1,1,2447.1,10,9,63000.0,6,501,N,2,2,2,2
25-00703,18,2,6,0,1,0,4,1,1,2195.3,8,5,4000.0,1,461,N,2,2,2,2
25-02800,94,2,3,0,1,N,N,2,0,3683.9,N,9,0.0,0,N,N,2,1,2,1
25-01300,47,2,1,0,1,3,5,1,1,1457.2,12,9,90000.0,8,441,N,2,2,2,2
25-00703,78,2,1,0,1,0,2,1,1,2195.3,N,12,76700.0,7,501,N,2,2,2,2
25-01300,62,2,3,0,2,0,N,1,1,1457.2,11,5,50000.0,6,379,N,2,2,2,2
25-00503,45,2,1,0,1,2,4,1,1,2872.7,15,9,55000.0,6,501,N,2,2,2,2
25-00503,50,2,1,0,1,2,4,1,1,2872.7,N,10,0.0,0,501,N,2,2,2,2
25-01000,76,2,1,0,1,0,2,1,1,2447.1,N,10,34920.0,5,501,N,2,2,2,2
25-00703,19,2,6,4,1,N,N,3,0,2195.3,14,7,4000.0,1,N,N,2,2,2,2
25-02800,12,2,N,0,1,2,4,1,2,3683.9,N,3,N,N,217,N,2,2,2,2
25-00503,81,1,3,0,6,0,N,1,2,2872.7,N,9,0.0,0,0,N,2,2,2,2
25-00703,78,1,4,0,1,0,N,1,2,2195.3,N,9,14700.0,3,120,N,2,2,2,2
25-00503,75,2,1,0,1,0,2,1,1,2872.7,12,5,34400.0,4,501,N,2,2,2,2
25-00503,36,1,1,1,1,0,2,1,2,2872.7,3,9,15000.0,3,266,N,2,2,2,2
25-00503,19,1,6,0,1,N,N,3,0,2872.7,11,7,2700.0,1,N,N,2,2,2,2
25-00703,67,2,3,0,1,N,N,2,0,2195.3,N,5,12900.0,2,N,N,2,1,1,2
25-00703,55,1,1,0,1,0,2,1,1,2195.3,10,9,142700.0,9,501,N,2,2,2,2
25-01300,29,1,1,0,1,0,2,1,1,1457.2,10,9,95000.0,8,501,N,2,2,2,2
25-02800,61,1,1,0,1,0,3,1,1,3683.9,3,10,0.0,0,417,N,2,2,2,2
25-02800,40,1,1,0,1,1,3,1,1,3683.9,12,9,110000.0,8,501,N,2,2,2,2
25-00703,65,2,3,0,1,0,N,1,2,2195.3,N,5,1000.0,1,8,N,2,2,2,2
25-02800,62,1,6,0,1,0,3,1,1,3683.9,15,7,22000.0,3,371,N,2,2,2,2
25-01000,75,2,1,0,1,0,2,1,1,2447.1,6,10,68200.0,7,501,N,2,2,2,2
25-00703,58,2,1,0,1,0,2,1,1,2195.3,10,9,65000.0,7,501,N,2,2,2,2
25-00503,24,1,6,4,2,N,N,3,0,2872.7,15,7,6600.0,1,49,N,2,2,2,2
25-00703,54,2,4,0,1,0,2,1,1,2195.3,12,7,124000.0,9,501,N,2,2,2,2
25-02800,0,2,N,0,1,4,6,1,1,3683.9,N,N,N,N,501,N,N,N,2,2
25-00703,3,2,N,0,1,2,4,1,1,2195.3,N,1,N,N,501,N,N,N,2,2
25-01300,43,1,1,0,1,2,4,1,1,1457.2,15,10,85000.0,8,501,N,2,2,2,2
25-02800,26,1,6,0,2,0,3,1,1,3683.9,9,10,15000.0,3,370,N,2,2,2,2
25-00503,38,1,1,0,6,2,4,1,2,2872.7,4,9,96000.0,8,501,N,2,2,2,2
25-01300,44,2,1,0,6,2,4,1,1,1457.2,4,12,135000.0,9,501,N,2,2,2,2
25-01000,65,2,1,0,1,0,2,1,2,2447.1,N,7,0.0,0,501,N,2,2,2,2
25-01000,63,2,4,0,1,0,N,1,1,2447.1,16,9,80000.0,7,501,N,2,2,2,2
25-00503,19,1,6,0,1,N,N,3,0,2872.7,6,7,2000.0,1,N,N,2,2,2,2
25-02800,70,1,1,0,1,0,2,1,1,3683.9,10,11,79000.0,7,501,N,1,2,2,1
25-01000,74,1,1,0,1,0,2,1,1,2447.1,6,7,62900.0,6,501,N,2,2,2,2
25-02800,29,2,6,0,1,0,N,1,1,3683.9,14,9,60000.0,6,458,N,2,2,2,2
25-01000,65,1,1,0,1,0,2,1,1,2447.1,10,5,125000.0,9,501,N,2,2,2,2
25-00703,23,2,6,0,1,0,4,1,1,2195.3,12,9,45000.0,5,501,N,2,2,2,2
25-02800,25,1,6,0,1,0,5,1,1,3683.9,6,5,30000.0,4,501,N,1,2,2,2
25-01000,1,2,N,0,1,2,4,1,1,2447.1,N,N,N,N,501,N,N,N,2,2
25-01000,28,1,2,0,1,0,5,1,1,2447.1,3,5,40000.0,5,501,N,2,2,2,2
25-01000,63,2,1,0,1,0,2,1,1,2447.1,N,10,15000.0,3,501,N,2,2,2,2
25-00703,65,2,1,0,1,0,2,1,1,2195.3,10,7,23200.0,3,501,N,2,2,2,2
25-00703,52,1,1,0,1,2,5,1,1,2195.3,3,5,70000.0,7,501,N,2,2,2,2
25-02800,82,2,6,0,1,N,N,2,0,3683.9,N,5,0.0,0,N,N,2,1,2,2
25-00703,16,2,6,0,2,5,6,1,2,2195.3,14,4,220.0,1,66,N,2,2,2,2
25-01000,16,2,6,0,1,1,5,1,1,2447.1,6,4,3000.0,1,223,N,2,2,2,2
25-01300,51,2,6,0,1,0,N,1,1,1457.2,9,9,98800.0,8,501,N,2,2,2,2
25-02800,57,1,4,0,1,0,N,1,1,3683.9,6,9,80000.0,7,501,N,2,2,2,2
25-00503,43,1,1,0,1,3,5,1,1,2872.7,10,9,248000.0,9,501,N,2,2,2,2
25-01300,77,2,4,0,1,N,N,2,0,1457.2,N,9,14200.0,3,N,N,2,1,2,2
25-00703,55,2,1,0,1,1,4,1,1,2195.3,10,5,75000.0,7,501,N,2,2,2,2
