,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
64,81,2,7,2,2,2,N,11,0,1,N,1,0,3,1,8,501,06-08507,119,6,1,102,76,2,7,2,2,2,N,1,0,2,8,501,78,78,71.42857142857143
65,24,2,7,2,2,2,N,9,0,1,12,6,0,N,2,9,501,06-08507,98,1,2,95,34,2,7,2,2,2,N,1,1,2,2,45,58,58,50.0
66,15,2,7,2,2,2,N,4,0,1,15,6,1,5,1,2,501,06-08507,62,1,1,67,19,2,7,2,2,2,N,1,0,N,2,39,50,38,57.14285714285714
67,52,2,7,2,2,2,N,10,0,1,5,1,1,3,1,9,501,06-08507,103,6,1,103,45,2,7,2,2,2,N,1,3,5,9,501,90,90,64.28571428571429
68,65,2,12,2,2,2,N,9,0,1,15,4,0,N,1,6,461,06-07502,107,1,2,115,64,2,12,1,2,2,N,1,0,N,8,501,163,163,57.14285714285714
69,70,2,7,2,2,2,N,8,0,1,N,3,0,N,1,4,174,06-08507,294,1,2,283,94,2,7,1,2,2,N,1,0,N,3,134,111,111,57.14285714285714
70,9,2,12,2,2,2,N,3,0,1,N,N,2,4,1,N,241,06-07502,79,6,1,88,7,2,12,2,2,2,N,1,2,4,N,501,79,83,78.57142857142857
71,71,2,12,2,1,2,N,5,0,1,9,1,0,2,2,7,501,06-07502,72,1,1,71,35,2,12,2,2,2,N,1,0,2,8,501,57,57,64.28571428571429
72,38,2,12,2,2,2,N,9,0,1,9,6,0,N,1,9,501,06-07502,74,2,1,74,35,2,12,2,2,2,N,1,0,N,9,501,81,81,78.57142857142857
73,74,2,12,2,1,1,N,5,0,1,N,1,0,2,2,3,180,06-07502,192,6,1,192,75,2,12,1,2,2,N,1,0,2,2,116,301,301,42.857142857142854
74,19,2,7,2,2,2,N,5,0,1,N,6,2,4,2,0,501,06-08507,77,6,2,87,18,2,7,2,2,2,N,1,1,4,0,501,91,99,71.42857142857143
75,58,2,12,2,2,2,N,7,0,1,7,1,0,2,2,1,415,06-07502,134,6,2,133,32,2,12,2,2,2,N,1,1,3,6,501,395,376,50.0
76,62,2,12,2,2,2,N,4,0,1,N,6,0,N,1,2,78,06-07502,104,1,1,123,16,2,12,2,2,2,N,1,2,3,0,501,47,74,50.0
77,49,2,12,2,2,2,N,12,0,1,9,1,3,5,1,6,325,06-07502,75,1,1,77,40,2,12,2,2,2,N,1,1,3,9,501,74,74,50.0
78,26,2,12,2,2,2,N,10,0,1,10,6,0,N,2,9,501,06-07502,83,9,2,83,49,2,12,2,2,2,N,1,0,N,4,152,57,57,64.28571428571429
79,8,2,7,2,2,2,N,3,0,1,N,N,2,3,1,N,403,06-07502,107,9,1,164,12,2,12,2,2,2,N,1,4,6,N,501,117,106,50.0
80,67,2,7,2,2,2,N,11,0,1,N,4,0,N,1,6,353,06-08507,92,1,2,73,76,2,7,2,2,2,N,1,0,N,8,501,66,66,64.28571428571429
81,43,2,12,2,2,2,N,9,0,1,6,1,2,4,2,1,501,06-07502,81,6,2,91,44,1,12,2,2,2,N,1,1,3,5,218,94,109,42.857142857142854
82,27,2,7,2,2,2,N,9,0,1,14,6,0,2,1,6,379,06-08507,165,6,1,120,29,2,7,2,2,2,N,1,0,2,5,274,140,133,64.28571428571429
83,55,2,7,2,2,2,N,12,0,1,N,1,2,4,2,0,501,06-08507,94,1,2,94,41,2,7,2,2,2,N,1,2,4,0,423,25,30,71.42857142857143
84,25,2,7,2,2,2,N,9,0,1,11,6,0,2,1,5,310,06-08507,47,1,2,48,67,2,7,2,2,2,N,1,0,N,6,452,47,47,64.28571428571429
85,93,2,7,2,1,2,N,5,0,1,N,3,0,N,2,2,111,06-08507,120,6,2,119,68,2,7,2,2,2,N,1,0,7,0,255,72,69,50.0
86,67,2,7,2,1,1,N,4,0,1,N,1,0,2,1,2,118,06-08507,67,6,2,86,42,2,7,2,2,2,N,1,2,4,0,501,51,55,35.714285714285715
87,75,2,12,2,2,2,N,12,0,1,N,1,0,2,2,9,501,06-07502,42,1,2,42,69,2,12,2,2,2,N,1,0,2,8,501,79,79,71.42857142857143
88,8,2,12,2,2,2,N,3,0,1,N,N,1,3,1,N,501,06-07502,92,6,2,114,9,2,12,2,2,2,N,1,2,4,N,501,66,83,64.28571428571429
89,36,1,12,2,2,2,N,4,0,1,N,1,0,4,2,0,247,06-07502,115,6,1,117,75,2,12,2,2,2,N,1,0,3,3,315,163,129,50.0
90,31,2,12,2,2,2,N,7,0,1,6,6,0,N,2,7,415,06-07502,106,6,2,96,24,2,12,2,2,2,N,1,0,2,2,58,61,61,57.14285714285714
91,3,2,7,2,N,N,N,1,0,1,N,N,2,4,2,N,255,06-08507,75,6,2,79,3,2,7,2,N,N,N,1,2,4,N,391,228,217,78.57142857142857
92,45,2,7,2,2,2,N,10,0,1,16,1,2,4,1,9,501,06-08507,118,6,1,123,29,2,7,2,2,2,N,1,0,4,7,501,110,73,64.28571428571429
93,39,2,7,2,2,2,N,5,0,1,6,6,1,5,1,5,289,06-08507,59,6,1,59,34,2,7,2,2,2,N,1,0,3,4,501,162,119,50.0
94,44,2,7,2,2,2,N,11,0,1,9,1,1,3,1,9,501,06-08507,49,1,1,49,64,2,7,2,2,2,N,1,0,2,9,501,121,121,64.28571428571429
95,85,2,7,2,2,2,N,7,0,1,3,6,0,N,2,9,501,06-08507,89,1,1,99,38,2,7,2,2,2,N,1,0,2,8,501,74,54,64.28571428571429
96,69,2,7,2,2,2,N,10,0,1,N,6,0,N,1,8,501,06-08507,67,1,2,67,46,2,7,2,2,1,N,1,0,3,2,501,309,226,57.14285714285714
97,42,2,7,2,2,2,N,10,0,1,15,1,2,4,1,5,501,06-08507,57,1,2,68,45,2,7,2,2,2,N,1,5,7,6,501,61,61,57.14285714285714
98,26,2,12,2,2,2,N,9,0,1,12,6,0,N,2,7,501,06-07502,58,6,1,64,32,2,12,2,2,2,N,1,0,2,6,327,174,120,57.14285714285714
99,28,2,7,2,2,2,N,9,0,1,N,6,1,2,2,0,0,06-08507,82,6,1,98,46,2,7,2,2,2,N,1,0,N,0,0,342,342,64.28571428571429
100,69,2,7,2,2,2,N,8,0,1,6,1,0,2,1,4,501,06-08507,44,1,1,45,68,2,7,2,2,2,N,1,0,2,6,501,86,87,71.42857142857143
101,2,2,7,2,N,N,N,N,0,1,N,N,2,4,2,N,501,06-08507,70,1,1,84,2,2,7,2,N,N,N,1,2,6,N,501,122,118,78.57142857142857
102,33,2,12,2,2,2,N,9,4,1,10,6,0,N,2,7,501,06-07502,63,1,1,55,23,2,12,2,2,2,N,1,0,N,9,501,97,97,71.42857142857143
103,68,2,7,2,2,2,N,12,0,1,N,1,0,2,1,0,501,06-08507,125,6,2,117,90,2,7,2,2,2,N,1,0,2,2,208,38,43,64.28571428571429
104,43,2,7,2,2,1,N,10,0,1,14,1,3,5,1,6,319,06-08507,98,1,1,82,38,2,7,2,2,2,N,1,2,4,9,501,56,45,42.857142857142854
105,41,2,7,2,2,2,N,9,0,1,4,6,0,N,2,9,501,06-08507,115,1,2,116,25,2,7,2,2,2,N,1,0,N,9,501,91,73,78.57142857142857
106,56,2,7,2,2,2,N,9,1,1,14,1,0,2,1,7,501,06-08507,111,1,1,123,55,2,7,2,2,2,N,1,1,3,5,501,119,119,57.14285714285714
107,95,2,7,2,1,2,N,7,0,1,N,3,0,N,2,5,304,06-08507,61,1,2,65,78,2,7,2,2,2,N,1,0,N,0,0,53,53,57.14285714285714
108,35,2,12,2,2,2,N,10,0,1,9,6,1,3,2,8,501,06-07502,138,6,1,99,53,2,12,2,2,2,N,1,0,N,9,501,68,68,57.14285714285714
109,39,2,7,2,2,2,N,10,0,1,14,1,1,3,1,2,501,06-08507,58,1,2,66,50,2,7,2,2,2,N,1,3,5,9,501,68,67,57.14285714285714
110,40,2,12,2,2,2,N,9,0,1,4,6,0,N,2,9,501,06-07502,124,6,1,115,23,2,12,2,2,2,N,1,0,N,2,52,129,110,64.28571428571429
111,18,2,7,2,2,2,N,4,0,1,6,6,3,5,1,1,501,06-08507,56,1,1,51,17,2,7,2,2,2,N,1,2,4,1,501,82,78,64.28571428571429
112,85,1,12,2,1,1,N,7,0,1,N,3,0,N,2,4,190,06-07502,111,1,2,111,90,2,12,2,2,2,N,1,0,N,6,365,57,57,42.857142857142854
113,49,2,7,2,2,2,N,9,4,1,10,1,0,3,2,9,501,06-08507,66,1,2,66,45,2,7,2,2,2,N,1,1,3,8,501,120,115,64.28571428571429
114,39,2,12,2,2,2,N,9,0,1,16,1,0,2,1,9,501,06-07502,84,1,2,83,82,2,12,2,2,2,N,1,0,2,9,501,137,120,78.57142857142857
115,90,2,12,2,2,2,N,9,0,1,N,3,0,N,2,3,99,06-07502,69,6,2,64,89,2,12,2,1,2,N,1,0,N,2,83,57,57,57.14285714285714
116,25,2,12,2,2,2,N,9,0,1,11,6,0,N,2,7,393,06-07502,79,1,2,58,74,2,12,2,2,2,N,1,0,N,7,501,63,63,71.42857142857143
117,51,2,7,2,2,2,N,10,0,1,8,1,1,3,2,8,501,06-08507,221,6,1,221,51,2,7,2,2,2,N,1,1,4,9,501,92,92,71.42857142857143
118,31,2,12,2,2,2,N,10,0,1,4,6,0,N,2,9,501,06-07502,370,6,1,370,55,2,12,2,2,2,N,1,0,N,0,0,142,142,64.28571428571429
119,32,2,12,2,2,2,N,4,0,1,10,1,2,4,2,2,178,06-07502,254,6,1,245,68,2,12,2,2,2,N,1,0,2,2,118,55,56,57.14285714285714
120,46,2,12,2,2,2,N,9,0,1,8,1,4,6,1,9,501,06-07502,208,1,1,269,32,2,12,2,2,2,N,1,0,2,6,501,109,117,57.14285714285714
121,79,2,12,2,2,2,N,7,0,1,12,1,0,2,2,3,501,06-07502,40,6,2,38,45,2,12,2,2,2,N,1,2,5,6,249,66,68,50.0
122,56,2,7,2,2,2,N,9,0,1,7,1,0,3,1,4,199,06-08507,88,6,2,56,51,2,7,2,2,2,N,1,1,3,7,501,61,67,57.14285714285714
123,24,2,7,2,2,2,N,9,0,1,4,6,0,N,2,7,379,06-08507,83,9,2,74,60,2,7,2,2,2,N,1,0,N,9,501,55,55,64.28571428571429
124,57,2,7,2,2,2,N,9,1,1,10,6,0,N,2,5,226,06-08507,56,8,2,50,26,2,7,2,2,2,N,1,0,4,5,501,62,82,64.28571428571429
125,76,2,7,2,2,2,N,10,0,1,9,4,0,N,1,9,501,06-08507,48,1,2,48,75,2,7,2,2,2,N,1,0,N,8,501,51,51,71.42857142857143
126,30,2,7,2,2,2,N,9,1,1,11,1,1,3,2,2,90,06-08507,243,1,2,219,53,2,7,2,2,2,N,1,1,3,0,501,65,52,64.28571428571429
127,55,2,7,2,2,2,N,12,0,1,4,1,1,3,1,9,501,06-08507,110,6,2,89,46,2,7,2,2,2,N,1,2,4,9,501,93,89,71.42857142857143
128,57,2,12,2,2,2,N,10,0,1,N,1,0,2,2,6,501,06-07502,35,1,2,36,69,2,12,2,2,2,N,1,0,2,6,501,164,164,78.57142857142857
129,23,2,12,2,2,2,N,9,0,1,8,6,0,N,2,6,381,06-07502,239,2,2,239,34,2,12,2,2,1,N,1,0,N,7,453,96,97,57.14285714285714
130,35,2,12,2,2,2,N,8,0,1,14,1,0,2,2,9,501,06-07502,90,1,1,92,70,2,12,2,2,2,N,1,0,2,3,315,54,62,64.28571428571429
131,79,2,7,2,2,2,N,7,0,1,N,1,0,2,1,3,144,06-08507,32,6,1,32,72,1,7,2,2,2,N,1,0,2,9,501,63,63,57.14285714285714
132,19,2,12,2,2,2,N,7,0,3,14,6,N,N,0,1,N,06-07502,81,1,2,0,57,2,12,2,2,2,N,3,N,N,1,2,16,0,78.57142857142857
133,49,2,7,2,2,2,N,9,0,1,N,6,0,2,1,7,501,06-08507,39,6,2,39,23,2,7,2,2,2,N,1,0,4,0,501,91,51,64.28571428571429
134,87,2,12,2,2,2,N,9,0,1,12,1,0,2,2,5,501,06-07502,114,6,2,113,67,2,12,2,2,2,N,1,0,2,3,501,75,70,71.42857142857143
135,49,2,12,2,2,2,N,11,0,1,8,1,1,4,2,9,501,06-07502,143,6,1,141,46,2,12,2,2,2,N,1,0,2,9,501,317,242,64.28571428571429
136,66,2,12,2,2,2,N,5,0,1,6,6,0,N,2,3,113,06-07502,92,1,2,90,26,2,12,2,2,2,N,1,0,N,0,0,90,81,64.28571428571429
137,21,2,7,2,2,2,N,7,0,1,5,6,0,3,2,2,501,06-08507,85,1,1,72,25,2,7,2,2,2,N,1,0,N,5,215,71,70,57.14285714285714
138,75,2,7,2,1,2,N,9,0,1,N,2,0,N,2,8,501,06-08507,44,6,2,44,49,2,7,2,2,2,N,1,0,2,0,88,69,56,50.0
139,5,2,12,2,2,1,N,1,0,1,N,N,2,4,1,N,501,06-07502,185,9,1,222,3,2,12,2,N,N,N,1,3,5,N,412,191,188,42.857142857142854
140,67,2,7,2,2,2,N,7,0,1,8,1,0,3,1,9,501,06-08507,12,1,1,30,67,2,7,2,2,2,N,1,0,2,9,501,47,46,78.57142857142857
141,81,2,12,2,2,2,N,12,0,1,11,4,0,N,2,9,501,06-07502,60,1,2,60,42,2,12,2,2,2,N,1,1,2,7,313,229,229,50.0
142,26,2,12,2,2,2,N,9,0,1,8,1,0,2,1,9,501,06-07502,109,6,1,108,32,2,12,2,2,2,N,1,1,3,9,501,138,137,64.28571428571429
143,77,2,7,2,2,2,N,8,0,1,3,4,0,N,1,9,501,06-08507,53,1,1,52,58,2,7,2,2,2,N,1,2,3,9,501,69,43,64.28571428571429
144,18,2,7,2,2,2,N,7,0,1,N,6,2,3,2,0,501,06-08507,69,1,2,86,62,2,7,2,2,2,N,1,0,N,7,485,275,275,50.0
145,39,2,12,2,2,2,N,7,0,1,9,6,0,N,2,5,267,06-07502,65,1,2,58,45,2,12,2,2,2,N,1,0,N,9,501,99,99,64.28571428571429
146,59,2,12,2,2,2,N,10,0,1,12,1,0,2,1,9,501,06-07502,89,1,2,84,28,2,12,2,2,2,N,1,0,2,7,501,96,86,71.42857142857143
147,32,2,7,2,2,2,N,9,0,1,5,1,0,2,1,9,501,06-08507,167,6,2,143,44,2,7,2,2,2,N,1,3,5,6,501,99,90,57.14285714285714
148,28,2,12,2,2,2,N,9,0,1,15,6,0,N,2,6,315,06-07502,117,6,1,121,27,2,12,2,2,2,N,1,0,N,9,501,137,107,64.28571428571429
149,73,2,7,2,2,2,N,10,0,1,15,1,0,2,1,9,501,06-08507,38,6,1,35,67,2,7,2,2,2,N,1,0,2,1,19,118,118,64.28571428571429
150,52,2,7,2,2,2,N,10,0,1,4,6,0,N,1,9,501,06-08507,50,1,1,56,30,2,7,2,2,2,N,1,0,3,5,501,139,100,64.28571428571429
151,32,2,12,2,2,2,N,9,0,1,3,1,3,6,1,9,501,06-07502,54,1,1,104,65,2,12,2,2,2,N,1,0,2,7,501,96,118,57.14285714285714
152,74,2,12,2,2,2,N,10,0,1,11,4,0,N,1,9,501,06-07502,112,1,2,113,77,2,12,2,2,2,N,1,0,N,8,501,156,156,71.42857142857143
153,36,2,12,2,2,2,N,5,0,1,6,6,0,N,2,6,415,06-07502,66,1,1,67,62,2,12,2,1,2,N,1,0,N,5,213,104,103,57.14285714285714
154,20,2,12,2,2,2,N,7,0,1,8,6,0,N,2,6,306,06-07502,104,6,2,118,68,2,12,2,2,2,N,1,0,N,6,421,96,96,71.42857142857143
155,18,2,7,2,2,2,N,4,0,1,14,6,1,3,1,0,501,06-08507,144,6,1,105,16,2,7,2,2,2,N,1,1,3,1,501,111,109,71.42857142857143
156,39,2,7,2,2,2,N,12,0,1,11,1,3,5,1,3,501,06-08507,66,1,2,67,68,2,7,2,2,2,N,1,0,2,7,501,89,90,57.14285714285714
157,15,2,7,2,2,2,N,4,0,1,14,6,2,3,1,3,501,06-08507,66,1,2,89,17,2,7,2,2,2,N,1,1,2,1,501,101,87,57.14285714285714
158,22,2,12,2,2,2,N,7,0,3,10,6,N,N,0,1,N,06-07502,20,1,1,0,22,2,12,2,2,2,N,3,N,N,2,57,145,0,78.57142857142857
