PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
48-02516,37,2,4,0,1,4,5,1,1,1338.4,11,9,54000.0,7,182,N,2,2,2,2
48-02510,15,2,6,0,1,1,4,1,1,3092.4,N,3,0.0,0,501,N,2,2,2,2
48-02510,47,1,6,0,1,0,2,1,1,3092.4,4,7,30000.0,5,229,N,2,2,2,2
48-02102,41,1,1,0,1,2,4,1,1,450.9,7,3,100000.0,9,390,N,2,2,2,2
48-02515,38,2,1,0,1,2,4,1,1,2134.8,N,5,0.0,0,185,N,2,2,2,2
48-02101,5,2,N,1,1,0,6,1,1,357.4,N,1,N,N,245,N,2,2,2,2
48-02102,17,2,6,0,1,3,6,1,2,450.9,N,4,0.0,0,129,N,2,2,2,2
48-02515,86,2,6,0,1,0,2,1,1,2134.8,N,5,14400.0,3,421,N,2,2,2,2
48-02101,10,1,N,1,1,0,4,1,1,357.4,N,3,N,N,214,N,2,2,2,2
48-02510,45,1,4,0,1,0,N,1,1,3092.4,16,10,165000.0,9,501,N,2,2,2,2
48-02510,71,1,1,0,1,0,2,1,1,3092.4,N,7,47400.0,6,451,N,2,2,2,2
48-02515,24,2,6,0,6,0,N,1,2,2134.8,12,9,75000.0,8,501,N,2,2,2,2
48-02516,4,2,N,0,2,0,6,1,1,1338.4,N,2,N,N,240,N,N,N,2,2
48-02101,5,1,N,4,1,2,3,1,2,357.4,N,1,N,N,246,N,2,2,2,2
48-02510,9,1,N,0,1,3,5,1,1,3092.4,N,3,N,N,478,N,2,2,2,2
48-02102,29,1,1,0,1,0,2,1,1,450.9,4,5,36000.0,6,454,N,2,2,2,2
48-02507,66,1,3,1,1,0,5,1,2,3731.1,15,7,36000.0,6,338,N,2,2,2,2
48-02510,72,2,1,0,1,0,2,1,1,3092.4,13,9,31800.0,5,501,N,2,2,2,2
48-02510,1,1,N,1,1,3,5,1,1,3092.4,N,N,N,N,305,N,N,N,2,2
48-02101,62,1,1,0,1,0,2,1,1,357.4,15,6,60000.0,7,365,5,1,2,2,2
48-02102,41,2,1,0,1,1,3,1,1,450.9,9,6,72000.0,8,501,N,2,2,2,2
48-02102,54,2,1,0,1,0,2,1,1,450.9,10,6,11300.0,3,493,N,2,2,2,2
48-02510,51,1,1,0,1,0,3,1,1,3092.4,16,9,165000.0,9,501,N,2,2,2,2
48-02101,40,2,1,0,1,0,2,1,1,357.4,15,7,38000.0,6,501,N,2,2,2,2
48-02515,84,2,1,0,1,0,2,1,1,2134.8,N,9,22400.0,4,471,N,2,2,2,2
48-02515,40,2,1,1,1,0,6,1,1,2134.8,14,5,71000.0,8,501,N,2,2,2,2
48-02515,29,1,1,0,1,2,4,1,1,2134.8,11,9,60000.0,7,232,N,2,2,2,2
48-02515,26,2,1,0,1,1,3,1,2,2134.8,12,7,21800.0,4,319,N,2,2,2,2
48-02516,59,1,1,0,1,0,2,1,1,1338.4,8,5,89000.0,8,501,N,2,2,2,2
48-02101,32,2,6,1,8,0,N,1,1,357.4,6,5,30000.0,5,226,N,2,2,2,2
48-02102,92,2,4,0,1,N,N,2,0,450.9,N,3,14100.0,3,N,N,2,2,2,2
48-02507,56,1,1,0,1,0,2,1,1,3731.1,3,7,50100.0,7,501,N,2,2,2,2
48-02516,49,1,1,0,1,0,3,1,1,1338.4,10,8,150600.0,9,501,5,2,2,2,2
48-02101,14,2,N,1,9,2,3,1,2,357.4,N,3,N,N,330,N,2,2,2,2
48-02516,35,1,1,0,1,4,6,1,1,1338.4,3,5,60000.0,7,312,N,2,2,2,2
48-02101,66,2,4,0,1,0,N,1,1,357.4,10,7,3000.0,1,24,N,2,1,2,2
48-02516,62,2,1,0,1,0,2,1,1,1338.4,11,7,4260.0,2,200,N,2,2,2,2
48-02510,34,1,6,0,1,1,2,1,1,3092.4,3,7,40000.0,6,227,N,2,1,2,2
48-02510,56,1,1,0,1,0,4,1,1,3092.4,7,9,483000.0,9,501,N,2,2,2,2
48-02516,81,2,4,0,1,0,N,1,1,1338.4,N,5,39100.0,6,324,N,2,2,2,2
48-02515,17,2,6,4,1,3,6,1,1,2134.8,N,4,0.0,0,161,N,2,2,2,2
48-02101,34,1,1,0,1,2,4,1,1,357.4,3,7,59000.0,7,395,N,2,2,2,2
48-02510,34,1,6,0,8,0,6,1,1,3092.4,6,5,24000.0,4,501,N,2,2,2,2
48-02515,43,1,1,1,1,1,4,1,1,2134.8,3,5,36000.0,6,235,N,2,2,2,2
48-02510,10,2,N,0,1,1,4,1,1,3092.4,N,3,N,N,358,N,2,2,2,2
48-02516,53,1,1,1,1,0,2,1,1,1338.4,3,7,60000.0,7,501,N,2,2,2,2
48-02516,34,2,1,0,1,2,4,1,1,1338.4,9,9,0.0,0,345,N,2,2,2,2
48-02510,41,2,1,0,1,0,2,1,1,3092.4,15,5,60000.0,7,501,N,2,2,2,2
48-02101,42,2,1,0,1,3,5,1,1,357.4,10,7,5400.0,2,287,N,2,2,2,2
48-02510,41,1,6,0,6,0,N,1,1,3092.4,12,9,72000.0,8,501,N,2,2,2,2
48-02516,4,1,N,1,1,1,3,1,2,1338.4,N,1,N,N,365,N,N,N,2,2
48-02515,46,1,6,1,1,0,N,1,1,2134.8,3,5,55000.0,7,415,N,2,2,2,2
48-02515,46,2,1,0,1,3,5,1,1,2134.8,N,9,0.0,0,333,N,2,2,2,2
48-02515,28,2,1,0,1,1,3,1,1,2134.8,4,5,10070.0,3,173,N,2,2,2,2
48-02515,9,2,N,0,1,0,2,1,1,2134.8,N,3,N,N,274,N,2,2,2,2
48-02101,60,2,1,0,9,0,6,1,1,357.4,11,8,61000.0,7,501,N,2,2,2,2
48-02515,4,1,N,2,9,3,5,1,1,2134.8,N,2,N,N,411,N,N,N,2,2
48-02515,64,2,1,0,1,0,2,1,1,2134.8,12,9,84000.0,8,501,N,2,2,2,2
48-02510,13,1,N,0,1,2,4,1,1,3092.4,N,3,N,N,206,N,2,2,2,2
48-02515,34,2,1,1,1,2,4,1,2,2134.8,12,7,40000.0,6,390,N,2,2,2,2
48-02101,4,1,N,4,1,3,6,1,1,357.4,N,1,N,N,335,N,N,N,2,2
48-02515,54,2,6,0,1,0,2,1,1,2134.8,11,10,65410.0,8,501,N,2,2,2,2
48-02102,0,2,N,1,1,4,6,1,1,450.9,N,N,N,N,118,N,N,N,2,2
48-02516,60,2,1,0,1,0,2,1,1,1338.4,N,4,5700.0,2,132,N,2,1,2,2
48-02101,31,1,1,0,1,4,6,1,1,357.4,3,6,100000.0,9,501,N,2,2,2,2
48-02515,57,1,4,0,2,0,N,1,2,2134.8,15,5,30.0,1,0,N,2,2,2,2
48-02507,5,2,N,0,2,2,4,1,1,3731.1,N,1,N,N,323,N,2,2,2,2
48-02516,0,2,N,0,1,3,5,1,1,1338.4,N,N,N,N,501,N,N,N,2,2
48-02510,53,2,1,0,1,0,2,1,1,3092.4,4,9,10000.0,2,501,N,2,2,2,2
48-02101,57,1,1,1,1,0,3,1,1,357.4,1,7,31400.0,5,407,N,2,2,2,2
48-02102,33,2,2,0,1,0,11,1,1,450.9,12,7,24000.0,4,241,N,2,2,2,2
48-02516,16,2,6,0,1,1,3,1,1,1338.4,14,4,5000.0,2,501,N,2,2,2,2
48-02516,22,1,6,0,1,0,3,1,1,1338.4,14,7,8000.0,2,501,N,2,2,2,2
48-02515,77,1,3,0,1,0,4,1,1,2134.8,N,8,49000.0,7,501,N,1,1,2,2
48-02515,0,2,N,0,1,3,5,1,1,2134.8,N,N,N,N,501,N,N,N,2,2
48-02510,82,2,3,0,1,0,N,1,1,3092.4,N,5,60000.0,7,494,N,2,2,2,2
48-02516,57,2,1,4,1,1,4,1,1,1338.4,7,7,60000.0,7,489,N,2,2,2,2
48-02516,12,1,N,1,1,3,5,1,1,1338.4,N,3,N,N,490,N,2,2,2,2
48-02507,48,1,6,0,1,0,N,1,1,3731.1,15,9,15000.0,3,113,N,2,2,2,2
48-02510,43,2,1,1,1,2,4,1,1,3092.4,7,9,24000.0,4,501,N,2,2,2,2
48-02515,29,1,6,0,1,N,N,3,0,2134.8,3,7,800.0,1,6,N,2,2,2,2
48-02516,58,2,1,0,1,0,3,1,1,1338.4,11,6,33400.0,5,501,N,2,2,2,2
48-02515,28,1,6,1,1,0,N,1,1,2134.8,3,5,85000.0,8,501,N,2,2,2,2
48-02510,43,2,1,1,1,0,3,1,1,3092.4,5,7,40000.0,6,501,N,2,2,2,2
48-02101,50,2,1,0,1,1,4,1,1,357.4,11,7,3000.0,1,251,N,2,2,2,2
48-02510,69,2,1,0,1,0,2,1,1,3092.4,6,9,52800.0,7,501,N,2,2,2,1
48-02101,9,1,N,0,1,0,3,1,1,357.4,N,3,N,N,501,N,2,2,2,2
48-02507,73,1,4,0,1,0,N,1,1,3731.1,N,9,40200.0,6,330,N,2,2,2,2
48-02516,37,2,1,0,1,3,5,1,1,1338.4,11,9,21000.0,4,278,N,2,2,2,2
48-02516,36,2,1,1,1,3,5,1,1,1338.4,N,8,0.0,0,265,N,2,2,2,2
48-02101,60,2,1,0,1,0,3,1,1,357.4,10,10,0.0,0,323,N,2,2,2,2
48-02507,48,1,1,0,2,4,6,1,2,3731.1,7,9,16400.0,3,89,N,2,2,2,2
48-02510,69,1,1,0,1,0,2,1,1,3092.4,6,10,43000.0,6,501,N,2,2,2,2
48-02516,25,1,6,0,1,0,2,1,1,1338.4,15,7,20000.0,4,422,N,2,2,2,2
48-02101,9,1,N,0,1,2,4,1,1,357.4,N,3,N,N,501,N,2,2,2,2
48-02102,63,2,1,0,1,0,2,1,1,450.9,9,7,12300.0,3,501,N,2,2,2,2
48-02101,12,1,N,0,1,5,8,1,2,357.4,N,3,N,N,501,N,2,2,2,2
48-02102,37,2,1,0,1,1,3,1,1,450.9,12,7,35000.0,5,311,N,2,2,2,2
48-02102,35,2,1,0,1,1,3,1,1,450.9,10,5,44400.0,6,481,N,2,2,2,2
48-02507,92,2,3,0,1,N,N,3,0,3731.1,N,7,23000.0,4,190,N,2,1,1,2
48-02101,10,2,N,0,1,3,5,1,1,357.4,N,3,N,N,365,N,2,2,2,2
48-02101,45,1,1,0,1,0,2,1,1,357.4,11,10,30000.0,5,471,N,2,2,2,2
48-02101,33,2,1,0,1,2,4,1,1,357.4,12,9,88000.0,8,501,N,2,2,2,2
48-02510,77,2,1,0,1,0,2,1,1,3092.4,11,10,34600.0,5,501,N,2,2,2,2
48-02101,29,1,6,1,8,0,5,1,1,357.4,10,5,13700.0,3,295,N,1,2,2,2
48-02102,44,2,1,1,9,2,4,1,1,450.9,N,5,3700.0,2,63,N,2,2,2,2
48-02507,50,2,4,0,1,0,N,1,2,3731.1,9,5,32000.0,5,244,N,2,2,2,2
48-02101,64,1,1,1,8,0,2,1,1,357.4,3,9,60000.0,7,354,N,2,2,2,2
48-02507,44,1,1,0,1,2,4,1,2,3731.1,10,8,58600.0,7,241,N,2,2,2,2
48-02507,9,1,N,1,1,0,5,1,1,3731.1,N,3,N,N,257,N,2,2,2,2
48-02102,11,1,N,1,1,3,6,1,1,450.9,N,3,N,N,501,N,2,2,2,2
48-02507,15,2,6,0,1,0,5,1,1,3731.1,N,4,0.0,0,145,N,2,2,2,2
48-02507,42,2,1,0,1,4,6,1,1,3731.1,N,5,470.0,1,275,N,2,2,2,2
48-02101,80,1,1,0,1,0,5,1,1,357.4,10,10,77100.0,8,284,N,2,1,2,1
48-02515,34,2,6,0,6,0,3,1,1,2134.8,N,7,0.0,0,501,N,2,2,2,2
48-02515,4,2,N,0,1,3,4,1,2,2134.8,N,1,N,N,N,N,N,N,2,2
48-02516,31,1,1,0,2,0,4,1,1,1338.4,9,10,115000.0,9,501,N,2,2,2,2
48-02507,64,1,4,0,1,0,2,1,1,3731.1,N,6,13980.0,3,106,3,2,1,2,2
48-02516,35,1,1,0,1,2,4,1,1,1338.4,4,9,495000.0,9,501,N,2,2,2,2
48-02510,34,1,1,0,1,0,3,1,2,3092.4,8,10,9300.0,2,501,N,2,2,2,2
48-02515,70,1,4,0,1,0,N,1,1,2134.8,8,4,28200.0,5,232,N,2,2,2,2
48-02101,22,2,6,1,1,1,5,1,1,357.4,14,5,10000.0,2,254,N,2,2,2,2
48-02516,45,1,1,1,1,1,3,1,1,1338.4,2,8,95000.0,8,501,N,2,2,2,2
48-02507,23,2,1,0,9,2,4,1,1,3731.1,15,6,50.0,1,392,N,2,2,2,2
48-02515,57,1,1,0,1,0,4,1,1,2134.8,4,10,120000.0,9,501,N,2,2,2,1
48-02102,40,1,4,0,1,1,2,1,2,450.9,4,4,65000.0,8,491,N,2,2,2,2
48-02101,3,1,N,0,9,3,5,1,1,357.4,N,1,N,N,246,N,N,N,2,2
48-02102,28,1,6,0,1,0,N,1,2,450.9,11,8,28000.0,5,213,N,2,2,2,2
48-02102,69,2,4,0,3,0,N,1,1,450.9,N,5,13200.0,3,109,N,2,1,1,2
48-02507,42,2,4,0,1,1,2,1,1,3731.1,12,9,94000.0,8,501,N,2,2,2,2
48-02516,80,2,3,0,1,0,N,1,1,1338.4,N,5,9900.0,2,82,N,2,2,2,2
48-02510,86,2,3,0,1,0,2,1,1,3092.4,N,9,26600.0,5,495,N,2,2,2,1
48-02102,66,2,1,0,1,0,2,1,1,450.9,10,9,8400.0,2,458,N,2,2,2,2
48-02516,8,1,N,0,9,2,5,1,1,1338.4,N,3,N,N,403,N,1,1,2,2
48-02507,38,2,3,0,1,0,2,1,1,3731.1,N,4,0.0,0,501,N,2,2,2,2
48-02510,57,1,1,0,1,0,3,1,1,3092.4,4,9,190000.0,9,501,N,2,2,2,2
48-02516,38,1,1,1,1,0,2,1,1,1338.4,7,5,30000.0,5,501,N,2,2,2,2
48-02516,58,2,1,0,1,0,2,1,1,1338.4,11,10,32000.0,5,218,N,2,1,2,2
48-02516,47,2,1,4,1,2,6,1,1,1338.4,12,12,900.0,1,372,N,2,2,1,2
48-02510,9,1,N,0,1,0,4,1,1,3092.4,N,3,N,N,453,N,1,2,2,2
48-02515,25,2,1,0,1,0,2,1,2,2134.8,15,7,5000.0,2,235,N,2,2,2,2
48-02510,32,2,1,0,1,1,3,1,1,3092.4,11,9,56000.0,7,501,N,2,2,2,2
48-02102,11,2,N,1,1,3,4,1,1,450.9,N,3,N,N,92,N,2,2,2,2
48-02101,59,2,1,0,1,0,2,1,1,357.4,N,5,0.0,0,2,N,2,2,2,2
48-02507,65,2,1,0,1,0,2,1,1,3731.1,15,9,26500.0,5,501,N,2,2,2,2
48-02516,35,1,1,0,1,4,6,1,1,1338.4,16,9,50000.0,7,311,N,2,2,2,2
48-02101,7,1,N,0,9,4,6,1,1,357.4,N,3,N,N,492,N,2,2,2,2
48-02507,71,2,1,0,1,0,2,1,2,3731.1,N,6,6100.0,2,139,N,2,2,2,2
48-02102,26,2,4,0,1,0,5,1,1,450.9,12,5,0.0,0,501,N,2,2,2,2
48-02515,40,1,1,1,1,0,2,1,1,2134.8,3,3,27000.0,5,158,N,2,2,2,2
48-02510,28,1,1,0,1,0,2,1,1,3092.4,3,7,40000.0,6,501,N,2,2,2,2
48-02515,40,1,1,0,1,2,4,1,1,2134.8,16,9,85000.0,8,501,N,2,2,2,2
48-02507,0,1,N,0,9,4,5,1,2,3731.1,N,N,N,N,87,N,N,N,2,2
48-02507,67,1,1,0,1,0,2,1,1,3731.1,10,8,39100.0,6,260,N,2,2,2,2
48-02510,55,1,1,0,1,0,2,1,1,3092.4,7,10,209000.0,9,501,2,2,2,2,2
48-02515,15,1,6,0,1,2,5,1,1,2134.8,N,4,0.0,0,501,N,2,2,2,2
48-02507,3,2,N,4,1,1,2,1,2,3731.1,N,1,N,N,57,N,N,N,2,2
48-02515,68,2,1,0,1,0,3,1,1,2134.8,11,7,15400.0,3,501,N,2,2,2,2
48-02516,38,2,1,0,1,1,3,1,1,1338.4,9,7,60000.0,7,501,N,2,2,2,2
48-02101,38,1,1,0,1,2,4,1,1,357.4,5,5,60000.0,7,483,N,2,2,2,2
48-02515,62,1,6,1,1,0,N,1,1,2134.8,4,5,38000.0,6,286,N,2,2,2,2
48-02507,6,1,N,0,1,1,5,1,1,3731.1,N,2,N,N,389,N,2,2,2,2
48-02507,56,2,4,0,1,0,N,1,1,3731.1,11,10,63000.0,7,479,N,2,2,2,2
48-02101,11,2,N,0,6,2,4,1,1,357.4,N,3,N,N,379,N,2,2,2,2
48-02516,58,2,4,0,1,0,2,1,1,1338.4,9,7,35100.0,6,342,N,2,2,2,2
48-02516,3,2,N,2,1,2,4,1,1,1338.4,N,1,N,N,501,N,N,N,2,2
48-02516,37,2,1,0,1,2,4,1,1,1338.4,9,6,0.0,0,501,N,2,2,2,2
48-02101,33,2,1,0,1,1,3,1,1,357.4,13,10,26000.0,5,481,N,2,2,2,2
48-02515,23,1,1,1,1,1,3,1,2,2134.8,4,5,21000.0,4,102,N,2,2,2,2
48-02102,45,2,1,0,1,0,6,1,2,450.9,13,5,13400.0,3,249,N,2,2,2,2
48-02101,71,1,1,0,1,0,2,1,1,357.4,6,10,41400.0,6,425,N,2,2,2,2
48-02101,20,1,6,0,2,0,3,1,2,357.4,14,5,0.0,0,318,N,2,2,2,2
48-02101,36,1,1,0,1,2,4,1,1,357.4,3,1,100000.0,9,450,N,2,2,2,2
48-02515,69,2,1,0,1,0,2,1,1,2134.8,6,7,19000.0,4,501,N,2,2,2,2
48-02510,42,2,1,0,1,2,4,1,1,3092.4,12,10,20000.0,4,501,N,2,2,2,2
48-02510,60,2,1,0,1,0,2,1,1,3092.4,11,10,90000.0,8,501,N,2,2,2,2
48-02515,78,2,3,0,1,0,N,1,1,2134.8,N,7,16800.0,3,139,N,2,2,2,2
48-02516,39,2,1,0,6,2,4,1,1,1338.4,6,5,60000.0,7,235,N,2,2,2,2
48-02102,16,1,6,1,1,3,7,1,1,450.9,N,4,0.0,0,97,N,2,2,2,2
48-02102,64,2,1,0,1,0,4,1,1,450.9,6,7,46000.0,6,501,N,1,1,2,2
48-02507,14,1,N,0,2,4,5,1,2,3731.1,N,4,N,N,24,N,1,2,2,2
48-02101,22,2,6,0,1,0,2,1,1,357.4,11,8,0.0,0,481,N,2,2,2,2
48-02101,19,1,6,1,1,2,5,1,1,357.4,N,5,0.0,0,198,N,2,2,2,2
48-02516,29,2,1,0,1,1,3,1,1,1338.4,14,9,40000.0,6,469,N,2,2,2,2
48-02101,72,2,4,0,1,0,3,1,2,357.4,N,7,19200.0,4,418,N,2,1,2,2
48-02507,56,2,1,0,1,0,3,1,1,3731.1,N,7,-2100.0,0,284,N,2,2,2,2
48-02507,45,1,1,0,2,0,2,1,1,3731.1,11,6,30000.0,5,293,N,2,2,2,2
48-02101,62,1,1,0,1,0,3,1,1,357.4,6,8,75000.0,8,501,N,2,2,2,2
48-02101,58,1,1,0,1,0,2,1,1,357.4,7,5,58000.0,7,501,N,2,2,2,2
48-02516,62,2,5,0,1,0,N,1,1,1338.4,1,7,50000.0,7,376,N,2,2,2,2
48-02507,12,2,N,0,1,2,3,1,2,3731.1,N,3,N,N,501,N,2,2,2,2
48-02507,16,1,6,0,1,4,7,1,1,3731.1,14,4,2500.0,1,474,N,2,2,2,2
48-02507,74,2,1,0,1,0,2,1,1,3731.1,N,7,11600.0,3,297,N,2,2,2,2
48-02516,36,2,1,1,1,3,5,1,1,1338.4,N,3,0.0,0,141,N,2,2,2,2
48-02102,48,2,1,0,1,2,4,1,1,450.9,N,7,0.0,0,282,N,2,2,2,2
