,AGEP_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,MSP,NOC_x,OWN_RENT,PINCP_DECILE_x,PUMA,RAC1P,SEX,AGEP_y,DVET_y,HOUSING_TYPE_y,NOC_y,PINCP_DECILE_y,percent_match
27,48,N,7,0,2,2,0,1,9,01-01301,2,1,76,N,1,0,4,40.0
28,12,N,6,4,1,1,N,1,N,38-00100,1,1,37,N,1,1,9,40.0
29,57,N,2,0,1,N,3,2,2,06-08507,6,1,6,N,1,1,N,40.0
30,88,N,9,0,1,1,0,1,7,51-01301,9,2,52,N,1,0,3,60.0
31,62,N,8,0,1,1,0,1,N,40-00200,9,1,60,N,1,0,7,60.0
32,15,N,5,0,1,5,0,1,9,32-00405,2,2,59,N,1,0,1,60.0
33,41,N,7,0,1,6,1,0,1,51-51255,1,1,19,N,3,N,1,40.0
34,60,N,8,4,1,1,0,1,2,36-03710,2,2,50,N,1,0,4,60.0
35,92,N,3,0,1,4,2,2,N,32-00405,9,1,70,N,1,0,5,40.0
36,38,N,9,1,1,6,0,1,9,51-51255,1,1,27,N,1,0,5,60.0
37,51,N,8,0,1,1,0,1,0,24-01004,2,1,55,N,1,1,6,40.0
38,35,N,10,4,1,6,0,1,6,26-02702,1,2,26,N,1,0,8,60.0
39,32,N,8,0,1,1,0,1,N,29-01901,2,1,75,4,1,0,7,40.0
40,18,N,12,0,1,2,0,1,1,08-00803,1,2,85,N,1,0,9,60.0
41,68,N,7,0,1,4,0,1,3,26-02702,6,2,46,N,1,0,5,60.0
42,8,N,1,0,1,1,2,1,2,06-07502,6,2,86,N,1,0,2,60.0
43,16,N,7,0,1,1,0,2,9,32-00405,6,1,84,N,1,0,2,60.0
44,9,N,3,0,1,5,1,1,8,36-04010,2,1,69,N,1,0,0,40.0
45,20,N,4,1,1,1,0,2,0,30-00600,1,2,34,N,1,0,0,80.0
46,4,N,3,1,1,1,3,1,2,13-04600,8,2,57,N,1,0,0,40.0
47,13,N,9,0,1,1,2,1,9,19-01700,9,2,44,N,1,2,9,80.0
48,78,N,5,0,1,6,0,0,2,06-08507,1,2,52,N,3,N,1,20.0
49,92,N,8,0,1,6,0,1,8,24-01004,9,1,21,N,1,1,1,40.0
50,46,N,8,0,1,6,0,1,1,26-02702,1,1,28,N,1,0,7,60.0
51,71,N,10,0,1,4,0,1,5,13-04600,1,2,37,N,1,0,8,60.0
52,69,N,9,0,1,6,0,2,2,29-01901,9,1,22,N,1,0,1,60.0
53,18,N,11,0,1,6,0,2,3,08-00803,1,1,33,N,1,0,9,60.0
54,69,N,9,0,2,4,0,1,4,17-03531,2,1,65,N,1,0,4,60.0
55,13,N,10,0,1,3,0,2,8,06-08507,6,2,82,N,1,0,8,80.0
56,74,N,4,1,1,6,2,1,9,19-01700,1,1,15,N,1,2,0,60.0
57,39,N,9,0,1,3,0,1,7,26-02702,1,1,86,N,1,0,7,80.0
58,8,N,9,0,1,5,0,2,N,24-01004,1,1,67,N,1,0,5,60.0
59,28,N,3,0,1,4,3,1,6,17-03529,2,1,72,2,1,0,2,20.0
60,68,N,6,1,1,6,1,1,5,38-00100,1,2,25,N,1,0,7,40.0
61,18,N,1,0,1,N,1,1,5,36-04010,2,2,4,N,1,0,N,40.0
62,15,N,4,1,3,6,1,2,9,40-00200,9,2,15,N,1,0,0,40.0
63,69,N,10,0,1,4,2,2,2,17-03531,2,2,39,N,1,1,6,40.0
64,73,N,3,0,2,5,2,1,3,28-01100,2,1,66,N,1,0,5,20.0
65,37,N,10,0,1,1,4,2,9,32-00405,1,1,49,N,1,1,9,60.0
66,56,N,5,0,1,4,0,2,4,26-02702,1,2,49,N,1,0,3,60.0
67,42,N,12,0,1,1,0,1,5,17-03529,2,2,48,N,1,0,9,60.0
68,76,N,8,0,1,3,0,2,2,40-00200,1,2,57,N,1,0,3,60.0
69,43,N,5,0,1,2,0,1,6,40-00200,1,1,53,N,1,0,0,60.0
70,3,N,1,0,1,4,2,2,3,40-00200,1,2,56,N,1,0,4,40.0
71,41,N,4,4,1,1,1,1,0,24-01004,1,2,78,N,1,0,4,40.0
72,19,N,9,0,1,4,0,1,9,17-03529,1,1,64,N,1,0,9,80.0
73,50,N,8,0,1,1,0,2,7,40-00200,3,2,42,N,1,1,6,40.0
74,64,N,6,1,1,1,0,2,5,08-00803,1,2,32,N,1,5,5,60.0
75,43,N,2,0,1,N,1,2,N,38-00100,3,2,5,N,1,2,N,60.0
76,23,N,7,0,1,1,0,1,4,01-01301,9,1,52,N,1,0,5,60.0
77,44,N,11,0,1,3,0,1,9,17-03529,1,2,81,N,1,0,6,60.0
78,31,N,1,0,1,3,N,1,9,08-00803,1,1,51,N,1,0,1,40.0
79,79,N,4,0,3,6,3,0,2,17-03529,1,2,94,N,2,N,2,40.0
80,2,N,1,0,1,N,2,2,N,26-02702,1,2,3,N,1,2,N,80.0
81,32,N,2,0,1,6,0,1,9,17-03529,2,2,67,N,1,0,2,60.0
82,3,N,10,0,1,6,0,2,9,51-51255,9,1,30,N,1,0,2,60.0
83,38,N,3,0,1,3,2,1,0,51-51255,2,2,84,N,1,0,5,40.0
84,47,N,9,0,1,6,0,1,5,06-08507,9,2,25,N,1,0,7,60.0
85,67,N,3,0,1,4,3,1,N,28-01100,1,1,52,N,1,0,3,40.0
86,57,N,6,0,1,4,0,1,9,13-04600,2,1,67,N,1,0,2,60.0
87,30,N,3,4,1,1,0,1,9,32-00405,8,1,26,N,1,2,6,40.0
88,72,N,4,0,1,4,5,1,0,01-01301,2,2,79,N,1,0,2,40.0
89,15,N,12,0,1,4,1,2,N,24-01004,6,1,49,N,1,2,8,40.0
90,66,N,N,0,1,N,0,2,5,06-08507,1,1,2,N,1,2,N,40.0
91,65,N,7,0,1,2,0,1,N,51-01301,1,1,62,N,1,0,9,60.0
92,23,3,3,1,3,6,1,1,9,01-01301,1,1,30,N,1,0,8,0.0
93,69,N,4,0,1,1,N,2,3,01-01301,1,2,42,N,1,2,2,40.0
94,49,N,11,0,1,6,3,1,5,51-51255,9,1,69,N,1,0,7,40.0
95,11,N,9,0,1,6,3,1,4,24-01004,9,1,40,N,1,0,6,40.0
96,72,N,8,0,1,1,0,1,5,32-00405,1,2,71,N,1,0,2,60.0
97,10,N,9,0,1,4,0,1,0,51-01301,2,1,41,N,1,0,7,60.0
98,2,N,1,0,1,N,0,2,N,01-01301,1,2,4,N,1,2,N,60.0
99,72,N,8,0,1,4,3,2,0,24-01004,1,1,57,N,1,0,9,40.0
100,82,N,5,0,1,1,0,2,0,51-51255,6,2,54,N,1,0,4,60.0
101,47,N,9,4,1,6,0,2,9,26-02702,1,1,26,N,1,0,1,60.0
102,36,N,10,2,1,6,0,1,7,36-03710,2,2,58,N,1,0,6,60.0
103,13,N,9,0,1,4,0,2,2,29-01901,1,2,75,N,1,0,5,60.0
104,68,N,8,0,1,1,0,1,5,13-04600,1,2,61,N,1,0,0,60.0
105,13,N,6,0,1,2,N,1,5,40-00200,1,2,61,N,1,0,6,40.0
106,54,N,5,1,1,6,0,2,N,38-00100,1,1,34,N,1,0,6,60.0
107,22,N,3,1,1,6,3,1,4,19-01700,1,2,15,N,1,1,0,40.0
108,15,N,10,0,1,1,0,1,0,38-00100,5,2,64,N,1,0,0,80.0
109,9,N,9,0,1,2,0,2,5,36-03710,2,1,36,N,1,0,7,60.0
110,76,N,11,0,1,4,0,1,8,32-00405,1,1,83,N,1,0,9,60.0
111,34,N,10,0,1,4,0,1,2,24-01004,6,1,39,N,1,0,8,60.0
112,18,N,4,0,1,4,0,2,9,19-01700,1,1,52,N,1,0,8,60.0
113,28,N,8,0,1,4,0,2,5,51-01301,1,2,60,N,1,0,6,60.0
114,70,N,9,0,1,3,0,2,5,29-01901,1,2,67,N,1,0,7,60.0
115,40,N,8,0,1,2,0,1,4,19-01700,1,1,28,N,1,0,0,60.0
116,57,N,8,0,1,4,0,2,1,30-00600,1,2,42,N,1,2,3,40.0
117,49,N,4,0,1,N,1,2,0,06-08507,1,2,14,N,1,1,N,60.0
118,24,N,5,0,1,4,0,2,N,29-01901,1,1,60,3,1,0,2,40.0
119,95,N,8,0,1,6,N,1,N,40-00200,3,2,31,N,1,0,8,40.0
120,3,N,7,4,1,4,2,1,3,06-07502,1,2,22,N,1,0,7,40.0
121,15,N,11,0,1,3,0,1,N,24-01004,6,2,66,N,1,0,9,60.0
122,66,N,6,0,1,3,0,2,N,13-04600,2,2,63,N,1,0,6,60.0
123,27,N,9,0,3,6,0,1,N,01-01301,9,2,23,N,1,0,6,40.0
124,51,N,7,0,1,6,0,1,6,30-00600,9,2,24,N,1,0,3,60.0
125,5,N,3,0,1,N,3,2,5,38-00100,9,2,7,N,1,2,N,40.0
126,59,N,4,1,1,6,1,1,6,40-00200,3,2,16,N,1,0,0,40.0
127,74,N,4,0,1,5,0,1,0,36-04010,2,2,16,N,1,1,0,60.0
128,5,N,3,4,1,N,2,2,8,30-00600,1,2,9,N,1,4,N,40.0
129,12,N,8,0,1,2,1,1,9,40-00200,9,2,40,N,1,0,0,40.0
130,15,N,7,1,1,1,3,1,8,36-03710,1,1,67,N,1,0,4,40.0
131,42,N,3,0,1,1,2,1,9,06-07502,6,1,85,N,1,0,7,40.0
132,21,N,8,0,1,4,0,1,N,17-03529,2,1,78,N,1,0,5,60.0
133,66,N,5,4,1,3,0,1,8,51-51255,1,2,84,N,1,0,6,60.0
134,0,N,2,0,1,6,0,1,3,17-03531,2,2,17,N,1,0,0,60.0
135,54,N,6,0,1,6,0,2,0,51-51255,1,1,24,N,1,0,4,60.0
136,50,N,5,0,1,1,0,2,N,38-00100,3,1,45,N,1,5,5,40.0
137,5,N,5,4,1,6,0,2,N,24-01004,1,1,46,N,1,0,2,60.0
138,16,N,3,4,1,N,2,1,9,38-00100,1,1,9,N,1,0,N,40.0
139,1,N,10,0,1,4,0,2,7,51-01301,1,2,55,N,1,0,9,60.0
140,65,N,5,0,1,6,0,2,1,17-03529,6,1,19,N,1,0,0,60.0
141,45,N,9,0,1,4,2,1,6,06-08507,6,1,51,N,1,2,8,60.0
142,2,N,8,4,2,2,0,1,6,51-51255,1,2,37,N,1,0,7,40.0
143,60,N,7,0,1,5,0,2,0,38-00100,1,1,55,N,1,0,6,60.0
144,65,N,10,0,1,2,0,2,2,06-07502,1,2,30,N,1,0,8,60.0
145,3,N,3,0,1,4,N,0,1,32-00405,1,1,47,N,2,N,3,40.0
146,35,N,8,0,1,4,N,0,3,51-51255,1,1,56,N,3,N,3,60.0
147,54,N,7,4,1,1,0,1,N,38-00100,1,1,38,N,1,0,8,60.0
148,7,N,5,1,1,6,0,2,9,08-00803,1,2,20,N,1,0,2,60.0
149,55,N,10,0,1,6,0,2,3,08-00803,6,1,30,N,1,1,0,40.0
150,14,N,1,4,1,1,0,1,N,24-01004,1,1,55,N,1,2,4,40.0
151,69,N,9,1,1,6,0,2,5,32-00405,1,2,22,N,1,0,1,60.0
152,7,N,7,0,3,6,0,1,2,13-04600,6,1,24,N,1,2,1,20.0
153,12,N,5,0,1,4,0,1,4,40-00200,9,2,48,N,1,0,6,60.0
154,45,N,8,0,1,1,N,1,4,30-00600,9,2,63,N,1,0,7,40.0
155,58,N,12,0,1,1,0,2,N,29-01901,1,2,34,N,1,2,3,40.0
156,5,N,5,0,1,5,0,1,9,19-01700,1,2,27,N,1,0,0,60.0
157,12,N,N,0,1,N,3,2,0,40-00200,1,1,1,N,1,1,N,40.0
158,27,N,9,0,1,5,3,1,9,06-08507,1,2,48,N,1,0,4,40.0
159,22,N,5,0,3,5,0,1,2,01-01301,2,2,63,N,1,0,8,40.0
160,60,N,8,0,1,1,0,2,8,01-01301,2,1,59,6,1,0,9,40.0
161,82,N,6,0,1,4,2,2,N,28-01100,2,2,42,N,1,1,3,40.0
162,37,N,6,0,1,1,0,2,2,13-04600,2,1,53,N,1,2,1,40.0
163,23,N,10,0,1,2,0,2,0,38-00100,1,2,43,N,1,0,9,60.0
164,76,N,5,0,1,3,3,1,0,17-03529,6,2,70,N,1,1,0,60.0
165,77,N,7,0,1,6,0,1,3,01-01301,1,1,27,N,1,0,2,60.0
166,29,2,4,0,1,6,1,1,8,13-04600,6,2,17,N,1,2,0,20.0
167,66,N,9,1,1,4,1,2,8,13-04600,2,2,66,N,1,0,5,60.0
168,80,N,1,4,1,6,0,2,N,36-03710,2,1,27,N,1,1,2,40.0
169,30,N,3,0,1,3,0,2,2,28-01100,2,2,75,N,1,0,8,60.0
170,64,N,4,0,2,4,0,1,7,17-03531,2,1,46,N,1,0,1,40.0
171,80,N,5,0,1,3,0,2,4,36-03710,2,1,95,N,1,0,7,60.0
172,74,N,7,0,1,4,0,2,2,36-03710,1,2,31,N,1,0,8,60.0
173,29,N,10,0,1,3,0,1,9,51-01301,1,1,44,N,1,0,9,80.0
174,75,N,5,0,1,1,0,1,5,01-01301,1,1,74,N,1,0,5,80.0
175,41,N,10,0,1,4,0,2,6,17-03531,2,1,65,N,1,0,3,60.0
176,21,N,N,0,1,N,2,1,8,32-00405,8,1,0,N,1,4,N,40.0
177,11,N,8,0,1,6,0,1,4,40-00200,9,2,20,N,1,0,0,60.0
178,75,N,12,0,1,6,0,2,3,36-03710,1,1,34,N,1,0,8,60.0
179,9,N,7,1,1,6,0,2,N,26-02702,1,2,21,N,1,0,2,60.0
180,53,N,9,0,1,2,0,2,6,26-02702,6,1,25,N,1,0,3,60.0
181,20,N,8,0,1,3,1,1,7,28-01100,1,1,69,N,1,0,2,40.0
182,58,N,8,0,1,4,0,2,0,26-02702,1,2,61,N,1,0,6,60.0
183,77,N,10,0,1,3,2,1,0,26-02702,1,2,63,N,1,0,9,40.0
184,56,N,8,0,1,2,N,1,7,13-04600,2,1,25,N,1,0,0,40.0
185,56,N,7,0,1,6,N,2,7,40-00200,9,1,25,N,1,0,6,40.0
186,28,N,7,0,3,6,0,1,N,19-01700,6,2,54,N,1,0,4,40.0
187,50,N,3,0,1,4,3,2,4,28-01100,2,2,88,N,1,0,5,40.0
188,2,N,6,0,1,6,4,1,N,17-03529,1,2,29,N,1,3,6,40.0
189,61,N,4,0,1,4,3,2,4,38-00100,1,2,65,N,1,0,6,40.0
190,38,N,4,0,1,N,0,2,N,40-00200,3,1,14,N,1,3,N,60.0
191,8,N,10,0,1,3,0,1,4,40-00200,1,1,75,N,1,0,8,60.0
192,42,N,N,0,1,N,3,2,1,06-07502,6,1,2,N,1,1,N,40.0
193,63,N,12,0,1,4,0,1,9,29-01901,2,2,68,N,1,0,7,60.0
194,30,N,1,0,1,N,3,1,N,38-00100,9,1,3,N,1,2,N,60.0
195,12,N,9,0,1,4,0,2,1,19-01700,2,2,69,N,1,0,4,60.0
196,20,N,5,0,1,4,0,0,1,28-01100,2,1,74,N,3,N,0,20.0
197,23,N,5,0,3,6,0,2,3,26-02702,6,2,20,N,1,0,1,40.0
198,66,N,10,1,1,1,0,2,2,26-02702,1,2,47,N,1,1,0,40.0
199,7,N,3,4,1,N,4,1,5,36-03710,8,2,8,N,1,1,N,40.0
200,50,N,4,0,1,2,2,2,0,06-07502,6,1,42,N,1,0,4,40.0
201,69,N,N,0,1,N,4,1,N,40-00200,9,2,1,N,1,0,N,60.0
202,21,N,9,0,2,2,1,1,9,17-03531,2,2,41,N,1,0,2,20.0
203,74,N,6,0,1,4,0,2,N,32-00405,1,2,65,N,1,0,1,60.0
204,93,N,4,4,3,6,N,1,7,51-01301,1,1,17,N,1,2,1,20.0
205,39,N,4,0,1,6,N,2,5,51-01301,6,2,17,N,1,1,0,40.0
206,52,N,6,0,1,4,0,1,9,36-03710,2,1,67,N,1,0,1,60.0
207,57,N,3,1,1,N,0,1,4,30-00600,1,2,11,N,1,2,N,40.0
208,4,N,7,0,1,6,1,1,5,13-04600,9,1,51,N,1,0,4,40.0
209,4,N,7,0,1,6,N,1,7,01-01301,9,1,30,N,1,0,2,40.0
210,50,N,4,0,1,1,N,2,6,38-00100,3,2,48,N,1,0,2,40.0
211,31,N,3,0,1,N,2,0,3,38-00100,1,2,13,N,2,N,N,20.0
212,52,N,7,0,1,2,0,2,9,36-04010,2,1,49,N,1,0,7,60.0
213,25,N,9,0,1,1,1,1,9,29-01901,9,2,50,N,1,0,1,40.0
214,56,N,9,0,1,2,0,0,0,51-01301,1,2,58,N,2,N,0,40.0
215,15,N,8,0,1,1,0,2,9,24-01004,6,2,41,N,1,2,0,40.0
216,32,N,8,1,1,1,0,1,1,32-00405,1,2,50,N,1,0,0,60.0
217,49,N,1,0,3,6,2,1,8,24-01004,6,2,33,N,1,1,2,20.0
218,50,N,4,0,1,N,0,1,0,51-01301,1,2,14,N,1,1,N,40.0
219,3,N,7,0,1,6,0,2,4,38-00100,6,1,27,N,1,0,5,60.0
220,69,N,5,4,2,6,0,1,7,24-01004,1,1,17,N,1,2,1,20.0
221,22,N,3,0,1,4,0,2,5,40-00200,1,2,49,N,1,0,2,60.0
222,4,N,5,0,1,1,0,2,6,17-03529,9,2,36,N,1,0,5,60.0
223,69,N,5,0,1,6,0,2,5,29-01901,6,1,20,N,1,0,0,60.0
224,8,N,7,4,1,6,0,2,9,24-01004,2,2,37,N,1,0,2,60.0
225,37,N,6,0,1,4,2,0,3,38-00100,1,1,54,N,3,N,2,20.0
226,26,N,4,0,1,4,0,0,0,38-00100,1,2,91,N,2,N,2,20.0
227,12,N,8,0,1,4,N,1,N,30-00600,3,2,80,N,1,0,5,40.0
228,61,N,9,0,1,3,3,2,5,06-08507,1,2,86,N,1,0,8,40.0
229,14,N,7,0,1,5,0,1,N,30-00600,3,1,62,N,1,0,3,60.0
230,52,N,5,0,3,6,0,1,5,51-01301,2,1,20,N,1,0,4,40.0
231,76,N,7,0,1,4,0,1,5,51-01301,2,2,42,N,1,1,6,40.0
232,22,N,10,0,1,2,0,2,6,17-03529,6,2,27,N,1,0,1,60.0
233,50,N,1,0,1,1,0,1,3,38-00100,3,2,60,N,1,0,2,60.0
234,62,N,3,4,1,N,5,1,N,24-01004,1,2,7,N,1,2,N,60.0
235,10,N,1,4,3,6,2,1,N,19-01700,1,2,38,N,1,3,5,20.0
236,37,N,3,0,1,6,1,1,7,51-51255,9,1,15,N,1,5,0,40.0
237,17,N,11,0,1,1,0,2,4,32-00405,1,2,47,N,1,1,9,40.0
238,10,N,6,0,1,6,1,0,3,19-01700,1,2,32,N,3,N,1,20.0
239,58,N,8,0,2,2,0,1,3,38-00100,1,2,45,N,1,0,0,40.0
240,42,N,5,0,1,3,1,1,9,26-02702,1,2,81,N,1,0,9,60.0
241,11,N,10,0,1,3,0,1,4,51-01301,2,2,84,N,1,0,7,60.0
242,4,N,10,0,1,1,0,1,N,06-08507,9,1,58,N,1,1,9,40.0
243,61,N,4,0,1,3,1,2,N,06-07502,6,1,51,N,1,1,3,60.0
244,49,N,N,0,1,N,2,1,5,06-07502,6,2,1,N,1,1,N,40.0
245,32,N,10,0,1,5,2,2,N,51-51255,1,2,36,N,1,0,8,40.0
246,79,N,6,0,1,4,1,1,0,01-01301,2,1,60,N,1,0,4,40.0
247,40,N,10,0,1,4,1,1,4,32-00405,2,1,80,N,1,0,8,40.0
248,4,N,4,1,1,1,2,1,7,38-00100,1,2,39,N,1,0,0,40.0
249,73,N,11,0,1,6,0,2,9,51-51255,2,1,33,N,1,0,9,80.0
250,60,N,5,0,1,6,0,1,9,13-04600,6,1,55,N,1,0,7,60.0
251,24,N,5,0,1,4,0,0,8,06-08507,1,1,68,N,2,N,6,20.0
252,66,N,3,4,3,6,2,2,N,24-01004,1,2,15,N,1,3,0,20.0
253,65,N,9,0,1,1,0,1,9,19-01700,2,2,66,N,1,0,2,60.0
254,13,N,1,0,1,6,3,2,N,29-01901,2,1,79,N,1,0,4,40.0
255,49,N,6,0,1,6,0,1,0,36-03710,1,1,24,N,1,0,7,60.0
256,52,N,3,1,1,N,5,2,2,38-00100,1,2,10,N,1,3,N,40.0
257,15,N,3,4,1,1,1,1,6,32-00405,1,1,68,N,1,0,3,40.0
258,59,N,10,0,3,6,0,1,7,51-51255,6,1,67,N,1,0,6,40.0
259,3,N,10,0,3,6,0,2,N,40-00200,9,1,25,N,1,0,5,40.0
260,61,N,5,0,1,6,0,0,1,13-04600,1,1,18,N,2,N,0,20.0
261,24,N,4,0,1,2,N,2,0,36-03710,2,1,46,N,1,0,4,40.0
262,21,N,5,0,1,5,0,2,0,30-00600,1,2,30,N,1,1,0,60.0
263,0,N,4,1,1,6,0,1,4,30-00600,9,2,16,N,1,3,0,40.0
264,44,N,9,0,1,4,0,1,8,17-03529,1,2,49,N,1,2,8,60.0
265,70,N,9,0,1,3,N,2,5,08-00803,1,1,85,N,1,0,8,40.0
266,49,N,11,0,1,4,0,1,1,30-00600,1,1,56,5,1,0,7,40.0
267,57,N,7,0,1,6,N,1,2,24-01004,2,2,42,N,1,0,3,40.0
268,29,N,10,0,3,2,0,2,1,06-08507,6,1,30,N,1,0,9,40.0
269,53,N,12,0,1,1,2,2,1,17-03529,2,2,64,N,1,0,7,40.0
270,58,N,1,4,1,6,2,1,8,19-01700,1,1,45,N,1,3,8,60.0
271,36,N,4,0,1,4,N,2,5,51-51255,2,2,43,N,1,0,5,60.0
272,60,N,5,1,1,1,0,1,9,30-00600,1,2,47,N,1,1,5,40.0
273,24,N,5,1,1,6,0,1,4,40-00200,3,1,22,N,1,0,2,60.0
274,25,N,3,0,1,N,4,1,N,13-04600,1,2,9,N,1,3,N,60.0
275,65,N,8,0,1,1,0,1,1,51-51255,2,2,58,N,1,0,4,60.0
276,54,N,11,0,1,1,0,2,8,17-03529,2,2,44,N,1,1,9,40.0
277,41,N,3,0,3,6,2,0,1,24-01004,2,1,15,N,2,N,0,20.0
278,66,N,11,0,1,1,0,2,7,26-02702,1,1,33,N,1,2,9,40.0
279,12,N,8,0,1,4,0,1,6,13-04600,1,1,43,N,1,0,9,60.0
280,55,N,4,0,1,N,0,2,5,36-04010,2,1,14,N,1,1,N,40.0
281,22,N,10,0,1,4,0,1,0,24-01004,6,2,65,N,1,0,9,60.0
282,84,N,8,0,1,1,0,1,7,01-01301,1,1,28,N,1,0,2,60.0
283,60,N,5,0,1,3,0,0,1,06-08507,6,2,75,N,2,N,3,20.0
284,73,N,4,0,1,1,0,2,0,51-51255,6,1,45,N,1,0,7,60.0
285,12,N,7,0,1,6,0,1,8,29-01901,1,2,27,N,1,0,2,60.0
286,48,N,6,0,1,3,0,1,1,40-00200,1,2,72,N,1,0,3,60.0
287,33,N,9,0,1,4,0,2,8,28-01100,1,1,47,N,1,0,7,60.0
288,63,N,4,0,1,6,0,2,6,36-03710,8,1,20,N,1,0,0,60.0
289,39,N,4,0,1,1,0,1,9,06-07502,6,1,65,N,1,0,0,60.0
290,53,N,8,0,1,1,0,2,1,06-08507,6,2,49,N,1,0,3,60.0
291,78,N,7,0,1,6,1,2,N,32-00405,9,1,42,N,1,0,2,40.0
292,25,N,1,0,1,6,0,2,N,36-04010,2,1,19,N,1,1,1,40.0
293,3,N,5,0,1,6,0,1,N,51-51255,9,1,32,N,1,1,9,40.0
294,29,N,10,0,1,4,0,2,5,06-08507,1,2,47,N,1,0,8,60.0
295,52,N,10,0,1,3,2,2,9,28-01100,2,2,60,N,1,0,7,40.0
296,49,N,11,0,2,6,0,2,5,24-01004,6,1,32,N,1,0,8,40.0
297,70,N,7,2,1,6,0,2,1,51-51255,1,2,22,N,1,0,6,60.0
298,55,N,5,0,1,5,0,2,N,38-00100,1,2,26,N,1,1,1,40.0
299,60,N,5,0,3,4,0,2,9,51-01301,1,2,94,N,1,0,3,40.0
300,13,N,7,0,1,1,0,2,5,51-01301,2,1,31,N,1,0,4,60.0
301,72,N,5,1,1,1,5,1,1,19-01700,1,1,33,N,1,2,6,40.0
302,66,N,11,0,1,6,1,2,9,06-07502,6,1,38,N,1,0,9,60.0
303,0,N,5,0,1,4,0,2,N,29-01901,1,2,45,N,1,0,1,60.0
304,32,N,5,1,1,1,N,1,6,29-01901,2,2,94,N,1,0,0,40.0
305,45,N,7,1,1,1,2,2,0,38-00100,1,2,37,N,1,2,4,60.0
306,29,N,5,0,1,6,0,2,2,26-02702,2,2,28,N,1,0,4,60.0
307,66,N,10,0,1,6,0,2,9,32-00405,1,2,38,N,1,0,8,60.0
308,17,N,7,1,1,6,N,1,5,17-03529,1,1,31,N,1,0,6,40.0
309,58,N,4,0,1,5,0,2,5,13-04600,2,2,58,N,1,0,2,80.0
310,14,N,12,0,1,3,1,1,9,51-51255,1,1,77,N,1,0,8,40.0
311,11,N,4,0,1,4,5,2,N,40-00200,3,1,40,N,1,0,0,40.0
312,67,N,N,0,1,N,0,2,6,17-03529,1,1,2,N,1,1,N,40.0
313,67,N,11,0,1,1,N,1,8,13-04600,1,2,68,N,1,0,4,40.0
314,74,N,9,0,1,3,N,1,2,32-00405,1,1,74,N,1,0,5,60.0
315,54,N,4,0,1,1,1,1,2,26-02702,1,1,45,N,1,2,8,40.0
316,50,N,9,1,1,1,5,1,0,32-00405,1,2,41,N,1,1,0,60.0
317,18,N,9,0,1,3,0,2,8,06-07502,6,2,89,N,1,0,2,60.0
318,49,N,5,4,2,6,0,2,7,51-01301,1,1,25,N,1,0,0,40.0
