SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,DEYE
2,1,2,1,4,0,19-01700,94,0,2,120,2
2,1,1,1,0,1,36-03710,48,0,3,395,2
1,1,1,2,5,0,30-00600,21,1,2,428,2
2,1,1,2,0,0,17-03531,22,0,3,187,2
2,6,9,1,3,0,08-00803,24,0,4,109,2
2,1,2,2,1,0,17-03529,58,2,5,193,1
2,6,2,1,3,0,30-00600,1,N,5,255,2
2,6,2,1,6,0,30-00600,69,0,3,85,2
1,4,7,2,5,0,24-01004,47,5,3,114,2
2,1,2,1,0,0,36-03710,23,3,8,468,2
2,6,2,2,5,0,17-03531,30,0,5,287,2
1,1,1,1,5,0,29-01901,30,1,3,501,2
2,6,1,2,6,0,24-01004,29,0,6,46,2
2,1,2,2,8,0,51-51255,36,2,N,190,2
2,6,2,1,8,0,36-04010,25,1,12,336,2
1,1,2,2,0,0,51-01301,24,N,4,336,2
2,6,8,1,5,0,17-03529,25,0,4,96,2
1,6,1,2,5,0,28-01100,23,0,3,107,2
2,1,2,1,0,0,17-03531,35,1,2,14,2
2,1,1,2,2,1,36-04010,19,0,3,89,2
2,6,1,2,1,0,38-00100,26,0,5,267,2
2,1,2,1,1,0,36-03710,43,5,8,127,2
2,1,2,1,6,1,32-00405,60,9,3,232,2
1,6,1,2,6,0,17-03529,85,0,7,471,2
1,3,9,1,1,0,38-00100,22,1,2,115,2
2,1,1,2,1,0,06-07502,52,1,3,136,2
1,6,1,1,3,0,30-00600,31,5,3,86,2
2,1,9,2,6,1,29-01901,25,2,5,214,2
2,2,1,1,0,0,40-00200,57,0,3,501,2
2,6,6,1,1,0,36-03710,43,5,2,0,2
2,6,1,1,0,0,36-03710,54,1,3,382,2
1,4,2,2,4,0,24-01004,17,2,4,360,2
2,4,2,2,8,0,17-03531,48,1,N,116,2
1,1,2,2,2,0,17-03529,23,0,4,311,2
2,6,1,1,2,1,17-03529,30,1,6,366,2
2,1,2,2,3,0,08-00803,59,0,2,231,2
2,4,1,2,6,0,24-01004,51,2,5,155,2
2,6,3,2,6,0,17-03529,83,0,2,83,2
1,6,8,0,2,0,08-00803,49,1,N,433,2
2,2,1,1,2,0,17-03531,33,2,10,501,2
2,2,2,1,8,0,36-03710,24,1,3,501,2
2,1,6,2,3,0,17-03529,77,3,7,80,2
1,5,9,2,6,0,36-04010,24,0,N,180,2
1,4,2,2,7,4,19-01700,47,4,3,362,2
1,1,1,1,6,0,51-01301,40,0,4,19,2
1,1,1,1,1,0,24-01004,27,6,8,294,2
1,4,2,1,4,4,36-04010,75,1,3,309,2
2,6,2,2,1,0,28-01100,32,0,3,162,2
2,6,4,1,3,0,38-00100,40,3,2,183,2
2,N,8,2,0,0,36-04010,64,3,5,140,2
1,1,1,1,3,1,32-00405,71,2,4,138,2
2,6,1,2,2,0,38-00100,49,0,2,409,2
1,1,2,1,8,0,17-03531,28,0,N,239,2
2,6,1,2,6,0,26-02702,38,0,2,501,2
2,1,1,1,1,0,06-07502,76,0,N,494,2
1,1,2,1,9,0,36-03710,62,7,4,395,2
2,1,2,1,1,0,24-01004,76,2,3,149,2
1,1,3,1,1,0,51-51255,22,0,8,N,2
1,6,2,1,9,0,40-00200,61,0,2,379,2
1,N,2,1,1,4,17-03531,18,0,2,264,2
2,4,2,1,9,4,51-51255,50,0,10,88,2
2,6,6,1,2,0,01-01301,17,0,4,308,2
2,1,3,1,3,4,36-04010,68,7,5,149,1
1,1,7,1,0,1,24-01004,16,0,N,362,2
2,3,1,1,7,0,01-01301,24,0,3,355,2
1,3,2,1,N,0,30-00600,57,3,2,261,2
1,1,1,2,2,2,08-00803,13,0,5,244,2
1,1,1,1,7,0,36-04010,65,0,8,420,2
2,1,5,2,5,0,17-03531,30,1,4,208,2
2,1,1,2,4,0,30-00600,48,0,N,105,2
1,4,2,2,6,0,06-07502,26,0,3,354,2
2,1,2,1,5,0,17-03529,64,0,2,501,2
2,6,1,1,0,0,17-03529,72,0,4,429,2
2,6,2,2,1,0,26-02702,85,0,N,74,2
2,1,8,1,2,0,17-03531,69,0,6,321,2
1,6,8,1,6,1,24-01004,21,0,2,247,2
2,4,1,2,2,0,38-00100,27,0,4,437,2
1,6,2,1,5,0,24-01004,55,2,5,205,2
1,6,1,1,2,0,38-00100,34,0,3,432,2
1,1,1,1,3,3,01-01301,48,2,5,330,2
2,6,1,2,6,0,51-01301,56,1,2,263,2
1,4,1,1,0,0,38-00100,40,0,3,337,2
2,3,1,2,1,0,28-01100,21,0,2,69,2
2,1,1,2,2,0,19-01700,64,6,2,417,2
2,6,6,1,1,0,51-01301,30,1,4,454,2
2,6,1,1,4,0,28-01100,50,0,2,501,2
1,2,2,2,2,0,24-01004,47,2,6,394,1
2,6,2,2,6,0,30-00600,33,2,5,180,2
1,6,4,2,0,0,36-03710,48,1,7,84,2
2,6,2,2,2,0,01-01301,63,0,9,176,1
1,4,1,1,4,0,28-01100,49,0,7,127,2
2,6,2,1,7,0,30-00600,75,0,4,260,2
2,6,1,2,9,0,24-01004,32,3,2,4,2
2,6,6,1,6,0,13-04600,69,2,3,123,2
1,N,3,1,1,0,40-00200,66,7,2,490,2
1,1,1,2,2,0,36-04010,49,0,5,282,2
2,6,9,1,2,0,24-01004,70,1,4,485,2
2,1,2,2,3,0,24-01004,58,0,4,162,2
2,4,2,1,3,2,51-01301,30,3,2,119,2
1,3,1,1,5,0,24-01004,21,N,N,45,2
1,6,1,2,1,0,26-02702,61,0,2,15,2
1,4,1,1,7,3,17-03529,62,7,4,282,2
2,4,1,1,1,0,38-00100,19,0,2,372,2
2,6,1,2,5,0,30-00600,52,7,4,356,2
1,1,1,1,1,1,51-01301,56,2,8,489,2
1,4,1,2,6,0,29-01901,18,0,2,173,2
1,4,2,1,3,0,51-51255,45,0,2,183,2
1,N,1,1,6,0,06-07502,50,0,2,402,2
1,2,1,2,0,0,17-03531,46,6,4,152,2
2,6,8,1,4,0,17-03531,17,0,3,199,2
1,5,1,2,6,0,32-00405,42,0,4,172,2
2,1,1,1,4,4,32-00405,28,5,4,47,2
2,3,6,1,3,0,36-03710,34,0,8,315,1
1,6,8,1,4,0,51-01301,59,1,2,100,2
2,3,2,2,0,2,28-01100,45,2,2,230,2
2,1,1,2,6,0,36-03710,56,0,7,227,2
1,6,2,2,5,0,30-00600,65,0,3,160,2
1,1,1,1,2,1,40-00200,31,0,2,73,2
1,6,2,2,1,0,38-00100,32,2,2,287,2
2,6,1,1,6,0,24-01004,71,0,4,N,2
1,6,1,1,6,0,30-00600,49,0,3,401,2
2,6,2,1,6,2,40-00200,18,0,3,325,2
1,3,1,1,0,0,38-00100,50,0,10,30,2
1,6,2,1,2,0,08-00803,10,0,6,300,2
2,6,1,1,4,0,17-03529,45,2,4,321,2
1,4,9,2,4,4,30-00600,21,2,N,345,2
2,6,2,1,3,0,51-51255,77,0,2,68,2
2,4,1,2,0,0,38-00100,32,0,5,180,2
2,6,2,2,4,0,24-01004,44,0,6,375,2
2,4,6,1,9,4,24-01004,29,0,4,454,2
2,1,1,1,5,0,30-00600,44,0,6,222,2
2,1,2,2,4,0,06-07502,54,0,4,496,2
2,6,1,1,0,0,17-03529,50,0,2,182,2
1,6,1,1,0,0,38-00100,61,0,N,136,2
1,4,1,2,4,0,06-07502,64,4,N,276,2
2,4,2,1,1,0,06-07502,48,7,3,3,2
2,1,6,1,3,0,38-00100,15,3,2,331,2
1,6,2,1,1,2,17-03529,82,0,3,68,2
1,3,9,0,1,4,17-03529,62,0,2,0,2
2,N,2,1,5,0,38-00100,29,0,N,440,2
2,1,1,1,0,3,36-03710,47,0,4,417,1
2,6,1,1,0,0,06-08507,24,2,N,393,2
2,1,2,2,1,0,30-00600,82,3,2,112,2
1,1,9,2,3,0,51-01301,29,0,6,501,1
1,6,1,2,3,3,29-01901,39,2,2,217,2
1,4,1,1,3,1,26-02702,18,0,2,183,2
1,1,1,1,1,0,36-03710,16,0,4,62,2
1,3,6,1,6,3,17-03531,66,2,9,400,2
2,1,1,2,1,0,36-03710,62,0,3,85,2
2,6,2,2,3,0,17-03529,53,0,3,341,2
1,6,2,1,0,0,01-01301,70,0,2,180,2
2,4,2,1,0,0,36-03710,24,0,4,20,2
2,6,2,2,1,0,01-01301,62,0,3,146,2
1,6,7,2,2,0,06-07502,23,2,2,23,2
2,6,2,1,2,0,32-00405,31,0,3,287,2
1,2,5,2,4,0,40-00200,6,0,4,62,2
1,6,1,2,7,0,08-00803,56,1,2,177,2
2,4,1,2,5,0,17-03531,22,0,10,265,2
1,6,2,2,4,0,26-02702,37,5,2,98,2
2,1,2,1,2,1,17-03529,17,3,N,501,2
1,3,9,2,1,0,36-03710,71,2,2,199,2
1,2,8,2,0,0,17-03529,54,0,2,118,2
1,6,1,1,6,1,24-01004,18,4,2,26,2
1,1,1,2,6,0,36-03710,22,3,3,123,2
1,5,2,1,9,0,32-00405,20,9,2,235,2
2,1,1,1,6,2,26-02702,40,0,2,208,2
2,1,1,2,N,0,17-03531,35,0,6,295,2
1,6,2,1,4,0,29-01901,27,2,4,146,2
2,6,1,2,5,4,24-01004,4,0,2,413,2
2,6,7,2,6,0,26-02702,15,3,10,115,2
1,1,2,0,5,0,13-04600,75,2,N,274,2
1,6,2,2,3,0,08-00803,92,3,4,321,2
1,4,2,1,5,0,51-51255,44,0,8,78,2
2,2,2,1,1,0,51-51255,26,1,3,198,2
1,6,1,2,9,2,17-03529,49,2,5,147,2
2,4,1,2,N,0,06-08507,72,2,N,216,2
2,5,2,2,1,0,40-00200,34,1,2,36,2
1,1,1,1,2,4,06-07502,75,3,2,55,2
2,5,2,1,7,0,19-01700,34,1,6,188,2
2,6,2,1,6,0,51-01301,15,0,2,298,1
1,6,7,1,7,0,26-02702,67,0,2,243,2
1,1,1,1,2,0,06-08507,95,0,4,0,2
1,N,6,1,4,0,28-01100,49,0,3,48,2
2,6,6,1,3,0,28-01100,25,0,4,63,2
2,4,8,2,1,0,40-00200,60,0,2,431,2
1,6,1,2,7,0,06-08507,20,0,4,82,2
1,4,2,2,0,0,28-01100,79,2,2,352,2
2,1,1,2,7,0,06-07502,24,0,2,159,2
2,4,1,2,3,0,06-08507,24,1,4,362,2
1,3,2,0,5,0,08-00803,20,0,2,385,1
2,6,6,2,3,0,17-03529,67,0,4,353,2
2,N,8,1,7,0,06-08507,36,0,2,360,2
2,1,1,2,1,0,17-03531,77,1,4,465,2
2,6,6,2,3,0,36-03710,46,0,3,67,2
1,1,1,2,6,0,06-08507,31,4,2,222,2
2,1,1,2,3,0,51-51255,61,N,7,206,2
1,3,1,1,8,0,51-01301,57,1,2,251,2
1,1,1,2,4,0,38-00100,57,0,4,167,2
1,6,1,1,4,0,24-01004,47,0,3,392,1
1,1,2,2,0,1,36-03710,28,0,3,315,2
2,2,1,1,0,0,38-00100,14,4,3,10,2
2,5,2,1,4,0,40-00200,43,0,8,374,2
1,6,3,1,8,0,51-01301,10,1,2,275,2
1,1,1,1,5,0,13-04600,53,4,6,152,2
1,1,2,1,7,0,08-00803,37,0,2,288,2
1,6,2,2,8,0,38-00100,61,4,3,500,2
1,6,3,2,5,3,38-00100,66,0,N,64,2
2,1,1,2,0,0,13-04600,78,1,2,431,2
2,1,1,1,4,0,38-00100,31,0,2,266,2
2,1,2,1,5,1,17-03529,32,2,3,159,2
2,1,1,1,0,0,26-02702,24,0,3,472,2
2,1,2,1,6,0,19-01700,34,0,2,110,2
1,6,2,2,5,0,38-00100,38,0,11,205,2
1,6,2,2,5,0,24-01004,33,2,2,402,2
2,4,1,1,1,0,36-04010,24,0,2,324,2
2,4,7,1,3,4,38-00100,54,0,5,0,2
1,4,6,1,7,0,24-01004,41,1,4,296,2
2,6,1,1,2,0,30-00600,38,0,7,325,2
2,6,1,2,1,0,40-00200,37,0,6,482,2
2,1,6,1,5,0,40-00200,57,0,4,307,2
1,1,2,1,3,0,19-01700,64,5,5,109,2
1,5,1,1,4,0,01-01301,34,2,2,341,2
2,6,2,1,6,4,17-03531,36,0,2,108,2
1,6,1,1,5,0,17-03529,78,0,3,142,2
1,6,1,2,5,0,29-01901,69,0,3,38,2
2,6,1,2,0,0,17-03531,57,0,5,127,2
1,6,2,1,0,0,17-03529,65,0,3,501,2
1,2,2,1,1,4,38-00100,7,0,3,95,2
2,5,2,2,5,0,26-02702,54,3,N,92,2
1,1,1,1,4,1,24-01004,54,1,4,254,2
1,6,2,1,2,0,30-00600,28,6,2,159,2
1,6,2,1,3,1,06-07502,30,0,2,247,2
2,1,9,1,1,0,38-00100,20,1,3,314,2
1,6,2,2,1,0,30-00600,43,N,6,242,2
1,5,1,1,5,0,26-02702,40,0,5,239,2
1,6,2,1,7,0,38-00100,56,5,3,270,2
1,5,2,2,5,0,17-03529,56,0,5,0,2
2,4,2,1,2,0,06-08507,35,0,4,461,2
2,4,1,1,4,0,36-03710,15,0,3,37,2
2,6,2,1,3,0,36-03710,53,2,3,498,2
2,1,2,2,0,0,17-03529,21,2,2,368,2
1,1,1,2,2,0,17-03529,17,0,3,297,2
1,6,2,1,6,4,01-01301,6,1,N,108,2
1,6,1,1,3,0,30-00600,23,N,3,75,2
2,6,2,2,4,0,17-03531,45,1,3,31,2
1,6,1,2,0,0,38-00100,39,0,2,351,2
1,6,2,2,2,0,17-03529,33,0,N,421,2
1,6,2,2,2,3,19-01700,42,0,2,31,2
2,3,1,2,2,1,30-00600,47,1,9,382,2
2,6,2,1,5,0,38-00100,7,0,4,11,2
1,6,2,2,3,0,30-00600,68,1,3,501,2
1,2,2,1,4,0,19-01700,7,3,2,476,2
1,6,6,2,0,0,01-01301,66,3,2,403,2
1,6,1,0,8,0,51-01301,84,4,4,205,2
2,1,8,2,7,0,38-00100,47,1,3,166,2
1,4,2,2,1,0,28-01100,59,0,3,378,2
1,6,6,1,5,0,51-01301,22,1,2,115,2
1,6,2,1,1,0,29-01901,54,1,5,340,2
1,1,6,2,0,4,36-03710,77,0,2,106,2
1,1,1,2,2,0,38-00100,44,0,7,188,1
1,6,2,2,7,0,29-01901,43,1,N,159,2
1,6,2,1,3,0,24-01004,24,0,3,136,2
1,1,1,2,1,1,26-02702,13,2,N,234,2
2,1,1,2,0,0,26-02702,49,1,3,195,2
2,1,2,2,2,0,01-01301,25,0,2,274,2
1,4,8,2,2,4,08-00803,16,1,6,219,2
2,5,2,2,0,0,51-51255,46,0,3,230,2
1,4,2,1,5,1,36-03710,29,1,3,274,2
2,6,1,1,6,0,32-00405,27,0,6,161,2
2,1,1,2,3,0,08-00803,29,0,N,453,2
2,1,1,1,5,0,28-01100,21,3,4,204,2
2,1,1,1,0,0,26-02702,50,0,4,261,2
1,6,2,2,N,0,28-01100,63,2,3,501,2
2,1,2,2,2,1,17-03531,55,0,4,324,2
1,N,7,2,1,0,06-08507,40,1,6,284,2
2,4,2,1,4,0,06-07502,12,1,N,147,2
1,6,2,2,7,0,36-03710,46,0,4,60,2
1,1,2,2,3,0,51-51255,40,2,2,501,2
1,1,1,1,3,0,17-03529,40,0,N,332,2
2,1,2,1,2,0,19-01700,28,7,5,242,2
2,6,1,1,5,0,38-00100,33,1,5,127,2
2,6,2,2,6,0,19-01700,39,4,2,199,2
1,1,1,2,1,0,30-00600,30,5,3,79,2
1,6,2,2,6,0,32-00405,50,0,3,501,2
1,6,1,1,1,0,51-01301,37,0,4,86,2
1,6,6,2,5,0,30-00600,44,0,N,N,2
1,6,9,1,3,0,17-03529,51,0,2,127,2
1,4,2,2,8,0,06-08507,47,3,3,105,2
1,6,1,2,3,0,24-01004,39,0,4,436,1
1,1,1,2,0,0,28-01100,55,0,4,58,2
1,6,2,2,3,1,38-00100,20,3,2,484,2
2,4,2,1,2,0,51-51255,33,3,5,241,2
1,6,2,1,5,0,28-01100,30,1,3,439,2
1,1,3,2,4,0,30-00600,34,0,3,53,2
1,4,6,1,2,0,38-00100,59,0,2,87,2
2,1,2,2,7,0,36-03710,29,0,2,56,2
1,1,9,1,0,1,28-01100,65,0,2,501,2
2,6,8,1,6,3,29-01901,44,0,3,240,2
2,6,3,1,7,0,38-00100,25,1,3,43,2
1,4,7,2,2,0,32-00405,37,0,3,296,2
2,6,1,1,6,0,17-03531,54,2,3,243,2
2,1,1,2,7,0,36-04010,31,2,5,488,2
2,6,3,2,2,0,17-03529,57,1,5,215,2
2,1,2,2,1,0,19-01700,73,0,7,285,2
2,1,2,1,6,1,06-08507,65,3,2,18,2
2,3,1,1,1,0,29-01901,65,0,N,305,2
2,3,6,1,3,0,38-00100,2,2,7,100,2
2,6,2,1,2,0,13-04600,27,0,N,10,2
1,6,1,2,4,0,24-01004,76,N,7,36,2
2,6,1,2,4,0,06-07502,70,0,4,139,2
2,3,1,2,4,0,13-04600,21,7,3,112,2
1,6,4,2,5,0,38-00100,72,2,2,153,2
2,2,3,2,5,0,28-01100,55,0,2,207,2
2,1,3,1,2,1,24-01004,34,0,6,158,2
2,6,2,2,4,1,51-01301,16,0,N,150,2
1,6,1,2,9,0,17-03529,53,2,3,359,2
2,4,1,2,5,0,51-51255,53,0,3,264,2
1,1,2,1,7,0,51-01301,42,1,3,499,2
1,1,1,1,0,0,17-03529,23,1,3,326,2
1,4,2,2,3,0,01-01301,21,0,2,152,2
2,1,1,1,0,0,24-01004,24,2,5,501,2
2,1,1,2,2,0,17-03531,17,0,3,132,2
1,1,2,1,0,0,17-03529,37,0,2,501,2
1,6,2,2,7,0,51-01301,66,2,7,448,2
2,1,2,2,4,3,30-00600,19,2,3,261,2
1,4,2,1,3,0,36-04010,25,0,4,206,2
2,1,1,1,1,0,32-00405,40,3,N,233,2
1,6,1,2,1,0,06-08507,34,2,2,133,2
2,5,1,1,8,0,36-03710,19,2,N,85,2
2,6,1,2,4,0,13-04600,50,1,5,113,2
2,2,1,1,3,0,26-02702,38,4,5,299,2
1,6,1,1,0,0,24-01004,30,0,7,448,2
1,1,2,1,2,0,26-02702,23,0,2,291,2
2,6,3,1,6,0,30-00600,20,2,N,48,2
1,3,1,2,3,0,13-04600,93,0,5,235,1
1,6,1,1,6,0,29-01901,94,0,6,377,2
1,1,2,2,4,0,40-00200,59,1,5,60,2
2,1,1,2,6,0,26-02702,33,4,5,245,2
1,5,1,1,9,0,28-01100,48,0,2,377,2
2,1,1,1,5,0,13-04600,20,2,5,225,2
2,3,3,1,3,0,19-01700,54,0,4,95,2
1,4,3,1,2,1,36-03710,22,1,6,254,2
1,6,9,1,2,0,06-07502,67,0,3,244,2
2,1,2,1,2,0,17-03531,62,0,5,116,2
2,1,3,1,4,0,24-01004,15,0,2,53,2
2,6,1,2,1,0,30-00600,32,2,4,501,2
2,6,2,1,3,1,13-04600,27,3,5,1,2
2,6,8,1,2,0,24-01004,10,1,3,411,1
2,6,1,1,8,0,38-00100,6,1,N,429,2
1,6,2,2,2,0,17-03529,67,2,4,465,2
1,6,1,1,0,0,38-00100,17,0,3,109,2
1,6,1,2,3,0,01-01301,67,0,3,428,2
1,1,2,1,8,0,40-00200,30,4,2,28,2
2,1,3,1,0,0,06-07502,17,0,2,34,2
2,6,2,2,7,0,24-01004,23,1,3,138,2
2,6,1,1,2,0,38-00100,66,0,2,137,2
2,2,2,1,1,0,01-01301,94,3,5,0,2
2,6,2,0,0,0,51-51255,58,2,7,487,2
1,1,2,1,2,1,06-08507,17,1,2,208,2
1,6,1,1,1,0,32-00405,69,0,2,214,2
2,1,2,2,0,0,24-01004,67,0,3,403,2
2,1,2,1,5,0,29-01901,36,0,2,341,2
1,6,9,1,2,0,13-04600,45,0,2,58,2
2,1,1,1,0,0,17-03529,44,0,4,181,2
2,1,2,1,2,0,29-01901,37,0,2,485,2
1,6,2,1,3,0,19-01700,3,0,N,297,2
2,6,2,1,0,0,38-00100,89,0,2,48,2
1,4,1,2,2,0,24-01004,42,0,4,261,2
1,6,2,1,5,0,17-03529,20,0,5,144,2
2,1,2,1,2,0,17-03529,32,0,6,309,2
2,4,1,1,3,0,36-03710,21,1,5,316,2
1,1,2,2,1,0,06-08507,28,0,2,48,2
2,6,2,2,5,0,38-00100,58,0,N,391,2
2,1,1,1,2,0,36-04010,53,1,3,371,2
2,6,1,2,3,0,17-03529,72,0,3,217,2
2,4,2,1,9,1,17-03529,41,0,10,59,2
1,1,1,1,5,0,17-03529,38,0,3,310,2
2,1,1,2,4,0,38-00100,74,0,11,181,2
2,6,2,1,0,0,17-03529,28,0,2,384,2
1,1,1,2,3,0,17-03531,19,1,2,482,2
2,6,2,1,8,0,17-03529,60,3,4,91,2
2,4,8,2,1,0,24-01004,56,0,N,188,2
1,1,1,1,6,4,40-00200,20,N,N,113,2
2,6,2,2,6,2,30-00600,40,0,N,479,2
2,N,1,2,0,0,24-01004,42,0,5,256,2
1,6,2,2,2,0,36-03710,51,0,4,465,2
1,4,2,1,3,2,17-03531,20,0,4,100,2
1,1,1,2,1,3,24-01004,54,0,6,83,2
1,1,6,2,5,0,06-08507,60,0,2,233,2
2,6,1,2,3,0,06-08507,26,0,N,122,2
1,N,1,1,1,0,32-00405,24,0,3,198,2
1,1,2,2,2,0,17-03529,25,5,5,337,2
2,5,1,1,6,0,24-01004,30,0,5,315,2
2,1,2,1,6,3,06-07502,29,1,2,437,2
1,1,2,2,2,0,06-08507,40,0,3,76,2
2,1,3,2,8,0,30-00600,74,0,6,209,2
1,1,1,1,1,0,24-01004,18,0,3,155,2
2,6,2,0,5,0,26-02702,21,3,3,131,2
2,6,3,2,7,0,17-03531,63,0,3,261,2
1,6,1,1,5,0,36-04010,67,4,N,101,2
2,6,1,2,8,0,08-00803,82,3,4,108,2
1,1,1,1,3,0,06-08507,30,1,2,51,2
2,1,9,1,0,0,38-00100,25,0,3,338,2
2,4,2,1,7,0,40-00200,26,3,N,198,2
2,1,6,2,6,0,30-00600,49,2,3,197,2
1,1,2,2,6,0,38-00100,23,1,3,501,2
2,1,1,1,3,0,38-00100,52,0,N,303,2
2,5,2,2,7,0,06-08507,94,0,5,418,2
1,1,1,1,0,0,06-08507,24,0,7,280,2
2,4,8,2,1,0,24-01004,8,0,4,335,2
2,1,2,2,2,0,17-03529,22,0,5,36,2
1,6,6,2,1,0,36-04010,28,0,2,239,2
1,1,1,1,6,0,06-08507,27,0,3,115,2
2,6,2,2,8,0,19-01700,42,0,5,0,2
1,6,2,1,7,0,38-00100,36,1,3,162,2
1,1,3,2,3,0,17-03529,35,3,4,94,2
2,1,1,2,4,0,40-00200,74,0,2,301,1
1,6,2,2,5,0,19-01700,34,0,2,233,2
1,6,2,2,0,0,17-03529,32,0,4,266,2
1,3,2,1,2,0,24-01004,59,0,8,162,2
1,1,1,2,4,0,29-01901,6,0,N,303,2
2,6,1,1,N,0,30-00600,64,0,6,501,2
1,6,2,1,7,0,06-08507,56,0,4,501,2
2,1,1,2,2,0,17-03529,54,0,2,264,2
1,1,2,2,8,0,06-07502,26,3,2,333,2
1,1,2,1,4,0,19-01700,67,0,5,338,2
2,1,2,2,2,0,01-01301,33,1,2,501,2
2,6,1,1,4,1,30-00600,48,0,2,484,1
1,3,1,1,2,0,51-51255,65,0,6,96,2
2,4,1,2,2,0,06-08507,42,0,2,362,2
1,6,6,2,8,0,08-00803,30,5,6,408,2
2,1,1,2,5,0,29-01901,51,0,7,200,2
1,6,2,2,1,0,17-03529,52,0,2,248,2
2,1,2,2,3,0,17-03531,56,0,7,429,2
2,6,6,2,N,0,36-03710,30,0,2,199,1
2,1,1,0,6,0,38-00100,55,5,N,501,2
1,6,2,1,7,0,24-01004,56,1,3,238,2
2,2,2,2,5,4,51-51255,18,1,6,223,2
1,6,1,2,6,0,17-03529,40,1,2,37,2
2,1,1,1,5,0,36-04010,50,0,2,159,2
2,4,2,2,6,0,08-00803,66,0,3,286,2
1,6,7,1,N,0,08-00803,14,0,11,459,2
1,N,6,2,3,3,30-00600,18,2,3,501,2
2,6,1,1,5,0,36-04010,30,0,3,439,2
1,1,1,2,0,0,19-01700,52,0,2,125,2
1,4,1,1,2,0,30-00600,17,0,N,158,2
1,6,1,0,0,1,19-01700,66,0,4,389,2
2,5,8,2,0,0,29-01901,28,1,5,11,2
1,1,1,1,1,0,17-03529,42,3,5,406,2
1,2,1,2,3,0,29-01901,78,0,2,340,2
1,6,2,2,6,0,36-04010,55,2,3,266,2
1,6,2,1,1,0,06-08507,38,6,N,389,2
