,Unnamed: 0,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,PUMA
159,14743,45,1,6,1,2,2,2,1,2,7860,N,10,-9000,9,240,N,2,2,2,2,148,146,36-03710
160,12522,8,2,N,0,1,2,4,1,2,7290,10,5,N,0,142,N,2,2,2,2,308,0,38-00100
161,5184,40,2,6,1,1,0,4,3,1,7860,N,10,96726,0,501,N,1,2,1,2,87,112,51-51255
162,7588,36,2,N,0,2,0,N,1,1,8470,14,10,61275,5,409,N,2,2,2,2,74,106,38-00100
163,24997,82,1,6,0,2,0,4,1,2,N,11,10,-9000,4,193,N,2,2,2,2,3,60,13-04600
164,1926,42,2,6,1,2,2,2,1,1,8191,12,3,20870,0,387,N,2,2,2,2,52,1244,24-01004
165,4690,50,2,3,0,1,2,N,3,2,3490,N,9,-9000,1,24,N,2,2,2,2,68,86,29-01901
166,12182,32,2,6,0,1,0,2,1,0,8170,14,3,162198,9,391,N,2,2,2,2,210,110,51-51255
167,1727,47,2,1,0,1,0,2,1,2,8370,11,11,64578,6,501,N,2,2,2,1,128,195,51-01301
168,12890,56,1,N,1,2,0,2,1,2,7860,11,6,107778,9,255,N,2,1,2,2,54,134,24-01004
169,222,2,2,6,0,2,0,6,1,1,7071,10,10,219463,0,421,N,2,2,2,2,57,65,40-00200
170,6805,75,2,1,0,1,0,2,1,1,N,10,8,37613,3,287,N,2,2,2,2,21,190,06-08507
171,17305,67,2,1,0,1,0,N,1,2,N,9,9,170076,N,415,N,2,2,2,2,63,44,17-03531
172,21021,77,2,1,0,2,0,2,1,2,N,3,11,68966,0,0,5,1,2,2,2,35,32,38-00100
173,11345,8,1,N,0,8,0,2,1,1,N,N,10,106506,9,371,N,2,2,2,2,57,77,30-00600
174,2961,70,2,6,0,1,0,2,3,1,9920,14,7,-9000,3,487,N,2,2,1,2,10,78,24-01004
175,5705,70,1,6,0,6,0,4,3,2,9570,14,10,-9000,N,229,N,1,2,1,2,37,65,38-00100
176,11726,67,2,1,0,1,0,N,1,1,4971,13,9,114319,3,186,N,2,2,2,2,95,71,28-01100
177,24545,72,2,1,0,2,0,4,1,2,8191,4,8,N,9,184,N,2,2,2,2,51,0,32-00405
178,5917,68,1,6,0,1,N,7,1,1,N,N,11,-9000,0,113,N,1,2,1,2,118,181,36-04010
179,27110,32,2,1,0,1,0,6,1,1,N,N,3,87469,0,267,N,2,2,2,2,104,129,40-00200
180,10368,7,1,1,1,2,2,2,1,1,7860,11,10,200118,N,145,N,2,2,1,2,147,111,17-03531
181,12635,41,2,5,0,2,N,4,3,2,N,N,4,N,8,257,N,1,N,2,2,102,50,13-04600
182,25926,57,1,N,0,2,2,4,1,1,7290,12,7,140733,7,202,N,1,1,2,2,96,36,40-00200
183,1510,68,2,1,0,2,0,2,1,1,5391,10,9,132809,9,356,N,2,2,2,2,95,73,08-00803
184,23864,56,2,N,0,6,0,2,1,1,4971,11,N,136869,8,501,N,2,2,2,2,114,217,51-51255
185,5549,49,1,6,0,2,2,4,1,1,7870,10,8,-9000,7,207,5,1,1,2,2,146,104,51-01301
186,25820,40,2,1,0,2,0,4,1,1,7860,N,7,-2596,8,396,N,1,2,2,2,74,59,13-04600
187,17035,67,2,1,0,2,2,5,1,2,N,10,5,-9000,6,263,N,2,1,2,2,99,86,32-00405
188,23744,27,1,N,1,6,2,5,1,1,4971,14,4,N,9,374,N,1,1,2,2,43,105,51-51255
189,2575,10,2,6,0,2,2,4,1,0,6490,N,9,N,9,477,N,2,2,2,2,109,12,32-00405
190,8613,12,1,N,0,1,2,4,1,2,7460,10,8,-9000,3,223,N,1,2,2,2,114,86,51-01301
191,17837,15,2,4,0,1,0,6,1,2,N,N,7,-9000,1,345,N,2,1,2,2,63,62,51-51255
192,26197,27,1,4,1,1,0,2,1,2,7860,N,3,N,9,319,N,1,1,2,2,102,88,26-02702
193,20084,4,2,4,1,2,3,N,1,2,7890,11,6,-9000,7,119,N,1,2,2,2,82,172,51-51255
194,24672,69,2,6,0,6,0,4,1,1,N,11,4,-1183,8,372,N,2,2,2,2,282,56,51-01301
195,4629,54,2,N,0,2,0,4,1,2,N,13,7,27665,2,307,N,2,1,2,2,47,95,32-00405
196,12806,72,1,6,0,1,N,2,1,1,N,10,4,38838,8,405,N,2,1,2,2,80,67,38-00100
197,18266,23,2,6,0,2,N,4,3,0,8590,6,6,-8661,N,N,N,2,1,2,2,110,95,32-00405
198,23426,58,1,6,1,2,0,2,1,1,N,N,5,-9000,N,249,N,2,2,2,2,48,60,13-04600
199,10747,40,1,3,1,1,0,N,1,1,180,3,6,159267,4,382,N,2,1,2,2,250,0,17-03529
200,24282,16,1,6,1,1,2,2,1,2,7860,N,7,N,7,121,N,2,2,2,2,248,101,40-00200
201,22540,58,1,3,0,2,N,2,3,1,N,N,4,N,0,258,5,2,2,2,2,108,42,29-01901
202,21435,39,2,N,0,1,1,4,1,2,N,16,5,N,N,178,5,2,1,2,2,58,0,40-00200
203,23945,19,1,1,0,1,2,4,1,2,8191,11,5,-9000,0,501,N,2,1,2,2,120,102,19-01700
204,3755,65,2,6,0,2,0,4,1,2,7860,10,10,-9000,8,316,N,1,N,2,2,39,70,06-08507
205,5496,23,1,1,0,1,1,4,1,2,9470,10,7,-9000,7,0,N,2,2,2,2,116,129,01-01301
206,21580,17,2,1,0,1,2,4,1,1,N,N,6,N,0,338,N,1,2,2,2,138,118,17-03529
207,10773,28,1,N,0,1,0,N,1,0,8990,16,9,70049,4,132,N,2,1,2,2,42,38,24-01004
208,22498,38,2,6,0,2,0,N,1,2,7860,14,7,118881,3,501,N,2,2,2,2,31,105,51-01301
209,21227,3,2,1,4,6,2,3,1,1,N,10,3,54674,0,501,N,1,2,2,2,82,105,40-00200
210,1512,16,2,N,1,1,0,7,1,1,6870,12,4,164533,9,469,N,2,1,2,2,82,92,30-00600
211,956,66,1,4,0,1,N,N,1,1,8680,10,8,-9000,5,N,N,2,2,2,2,156,111,32-00405
212,12953,50,2,6,0,1,0,N,1,2,6890,14,5,154790,8,84,5,2,2,2,2,49,76,40-00200
213,8033,18,2,1,1,1,2,2,1,2,7870,10,N,4207,N,500,N,2,2,1,2,95,75,40-00200
214,12303,33,1,6,0,6,0,N,1,1,9920,13,3,92610,5,501,5,2,2,2,2,17,132,06-07502
215,9788,64,2,N,0,1,0,2,1,1,8170,10,12,44208,8,141,N,2,2,2,2,14,111,38-00100
216,26189,50,2,6,0,2,2,2,1,1,N,N,8,N,1,N,N,2,2,2,2,27,84,51-01301
217,23243,69,1,1,0,8,0,2,1,2,N,N,10,-9000,2,343,N,1,2,2,2,227,213,06-07502
218,9520,61,2,6,1,2,2,5,1,1,7390,6,10,N,9,300,N,2,2,2,2,338,60,51-01301
219,586,13,2,6,0,8,2,4,1,2,770,10,9,-9000,1,309,N,2,2,2,2,35,57,51-01301
220,25224,34,2,1,0,2,N,2,1,1,6970,16,10,24861,8,254,N,2,1,2,2,53,56,32-00405
221,23215,10,1,6,0,6,0,4,1,1,8191,10,8,82505,2,395,N,2,2,2,2,259,64,30-00600
222,17500,36,1,N,1,2,2,N,1,0,N,N,10,N,6,0,N,1,1,2,2,197,33,13-04600
223,13636,59,1,4,1,2,0,N,1,1,3960,9,1,-9000,1,143,N,2,1,1,2,36,82,29-01901
224,21567,72,1,4,0,1,2,2,1,2,N,N,12,-9000,3,92,N,2,2,2,2,58,62,08-00803
225,6160,34,1,4,0,1,0,4,1,1,6890,15,10,122810,2,292,N,2,2,1,2,70,46,30-00600
226,15041,30,2,6,0,2,0,N,1,0,770,10,4,N,4,253,N,1,1,2,2,197,87,08-00803
227,4927,36,1,4,0,1,0,N,1,2,8660,10,5,76065,4,53,N,2,2,2,2,38,39,36-04010
228,14483,38,2,1,0,1,2,2,1,2,N,6,7,17395,N,288,N,2,N,1,1,403,154,19-01700
229,8659,24,1,1,0,1,1,3,1,2,6870,4,5,70534,5,501,N,2,2,2,2,49,48,36-03710
230,12419,61,2,N,0,1,0,4,3,2,8180,9,7,34572,N,0,N,2,2,2,2,63,265,26-02702
231,15411,19,2,1,0,1,2,N,1,2,N,N,4,128867,9,501,N,2,2,2,2,89,60,06-07502
232,2230,54,1,6,0,1,2,N,1,1,8990,7,4,115974,0,470,N,2,2,2,1,82,120,38-00100
233,25637,20,1,1,1,1,0,2,1,1,9920,13,10,-9000,1,221,5,1,2,2,2,18,97,40-00200
234,26920,33,1,N,0,6,2,4,1,1,7780,4,9,N,6,251,N,2,2,2,2,33,82,06-08507
235,10896,50,1,1,0,2,0,N,3,2,N,N,9,-8439,2,326,N,1,2,2,2,25,69,29-01901
236,21209,21,2,1,0,2,N,2,1,2,7860,10,9,N,9,467,N,1,2,2,2,44,19,17-03529
237,5795,22,1,1,0,1,0,4,1,1,5381,6,7,-6596,6,492,N,2,1,2,1,46,103,19-01700
238,1614,34,2,6,0,2,2,3,1,2,7870,12,5,23223,2,204,N,2,2,2,2,21,119,24-01004
239,23508,19,1,1,0,2,2,4,1,2,7290,7,5,2874,4,219,N,2,2,2,2,123,28,51-01301
240,17062,58,2,6,1,2,0,N,1,2,7280,4,10,124407,2,218,N,2,2,2,1,141,32,38-00100
241,12381,62,1,6,0,1,0,3,1,1,7370,13,9,11516,1,N,5,2,2,2,2,118,117,36-03710
242,7484,19,2,6,0,1,2,2,1,2,8191,10,4,32814,4,N,N,2,2,2,2,122,32,40-00200
243,18881,68,2,1,0,2,0,N,3,2,7380,16,N,124396,2,501,N,2,2,2,2,89,76,36-04010
244,13873,14,1,1,0,2,0,N,1,1,N,N,8,N,9,286,N,1,2,2,2,223,121,28-01100
245,940,50,1,1,0,1,N,4,1,1,7270,4,8,N,9,287,N,2,2,2,2,57,38,06-08507
