AGEP,SEX,MSP,RAC1P,PINCP_DECILE,HOUSING_TYPE,OWN_RENT,DVET,DEYE,EDU
2,1,N,1,N,1,1,N,2,N
63,2,1,1,2,1,2,N,2,12
14,2,N,2,N,1,2,N,2,3
7,1,N,1,N,1,1,N,2,3
42,2,1,1,4,1,1,N,2,11
62,2,4,1,3,1,1,N,2,8
15,2,6,2,0,1,2,N,2,4
45,1,2,1,9,1,1,N,2,12
31,1,6,1,7,1,1,N,2,8
55,2,1,1,6,1,1,N,2,7
5,2,N,8,N,1,1,N,2,2
77,2,3,6,9,1,1,N,2,3
53,2,4,2,3,1,2,N,2,7
9,1,N,9,N,1,1,N,2,3
48,2,4,2,3,1,2,N,2,7
70,2,3,2,5,1,2,N,2,7
21,2,3,1,2,1,1,N,2,7
57,2,6,1,8,1,1,N,2,5
59,2,1,1,3,1,1,N,2,5
20,1,6,1,0,1,2,N,2,7
28,1,1,6,9,1,1,N,2,10
5,2,N,1,N,1,2,N,2,2
38,1,6,1,5,1,1,N,2,10
69,1,6,1,3,1,1,4,1,4
61,2,1,1,3,2,0,N,2,5
44,2,6,8,5,1,2,N,2,5
68,1,1,2,4,1,1,N,2,8
56,1,4,1,5,1,1,N,2,7
67,1,1,3,7,1,1,N,2,9
71,1,1,1,8,1,1,N,2,8
61,1,1,6,9,1,1,N,2,10
59,2,6,1,1,1,1,N,2,5
76,1,1,2,9,1,1,N,2,9
0,2,N,2,N,1,1,N,2,N
48,2,6,1,5,1,1,N,2,4
11,1,N,9,N,1,1,N,2,3
23,1,6,1,1,1,1,N,2,5
49,1,1,2,4,1,1,N,2,8
62,1,4,1,9,1,1,N,2,5
79,2,6,2,2,1,1,N,2,9
45,2,1,1,9,1,1,N,2,9
38,1,6,1,9,1,2,N,2,9
51,1,4,1,4,1,1,N,2,5
64,1,6,1,7,1,1,N,2,5
65,2,6,1,8,1,1,N,2,7
55,2,4,6,2,1,2,N,2,10
33,1,1,1,7,1,2,N,2,7
56,2,1,3,7,1,1,N,2,10
15,2,6,2,0,1,1,N,2,4
52,1,1,8,3,1,1,N,2,5
35,2,1,1,7,1,1,N,2,9
45,1,1,6,5,1,1,N,2,9
28,1,6,6,9,1,2,N,2,9
86,2,3,1,3,1,2,N,2,7
16,1,6,3,0,1,2,N,2,5
12,2,N,1,N,1,1,N,2,3
74,1,1,1,9,1,1,N,2,12
9,1,N,1,N,1,1,N,2,3
9,1,N,1,N,1,1,N,2,3
54,2,1,1,7,1,1,N,2,9
11,1,N,1,N,1,1,N,2,3
68,2,1,2,7,1,2,N,2,7
62,1,6,1,9,1,1,N,2,11
52,2,6,2,2,1,2,N,2,9
5,2,N,3,N,1,1,N,2,2
34,2,1,1,7,1,2,N,2,9
7,2,N,1,N,1,2,N,2,3
47,1,1,1,7,1,1,N,2,9
37,1,6,1,7,1,2,N,2,9
50,2,2,2,6,1,1,N,2,4
14,1,6,8,0,1,1,N,2,4
38,2,6,1,4,1,2,N,2,4
33,1,1,1,1,1,2,N,2,8
38,2,1,1,7,1,1,N,2,8
42,1,4,8,0,1,2,N,2,5
49,2,1,1,7,1,1,N,2,12
92,1,4,2,3,1,1,N,2,5
18,2,6,1,2,3,0,N,2,7
67,1,1,1,9,1,1,N,2,10
65,1,1,6,4,1,1,N,2,7
27,2,1,1,6,1,1,N,2,9
24,1,6,1,5,1,2,N,2,5
55,2,4,1,8,1,1,N,2,5
33,2,4,2,7,1,2,N,2,8
30,1,1,6,7,1,1,N,2,10
45,2,6,1,5,1,1,N,2,9
69,2,1,9,4,1,1,N,2,1
63,2,1,2,5,1,1,N,2,5
3,1,N,1,N,1,1,N,2,2
79,2,6,2,5,1,2,N,2,9
65,1,6,3,8,1,1,N,2,9
10,2,N,2,N,1,1,N,2,3
22,1,6,2,5,1,2,N,2,5
38,2,1,1,9,1,1,N,2,12
34,2,4,1,9,1,2,N,2,9
56,1,1,8,7,1,1,N,2,9
59,1,1,1,9,1,1,N,2,11
42,2,1,1,1,1,1,N,2,9
27,2,6,2,5,1,2,N,2,5
55,2,6,1,1,1,0,N,1,7
49,2,4,1,2,1,2,N,2,5
14,1,N,8,N,1,2,N,2,4
48,2,5,2,3,1,2,N,2,10
49,2,1,1,5,1,1,N,2,8
43,1,6,1,8,1,1,N,2,9
64,2,1,1,7,1,1,N,2,9
37,2,6,8,2,1,1,N,2,12
34,2,4,1,9,1,1,N,2,10
50,1,6,6,4,1,2,N,2,4
61,1,1,6,9,1,1,N,2,10
47,1,1,1,6,1,1,N,2,10
57,1,6,1,0,1,1,N,2,9
53,2,1,1,1,1,1,N,2,7
59,2,6,1,4,1,2,N,2,7
5,1,N,1,N,1,2,N,2,2
56,2,1,6,9,1,1,N,2,10
40,2,1,1,9,1,2,N,2,12
55,1,6,1,8,1,1,N,2,9
71,1,1,1,2,1,1,N,2,9
73,2,4,1,4,1,1,N,2,9
27,2,1,1,8,1,1,N,2,10
50,2,6,2,3,1,2,N,2,10
5,1,N,1,N,1,1,N,2,1
22,1,6,1,1,1,2,N,2,5
12,1,N,5,N,1,2,N,2,3
42,2,1,9,5,1,1,N,2,7
60,2,1,2,2,1,1,N,2,4
51,2,6,1,3,1,1,N,2,8
66,1,4,2,4,1,1,N,2,7
69,2,1,2,3,1,1,N,2,7
6,1,N,2,N,1,1,N,2,3
28,2,6,3,4,1,2,N,2,7
17,2,6,1,0,1,2,N,2,5
56,1,6,1,9,1,2,N,2,10
8,2,N,9,N,1,1,N,2,3
35,1,1,2,7,1,2,N,2,10
73,1,4,1,2,1,1,N,2,5
37,1,6,2,5,1,2,N,2,9
80,2,4,2,0,1,1,N,2,3
59,2,1,1,9,1,2,N,2,11
34,2,6,2,0,1,2,N,2,5
13,2,6,9,1,1,1,N,2,4
31,2,1,1,5,1,2,N,2,10
32,2,6,1,8,1,1,N,2,9
43,2,1,2,9,1,1,N,2,10
11,2,N,1,N,1,1,N,2,3
37,1,1,9,0,1,1,N,2,6
43,1,1,1,7,1,1,N,2,7
46,1,1,1,9,1,1,N,2,10
87,2,3,1,2,1,1,N,2,4
20,1,6,1,2,3,1,N,2,7
54,2,1,1,7,1,1,N,1,9
22,1,6,2,4,1,2,N,2,9
15,1,6,1,0,1,2,N,2,4
35,2,5,1,5,1,2,N,2,10
22,1,6,1,0,1,2,N,2,5
23,1,6,8,1,1,1,N,2,5
41,2,1,2,6,1,1,N,2,8
46,2,1,2,9,1,1,N,2,10
57,2,6,2,0,3,0,N,2,5
67,1,3,1,3,1,2,N,2,5
51,2,1,1,9,1,1,N,2,7
13,2,N,1,N,1,2,N,2,3
27,1,6,2,1,1,2,N,2,4
73,1,2,2,2,1,0,N,2,5
25,1,6,1,4,1,2,N,2,7
25,2,6,2,1,1,2,N,2,5
0,1,N,2,N,1,2,N,2,1
89,2,4,1,0,1,1,N,2,6
24,1,6,1,5,1,2,N,2,9
50,1,6,6,7,1,1,N,2,5
74,1,1,2,8,1,1,N,2,9
48,2,1,2,3,1,1,N,2,4
49,2,2,2,4,1,2,N,2,10
59,1,1,1,3,1,2,N,2,9
6,2,N,2,N,1,1,N,2,3
55,2,1,8,3,1,1,N,2,10
40,2,6,1,2,1,2,N,2,5
5,2,N,1,N,1,1,N,2,2
12,1,N,1,N,1,2,N,2,3
60,2,1,1,2,1,1,N,2,7
35,2,6,1,6,1,2,N,2,9
44,2,4,1,9,1,1,N,2,11
55,1,1,1,1,1,1,N,2,7
24,2,6,1,1,1,1,N,2,7
43,2,1,1,8,1,1,N,2,9
24,2,6,2,2,1,2,N,2,7
76,1,1,2,8,1,1,N,2,5
84,1,1,2,2,1,1,N,2,5
0,1,N,1,N,1,1,N,2,N
67,2,6,8,8,1,1,N,2,3
28,1,5,7,2,1,1,N,2,7
54,1,1,6,9,1,1,N,2,9
27,1,6,1,1,1,2,N,2,9
82,2,2,2,0,2,0,N,2,4
17,2,6,1,5,1,2,N,2,4
32,1,1,2,2,1,2,N,2,5
0,1,N,6,N,1,2,N,2,N
83,2,3,2,3,2,0,N,2,10
40,2,1,8,7,1,1,N,2,9
62,1,6,2,7,1,1,N,2,7
39,2,1,1,8,1,1,N,2,9
80,1,1,1,9,1,1,N,2,9
55,1,1,1,9,1,1,N,2,10
23,2,6,1,1,1,1,N,2,5
34,2,1,1,9,1,1,N,2,9
37,1,6,1,3,1,1,N,2,5
33,2,4,9,4,1,1,N,2,6
56,1,6,2,5,1,2,N,1,7
24,1,6,2,5,1,2,N,2,8
4,1,N,1,N,1,1,N,2,2
47,2,1,1,0,1,1,N,2,4
45,2,1,1,8,1,1,N,2,9
19,1,6,1,6,1,1,N,2,5
79,2,6,2,2,1,2,N,2,5
27,1,6,1,2,1,2,N,2,10
40,2,6,1,1,1,2,N,2,4
31,1,6,6,7,1,2,N,2,10
27,1,6,1,4,1,2,N,2,5
8,1,N,2,N,1,1,N,2,3
3,2,N,1,N,1,2,N,2,1
69,2,1,2,7,1,2,N,2,9
91,1,3,1,3,1,2,N,2,8
67,2,1,1,0,1,1,N,2,9
6,1,N,6,N,1,2,N,2,3
63,2,3,1,3,1,2,N,2,7
59,1,1,1,9,1,1,N,2,6
5,2,N,2,N,1,1,N,2,1
51,1,3,1,8,1,1,N,2,10
50,2,4,1,0,1,1,N,2,7
43,2,1,1,7,1,1,N,2,10
50,2,1,2,6,1,1,N,2,7
70,1,1,2,7,1,1,N,2,9
45,2,1,2,5,1,2,N,2,5
73,1,1,1,3,1,1,N,2,7
91,2,3,2,6,1,1,N,2,5
45,2,1,1,4,1,2,N,2,7
44,2,1,6,6,1,1,N,2,9
51,1,1,1,9,1,1,N,2,4
12,1,N,3,N,1,1,N,2,3
75,2,6,8,4,1,1,N,2,5
6,2,N,2,N,1,1,N,2,3
19,1,6,1,0,1,1,N,2,5
52,1,1,1,3,1,2,N,2,10
12,1,N,1,N,1,1,N,2,3
73,1,1,1,4,1,1,N,2,7
23,1,6,1,1,1,2,N,2,8
46,2,4,1,7,1,1,N,2,5
37,1,1,1,6,1,1,N,2,9
39,1,6,9,0,1,1,N,2,4
23,2,6,3,2,1,2,N,2,4
0,2,N,3,N,1,1,N,2,N
60,1,1,1,5,1,1,N,2,7
59,1,1,1,7,1,1,N,2,9
56,1,1,1,1,1,1,N,2,8
37,1,1,1,9,1,2,N,2,12
27,2,6,1,4,1,1,N,2,10
0,2,N,2,N,1,2,N,2,1
14,2,N,1,N,1,2,N,2,3
66,1,6,2,8,1,2,N,2,5
59,1,1,2,6,1,1,N,2,5
40,2,1,1,1,1,1,N,2,4
49,2,3,2,1,2,2,N,2,7
69,1,1,1,9,1,1,N,2,10
72,1,6,2,3,1,2,N,2,9
53,1,1,2,6,1,1,N,2,12
73,1,4,2,8,1,1,N,2,6
15,1,6,9,0,1,1,N,2,4
57,2,2,2,2,1,2,N,2,7
19,1,6,1,1,1,2,N,2,5
50,2,6,9,7,1,1,N,2,10
56,1,2,1,2,1,1,N,2,9
59,1,6,1,0,1,1,N,2,7
9,1,N,1,N,1,2,N,2,3
50,1,1,1,6,1,1,N,2,5
24,2,6,1,7,1,2,N,2,5
42,1,1,1,8,1,1,N,2,10
33,1,6,6,0,1,1,N,2,4
43,2,6,9,9,1,1,N,2,11
9,2,N,1,N,1,1,N,2,3
54,1,1,1,8,1,1,N,2,9
34,1,1,6,7,1,1,N,2,7
10,1,N,1,N,1,2,N,2,N
35,1,1,1,0,1,1,N,2,7
12,2,N,2,N,1,1,N,2,3
64,2,4,3,7,1,1,N,2,10
27,2,4,2,4,1,2,N,2,9
60,2,3,1,4,1,1,N,2,8
27,1,1,1,9,1,1,N,2,9
77,1,6,1,2,1,1,N,2,4
38,1,1,1,7,1,1,N,2,5
27,1,6,6,3,1,1,N,2,5
55,2,6,1,2,3,0,5,2,7
47,1,6,2,7,1,1,N,2,7
70,1,1,1,8,1,1,N,2,10
28,1,1,1,8,1,1,N,2,9
29,2,6,1,8,1,2,N,2,7
67,1,1,1,2,1,1,N,2,6
53,2,6,1,2,1,2,N,2,7
66,2,1,1,2,1,1,N,2,5
93,2,3,2,3,1,1,N,2,5
2,1,N,6,N,1,1,N,2,N
65,1,1,1,9,1,1,N,2,10
34,2,6,1,0,1,2,N,2,7
61,2,6,3,4,1,1,N,2,10
50,2,6,1,3,1,2,N,2,6
68,2,1,1,5,1,1,N,2,9
31,1,4,2,0,3,0,N,2,7
64,1,6,1,6,1,2,N,2,7
42,1,6,2,0,1,2,N,2,9
42,1,4,1,3,1,2,N,2,5
58,1,2,3,6,1,2,N,1,9
29,2,1,1,8,1,2,N,2,7
66,1,3,1,8,1,1,N,2,11
20,1,6,1,0,1,2,N,2,7
53,1,1,1,9,1,1,N,2,11
31,1,6,1,5,1,1,N,2,5
65,1,1,1,9,1,1,N,2,9
46,2,1,2,4,1,2,N,2,6
10,1,N,1,N,1,1,N,2,3
7,2,N,1,N,1,1,N,2,3
47,2,1,1,9,1,1,N,2,9
61,1,4,1,8,1,1,N,2,10
15,2,6,1,7,1,2,N,2,4
48,2,3,3,4,1,2,N,2,5
11,2,N,1,N,1,2,N,2,3
32,2,1,2,4,1,2,N,2,7
19,2,6,1,0,1,1,N,2,7
37,2,4,1,3,1,2,N,2,9
22,2,6,2,6,1,1,N,2,7
63,2,2,2,6,1,2,N,2,10
7,1,N,1,N,1,1,N,2,3
80,2,1,1,4,1,1,N,2,5
18,2,6,6,0,1,2,N,2,9
59,2,4,1,3,1,1,3,2,9
0,1,N,2,N,1,1,N,2,11
72,2,5,1,6,1,1,N,2,9
52,1,1,6,9,1,1,N,2,10
34,2,6,2,1,1,2,N,2,6
80,2,3,1,3,1,2,N,1,8
48,2,4,3,4,1,2,N,2,3
33,1,6,8,3,1,2,N,2,10
37,2,6,2,2,1,2,N,2,7
90,2,6,2,4,1,1,N,2,9
53,1,6,6,3,1,1,N,2,9
2,1,N,1,N,1,2,N,2,N
54,2,1,2,9,1,1,N,2,9
50,1,3,2,0,1,2,N,2,4
67,2,4,2,4,1,2,N,2,9
12,2,N,1,N,1,2,N,2,3
12,2,N,2,N,1,1,N,2,3
11,2,N,1,N,1,1,N,2,3
35,2,6,9,4,1,2,N,2,5
53,2,6,2,3,1,1,N,2,10
34,1,6,8,3,1,1,N,2,10
22,1,6,8,1,3,0,N,2,8
36,2,6,2,5,3,0,N,2,5
65,2,1,1,8,1,1,N,2,10
29,2,4,2,0,1,2,N,2,7
27,1,1,1,9,1,1,N,2,8
20,1,6,1,1,1,2,N,2,5
19,1,6,1,0,1,2,N,2,7
64,2,1,1,6,1,1,N,2,9
47,1,1,1,9,1,2,N,2,9
33,2,6,2,0,1,1,N,2,5
74,2,1,2,0,1,1,N,2,7
44,2,6,2,7,1,1,N,2,6
42,1,1,1,6,1,1,N,2,4
0,2,N,1,N,1,1,N,2,N
63,1,4,6,9,1,1,N,2,10
35,1,6,1,1,1,1,N,2,9
38,1,1,1,7,1,1,N,2,9
62,1,1,6,9,1,1,N,2,9
16,2,6,9,1,1,2,N,2,5
9,2,N,2,N,1,2,N,2,3
59,1,1,1,9,1,1,N,2,8
81,1,1,2,6,1,1,N,2,7
6,2,N,2,N,1,1,N,2,3
59,1,4,2,0,1,1,N,2,4
0,1,N,2,N,1,2,N,2,N
76,2,4,1,4,1,1,N,2,7
66,1,4,1,9,1,1,N,2,10
76,2,4,1,8,1,2,N,2,9
49,2,4,1,9,1,2,N,2,12
9,1,N,1,N,1,1,N,2,3
24,2,1,1,1,1,2,N,2,9
51,2,1,1,9,1,1,N,2,9
69,2,1,8,2,1,0,N,2,7
55,2,4,1,9,1,2,N,2,11
15,2,6,2,3,1,2,N,2,4
68,2,1,1,3,1,1,N,2,11
59,1,6,1,0,1,1,N,2,7
38,2,3,1,8,1,1,N,2,9
31,2,6,1,7,1,1,N,2,9
69,2,1,1,8,1,1,N,2,5
22,1,6,1,0,3,0,N,2,5
18,2,6,1,1,3,0,N,2,7
94,2,3,3,3,1,1,N,1,5
55,2,4,1,7,1,2,N,2,10
71,2,1,3,4,1,1,N,2,3
38,1,4,1,7,1,2,N,2,6
14,2,N,6,N,1,1,N,2,3
10,1,N,8,N,1,2,N,2,3
89,2,1,1,8,1,1,N,2,7
27,2,1,2,5,1,2,N,2,7
59,2,3,6,8,1,1,N,2,5
28,2,6,1,3,1,2,N,2,1
55,1,6,1,1,1,2,N,2,9
17,1,6,1,0,3,0,N,2,7
13,2,6,6,0,1,1,N,2,4
23,1,6,1,1,1,2,N,2,5
68,2,1,1,6,1,1,N,2,8
63,1,1,1,9,1,1,N,2,9
82,2,1,1,4,1,1,N,2,5
27,1,1,2,6,1,1,N,2,7
78,2,6,1,3,1,1,N,2,8
43,2,1,1,8,1,1,N,2,12
45,1,1,1,7,1,2,N,2,7
20,2,6,2,0,3,0,N,2,4
33,2,6,1,3,1,2,N,2,5
44,2,6,6,9,1,2,N,2,10
7,2,N,1,N,1,1,N,2,3
56,2,1,2,7,1,2,N,2,5
73,2,4,1,3,1,2,N,2,10
94,1,1,1,3,1,1,N,2,10
27,2,6,1,0,1,2,N,2,9
31,2,6,3,2,1,2,N,2,5
55,2,6,2,4,1,2,N,2,9
37,1,6,1,1,1,2,N,2,9
34,1,3,1,6,1,2,N,2,7
11,1,N,2,N,1,2,N,2,3
54,1,4,6,3,1,1,N,2,5
37,2,4,2,2,1,2,N,2,4
63,2,1,6,3,1,1,N,2,9
8,1,N,1,N,1,1,N,2,3
37,2,1,1,9,1,1,N,2,11
31,1,6,2,6,1,2,N,2,8
7,2,N,6,N,1,1,N,2,3
71,1,1,1,9,1,1,N,2,5
64,2,3,2,7,1,1,N,2,10
61,2,6,2,3,1,2,N,2,9
92,1,6,5,8,1,2,N,2,7
68,1,1,1,2,1,1,N,2,5
26,2,6,2,5,1,2,N,2,9
28,1,6,1,5,1,2,N,2,5
35,2,4,1,2,1,2,N,2,4
35,2,6,2,0,1,1,N,2,9
85,1,4,2,3,1,1,N,2,7
50,2,1,1,0,1,1,N,2,7
49,1,1,1,9,1,2,N,2,10
50,1,4,3,6,1,1,N,2,7
72,2,3,1,9,1,1,N,2,10
75,2,3,1,4,1,1,N,2,3
53,1,4,1,9,1,2,N,2,1
46,2,1,1,5,1,2,N,2,7
52,2,4,2,3,1,2,N,2,5
26,1,6,1,8,1,1,N,2,9
44,1,1,1,9,1,1,N,2,12
24,2,6,1,1,1,2,N,2,9
68,2,1,6,4,1,1,N,2,9
29,2,1,1,8,1,1,N,2,11
45,2,1,1,6,1,1,N,2,3
35,1,1,1,8,1,1,N,2,8
82,2,2,1,8,1,1,N,2,8
7,2,N,1,N,1,1,N,2,3
60,2,1,1,7,1,1,N,2,5
6,2,N,1,N,1,1,N,2,3
46,2,1,1,9,1,1,N,2,5
45,2,1,2,9,1,1,N,2,9
20,1,6,1,2,1,2,N,2,7
78,2,2,1,9,1,1,N,2,10
44,1,6,6,4,1,2,N,2,5
50,2,6,1,1,1,1,N,2,9
35,1,1,1,8,1,2,N,2,9
0,2,N,1,N,1,2,N,2,1
71,2,1,1,2,1,1,N,2,5
12,2,N,1,N,1,1,N,2,3
49,1,1,1,2,1,1,N,2,9
0,1,N,9,N,1,1,N,2,N
0,2,N,1,N,1,2,N,2,N
38,1,4,1,1,1,1,N,2,9
33,2,1,2,0,1,1,N,2,7
36,2,6,8,4,1,2,N,2,9
70,2,2,2,8,1,1,N,2,10
43,2,6,1,5,1,1,N,2,5
34,1,1,1,7,1,2,N,2,12
34,2,4,2,8,1,2,N,2,7
55,1,1,1,8,1,1,N,2,10
24,1,6,1,0,1,0,N,2,5
43,2,4,1,3,1,1,N,2,8
63,2,1,1,9,1,1,N,2,9
15,1,6,8,0,1,2,N,2,4
44,2,1,1,9,1,2,N,2,10
34,1,4,1,7,1,2,N,2,7
42,2,1,1,8,1,2,N,2,5
72,1,1,2,8,1,1,N,2,5
26,2,6,1,0,1,2,N,2,7
16,2,6,1,3,3,0,N,2,7
55,2,1,1,9,1,1,N,2,10
37,1,6,2,2,1,2,N,2,5
71,2,4,2,4,1,2,N,2,5
20,1,6,1,1,1,2,N,2,7
71,1,1,1,8,1,1,N,2,10
0,1,N,1,N,1,2,N,2,N
52,1,5,1,9,1,1,N,2,9
17,2,6,9,0,1,2,N,2,7
60,1,1,1,7,1,1,N,2,9
46,1,4,1,0,1,1,N,2,6
76,2,1,1,4,1,1,N,2,5
33,1,1,1,8,1,2,N,2,9
29,2,6,2,3,1,2,N,2,9
3,1,N,1,N,1,1,N,2,2
51,1,1,2,1,1,1,N,2,3
14,1,6,2,3,1,1,N,2,3
1,1,N,3,N,1,1,N,2,N
0,2,N,1,N,1,1,N,2,N
68,2,3,2,2,1,2,N,2,5
48,1,6,1,3,1,1,N,2,8
10,2,N,1,N,1,1,N,2,3
80,2,6,6,2,1,1,N,2,5
15,2,6,6,0,1,1,N,2,4
47,1,1,3,5,1,2,N,2,5
37,2,6,1,8,1,2,N,2,9
9,2,N,1,N,1,1,N,2,3
28,1,6,1,8,1,2,N,2,10
31,1,4,6,1,1,2,N,2,9
36,2,6,1,6,1,1,N,2,7
50,2,6,5,2,3,0,N,2,7
46,1,4,1,9,1,1,N,2,9
71,2,3,9,8,1,0,N,2,4
48,1,1,2,2,1,1,N,2,7
59,1,1,1,5,1,1,N,2,11
23,2,6,1,0,1,1,N,2,7
0,2,N,1,N,1,1,N,2,N
60,1,1,1,3,1,1,N,2,11
11,2,N,2,N,1,2,N,2,3
43,1,1,2,5,1,1,N,2,7
27,1,6,2,3,1,2,N,2,9
41,2,1,2,6,1,2,N,2,9
53,2,6,2,2,1,1,N,2,4
38,2,1,1,7,1,1,N,2,7
4,1,N,1,N,1,1,N,2,1
50,1,1,2,0,1,1,N,2,3
57,2,1,1,9,1,1,N,2,1
61,1,4,2,8,1,1,N,2,8
55,2,1,2,4,1,1,N,2,5
38,2,6,1,7,1,1,N,2,7
53,2,1,1,7,1,1,N,2,5
40,2,6,1,3,2,0,N,2,7
50,1,1,1,8,1,1,N,2,1
64,1,1,1,6,1,1,N,2,9
44,1,1,1,7,1,1,N,2,11
31,1,6,1,3,1,2,N,2,5
83,1,1,1,0,1,1,N,2,6
70,1,1,2,4,1,1,N,2,10
17,1,6,2,1,1,1,N,2,7
62,2,4,2,6,1,1,N,2,9
57,1,1,1,7,1,1,N,2,10
59,2,4,1,8,1,1,N,2,7
31,1,1,1,3,1,2,N,2,7
58,2,1,1,0,1,2,N,2,9
34,2,6,2,0,3,0,N,2,7
74,2,1,2,5,1,1,N,2,5
49,1,6,2,3,1,2,N,2,6
79,1,1,1,3,1,1,N,2,5
16,1,6,1,1,1,2,N,2,5
9,1,N,1,N,1,2,N,2,3
12,2,N,1,N,1,1,N,2,3
17,1,6,1,0,1,1,N,2,4
37,2,4,2,4,1,2,N,2,4
67,2,6,2,5,1,1,N,2,11
87,1,3,2,7,1,2,N,2,7
61,2,6,1,8,1,1,N,2,8
17,2,6,6,0,1,2,N,2,4
54,2,1,1,8,1,1,N,2,9
78,2,3,1,2,1,1,N,2,4
24,2,6,1,5,1,2,N,2,9
66,1,4,2,7,1,2,N,2,5
