,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,DEYE
102,2,N,1,1,N,0,48-02101,7,1,4,8,2
103,1,6,1,1,5,0,48-02102,50,0,4,501,2
104,2,6,1,1,2,0,48-02101,75,2,4,N,2
105,2,N,2,2,N,1,48-02102,7,4,6,306,2
106,1,1,1,2,4,1,48-02507,38,0,2,207,2
107,2,1,1,1,9,1,48-02516,20,1,4,501,2
108,2,4,1,1,3,0,48-02101,56,0,5,500,2
109,1,4,1,1,7,0,48-02515,55,0,N,501,2
110,2,3,1,1,3,0,48-02515,61,0,N,291,2
111,2,6,1,1,2,0,48-02101,49,0,N,176,2
112,2,1,1,1,0,0,48-02510,56,0,2,261,2
113,2,1,1,2,4,4,48-02510,42,0,2,234,2
114,1,4,1,1,7,0,48-02101,33,0,N,501,2
115,1,6,1,1,5,1,48-02102,49,0,N,501,2
116,1,6,1,1,1,0,48-02102,9,0,3,501,2
117,2,4,1,1,8,0,48-02102,84,N,N,501,2
118,1,5,1,1,2,0,48-02101,62,0,2,501,2
119,2,N,1,2,N,1,48-02101,74,0,4,64,2
120,1,1,6,1,7,0,48-02510,39,0,2,501,2
121,2,3,1,1,3,0,48-02102,80,0,N,438,2
122,1,1,1,1,9,0,48-02516,57,0,2,501,2
123,2,1,1,0,9,0,48-02101,31,1,3,501,2
124,2,N,1,1,N,0,48-02102,30,2,8,1,2
125,2,N,1,1,N,0,48-02510,20,2,7,415,2
126,1,1,1,1,5,0,48-02101,17,0,2,206,2
127,2,N,1,1,N,0,48-02101,7,3,5,221,2
128,1,6,1,1,5,0,48-02516,51,0,5,64,2
129,2,N,1,1,N,0,48-02507,84,1,4,495,2
130,1,1,1,1,9,1,48-02102,70,0,2,501,2
131,2,1,1,1,2,0,48-02510,66,0,2,56,2
132,2,3,1,2,9,0,48-02515,74,0,N,501,2
133,1,1,1,1,9,0,48-02510,30,1,3,501,2
134,2,1,1,1,9,0,48-02102,53,0,2,501,2
135,1,4,1,1,7,0,48-02102,70,2,11,314,2
136,1,1,1,1,8,0,48-02102,48,0,3,501,2
137,1,1,1,1,2,0,48-02516,2,0,2,40,2
138,2,N,1,1,N,1,48-02507,28,1,3,224,2
139,2,1,1,1,2,0,48-02507,22,2,4,296,2
140,2,1,1,1,6,0,48-02516,36,0,2,90,2
141,2,4,1,1,N,0,48-02515,63,2,2,305,2
142,1,1,1,1,9,0,48-02101,36,0,3,501,2
143,1,4,1,2,6,0,48-02101,55,0,N,501,2
144,2,5,1,1,8,0,48-02507,49,0,2,501,2
145,1,1,8,1,7,0,48-02516,58,2,4,5,1
146,2,4,1,1,5,0,48-02101,40,0,N,501,2
147,2,4,8,1,8,1,48-02516,64,0,11,501,2
148,2,1,1,1,9,0,48-02101,47,2,5,196,2
149,2,6,1,1,0,1,48-02101,26,2,4,501,2
150,2,1,8,2,0,0,48-02101,56,0,2,496,2
151,2,1,1,1,1,1,48-02510,65,4,6,15,2
152,1,1,1,1,5,0,48-02102,48,0,2,332,2
153,2,N,2,1,N,0,48-02101,69,1,5,80,2
154,2,1,1,1,8,0,48-02515,29,0,2,501,2
155,1,1,1,1,7,0,48-02101,56,2,4,501,2
156,2,1,1,1,2,0,48-02510,78,1,3,433,2
157,2,1,1,1,2,0,48-02102,20,0,2,N,2
158,2,1,1,1,1,0,48-02102,59,0,2,287,2
159,1,1,8,1,9,4,48-02102,22,0,2,501,2
160,2,6,1,1,7,1,48-02515,26,0,N,501,2
161,2,1,1,1,7,1,48-02516,35,3,5,253,2
162,2,6,1,0,5,0,48-02510,64,0,2,387,1
163,1,1,1,2,1,2,48-02516,34,0,2,204,2
164,1,1,1,2,7,0,48-02515,26,1,3,501,2
165,1,N,1,1,N,0,48-02102,14,3,7,462,2
166,2,1,1,0,5,3,48-02516,34,3,5,163,2
167,1,6,1,2,2,0,48-02507,8,0,4,328,2
168,2,1,1,1,8,1,48-02102,28,0,3,501,2
169,2,5,1,1,9,0,48-02101,62,0,2,501,2
170,2,3,1,1,3,0,48-02102,61,0,3,112,2
171,1,3,1,1,7,0,48-02102,78,2,4,501,2
172,1,1,1,1,6,0,48-02510,73,1,3,501,2
173,1,N,9,1,N,0,48-02102,14,1,5,147,2
174,2,1,2,0,6,1,48-02516,77,1,4,501,2
175,2,1,1,2,5,0,48-02516,39,0,5,451,2
176,1,6,1,1,4,1,48-02516,33,0,N,383,2
177,2,N,1,1,N,0,48-02516,3,2,4,358,2
178,1,N,1,2,N,0,48-02516,1,4,6,245,2
179,2,6,1,1,2,0,48-02101,16,3,5,165,2
180,1,1,2,1,5,0,48-02507,78,2,3,488,2
181,2,1,1,1,9,0,48-02101,52,1,2,287,2
182,1,1,1,2,5,4,48-02510,51,0,2,179,2
183,2,1,1,1,6,4,48-02102,15,0,2,290,2
184,1,N,1,2,N,0,48-02515,35,2,5,135,2
185,1,N,1,1,N,0,48-02507,33,0,2,80,2
186,2,1,1,1,8,0,48-02516,71,0,3,501,2
187,2,6,1,1,3,0,48-02515,9,2,3,312,2
188,2,1,1,1,4,0,48-02516,31,0,2,501,2
189,1,1,1,1,8,1,48-02101,30,2,3,501,2
190,2,1,1,2,3,1,48-02102,85,2,4,491,2
191,2,1,1,1,7,0,48-02507,42,2,8,13,2
192,2,6,1,1,5,1,48-02102,26,4,N,501,2
193,1,6,1,1,5,0,48-02102,8,N,N,172,2
194,1,4,1,1,8,1,48-02515,26,N,N,501,2
195,1,6,1,0,4,0,48-02101,51,0,3,501,2
196,2,6,1,1,0,0,48-02101,86,3,5,501,2
197,2,6,9,2,3,1,48-02510,27,1,3,404,2
198,2,4,1,1,5,0,48-02101,52,0,5,409,2
199,1,1,2,0,8,0,48-02515,37,0,4,501,2
200,2,1,6,1,6,0,48-02510,28,0,2,501,2
201,2,N,1,2,N,0,48-02102,7,3,5,135,2
202,1,6,1,1,9,0,48-02101,27,0,N,501,2
203,1,1,1,1,7,0,48-02507,72,2,4,501,2
204,1,1,1,1,1,0,48-02102,15,0,2,402,2
205,2,6,1,1,2,0,48-02510,59,0,N,257,2
206,1,2,1,1,5,0,48-02101,9,1,5,15,2
207,2,1,1,1,5,0,48-02516,82,0,3,429,2
208,1,6,2,1,5,3,48-02101,24,0,2,501,2
209,2,1,1,1,5,0,48-02101,26,0,2,447,2
210,2,1,1,1,4,0,48-02515,83,1,3,71,2
211,2,6,1,1,0,0,48-02101,16,2,5,74,1
212,1,4,1,1,5,0,48-02507,60,1,3,437,2
213,1,1,1,1,9,0,48-02516,76,0,2,501,2
214,1,3,1,1,2,0,48-02102,53,0,N,94,2
215,2,1,1,2,9,0,48-02102,19,0,2,501,2
216,2,1,1,1,8,1,48-02101,30,7,7,355,2
217,2,1,1,1,5,0,48-02101,52,3,5,501,2
218,2,1,1,0,7,1,48-02102,51,0,2,342,2
219,1,4,1,1,8,0,48-02101,46,0,N,501,2
220,1,1,1,1,7,1,48-02102,73,0,2,171,2
221,2,1,1,1,6,0,48-02102,30,1,3,312,2
222,1,1,1,1,5,0,48-02101,52,0,3,501,2
223,1,6,1,1,0,0,48-02102,20,3,5,N,2
224,1,1,1,1,0,4,48-02102,67,0,2,342,2
225,2,1,1,2,3,0,48-02516,21,2,6,501,2
226,2,6,1,2,0,0,48-02102,87,N,N,0,2
227,1,1,1,1,4,0,48-02516,48,0,2,185,2
228,1,1,1,1,6,0,48-02515,68,0,2,501,2
229,1,1,1,1,0,0,48-02507,43,0,2,380,2
230,2,3,1,1,3,0,48-02507,61,4,N,218,2
231,1,N,1,1,N,4,48-02507,14,2,4,473,2
232,2,4,1,1,8,0,48-02102,67,0,N,222,2
233,2,1,6,2,9,1,48-02516,83,0,2,501,2
234,1,1,1,1,9,1,48-02510,37,0,3,501,2
235,1,6,1,1,0,0,48-02510,29,0,6,501,2
236,1,4,1,2,0,0,48-02102,23,0,N,0,2
237,2,1,1,1,3,0,48-02507,72,2,7,12,2
238,1,4,1,1,N,1,48-02515,81,3,5,414,2
239,1,1,1,1,7,0,48-02510,0,0,2,162,2
240,2,1,1,1,6,1,48-02515,28,0,3,326,2
241,2,1,1,2,6,0,48-02510,55,0,2,187,2
242,2,N,1,2,N,0,48-02101,5,0,3,362,2
243,1,1,6,2,9,0,48-02510,39,0,2,501,2
244,1,1,1,1,6,0,48-02516,57,0,2,473,2
245,2,1,1,1,6,1,48-02516,64,2,3,132,2
246,1,6,2,1,9,0,48-02102,85,0,3,501,2
247,1,3,1,1,8,0,48-02101,56,0,N,501,2
248,2,5,1,2,9,0,48-02510,5,0,3,501,2
249,2,4,1,2,N,1,48-02507,14,0,N,399,2
250,1,1,1,1,6,0,48-02516,4,0,2,428,2
251,1,1,1,1,7,0,48-02515,43,0,2,500,2
252,2,1,1,1,3,0,48-02510,62,0,2,306,2
253,2,1,1,2,2,0,48-02102,77,0,2,78,2
254,1,4,1,1,6,0,48-02102,8,0,N,377,2
255,2,1,2,1,6,0,48-02101,64,0,2,485,2
256,1,3,1,2,6,0,48-02101,56,0,3,27,2
257,1,1,1,1,8,0,48-02101,8,2,4,105,2
258,1,1,6,2,0,1,48-02507,0,0,3,501,2
259,2,6,1,1,N,1,48-02515,26,0,2,127,2
260,1,5,8,1,9,0,48-02101,39,0,N,501,2
261,2,1,8,1,0,1,48-02510,72,3,5,83,2
262,2,1,1,1,7,0,48-02101,8,3,4,275,2
263,2,N,1,1,N,1,48-02516,65,2,4,402,2
264,1,2,2,1,2,0,48-02507,0,0,7,501,2
265,1,4,1,2,6,0,48-02101,80,0,3,110,2
266,2,N,1,0,N,0,48-02516,19,0,5,501,2
267,1,6,1,1,0,0,48-02510,21,0,6,501,2
268,2,1,1,1,0,1,48-02101,60,N,4,501,2
269,1,6,1,1,1,0,48-02101,75,1,3,209,2
270,2,N,1,1,N,0,48-02510,77,3,5,97,2
271,1,4,1,1,0,0,48-02516,43,0,N,303,2
272,1,1,1,1,8,1,48-02516,18,0,4,501,2
273,2,6,1,1,5,0,48-02101,73,1,3,463,2
274,1,2,1,1,1,0,48-02510,56,0,2,156,2
275,2,1,1,1,7,0,48-02515,63,0,2,408,2
276,2,N,1,1,N,1,48-02510,14,3,5,425,2
277,2,N,1,1,N,0,48-02516,1,3,5,501,2
278,2,1,1,2,6,0,48-02516,34,0,2,501,2
279,2,1,1,1,9,0,48-02101,10,0,2,501,2
280,1,1,1,1,6,0,48-02102,67,0,2,393,2
281,2,1,1,1,7,0,48-02515,46,0,4,143,2
282,2,1,1,2,7,0,48-02101,26,2,4,209,2
283,1,1,2,1,7,0,48-02516,58,0,2,92,2
284,2,N,2,1,N,0,48-02516,1,0,3,501,1
285,2,N,1,1,N,4,48-02102,14,0,7,284,2
286,1,1,1,1,2,0,48-02510,51,0,2,207,2
287,1,1,6,1,0,0,48-02507,29,0,2,445,2
288,1,6,1,1,4,0,48-02101,22,0,N,270,2
289,1,1,1,1,4,0,48-02515,28,1,3,221,2
290,1,1,1,1,8,0,48-02516,30,0,2,501,2
291,2,N,2,1,N,0,48-02516,1,2,4,501,2
292,2,1,1,1,7,0,48-02102,77,6,7,501,2
293,2,4,1,1,3,0,48-02101,26,3,5,0,2
294,1,1,1,1,9,0,48-02510,66,0,2,501,2
295,1,1,1,1,1,0,48-02510,55,0,2,0,2
296,1,6,1,2,1,0,48-02101,36,3,5,501,2
297,2,5,1,1,9,1,48-02515,49,0,2,501,2
298,2,4,1,1,2,0,48-02515,74,0,N,209,2
299,1,1,8,1,2,0,48-02101,58,0,2,245,1
300,2,6,1,1,0,0,48-02507,22,0,6,435,2
301,1,N,1,1,N,1,48-02102,11,2,4,194,2
302,2,4,1,1,6,0,48-02102,87,0,N,213,2
303,1,1,9,2,9,0,48-02510,39,4,6,501,2
304,2,1,1,1,0,0,48-02515,26,1,4,237,2
305,2,1,6,1,9,0,48-02101,39,0,2,501,2
306,1,6,1,1,1,1,48-02515,60,0,N,17,2
307,1,N,1,2,N,0,48-02507,11,4,6,109,2
308,2,2,1,1,6,0,48-02102,59,0,N,501,2
309,2,N,1,0,N,1,48-02507,11,1,4,408,2
310,1,1,1,0,7,1,48-02516,51,0,2,501,2
311,1,2,1,1,5,0,48-02101,59,0,2,501,2
312,1,1,1,1,0,0,48-02515,31,0,6,140,2
313,1,6,1,1,0,0,48-02101,76,3,5,420,2
314,2,N,1,2,N,0,48-02101,50,3,5,157,2
315,1,1,1,1,2,0,48-02101,56,2,4,311,2
316,1,6,1,1,1,0,48-02102,60,0,4,363,2
317,1,1,1,1,8,0,48-02507,22,2,4,501,2
318,2,1,1,1,3,1,48-02102,6,1,3,446,2
319,2,1,1,1,6,0,48-02515,63,0,2,501,2
320,2,N,1,2,N,0,48-02101,71,2,4,501,2
321,2,4,1,2,4,0,48-02510,45,0,N,81,2
322,2,6,1,1,0,0,48-02507,72,0,N,495,2
323,2,1,1,1,0,0,48-02102,58,2,4,501,2
324,1,1,1,1,0,1,48-02507,17,0,2,57,2
325,1,1,1,1,8,0,48-02515,43,0,2,501,2
326,2,N,1,1,N,1,48-02516,6,3,7,501,2
327,1,1,1,1,8,1,48-02516,18,0,3,379,2
328,1,N,1,1,N,0,48-02507,5,2,4,400,2
329,1,1,1,1,4,0,48-02510,62,0,2,269,2
330,2,1,2,2,4,0,48-02515,17,0,2,26,2
331,2,1,1,1,7,1,48-02101,92,0,3,501,2
332,2,N,1,1,N,0,48-02507,13,2,4,269,2
333,1,N,2,2,N,1,48-02510,13,0,6,501,2
334,2,N,2,1,N,0,48-02510,1,0,3,501,2
335,2,4,1,1,3,0,48-02507,84,0,2,65,2
336,2,N,1,1,N,0,48-02510,88,0,4,161,2
337,1,N,9,1,N,1,48-02102,14,0,6,322,2
338,2,1,1,1,2,4,48-02515,81,0,2,501,2
339,2,1,1,2,8,0,48-02515,67,2,2,501,2
340,2,6,1,1,5,0,48-02510,35,0,4,418,2
341,2,N,1,1,N,0,48-02510,84,2,4,501,2
342,2,6,1,1,9,0,48-02102,16,0,N,501,2
343,1,N,1,0,N,4,48-02507,11,2,4,244,2
344,1,N,1,1,N,0,48-02102,86,2,5,56,2
345,2,1,1,2,2,1,48-02515,87,1,3,N,2
346,1,N,1,2,N,1,48-02102,14,0,4,314,2
347,1,3,1,1,5,0,48-02507,23,0,N,172,2
348,2,1,1,1,6,0,48-02510,53,2,4,501,2
349,2,6,1,1,4,1,48-02507,21,N,N,481,2
350,1,1,1,1,2,1,48-02515,28,0,3,501,2
351,1,1,1,1,9,0,48-02102,18,0,2,501,2
352,2,1,1,2,7,0,48-02507,42,0,2,281,2
353,1,1,1,1,4,0,48-02515,53,0,2,501,2
354,1,1,1,1,8,0,48-02102,67,2,2,501,2
355,1,6,1,1,2,0,48-02510,69,1,4,10,2
356,2,4,1,1,4,0,48-02102,8,1,3,308,2
357,2,4,1,1,2,0,48-02515,26,0,3,294,2
358,1,N,2,1,N,0,48-02515,37,0,2,387,2
359,2,1,1,1,8,1,48-02515,65,0,2,501,2
360,1,N,1,1,N,1,48-02510,14,3,4,179,2
361,2,1,9,1,2,1,48-02102,48,0,2,97,2
362,1,1,1,1,7,0,48-02507,61,0,2,501,2
363,2,1,1,1,7,1,48-02516,74,0,2,356,2
364,1,6,1,1,5,0,48-02510,5,3,7,109,2
365,2,1,1,2,9,0,48-02507,52,2,4,501,1
366,2,1,1,1,9,1,48-02101,51,1,4,501,2
367,1,6,1,1,1,0,48-02102,12,0,N,501,2
368,1,2,1,1,1,0,48-02507,19,1,2,234,2
369,1,1,1,1,9,1,48-02510,32,0,2,0,2
370,1,1,1,1,8,0,48-02102,58,0,4,501,2
371,2,3,1,1,8,0,48-02507,42,0,N,501,2
372,2,6,1,1,5,0,48-02101,41,0,N,212,2
373,1,3,1,1,4,0,48-02102,55,0,N,289,2
374,1,N,1,2,N,0,48-02102,83,3,5,113,2
375,1,N,1,1,N,4,48-02102,14,0,3,480,2
376,2,1,9,1,1,1,48-02101,33,0,2,63,2
377,2,1,1,2,5,0,48-02101,12,0,2,452,2
378,2,2,1,2,7,0,48-02515,55,0,N,209,2
379,2,6,1,1,1,0,48-02515,40,0,N,209,2
380,2,6,1,1,0,0,48-02101,64,2,4,135,2
381,1,6,1,1,1,0,48-02515,71,0,5,226,2
382,2,6,9,1,0,0,48-02102,87,0,N,357,2
383,1,1,1,1,3,0,48-02101,47,0,2,208,2
384,1,4,1,2,5,0,48-02101,8,0,3,472,2
385,2,1,1,1,2,0,48-02515,70,0,2,414,2
386,1,1,1,1,3,0,48-02516,43,0,4,10,2
387,1,1,1,1,9,0,48-02102,48,0,2,501,2
388,2,N,1,0,N,0,48-02507,11,0,4,501,2
389,2,1,1,1,8,0,48-02101,56,0,2,501,2
390,2,1,1,1,3,0,48-02510,66,0,4,N,2
391,2,1,9,1,2,1,48-02102,74,2,4,501,2
392,2,1,1,1,7,0,48-02510,47,0,2,64,2
393,2,6,1,1,3,0,48-02507,84,0,N,124,2
394,2,1,1,1,9,0,48-02101,68,0,3,113,2
395,1,N,1,1,N,0,48-02101,64,3,6,153,2
396,1,1,1,1,6,0,48-02102,63,0,3,8,2
397,1,1,1,1,2,0,48-02101,68,2,4,393,2
398,2,1,1,1,0,0,48-02510,21,1,3,N,2
399,2,1,1,2,1,1,48-02102,59,2,4,365,2
400,2,N,1,1,N,0,48-02516,11,4,6,472,2
401,2,4,1,1,6,0,48-02510,62,N,N,40,2
402,1,1,1,2,6,0,48-02101,83,0,2,442,2
403,2,3,1,1,6,0,48-02510,60,0,N,381,2
404,2,1,1,1,9,0,48-02516,77,0,2,501,2
405,1,1,1,2,2,0,48-02101,32,1,3,209,2
406,1,1,1,1,7,0,48-02101,48,1,3,319,2
407,2,6,1,1,1,1,48-02102,87,2,3,0,2
408,1,4,1,1,4,0,48-02510,19,0,N,400,2
409,1,N,1,1,N,0,48-02102,15,4,6,82,2
410,2,6,1,1,5,0,48-02515,8,3,6,501,2
411,2,1,1,1,0,1,48-02507,28,0,2,501,2
412,1,1,1,1,9,0,48-02516,68,0,2,501,2
413,2,3,1,1,5,0,48-02507,86,0,N,431,2
414,1,1,1,1,4,0,48-02101,34,0,2,122,2
415,1,1,1,1,6,0,48-02102,2,0,2,135,2
416,1,4,1,1,5,0,48-02102,80,2,4,501,2
417,1,6,1,1,2,0,48-02516,53,3,5,501,2
418,2,4,1,2,0,0,48-02510,92,0,N,462,2
419,1,6,2,1,6,0,48-02510,83,0,3,53,2
420,1,4,1,1,0,0,48-02101,64,0,N,339,2
421,2,N,1,1,N,0,48-02516,11,0,5,228,2
422,2,1,1,2,9,0,48-02510,82,1,4,501,2
423,1,6,1,1,3,0,48-02516,80,0,N,418,2
424,1,4,1,1,5,0,48-02102,46,0,3,501,2
425,1,1,1,2,8,1,48-02101,59,0,2,501,2
426,2,4,1,1,7,1,48-02516,49,0,N,461,2
427,2,1,1,2,6,0,48-02101,66,0,2,501,2
428,1,3,1,2,4,0,48-02102,38,0,N,420,2
429,2,4,1,1,3,1,48-02516,26,2,3,340,2
430,2,1,1,1,9,0,48-02102,83,0,2,501,2
431,1,1,1,2,7,0,48-02510,42,1,3,141,2
432,1,4,1,1,6,0,48-02102,80,N,N,461,2
433,1,1,6,1,0,0,48-02510,50,0,2,280,2
434,2,6,8,1,5,0,48-02102,69,2,3,501,2
435,1,N,1,1,N,0,48-02516,30,1,11,501,2
436,2,1,1,2,8,0,48-02507,41,1,3,501,2
437,2,6,2,1,0,2,48-02101,24,2,7,115,2
438,1,1,1,1,6,0,48-02515,50,0,3,498,2
439,2,1,1,2,5,0,48-02102,55,0,2,359,2
440,2,N,1,1,N,1,48-02510,23,0,4,172,2
441,2,5,1,1,9,0,48-02516,47,0,3,501,2
442,1,6,6,1,8,0,48-02507,21,N,N,501,2
443,1,1,1,1,1,0,48-02516,6,0,2,179,2
444,2,1,1,1,9,0,48-02507,9,0,3,501,2
445,2,3,1,1,3,0,48-02102,38,N,N,501,2
446,2,2,1,2,2,0,48-02510,55,0,2,165,2
447,2,4,1,2,4,0,48-02510,55,0,2,295,2
448,1,6,1,2,4,0,48-02101,25,0,2,498,2
449,2,1,2,1,1,0,48-02516,31,0,2,209,2
450,2,4,8,1,8,4,48-02510,58,0,2,501,2
451,1,4,1,1,5,1,48-02101,54,0,2,501,2
452,1,N,1,1,N,0,48-02510,35,0,N,31,2
453,2,1,8,2,4,0,48-02102,22,4,6,379,2
454,2,6,1,2,1,0,48-02510,33,1,3,427,2
455,2,3,1,1,8,0,48-02101,56,0,N,501,2
456,2,1,1,1,7,0,48-02101,21,0,2,72,2
457,2,1,6,1,8,0,48-02510,74,0,2,501,2
458,2,1,1,2,9,0,48-02507,42,0,2,501,2
459,2,4,1,1,3,0,48-02102,60,0,N,22,2
460,2,4,1,1,3,0,48-02507,58,0,N,N,2
461,1,6,1,2,0,0,48-02101,25,0,2,501,2
462,1,N,1,2,N,0,48-02102,83,0,3,156,2
463,2,1,2,1,8,1,48-02507,85,0,2,501,2
464,2,6,1,2,1,0,48-02510,0,0,2,501,2
465,2,6,1,1,5,0,48-02507,22,0,3,113,2
466,1,N,1,1,N,0,48-02510,79,2,6,439,2
467,2,1,1,1,8,0,48-02510,65,4,6,171,2
468,1,N,1,1,N,1,48-02101,78,5,7,501,2
469,2,6,1,1,2,0,48-02507,82,0,2,209,2
470,2,1,1,1,0,1,48-02101,56,0,2,472,2
471,1,N,1,2,N,0,48-02510,54,2,4,295,2
472,1,1,1,1,0,0,48-02101,72,3,5,323,2
473,1,6,6,1,4,0,48-02101,25,0,3,481,2
474,2,6,1,1,3,0,48-02101,51,0,4,N,2
475,1,3,1,2,5,0,48-02102,4,N,N,4,2
476,2,1,1,1,2,0,48-02515,56,0,2,112,2
477,1,N,1,2,N,0,48-02507,13,2,4,501,2
