PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,index_col
28-01100,18,2,1,0,2,1,2,1,1,3155.5,N,N,4,0.0,0,373,N,2,2,2,2,152,151,109069
17-03529,64,1,6,0,2,0,N,1,2,15292.1,N,N,8,1700.0,2,54,N,1,2,2,2,170,352,109070
08-00803,89,2,2,0,1,N,N,3,0,4247.1,N,N,5,160000.0,2,N,N,2,1,2,2,103,3,109071
28-01100,76,1,6,0,2,1,5,1,2,2651.1,4690,N,7,9200.0,1,0,N,2,2,2,2,74,173,109072
36-03710,47,1,6,4,8,1,3,1,2,52864.7,8470,10,4,0.0,4,205,N,2,2,2,2,62,46,109073
32-00405,30,2,4,4,1,0,N,1,1,3660.3,2490,13,8,15400.0,2,309,N,2,2,2,2,55,61,109074
01-01301,56,1,1,0,6,0,4,1,1,3355.2,9920,N,7,0.0,0,194,N,2,2,2,2,69,62,109075
24-01004,62,1,1,0,1,0,2,1,1,3544.8,7460,10,11,52000.0,9,501,N,2,2,2,2,98,96,109076
38-00100,0,2,N,0,1,3,5,1,1,134.3,N,N,N,N,N,384,N,N,N,2,2,18,9,109077
38-00100,75,1,5,0,1,0,2,1,1,37.6,770,3,5,45000.0,5,469,N,2,2,2,2,92,218,109078
30-00600,54,1,1,0,1,1,3,1,1,3638.9,6890,1,9,90000.0,9,501,N,2,2,2,2,94,56,109079
36-03710,28,1,6,4,8,2,3,1,2,52864.7,N,N,4,20500.0,7,489,N,2,2,2,2,150,238,109080
51-51255,46,2,1,0,9,2,3,1,1,11440.0,7390,16,11,57000.0,9,501,N,2,2,2,2,86,61,109081
06-07502,29,1,3,0,9,0,2,1,2,15164.5,5570,14,8,26000.0,8,330,N,2,2,2,2,55,46,109082
51-51255,43,2,1,0,6,1,3,1,1,34298.9,7380,10,12,100000.0,9,501,N,2,2,2,2,80,64,109083
26-02702,61,1,3,0,1,N,N,2,0,5599.5,N,N,3,1800.0,3,N,N,2,1,2,2,21,3,109084
38-00100,11,1,N,0,1,3,8,1,2,11159.0,N,N,3,N,N,86,N,2,2,2,2,380,73,109085
36-04010,40,1,6,0,1,0,3,1,2,51350.7,4780,6,9,17000.0,6,301,N,2,2,2,2,148,113,109086
36-03710,44,1,6,4,8,0,5,1,2,52864.7,9790,N,3,0.0,0,370,N,2,2,2,2,60,65,109087
01-01301,56,1,1,0,2,3,3,1,1,3517.5,N,N,9,0.0,0,501,N,2,2,2,2,164,114,109088
51-51255,37,2,1,0,1,1,5,1,1,11122.0,9160,14,10,54000.0,9,501,N,2,2,2,2,131,82,109089
06-08507,92,1,1,0,2,0,2,1,1,4432.5,N,N,9,600.0,4,501,N,2,2,2,1,81,136,109090
26-02702,25,2,6,0,2,N,N,3,0,4028.0,8680,14,9,3700.0,1,N,N,2,2,2,2,76,2,109091
01-01301,26,2,4,0,2,1,3,1,2,3316.5,6870,7,10,20000.0,2,86,N,2,2,2,2,183,227,109092
38-00100,67,1,3,0,1,N,N,2,0,65.2,6170,0,8,12000.0,7,N,N,2,1,2,2,14,0,109093
01-01301,61,2,4,0,1,N,N,2,0,3170.1,7690,N,7,125000.0,1,N,N,2,2,2,2,49,0,109094
40-00200,60,1,1,0,3,1,4,1,2,63.7,5391,1,9,140000.0,1,501,N,2,2,2,2,41,51,109095
24-01004,60,2,1,0,6,0,2,1,1,34301.7,7870,9,11,160000.0,9,501,5,2,2,2,2,65,92,109096
36-04010,66,2,1,4,2,0,3,1,1,50336.8,N,N,6,10500.0,2,501,N,1,1,2,1,101,208,109097
26-02702,55,1,1,0,2,1,2,1,1,3411.9,8080,4,10,5700.0,1,435,N,2,2,2,2,84,80,109098
24-01004,49,2,1,0,1,0,2,1,1,4411.0,7870,11,10,80000.0,9,501,N,2,2,2,2,131,105,109099
26-02702,81,2,3,0,1,N,N,2,0,4989.7,N,N,7,21000.0,5,N,N,2,1,2,2,93,0,109100
51-01301,63,1,4,0,1,0,3,1,2,11225.6,7460,6,9,4300.0,4,54,N,2,2,2,1,131,109,109101
26-02702,69,2,3,0,1,N,N,2,0,4706.2,N,N,5,14000.0,4,N,N,2,1,2,1,133,1,109102
38-00100,23,2,N,0,2,2,9,1,1,4687.3,N,N,4,N,N,127,N,2,2,2,2,290,305,109103
38-00100,37,2,2,0,1,1,N,1,1,28.8,8660,14,6,36000.0,1,176,N,2,2,2,2,73,38,109104
36-03710,44,2,6,4,8,1,3,1,2,52864.7,N,N,4,0.0,0,306,N,1,2,2,2,276,65,109105
36-03710,41,1,6,4,8,1,3,1,2,52864.7,N,N,9,0.0,0,315,N,2,1,2,2,105,150,109106
24-01004,49,1,1,0,6,1,7,1,1,3810.4,3580,10,5,0.0,0,359,N,2,2,2,2,59,52,109107
38-00100,54,2,6,0,1,0,N,1,2,3487.8,9570,15,8,10800.0,9,185,N,2,2,2,2,131,56,109108
24-01004,69,2,1,4,3,1,5,1,1,33756.5,N,N,4,6500.0,6,501,N,2,2,2,2,28,52,109109
17-03531,10,1,N,0,2,1,5,1,1,11122.1,N,N,3,N,N,501,N,2,2,2,2,468,86,109110
40-00200,0,2,N,0,1,1,3,1,1,268.0,N,N,1,N,N,144,N,N,N,2,2,55,0,109111
24-01004,5,1,1,0,9,3,5,1,1,16.3,N,N,1,0.0,0,501,N,2,2,2,2,99,216,109112
24-01004,55,1,6,0,2,0,6,1,1,4712.6,N,N,4,0.0,0,0,N,2,2,2,2,69,68,109113
38-00100,9,1,N,0,1,6,9,1,1,66.3,N,N,2,N,N,176,N,2,2,2,2,25,176,109114
26-02702,59,2,3,0,1,0,2,1,1,5252.5,N,N,12,43000.0,2,501,N,2,2,2,2,21,31,109115
38-00100,71,1,1,0,1,0,2,1,1,30.6,4195,2,9,6000.0,9,273,N,2,2,2,2,91,29,109116
28-01100,49,1,1,0,2,0,2,1,1,2899.0,770,N,5,0.0,0,501,N,2,2,2,2,324,119,109117
28-01100,65,2,2,0,1,N,N,2,0,4030.5,N,N,7,6200.0,4,N,N,2,2,2,2,103,4,109118
17-03531,16,2,N,0,9,6,8,1,1,11230.7,N,N,3,N,N,6,N,2,2,2,2,84,80,109119
26-02702,61,1,4,0,1,0,2,1,1,4882.0,N,N,8,49000.0,9,501,N,2,2,2,2,78,14,109120
38-00100,0,2,N,0,1,3,5,1,1,245.3,N,N,N,N,N,412,N,N,N,2,2,46,0,109121
51-51255,36,2,1,0,1,1,3,1,1,11170.4,6970,16,8,90000.0,8,501,N,2,2,2,2,54,99,109122
06-07502,12,2,6,0,1,0,N,1,1,33798.3,8680,14,9,56000.0,2,36,N,2,2,2,2,110,95,109123
24-01004,85,2,1,0,1,0,2,1,1,5286.6,7870,11,10,78000.0,9,501,N,2,2,2,2,105,11,109124
26-02702,35,1,1,0,1,1,2,1,1,4824.6,6991,5,5,50000.0,8,501,N,2,2,2,2,123,90,109125
08-00803,12,1,6,0,1,2,N,1,1,3696.9,8980,6,9,54000.0,3,261,N,2,2,2,2,101,49,109126
06-08507,1,2,1,0,6,0,3,1,1,3726.9,N,N,4,0.0,0,501,N,2,2,2,2,115,109,109127
28-01100,22,1,6,0,2,0,N,1,2,3488.9,4770,14,9,3500.0,2,319,N,2,2,2,2,96,25,109128
36-03710,42,1,6,4,8,1,5,1,2,52864.7,770,6,9,40000.0,0,259,N,2,2,2,2,94,87,109129
40-00200,55,2,2,0,1,0,5,1,1,89.5,5170,5,10,500.0,5,501,N,1,2,2,2,79,127,109130
01-01301,30,2,6,0,1,0,N,3,0,2973.7,8680,14,7,60000.0,1,150,N,2,2,2,2,78,4,109131
06-08507,25,1,1,0,6,1,2,1,1,3718.5,9920,N,5,0.0,0,0,N,2,2,2,2,59,52,109132
36-03710,35,2,6,4,8,1,2,1,2,52864.7,N,N,1,23000.0,0,259,N,2,2,2,2,89,98,109133
19-01700,62,1,1,0,1,2,N,1,2,3531.2,8780,9,7,4300.0,6,143,N,2,2,2,2,108,130,109134
06-07502,51,1,6,0,1,N,N,2,0,3440.2,8680,14,7,30000.0,1,0,N,2,2,2,2,126,0,109135
51-51255,49,1,6,0,1,1,4,1,1,11256.1,7071,16,8,43000.0,9,501,N,2,2,2,2,78,40,109136
28-01100,21,2,1,0,1,1,2,1,1,3447.1,8670,9,9,30000.0,4,1,N,2,2,2,2,134,306,109137
32-00405,31,2,6,1,8,1,3,1,2,3906.1,6190,6,8,22300.0,1,101,N,2,2,2,2,112,52,109138
36-04010,68,1,1,0,2,3,5,1,1,50876.6,N,N,5,0.0,0,501,N,2,2,2,2,158,152,109139
24-01004,58,2,1,0,1,0,2,1,1,3832.1,N,N,4,22000.0,1,501,N,2,2,2,2,91,52,109140
51-51255,30,1,3,0,2,1,N,1,1,11127.9,9570,16,11,9500.0,9,501,5,2,2,2,2,62,78,109141
24-01004,61,1,1,0,6,3,2,1,1,3667.6,7270,8,10,1800.0,9,501,N,2,2,2,2,97,105,109142
36-03710,47,1,6,4,8,1,4,1,1,52864.7,N,10,7,0.0,2,501,N,2,2,2,2,70,52,109143
17-03529,65,1,4,0,2,0,N,1,2,15222.5,9090,7,8,33000.0,8,204,5,2,2,2,1,120,193,109144
28-01100,76,2,1,0,9,0,7,1,1,3309.7,N,N,1,0.0,0,176,N,2,2,2,1,106,115,109145
51-01301,77,1,3,0,2,0,N,1,2,11209.1,N,N,9,200000.0,3,501,N,2,2,2,1,73,81,109146
29-01901,44,1,1,0,2,0,2,1,1,4176.5,N,N,5,0.0,0,501,N,2,2,2,2,116,102,109147
06-08507,17,1,6,0,6,1,4,1,1,3437.6,N,N,5,0.0,0,0,N,2,2,2,2,78,66,109148
26-02702,41,1,2,0,1,N,N,3,0,34234.7,N,6,3,3000.0,4,N,N,2,1,2,2,97,0,109149
06-08507,36,1,1,0,1,0,2,1,2,3769.4,7860,10,10,70000.0,9,501,N,2,2,2,2,202,88,109150
38-00100,69,1,4,0,1,0,N,1,1,257.5,N,N,8,10000.0,7,317,6,1,1,1,1,115,102,109151
29-01901,70,2,3,0,1,N,N,3,0,4970.0,N,N,5,70000.0,6,150,N,2,1,2,2,85,0,109152
51-01301,28,2,6,0,2,0,2,1,1,11314.2,8680,13,10,48000.0,2,149,N,2,2,2,2,156,112,109153
06-08507,17,2,1,0,6,1,2,1,1,4405.9,N,N,5,0.0,0,501,N,2,2,2,2,122,35,109154
36-04010,80,1,2,0,2,3,6,1,2,50073.5,N,N,7,0.0,0,68,N,2,2,2,2,93,254,109155
38-00100,66,1,4,0,1,0,N,1,1,3676.2,8090,16,8,66000.0,9,38,4,2,2,2,1,81,55,109156
17-03529,50,1,6,0,1,0,N,1,2,85.6,770,6,9,8000.0,5,155,N,2,2,2,2,221,192,109157
51-51255,42,1,1,0,9,1,2,1,1,11291.6,7390,16,11,70000.0,9,501,N,2,2,2,2,67,62,109158
24-01004,55,2,1,0,6,0,2,1,1,3674.1,N,N,12,15000.0,4,501,N,2,2,2,1,111,84,109159
40-00200,25,1,1,0,1,0,3,1,2,136.5,8191,12,9,80000.0,8,501,N,2,2,2,2,58,56,109160
36-04010,32,1,6,4,2,0,2,1,1,51803.6,4780,9,4,9000.0,3,77,N,2,2,2,1,122,216,109161
36-03710,51,2,1,0,2,0,2,1,1,3572.0,6695,6,8,20000.0,6,343,N,2,2,2,2,186,54,109162
40-00200,68,1,3,0,2,0,N,1,1,16.3,N,N,3,N,2,233,N,2,2,2,2,58,63,109163
24-01004,44,2,1,0,6,1,3,1,1,4935.6,N,N,9,0.0,0,501,N,2,2,2,2,112,47,109164
51-51255,55,1,2,0,9,0,N,1,1,11323.4,9470,7,9,63000.0,9,501,N,2,2,2,2,61,62,109165
26-02702,52,1,2,0,2,0,N,1,2,51947.6,2280,9,9,250000.0,2,54,N,2,2,2,2,186,215,109166
17-03529,22,2,6,0,2,5,5,1,1,15226.6,9920,18,4,0.0,0,151,2,2,2,2,2,54,55,109167
32-00405,48,2,1,1,8,0,3,1,1,8137.0,4570,9,9,430.0,1,405,N,2,2,2,2,61,56,109168
17-03531,66,2,3,0,2,0,3,1,1,51146.0,9690,7,5,33000.0,4,202,N,2,2,2,2,227,206,109169
38-00100,0,1,N,0,9,3,5,1,2,69.9,N,N,N,N,N,63,N,N,N,2,2,60,5,109170
36-03710,54,2,6,4,8,1,4,1,1,52864.7,9920,15,5,22000.0,0,60,N,2,2,2,2,59,51,109171
24-01004,64,1,1,0,6,0,2,1,1,3243.8,N,N,10,9600.0,3,501,N,2,2,2,2,58,49,109172
36-03710,25,1,6,4,8,1,2,1,2,52864.7,N,N,9,12000.0,4,19,N,1,2,2,2,113,282,109173
24-01004,60,1,1,0,1,0,2,1,1,16.3,N,N,9,12300.0,9,501,N,2,2,2,2,138,59,109174
08-00803,9,1,2,0,2,N,N,3,0,4148.2,N,N,3,53000.0,2,N,N,2,2,2,2,96,5,109175
19-01700,17,1,1,1,1,0,2,1,1,3570.8,5080,9,7,35400.0,4,161,N,2,2,2,2,145,50,109176
08-00803,17,1,6,0,1,0,N,1,2,3654.8,7460,16,9,1000.0,5,129,N,2,2,2,2,144,115,109177
08-00803,6,2,N,0,1,0,2,1,1,3590.3,N,N,3,N,N,501,N,2,2,2,2,112,174,109178
17-03529,5,2,N,0,2,2,4,1,1,15242.8,N,N,3,N,N,0,N,2,2,2,2,42,26,109179
08-00803,30,2,1,0,1,1,3,1,2,4622.7,7380,4,9,19200.0,8,501,N,2,2,2,2,95,68,109180
06-07502,85,1,1,0,9,0,2,1,1,34823.9,8370,9,9,16000.0,9,501,5,1,2,2,2,42,56,109181
24-01004,67,2,1,0,6,1,2,1,1,5911.4,7870,12,12,15000.0,1,501,N,2,2,2,2,51,28,109182
28-01100,41,1,2,0,1,1,3,1,1,15188.6,8780,15,5,140000.0,3,204,N,2,2,2,2,178,160,109183
24-01004,77,2,1,0,6,0,2,1,1,4855.5,N,N,3,8000.0,8,501,N,2,2,2,2,81,78,109184
19-01700,7,1,N,0,1,1,3,1,1,3641.9,N,N,1,N,N,92,N,N,N,2,2,169,224,109185
08-00803,57,2,1,0,1,2,2,1,1,3892.8,7870,4,9,10000.0,9,501,N,2,2,2,2,105,137,109186
24-01004,54,2,1,0,6,0,2,1,1,5440.8,7870,11,12,150000.0,9,501,N,2,2,2,2,15,26,109187
13-04600,64,1,5,0,2,0,N,1,1,11074.5,3570,15,8,6000.0,1,204,N,2,2,2,2,66,391,109188
29-01901,77,1,3,0,1,0,2,1,1,11084.6,N,N,5,15600.0,6,501,N,2,2,2,2,125,156,109189
38-00100,7,2,N,0,1,3,5,1,2,3678.1,N,N,1,N,N,92,N,N,N,2,2,70,61,109190
24-01004,82,2,6,0,1,N,N,2,0,4240.5,7890,N,3,16000.0,3,N,N,2,1,2,2,14,4,109191
36-03710,64,1,6,0,2,0,2,1,1,52065.8,7580,15,9,62000.0,5,411,N,2,2,2,2,168,105,109192
06-07502,14,1,1,0,1,3,2,1,1,11194.8,7590,5,11,59000.0,9,501,N,2,2,2,2,126,29,109193
08-00803,31,1,1,0,2,0,3,1,2,3829.7,670,14,9,55000.0,1,77,N,2,2,2,2,54,70,109194
28-01100,77,1,1,0,1,1,2,1,1,3724.2,N,N,8,33000.0,4,484,N,2,2,2,2,60,70,109195
29-01901,84,2,1,0,2,1,2,1,1,5200.0,N,N,3,0.0,0,501,N,2,2,2,2,173,139,109196
36-03710,30,2,1,0,1,0,2,1,2,3671.0,8170,6,9,10000.0,6,77,N,2,2,2,2,63,67,109197
24-01004,69,1,3,0,2,0,2,1,1,11175.6,7270,4,11,52000.0,4,189,N,2,2,2,1,133,119,109198
24-01004,75,2,1,0,1,0,2,1,1,4462.0,9480,12,10,2500.0,9,501,N,2,2,2,2,52,41,109199
28-01100,31,2,1,0,2,1,3,1,1,50435.5,8891,15,9,6000.0,4,65,N,2,2,2,2,209,223,109200
36-03710,40,1,3,0,1,5,7,1,2,51233.5,1070,13,7,60000.0,4,313,N,2,1,2,2,194,180,109201
13-04600,60,2,1,0,1,0,2,1,1,11127.6,7590,10,9,50000.0,9,143,N,2,2,2,2,85,148,109202
24-01004,69,2,1,0,1,0,2,1,1,5435.4,N,9,9,82000.0,9,501,N,2,2,2,2,50,56,109203
29-01901,55,2,1,0,6,0,2,1,1,4480.5,3570,9,5,70000.0,8,338,N,2,2,2,1,219,280,109204
24-01004,19,1,6,0,1,0,6,1,1,3663.0,N,N,4,0.0,0,0,N,2,2,2,2,59,44,109205
32-00405,27,1,1,1,1,0,N,1,2,8106.5,390,15,8,22800.0,3,494,N,2,1,2,2,196,96,109206
38-00100,60,2,3,0,1,N,2,2,0,142.0,N,N,5,36000.0,2,35,N,2,1,2,2,23,0,109207
24-01004,74,1,1,0,1,1,2,1,1,3724.6,N,N,9,57000.0,9,501,N,2,2,2,2,122,103,109208
06-07502,74,1,1,0,9,0,2,1,1,34297.6,N,N,11,26000.0,7,501,5,2,2,2,2,42,60,109209
24-01004,17,1,6,0,6,1,4,1,1,3561.5,N,N,5,0.0,0,501,N,2,2,2,2,542,45,109210
26-02702,50,1,1,0,1,1,3,1,1,3644.5,N,N,4,0.0,0,501,N,2,2,2,2,110,58,109211
17-03531,50,1,5,0,2,1,2,1,2,15307.0,8470,4,8,9300.0,7,156,N,2,2,2,2,61,182,109212
51-51255,89,1,3,0,1,0,2,1,1,11319.3,N,N,9,9100.0,5,501,6,1,1,2,1,150,147,109213
38-00100,39,1,1,0,1,0,3,1,2,143.8,7860,11,8,500.0,5,501,N,2,2,2,2,104,9,109214
06-07502,58,1,6,0,2,0,2,1,2,3918.5,2770,9,9,37000.0,6,492,N,2,2,2,2,328,64,109215
24-01004,89,2,3,0,1,0,N,1,2,33561.5,7870,9,8,26000.0,4,189,N,2,2,2,2,111,88,109216
08-00803,89,2,3,0,1,0,2,1,2,2778.5,N,N,9,180000.0,4,501,N,2,2,2,2,63,91,109217
17-03529,58,1,4,0,2,0,N,1,1,14654.1,5170,8,7,19000.0,6,11,N,2,2,2,1,274,20,109218
51-51255,0,2,N,0,2,3,5,1,1,11131.6,N,N,3,N,N,501,N,2,2,2,2,108,258,109219
24-01004,76,1,1,0,1,0,2,1,1,4568.7,N,12,10,8000.0,9,501,N,2,2,2,1,118,51,109220
24-01004,46,2,1,0,9,2,5,1,1,3542.0,770,12,9,0.0,0,501,N,2,2,2,2,102,199,109221
36-03710,51,1,1,4,2,2,6,1,1,51949.0,8470,15,7,3000.0,6,10,N,2,2,2,2,195,146,109222
19-01700,31,1,1,0,1,1,2,1,1,3844.8,7580,9,9,60000.0,7,125,N,2,2,2,2,199,51,109223
38-00100,23,2,6,0,1,N,N,2,0,92.0,N,N,4,73000.0,0,N,N,2,2,2,2,22,1,109224
38-00100,65,1,1,0,1,0,5,1,1,16.3,170,3,5,15000.0,3,197,N,2,2,2,2,83,9,109225
13-04600,48,1,1,0,2,0,5,1,1,3417.2,6380,7,8,74000.0,1,4,N,2,2,2,2,175,192,109226
13-04600,34,2,1,0,1,0,6,1,2,3633.8,8680,10,9,4400.0,8,388,N,2,2,2,2,201,65,109227
40-00200,42,1,1,0,1,1,2,1,1,3246.1,N,N,8,19000.0,0,98,N,2,2,2,2,167,233,109228
06-07502,17,2,6,0,1,0,N,1,1,153.0,7690,15,10,160000.0,0,501,N,2,2,2,2,105,112,109229
13-04600,22,2,1,0,6,2,6,1,2,11147.5,N,N,4,N,0,118,N,2,2,2,2,81,214,109230
38-00100,85,1,3,0,1,0,N,1,1,177.1,N,N,5,45000.0,4,145,N,2,2,2,2,12,122,109231
24-01004,7,1,N,0,2,1,2,1,1,3863.6,N,N,1,N,N,122,N,N,2,2,2,75,58,109232
19-01700,30,2,6,1,2,1,2,1,2,3857.2,2880,6,7,10000.0,5,450,N,2,2,2,2,251,208,109233
40-00200,40,1,1,0,1,0,N,1,1,105.0,6970,16,9,59000.0,6,501,N,2,2,2,2,24,42,109234
36-04010,41,2,2,0,2,2,5,1,2,50323.5,9470,12,5,21000.0,6,206,N,2,2,2,2,102,87,109235
36-04010,70,2,5,2,2,1,3,1,2,51925.9,N,N,6,0.0,0,60,N,2,1,2,1,255,149,109236
36-03710,3,2,N,4,8,2,4,1,2,52864.7,N,N,3,N,N,501,N,2,1,2,2,78,101,109237
06-08507,88,1,2,0,6,0,4,1,1,3188.2,7380,N,10,0.0,0,501,N,2,2,2,2,76,125,109238
08-00803,32,1,1,0,1,1,2,1,1,3853.5,8660,14,9,51000.0,1,501,N,2,2,2,2,39,46,109239
26-02702,49,2,1,0,1,1,3,1,1,33362.9,N,N,8,70000.0,8,501,N,2,2,2,2,113,146,109240
38-00100,81,1,3,0,1,N,N,2,0,102.2,N,10,7,16300.0,8,N,N,2,2,2,1,12,0,109241
06-07502,40,2,4,0,1,0,8,1,2,11247.4,8770,N,9,250000.0,4,54,N,2,2,2,2,217,118,109242
36-04010,67,2,1,0,2,0,2,1,1,3957.3,3291,6,5,1600.0,3,474,N,2,2,2,2,121,109,109243
38-00100,49,1,1,0,1,2,4,1,1,227.6,6170,9,9,70000.0,9,501,N,2,2,2,2,75,44,109244
26-02702,29,1,6,0,1,0,5,1,2,33973.0,6672,17,9,250000.0,7,501,N,2,2,2,2,40,80,109245
40-00200,54,2,1,0,1,1,5,1,1,11131.6,N,N,7,0.0,N,454,N,2,2,2,2,143,307,109246
13-04600,29,1,6,0,2,0,4,1,2,11373.0,5090,9,5,3000.0,2,79,N,2,2,2,2,178,200,109247
06-07502,77,1,1,0,1,0,N,1,2,33829.6,5090,8,9,9100.0,8,317,N,2,2,2,2,88,95,109248
30-00600,33,1,1,0,1,2,3,1,1,16.3,9170,17,9,0.0,0,501,N,2,2,2,2,67,84,109249
06-08507,36,2,1,0,2,3,5,1,1,4290.1,N,N,12,0.0,0,501,N,2,2,2,2,114,295,109250
