PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
51-01301,72,2,1,0,1,0,2,1,1,N,N,9,42500.0,5,501,N,2,2,2,2
01-01301,69,1,6,0,2,0,3,1,1,N,N,7,25000.0,5,398,N,2,2,2,2
30-00600,14,1,N,0,1,2,4,1,1,N,N,3,N,N,351,N,2,2,2,2
08-00803,20,1,6,0,1,0,N,1,2,8562,14,6,15000.0,3,113,N,2,2,2,2
24-01004,65,2,1,0,1,0,2,1,1,7860,11,10,48000.0,5,501,N,2,2,2,2
38-00100,17,1,6,0,3,5,7,1,1,180,0,4,7000.0,1,199,N,2,2,2,2
51-51255,28,2,1,0,1,0,2,1,2,7390,10,10,52000.0,6,501,N,2,2,2,2
36-04010,7,1,N,0,2,4,5,1,2,N,N,3,N,N,266,N,2,2,2,2
36-03710,40,2,1,1,8,2,6,1,2,7860,11,11,107630.0,8,299,N,2,2,2,2
19-01700,28,1,2,1,8,2,4,1,1,770,3,5,20000.0,3,337,N,2,2,2,2
40-00200,20,1,6,0,1,0,3,1,1,9920,18,4,700.0,1,67,N,2,2,2,2
06-07502,24,2,6,0,6,1,2,1,2,5580,6,7,37000.0,5,17,N,2,2,2,2
38-00100,25,2,1,0,9,2,7,1,1,6870,9,6,14000.0,2,232,N,2,2,2,2
51-51255,41,1,1,0,1,3,5,1,1,7280,10,9,518000.0,9,501,N,2,2,2,2
13-04600,21,1,6,0,2,0,3,1,2,3365,4,7,18200.0,3,143,N,2,2,2,2
51-51255,58,1,1,0,1,2,4,1,1,9680,17,10,46700.0,6,501,N,2,2,2,2
17-03531,75,2,4,0,2,0,N,1,1,N,N,7,16200.0,3,136,N,2,1,2,2
36-04010,60,1,1,0,2,1,7,1,1,5080,6,4,80000.0,8,501,N,2,2,2,2
13-04600,72,2,3,0,2,0,5,1,2,N,N,5,17000.0,3,133,N,2,2,2,2
28-01100,70,1,1,0,2,0,3,1,1,N,N,5,12000.0,3,80,N,2,1,2,2
32-00405,2,2,N,4,9,1,3,1,1,N,N,N,N,N,0,N,N,N,2,2
17-03529,38,2,1,0,1,2,4,1,1,7870,11,10,196000.0,9,501,N,2,2,2,2
30-00600,60,2,1,1,1,0,3,1,1,7071,9,8,400.0,0,405,N,2,2,2,2
08-00803,48,1,1,0,1,2,4,1,1,7860,11,9,40000.0,5,501,N,2,2,2,2
17-03529,50,1,5,0,2,0,N,1,1,8680,14,5,2500.0,1,16,N,2,1,2,2
06-08507,65,2,1,0,6,1,3,1,1,8180,12,10,0.0,0,501,N,2,2,2,2
17-03529,19,2,6,2,1,0,N,1,2,8680,14,8,1500.0,1,12,N,2,2,2,2
36-03710,12,1,N,4,8,0,3,1,2,N,N,3,N,N,453,N,2,2,2,2
08-00803,65,1,1,0,1,2,4,1,1,2870,4,5,46000.0,6,186,N,2,2,2,2
38-00100,1,2,N,0,1,2,4,1,1,N,N,N,N,N,235,N,N,N,2,2
36-03710,11,1,N,4,8,1,3,1,2,N,N,3,N,N,73,N,2,2,2,2
08-00803,77,1,4,0,1,0,N,1,1,N,N,10,22000.0,3,181,N,2,2,2,2
51-51255,61,2,2,0,1,N,N,2,0,N,N,9,0.0,0,N,N,2,1,2,2
13-04600,78,2,3,0,9,0,N,1,1,N,N,12,0.0,0,0,N,2,2,2,2
30-00600,33,1,6,0,1,0,N,1,1,380,1,7,9200.0,2,68,N,2,2,2,2
38-00100,34,2,4,0,1,1,2,1,2,8180,12,5,21600.0,3,132,N,2,2,2,2
17-03529,59,1,4,0,2,0,N,1,2,N,N,5,0.0,0,0,N,2,2,2,1
28-01100,22,2,6,0,2,0,5,1,1,5381,6,7,40000.0,7,501,N,2,2,2,2
19-01700,88,2,1,0,2,0,2,1,2,N,N,5,11000.0,2,200,N,2,1,1,1
30-00600,82,2,1,0,1,0,2,1,1,N,N,5,28800.0,5,393,N,2,2,2,2
17-03529,9,1,N,0,2,1,2,1,2,N,N,3,N,N,501,N,2,2,2,2
06-08507,10,1,N,0,6,2,4,1,1,N,N,3,N,N,501,N,2,2,2,2
51-01301,40,1,6,0,1,0,N,1,2,7460,10,10,176200.0,9,501,N,2,2,2,2
51-01301,39,1,6,0,8,0,N,1,2,9590,16,11,61000.0,7,461,2,2,2,2,2
40-00200,48,1,1,0,9,0,3,1,1,8270,12,6,35000.0,6,306,N,2,2,2,1
51-51255,9,1,N,0,1,2,4,1,1,N,N,3,N,N,501,N,2,2,2,2
32-00405,3,1,N,0,1,4,5,1,2,N,N,1,N,N,19,N,N,N,2,2
51-51255,35,2,1,0,1,1,3,1,1,6480,8,9,115000.0,8,501,N,2,2,2,2
01-01301,6,2,N,0,1,N,N,3,0,N,N,2,N,N,N,N,1,2,2,2
30-00600,51,2,6,0,1,0,6,1,1,N,N,5,14800.0,3,352,N,2,2,2,2
51-01301,30,1,6,0,1,0,N,1,2,7380,10,9,85000.0,8,501,4,2,2,2,2
38-00100,51,1,1,0,1,0,2,1,1,6080,7,5,40000.0,5,287,N,2,2,2,2
08-00803,21,1,6,0,6,0,N,1,2,N,N,9,36000.0,5,273,N,2,2,2,2
30-00600,70,2,1,0,1,0,2,1,1,N,N,9,94600.0,9,501,N,2,2,2,2
08-00803,48,1,4,0,1,0,N,1,1,8090,12,9,18000.0,3,140,N,2,2,2,2
51-51255,35,2,1,0,1,2,4,1,1,7860,11,10,18000.0,3,501,N,2,2,2,2
24-01004,67,2,1,0,1,0,2,1,1,8290,12,12,352000.0,9,501,N,2,2,2,2
36-04010,91,1,3,0,2,0,4,1,1,N,N,10,22000.0,4,149,N,1,2,2,2
32-00405,12,2,N,0,2,5,8,1,2,N,N,3,N,N,71,N,2,2,2,2
24-01004,20,1,6,0,6,0,3,1,1,6970,9,7,26000.0,4,501,N,2,2,2,2
24-01004,1,2,N,0,6,1,3,1,1,N,N,N,N,N,501,N,N,N,2,2
40-00200,52,2,6,0,1,0,2,1,2,8690,14,4,25000.0,5,233,N,2,2,2,2
17-03531,2,1,N,0,2,0,5,1,2,N,N,N,N,N,376,N,N,N,2,2
36-04010,30,2,1,0,2,1,3,1,2,N,N,9,0.0,0,312,N,2,2,2,2
26-02702,28,1,6,0,6,0,N,1,2,3570,4,10,100000.0,9,501,N,2,2,2,2
36-04010,38,2,1,0,2,3,6,1,2,9470,16,5,23040.0,4,230,N,2,2,2,2
08-00803,45,1,6,0,1,0,N,1,1,3570,4,9,80000.0,8,501,N,2,2,2,2
40-00200,50,1,1,0,1,0,2,1,1,590,2,4,70000.0,8,501,N,2,2,2,2
28-01100,70,1,1,0,1,0,2,1,1,N,N,7,25900.0,5,145,N,1,1,2,2
40-00200,25,2,6,0,1,0,N,1,2,6190,7,7,900.0,1,6,N,2,2,2,2
40-00200,57,1,1,0,2,0,2,1,1,6380,7,7,18000.0,4,156,N,2,2,2,2
13-04600,63,2,1,1,8,0,2,1,1,7860,11,5,1500.0,1,181,N,2,2,2,2
38-00100,61,2,1,0,1,0,2,1,1,7280,10,5,8000.0,1,418,N,2,2,2,2
38-00100,32,1,6,0,1,0,N,1,2,N,N,5,34000.0,5,251,N,2,2,2,2
36-03710,67,1,1,4,8,0,5,1,2,N,N,3,9500.0,2,501,N,2,1,2,2
38-00100,52,1,1,0,1,0,2,1,1,4470,5,6,70000.0,8,461,5,2,2,2,2
30-00600,42,2,4,0,1,1,2,1,2,9370,16,7,8200.0,2,34,N,2,2,2,2
24-01004,89,2,3,0,1,0,N,1,1,N,N,5,9600.0,2,75,N,2,2,2,2
51-01301,15,1,6,0,1,3,6,1,1,N,N,3,0.0,0,501,N,2,2,2,2
32-00405,44,2,2,0,1,0,N,1,1,4880,6,9,40600.0,6,304,N,2,2,2,2
13-04600,74,2,6,0,2,0,2,1,1,8980,15,5,10000.0,2,54,N,2,1,2,2
32-00405,46,2,6,1,1,0,3,1,1,7860,11,5,40000.0,6,501,N,2,2,2,2
36-03710,39,1,6,2,8,N,N,3,0,7680,10,5,20000.0,4,164,N,1,2,2,2
51-01301,9,2,N,4,1,3,5,1,1,N,N,3,N,N,246,N,2,2,2,2
13-04600,18,1,6,0,2,N,N,3,0,N,N,7,8400.0,2,N,N,2,2,2,2
24-01004,70,1,1,0,6,0,3,1,1,7460,10,12,110000.0,8,501,N,2,2,2,2
36-03710,19,1,6,0,2,N,N,3,0,7690,10,7,4200.0,1,2,N,2,2,2,1
06-08507,83,1,1,0,1,0,2,1,1,3580,4,10,572000.0,9,501,N,2,2,2,2
17-03529,70,2,4,0,1,0,N,1,1,4690,6,4,32000.0,5,252,N,1,1,1,2
36-03710,4,1,N,0,1,2,4,1,2,N,N,1,N,N,65,N,N,N,2,2
17-03529,48,1,2,0,1,0,N,1,1,7770,10,6,544000.0,9,501,N,2,2,2,2
32-00405,14,2,N,1,1,2,5,1,2,N,N,3,N,N,98,N,2,2,2,2
24-01004,63,1,6,0,1,0,N,1,1,670,2,9,27100.0,4,201,N,2,1,2,2
38-00100,79,2,1,0,1,0,2,1,2,N,N,5,0.0,0,339,N,2,1,2,2
06-08507,10,1,N,0,1,3,6,1,1,N,N,3,N,N,501,N,2,2,2,2
26-02702,7,1,N,0,1,3,4,1,1,N,N,3,N,N,501,N,2,2,2,2
24-01004,35,2,6,0,1,0,N,1,2,7380,10,9,170000.0,9,501,N,2,2,2,2
24-01004,51,1,1,0,1,2,4,1,1,7390,10,9,185700.0,9,501,N,2,2,2,2
38-00100,67,1,1,0,1,0,2,1,1,N,N,8,10400.0,2,147,N,1,2,2,1
36-04010,35,1,6,4,2,3,8,1,2,770,3,7,40000.0,5,292,N,2,2,2,2
32-00405,15,1,6,1,8,N,N,2,0,N,N,3,0.0,0,N,N,2,2,2,2
51-51255,19,1,6,0,2,1,4,1,1,6970,9,7,4000.0,1,501,N,2,2,2,2
13-04600,78,2,1,0,2,0,2,1,1,N,N,7,11500.0,3,455,N,2,2,2,2
38-00100,81,1,4,0,1,0,N,1,2,N,N,6,27020.0,4,190,N,2,2,2,2
40-00200,40,1,6,0,1,0,N,1,1,N,N,4,0.0,0,0,N,2,2,2,2
51-51255,7,1,N,0,1,2,3,1,2,N,N,3,N,N,354,N,2,2,2,2
38-00100,45,1,6,0,1,1,2,1,1,3570,4,5,80000.0,8,439,N,2,2,2,2
51-51255,4,1,N,0,9,2,4,1,2,N,N,1,N,N,97,N,N,N,2,2
38-00100,39,1,6,1,1,5,8,1,2,770,3,5,80000.0,8,219,N,2,2,2,2
51-01301,59,2,6,0,1,0,N,1,1,7380,10,9,55000.0,6,414,N,2,2,2,2
17-03531,64,1,6,0,2,0,N,1,2,9920,18,7,12690.0,2,96,N,2,1,2,2
19-01700,47,1,6,0,1,0,3,1,1,3980,4,5,34000.0,5,501,N,2,2,2,2
08-00803,76,2,6,0,1,0,N,1,2,6770,8,10,37000.0,5,307,N,2,2,2,2
38-00100,73,2,1,0,1,0,4,1,1,4890,6,4,33000.0,5,382,N,2,2,2,2
06-07502,37,1,6,0,1,0,N,1,2,3980,4,10,90000.0,8,501,N,2,2,2,2
13-04600,34,1,6,0,2,0,N,1,1,2370,4,8,34000.0,5,253,N,2,2,2,2
06-07502,52,2,1,0,6,0,5,1,2,8590,14,5,28800.0,5,134,N,2,2,2,2
36-03710,40,2,6,2,2,1,2,1,2,7590,10,7,32000.0,5,201,N,2,2,2,2
32-00405,55,2,4,0,2,0,2,1,2,N,N,4,3100.0,1,126,N,2,2,2,2
19-01700,27,2,6,0,1,0,N,1,2,7290,10,12,11200.0,2,82,N,2,2,2,2
17-03529,89,2,3,0,2,0,N,1,1,N,N,5,23400.0,4,193,N,2,2,2,2
17-03529,66,2,1,0,2,0,5,1,1,8770,15,8,42000.0,6,422,N,2,2,2,2
40-00200,42,2,1,0,1,1,4,1,1,N,N,5,0.0,0,110,N,2,2,2,2
19-01700,64,1,1,0,1,0,2,1,1,770,3,6,45500.0,7,409,N,2,2,2,2
24-01004,56,2,6,0,1,0,N,1,2,7390,10,10,140000.0,9,501,5,2,2,2,2
06-08507,45,2,1,0,6,1,4,1,2,N,N,10,0.0,0,501,N,2,2,2,2
40-00200,77,2,3,0,1,0,N,1,1,N,N,3,23000.0,5,190,N,1,1,2,2
13-04600,81,2,1,0,2,0,2,1,1,N,N,9,29700.0,5,378,N,2,2,2,2
17-03529,29,1,6,0,2,3,4,1,2,8680,14,4,29000.0,4,46,N,2,2,2,2
08-00803,55,2,5,0,1,1,2,1,1,7870,11,10,97000.0,8,501,N,2,2,2,2
30-00600,20,2,6,0,1,0,3,1,1,8191,12,7,7000.0,2,484,N,2,2,2,2
24-01004,49,2,1,0,6,2,4,1,1,6670,8,9,150000.0,9,501,N,2,2,2,2
08-00803,16,1,6,0,1,1,3,1,1,8680,14,4,800.0,1,501,N,2,2,2,2
28-01100,76,2,4,0,1,0,N,1,1,9160,15,10,78400.0,9,501,N,2,2,2,2
24-01004,15,1,6,0,1,4,6,1,1,N,N,4,0.0,0,501,N,2,2,2,2
36-03710,42,1,6,4,1,N,N,2,0,N,N,3,9000.0,2,N,N,2,2,2,2
06-07502,52,1,4,0,1,0,N,1,1,7270,10,11,571000.0,9,501,N,2,2,2,2
17-03529,65,1,6,0,2,0,N,1,2,7580,10,5,40000.0,6,326,N,2,2,2,2
17-03531,65,1,1,0,2,0,2,1,1,N,N,4,10940.0,2,346,N,2,2,2,2
17-03529,55,1,4,0,2,0,N,1,2,7590,10,7,0.0,0,0,N,1,2,2,2
38-00100,63,1,1,0,1,0,2,1,2,N,N,9,100000.0,9,501,N,2,2,2,2
01-01301,58,1,6,0,2,0,N,1,2,N,N,4,0.0,0,0,N,2,2,1,2
19-01700,43,1,6,0,1,N,N,3,0,N,N,6,9500.0,2,80,N,1,2,2,2
38-00100,65,2,3,0,1,0,N,1,1,6180,7,7,80000.0,8,501,N,2,2,2,2
38-00100,48,2,6,0,1,1,2,1,1,N,N,5,8400.0,2,51,N,2,1,2,2
06-08507,65,2,1,0,6,0,2,1,1,6770,8,10,255000.0,9,501,N,2,2,2,2
06-07502,28,1,6,0,6,0,N,1,2,7280,10,9,80000.0,8,501,N,2,2,2,2
51-01301,9,2,N,0,1,2,4,1,1,N,N,3,N,N,501,N,2,2,2,2
29-01901,43,2,6,0,2,0,N,1,1,4990,6,7,20000.0,4,152,N,2,2,2,2
24-01004,70,2,1,0,1,0,2,1,1,N,N,7,4600.0,1,501,N,2,2,2,2
19-01700,64,1,1,0,1,0,2,1,1,2680,4,1,43700.0,6,346,N,2,2,2,1
51-51255,54,1,1,0,1,0,3,1,1,7390,10,9,150000.0,9,501,N,2,2,2,2
32-00405,42,2,4,1,8,0,3,1,2,8570,14,4,47000.0,7,387,N,2,2,2,2
32-00405,58,2,4,0,1,0,2,1,1,N,N,5,0.0,0,282,N,1,1,2,2
40-00200,60,1,1,0,1,0,2,1,1,2570,4,5,53000.0,8,439,N,2,2,2,2
24-01004,2,1,N,0,6,2,5,1,1,N,N,N,N,N,501,N,N,N,2,2
13-04600,66,2,3,0,2,0,N,1,1,9570,16,9,79100.0,8,501,N,2,2,2,2
38-00100,37,1,1,0,1,2,4,1,1,2880,4,5,55000.0,7,501,N,2,2,2,2
30-00600,75,1,1,0,1,0,2,1,1,N,N,5,30100.0,5,282,N,2,2,2,2
13-04600,5,1,N,0,1,3,5,1,1,N,N,1,N,N,198,N,2,1,2,2
24-01004,25,2,6,0,1,0,2,1,2,5170,6,9,60600.0,6,465,N,2,2,2,2
40-00200,16,2,6,1,9,1,3,1,2,N,N,4,0.0,0,307,N,2,2,2,2
32-00405,9,1,N,1,8,3,10,1,2,N,N,3,N,N,110,N,2,2,2,2
28-01100,4,1,N,0,2,2,5,1,1,N,N,2,N,N,501,N,N,N,2,2
30-00600,42,2,1,0,1,1,3,1,1,570,2,10,30000.0,5,501,N,2,2,2,2
36-04010,49,1,1,0,2,4,5,1,1,7890,11,12,76000.0,8,422,N,2,2,2,2
06-08507,2,2,N,0,9,1,3,1,1,N,N,N,N,N,501,N,N,N,2,2
38-00100,45,2,1,0,1,1,5,1,1,7860,11,3,35000.0,5,348,N,2,2,2,2
24-01004,42,2,1,4,1,3,5,1,1,9170,15,9,35000.0,4,501,N,2,2,2,2
38-00100,12,2,N,0,1,0,5,1,1,N,N,3,N,N,501,N,2,2,2,2
06-08507,94,1,1,0,6,0,2,1,2,N,N,12,168600.0,9,501,N,2,2,2,1
38-00100,1,2,N,0,1,2,4,1,2,N,N,N,N,N,370,N,N,N,2,2
51-01301,20,1,6,0,1,0,N,1,2,8680,14,7,8000.0,2,53,N,2,1,2,2
36-03710,22,1,6,2,8,3,5,1,2,4980,6,5,36000.0,5,42,N,2,2,2,2
51-01301,64,1,1,0,1,0,2,1,1,N,N,11,106000.0,8,501,N,2,2,2,2
24-01004,12,1,N,4,1,2,8,1,1,N,N,3,N,N,501,N,2,2,2,2
06-07502,27,2,6,0,1,0,N,1,2,5170,6,9,118000.0,8,501,N,2,2,2,2
38-00100,9,2,N,0,1,2,4,1,1,N,N,3,N,N,259,N,2,2,2,2
36-04010,32,1,6,0,2,0,N,1,2,770,3,7,82000.0,8,501,N,2,2,2,2
32-00405,11,1,N,1,8,0,4,1,1,N,N,3,N,N,90,N,2,2,2,2
51-01301,15,1,6,0,1,3,4,1,1,N,N,4,0.0,0,501,N,2,2,2,2
26-02702,37,1,6,0,1,0,N,1,1,7870,11,10,119000.0,9,501,N,2,2,2,2
40-00200,33,2,6,0,9,0,3,1,1,9920,18,7,7000.0,2,364,N,2,2,2,2
17-03529,26,2,6,0,2,0,5,1,2,8470,13,5,0.0,0,501,N,2,2,2,2
51-01301,4,2,N,0,2,3,5,1,1,N,N,2,N,N,501,N,N,N,2,2
08-00803,48,1,1,0,1,1,3,1,1,7071,9,11,420000.0,9,501,N,2,2,2,2
38-00100,54,1,2,0,5,0,N,1,2,3490,4,7,20000.0,3,191,N,2,2,2,2
19-01700,7,1,N,0,9,2,3,1,1,N,N,3,N,N,349,N,2,2,2,2
17-03529,58,1,6,0,1,0,N,1,2,N,N,9,30000.0,5,247,N,2,1,2,2
36-04010,77,1,4,0,2,0,N,1,1,N,N,7,26920.0,4,222,N,2,2,2,2
30-00600,9,2,N,0,1,3,5,1,1,N,N,3,N,N,501,N,2,2,2,2
30-00600,11,2,N,0,1,4,6,1,2,N,N,3,N,N,410,N,2,2,2,2
08-00803,67,2,4,0,1,0,N,1,1,7870,11,12,65800.0,7,498,N,2,2,2,2
28-01100,26,1,6,0,1,0,N,1,2,8680,14,6,17500.0,4,133,N,2,2,2,2
13-04600,68,1,1,0,2,0,5,1,1,N,N,4,750.0,1,262,N,2,1,2,2
40-00200,46,1,6,0,1,0,N,1,1,N,N,5,0.0,0,0,N,2,1,2,2
28-01100,21,2,6,0,2,1,7,1,1,N,N,5,3000.0,1,207,N,2,2,2,2
36-04010,32,2,6,0,2,0,2,1,2,7580,10,7,15900.0,3,178,N,2,2,2,2
32-00405,77,2,1,0,2,0,2,1,1,N,N,1,9600.0,2,116,N,2,2,2,2
36-03710,51,2,4,4,8,0,N,1,2,N,N,3,0.0,0,0,N,2,2,2,2
28-01100,62,2,1,0,1,0,2,1,1,7072,9,9,144600.0,9,501,N,2,2,2,2
26-02702,24,2,6,0,1,0,N,1,2,9170,15,8,74500.0,8,501,N,2,2,2,2
28-01100,52,2,1,0,2,0,2,1,2,8170,12,7,15000.0,4,312,N,2,2,2,2
24-01004,12,2,N,0,2,3,5,1,1,N,N,3,N,N,N,N,2,2,2,2
32-00405,35,2,6,0,1,N,N,2,0,8680,14,4,54000.0,7,N,N,1,2,2,2
08-00803,56,2,4,0,1,N,N,2,0,N,N,6,8600.0,2,N,N,2,1,2,2
08-00803,33,1,1,0,1,0,2,1,2,7580,10,12,148500.0,9,501,N,2,2,2,2
08-00803,35,1,6,0,1,0,N,1,1,7380,10,9,115000.0,9,501,N,2,2,2,2
30-00600,42,1,1,0,1,1,3,1,1,N,N,5,10.0,0,298,N,2,2,2,2
38-00100,23,2,1,0,1,0,2,1,1,7860,11,9,10000.0,2,501,N,2,2,2,2
36-04010,62,1,4,0,2,0,N,1,1,6190,7,7,100000.0,8,501,N,2,2,2,2
24-01004,85,1,1,0,1,0,2,1,1,N,N,8,0.0,0,501,N,1,2,2,2
17-03529,34,1,1,0,1,1,3,1,1,7870,11,9,30000.0,5,379,N,2,2,2,2
01-01301,55,1,1,0,2,0,2,1,1,770,3,6,35000.0,6,230,N,2,2,2,2
24-01004,67,1,1,0,6,0,2,1,1,9470,16,11,432000.0,9,501,N,2,2,2,2
38-00100,80,1,1,0,1,0,2,1,1,N,N,5,43300.0,6,286,N,1,1,2,1
08-00803,23,2,1,0,1,1,4,1,1,7860,11,7,6000.0,1,230,N,2,2,2,2
30-00600,54,1,1,0,1,0,2,1,1,7380,10,9,159000.0,9,501,N,2,2,2,2
51-51255,28,1,1,0,9,0,2,1,2,7380,10,10,121000.0,8,501,N,2,2,2,2
17-03529,34,2,5,0,2,0,N,1,1,9090,15,7,6000.0,1,49,N,2,2,1,2
06-08507,51,1,2,1,8,0,N,1,2,8680,14,6,223200.0,9,501,N,2,2,2,2
30-00600,39,1,1,0,1,4,6,1,1,3080,4,8,59200.0,8,214,N,2,2,2,2
51-51255,24,2,2,0,1,0,4,1,2,N,N,9,0.0,0,136,N,2,2,2,2
51-01301,62,1,1,0,1,0,4,1,1,7590,10,10,100000.0,8,501,N,2,2,2,2
38-00100,0,1,N,0,1,1,3,1,1,N,N,N,N,N,501,N,N,N,2,2
01-01301,30,2,6,0,2,1,3,1,1,8470,13,9,9650.0,2,219,N,2,2,2,2
13-04600,54,1,4,0,2,N,N,2,0,8680,14,8,30000.0,5,N,N,2,2,2,2
17-03529,14,1,N,0,2,2,3,1,2,N,N,3,N,N,147,N,2,2,2,2
06-08507,42,2,4,0,1,0,4,1,1,6680,8,9,770.0,1,454,N,2,2,2,2
29-01901,33,1,6,0,1,0,N,1,1,6991,9,9,80000.0,8,501,N,2,2,2,2
17-03529,43,1,1,0,2,2,4,1,1,8191,12,9,30000.0,5,182,N,2,2,2,2
30-00600,46,1,1,0,1,0,2,1,1,4670,6,9,92000.0,9,501,N,2,2,2,2
08-00803,16,1,6,0,1,2,3,1,1,N,N,4,0.0,0,338,N,2,2,2,2
06-08507,9,1,N,0,1,3,4,1,1,N,N,3,N,N,231,N,2,2,2,2
24-01004,75,1,1,0,1,0,3,1,1,7970,12,12,256490.0,9,501,N,2,2,2,1
36-04010,5,2,N,0,2,2,4,1,2,N,N,2,N,N,270,N,2,2,2,2
24-01004,36,1,1,0,1,4,6,1,1,7270,10,11,245500.0,9,501,N,2,2,2,2
30-00600,75,1,5,0,1,0,5,1,1,170,0,5,78000.0,8,324,5,2,2,2,2
