SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT,target
2,1,1,1,1,5,0,48-02102,15,7229
2,6,1,1,0,9,0,48-02101,N,7307
2,6,1,1,9,3,0,48-02507,N,8620
2,3,1,1,5,5,0,48-02510,N,7172
2,1,1,2,0,9,0,48-02510,9,7200
1,6,1,2,1,6,0,48-02515,2,7145
1,1,1,2,2,1,0,48-02102,10,5219
1,1,1,1,5,7,0,48-02101,4,839
2,1,1,2,8,7,0,48-02101,5,5873
1,6,1,2,N,4,0,48-02102,N,8668
2,4,1,1,N,5,0,48-02516,N,3839
1,1,1,2,0,4,0,48-02510,10,3820
2,1,1,1,6,6,0,48-02102,8,4651
1,1,1,1,7,5,0,48-02516,6,5228
2,1,1,1,3,9,0,48-02507,N,2025
1,1,1,1,3,10,0,48-02515,10,5655
2,1,1,1,8,7,0,48-02510,11,3786
1,1,1,2,9,1,0,48-02510,15,629
1,6,1,1,4,7,0,48-02507,11,5001
1,1,1,1,8,9,0,48-02507,6,7488
1,6,1,1,9,6,1,48-02102,9,8564
2,2,1,1,6,9,0,48-02510,14,868
1,1,1,1,8,7,0,48-02101,14,4804
1,6,1,1,6,7,0,48-02101,10,681
2,1,1,1,6,7,0,48-02510,N,3598
2,N,1,1,5,1,0,48-02101,9,3552
2,1,6,1,0,4,0,48-02102,6,7345
2,N,1,2,9,9,1,48-02102,N,8736
2,1,2,1,7,6,0,48-02510,6,3406
1,6,1,1,2,5,0,48-02102,9,2203
2,N,1,1,9,7,0,48-02102,3,8439
2,6,1,1,8,8,0,48-02516,15,644
2,2,1,1,6,4,0,48-02101,N,715
1,6,1,1,6,10,0,48-02507,11,5787
1,1,1,1,4,4,0,48-02102,9,3828
1,6,1,1,8,7,0,48-02516,11,571
1,6,1,1,1,9,0,48-02515,10,990
1,1,1,2,6,9,0,48-02510,N,1748
1,1,1,1,6,4,0,48-02515,5,6527
2,1,1,1,8,7,0,48-02510,14,7686
2,1,1,1,0,9,0,48-02510,11,5534
1,4,1,1,0,4,0,48-02515,4,663
1,N,1,2,9,9,0,48-02102,N,8614
2,3,1,1,0,5,0,48-02510,3,7289
1,6,1,1,4,7,0,48-02515,10,5532
2,1,1,2,0,3,0,48-02101,4,7676
1,N,1,1,N,9,0,48-02515,9,7580
1,1,1,1,7,10,1,48-02102,9,7131
1,3,6,1,2,9,0,48-02510,6,1701
2,1,1,1,6,5,0,48-02516,10,4709
1,6,2,2,0,8,0,48-02507,N,3749
1,1,1,2,0,1,0,48-02102,N,1665
1,6,1,2,3,5,1,48-02507,6,5522
2,1,1,2,8,4,0,48-02510,11,2215
1,6,1,1,4,4,1,48-02507,14,5319
1,N,1,2,N,1,0,48-02510,9,8842
2,N,1,1,N,4,0,48-02102,9,3323
1,4,1,1,8,7,0,48-02101,8,559
1,1,1,1,6,6,0,48-02510,3,4753
1,1,2,1,1,6,0,48-02102,N,7356
1,1,1,1,N,3,0,48-02516,9,6442
2,1,1,1,1,4,0,48-02510,6,1837
1,N,1,1,0,3,0,48-02515,9,2788
2,1,1,1,1,9,0,48-02510,6,5602
2,N,1,1,N,3,0,48-02507,9,8367
1,1,1,1,8,4,0,48-02515,11,666
2,1,2,2,5,9,0,48-02101,11,5463
2,1,1,1,0,5,0,48-02515,8,7597
1,1,1,1,3,9,0,48-02516,9,7004
1,1,8,1,4,1,1,48-02102,11,5429
1,1,1,1,3,9,0,48-02102,2,7263
1,1,1,1,8,7,0,48-02102,15,1831
2,1,1,1,3,6,0,48-02507,N,701
2,1,1,1,0,7,0,48-02507,N,1693
2,1,1,2,7,5,0,48-02510,11,4537
2,1,1,1,5,7,0,48-02510,3,7262
1,6,1,2,1,7,0,48-02515,6,6881
2,1,6,1,9,9,0,48-02516,6,3812
2,4,1,1,1,3,0,48-02101,N,651
1,N,1,1,N,3,0,48-02102,9,7549
2,1,1,1,6,6,0,48-02510,6,1657
1,1,1,1,6,4,0,48-02510,4,3545
1,6,1,1,4,6,0,48-02516,14,4778
2,1,1,1,9,3,1,48-02510,8,8696
1,1,1,1,9,9,1,48-02516,11,4110
1,1,1,1,5,7,0,48-02101,10,2555
2,1,1,1,4,1,0,48-02102,6,1652
1,1,1,2,7,8,1,48-02102,9,734
2,6,1,1,2,1,0,48-02102,10,5476
2,1,1,1,5,3,0,48-02102,6,1886
1,1,1,1,6,4,0,48-02102,9,5796
1,1,1,1,8,5,0,48-02510,4,6394
1,6,1,2,4,1,0,48-02515,10,8630
1,1,1,1,7,9,0,48-02101,9,1665
2,6,1,1,0,3,0,48-02101,3,1880
1,1,1,1,1,10,1,48-02102,11,1958
1,6,1,1,0,4,0,48-02102,14,7135
1,4,2,1,3,9,0,48-02515,9,8568
2,1,1,1,7,10,0,48-02507,14,5648
2,1,2,1,1,1,0,48-02507,10,8412
2,1,1,1,8,9,0,48-02101,14,7461
1,1,6,1,4,9,0,48-02510,6,671
2,1,1,1,5,8,0,48-02507,N,2842
1,6,1,1,4,5,0,48-02515,11,2043
2,6,1,1,0,4,0,48-02510,9,2245
2,1,1,1,6,8,0,48-02101,11,7195
1,1,1,1,9,9,0,48-02102,N,7002
1,1,1,1,8,8,0,48-02101,3,1657
2,6,1,1,1,4,0,48-02507,N,692
2,1,1,1,1,5,0,48-02101,8,7429
2,1,1,1,4,9,0,48-02507,N,2169
2,1,1,1,7,7,0,48-02101,10,483
1,1,2,1,7,9,0,48-02507,15,6928
2,4,1,1,7,5,0,48-02516,11,611
2,N,1,1,N,3,0,48-02101,N,8519
1,1,1,1,8,4,0,48-02101,11,4781
1,N,1,1,N,3,0,48-02510,9,8685
2,1,2,1,0,5,0,48-02102,9,857
2,1,1,1,8,9,0,48-02515,11,4901
1,6,1,1,9,8,0,48-02515,8,755
1,3,1,1,6,8,0,48-02101,10,7535
2,N,2,1,6,7,0,48-02102,N,4506
1,1,1,1,6,5,0,48-02102,3,7259
1,N,1,2,N,10,0,48-02516,N,8915
1,6,2,1,0,9,0,48-02515,N,3823
1,N,1,1,N,10,0,48-02510,N,2696
1,N,2,1,9,3,0,48-02101,N,2542
2,3,1,1,7,5,0,48-02101,N,5004
2,4,1,1,3,3,0,48-02102,N,4030
1,1,1,2,7,9,0,48-02510,10,5390
2,1,1,2,3,9,0,48-02516,N,5507
1,1,1,1,3,9,1,48-02510,3,1919
2,N,1,1,9,9,0,48-02516,N,8837
2,N,2,1,N,9,0,48-02507,N,8676
1,4,2,2,0,5,0,48-02515,15,459
2,1,1,1,0,9,0,48-02515,9,5473
1,3,1,2,0,5,1,48-02102,N,3108
2,N,9,2,6,2,0,48-02102,N,7578
1,1,1,1,7,1,0,48-02515,9,2667
1,6,1,2,3,6,0,48-02102,10,7182
2,1,1,1,7,1,0,48-02101,10,3385
2,6,1,1,0,5,0,48-02516,9,5954
1,4,1,0,1,6,0,48-02101,8,628
1,N,1,1,9,3,0,48-02101,N,8955
1,6,1,1,4,3,0,48-02510,9,1573
2,1,1,1,5,7,0,48-02510,N,1764
1,1,2,1,9,8,0,48-02101,4,3946
2,4,1,1,7,5,0,48-02102,11,6893
2,6,1,0,0,7,0,48-02507,6,453
2,1,1,1,2,9,0,48-02101,N,3108
2,3,1,1,0,5,0,48-02515,9,3381
1,1,1,1,4,4,0,48-02101,2,4452
2,1,1,1,3,6,0,48-02101,11,4255
1,1,1,2,3,9,0,48-02101,N,6397
2,1,1,1,6,5,0,48-02102,8,5417
2,1,1,1,0,4,0,48-02507,11,3926
1,N,1,2,9,9,0,48-02102,4,8377
1,1,1,1,9,7,0,48-02102,9,7090
1,1,1,2,1,5,0,48-02516,N,5601
2,3,1,1,6,9,0,48-02507,N,7558
1,1,1,1,6,7,1,48-02101,5,8629
1,1,1,1,7,1,0,48-02101,10,4180
1,1,1,2,6,4,0,48-02101,8,2178
1,1,1,1,9,3,1,48-02507,4,6482
2,1,2,1,1,6,0,48-02510,N,701
2,1,1,2,0,9,1,48-02510,10,7125
2,6,1,1,N,1,0,48-02102,14,5652
1,1,1,1,6,5,0,48-02515,6,5519
2,6,1,1,1,5,0,48-02102,14,796
2,6,1,2,9,6,0,48-02510,N,5740
1,1,1,1,9,7,0,48-02515,2,818
2,1,1,1,7,9,0,48-02102,6,3173
1,1,9,1,1,7,0,48-02510,15,701
2,N,1,1,N,3,0,48-02510,9,7860
2,1,1,1,6,3,2,48-02510,4,4748
2,1,2,1,6,3,0,48-02102,9,3084
2,1,1,2,8,9,1,48-02515,11,5758
2,N,1,1,9,7,0,48-02101,9,8755
2,1,1,1,4,2,0,48-02507,5,1716
1,N,1,1,N,10,0,48-02515,N,7381
1,1,1,1,6,6,0,48-02516,11,476
2,1,1,1,7,1,0,48-02101,10,917
2,1,1,1,9,3,0,48-02516,N,5696
2,4,1,1,6,5,0,48-02507,9,4098
1,N,1,1,9,12,0,48-02516,5,8655
2,1,1,1,7,5,0,48-02510,10,7325
2,4,1,2,2,8,1,48-02516,5,2151
2,4,1,1,6,7,0,48-02510,11,7332
2,4,1,1,1,9,1,48-02516,10,1747
1,N,1,1,0,4,0,48-02510,N,5794
1,1,1,1,7,9,0,48-02101,N,2713
1,3,2,1,3,4,0,48-02507,N,2749
2,4,2,1,6,12,0,48-02101,9,7495
2,1,1,1,8,4,0,48-02102,10,5904
2,N,1,2,9,2,1,48-02516,N,8838
1,1,1,1,8,10,0,48-02101,11,7255
1,6,2,2,9,6,0,48-02510,6,4743
1,1,1,1,5,6,0,48-02102,9,3607
2,1,1,1,0,7,1,48-02510,9,7270
2,6,1,1,8,4,0,48-02507,9,1726
2,1,1,1,4,4,0,48-02101,2,868
1,1,1,1,7,9,0,48-02101,4,7108
1,1,1,1,1,9,0,48-02101,4,5687
1,6,6,1,6,9,0,48-02516,11,3616
2,4,8,1,1,7,1,48-02515,N,863
2,N,1,1,N,3,0,48-02101,N,8692
2,1,1,1,0,8,1,48-02516,8,600
2,1,1,1,6,4,0,48-02101,10,7411
2,1,1,1,8,9,0,48-02102,N,5149
1,1,1,2,6,4,0,48-02507,13,7043
1,1,1,1,9,6,0,48-02102,6,8481
1,6,2,2,5,3,0,48-02515,N,5417
2,3,1,1,0,6,0,48-02101,14,7397
1,6,1,1,5,9,0,48-02102,14,1685
1,1,1,1,9,1,0,48-02510,15,4115
1,1,1,1,5,8,0,48-02516,11,694
1,1,1,1,8,4,0,48-02507,6,5542
2,1,1,1,1,1,0,48-02101,N,2000
1,1,2,2,7,9,0,48-02101,N,595
2,1,1,1,5,9,0,48-02510,11,831
2,N,1,1,0,2,0,48-02516,N,2001
1,1,1,1,1,12,0,48-02102,11,2977
1,3,1,0,1,3,0,48-02101,N,361
1,1,8,1,9,4,1,48-02101,N,3645
1,6,1,1,8,1,0,48-02515,5,5707
1,1,1,1,8,7,0,48-02516,6,3252
1,1,1,1,1,9,0,48-02102,N,3963
2,6,1,1,6,5,0,48-02101,11,1961
2,6,1,2,6,3,0,48-02507,10,5351
1,1,1,1,1,4,0,48-02510,N,6585
2,1,1,1,0,2,4,48-02101,2,1698
1,4,1,1,N,12,0,48-02515,14,8669
2,1,1,1,6,4,0,48-02510,10,1932
2,6,1,1,7,5,0,48-02515,14,718
2,1,2,1,7,5,0,48-02507,10,7557
2,N,1,2,9,4,0,48-02516,9,8738
1,1,1,1,1,6,0,48-02515,8,3141
2,N,1,1,9,3,4,48-02516,9,8838
2,1,1,2,3,3,1,48-02515,N,5435
2,1,2,2,8,8,0,48-02515,15,631
1,N,1,1,N,1,0,48-02515,14,8638
2,1,1,1,0,8,0,48-02516,9,1919
1,1,1,1,9,4,0,48-02102,6,1860
1,6,1,1,7,9,0,48-02102,9,572
1,N,1,1,N,7,0,48-02102,N,5045
2,1,1,1,0,7,0,48-02102,N,3197
2,N,1,1,9,9,0,48-02102,N,4694
