PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
48-02102,65,1,1,0,1,0,5,1,1,450.9,3070,6,8,8400.0,8,317,N,2,2,2,2,93,96,5177
48-02102,46,2,1,0,1,1,3,1,1,450.9,9920,N,6,13790.0,1,501,N,1,2,2,2,11,7,7316
48-02507,69,2,3,0,1,0,N,1,2,3092.4,9920,9,7,41700.0,3,221,N,2,1,2,1,45,15,535
48-02102,38,1,1,0,1,3,6,1,1,450.9,4795,6,12,221000.0,N,136,N,2,2,2,2,130,139,5235
48-02515,58,1,1,4,1,2,6,1,1,2134.8,9920,N,2,137920.0,N,52,N,2,2,2,2,46,48,5598
48-02101,58,2,1,0,1,3,5,1,1,357.4,7780,9,9,85700.0,3,397,N,2,2,2,2,84,95,5340
48-02102,41,1,4,0,1,3,3,1,2,1338.4,9920,N,4,99060.0,1,95,N,2,2,2,2,191,143,6456
48-02510,49,1,1,0,1,0,4,1,1,357.4,9920,N,5,-1300.0,0,501,N,1,2,2,2,90,98,5836
48-02510,38,2,1,0,1,1,3,1,1,3092.4,7880,11,3,-1300.0,3,501,N,2,2,2,2,49,107,7733
48-02102,39,1,1,0,1,2,4,1,1,3092.4,6991,8,1,22500.0,6,464,N,2,2,2,2,82,48,7416
48-02102,73,1,3,0,1,0,4,1,1,450.9,9920,N,3,230000.0,4,211,N,2,2,2,2,47,86,6258
48-02507,57,1,6,0,2,0,5,1,1,3731.1,9920,N,9,100000.0,9,221,N,1,1,2,2,90,186,6459
48-02516,18,1,6,0,1,2,4,1,1,3731.1,N,N,4,100.0,0,315,N,2,2,2,2,50,54,380
48-02101,28,2,1,0,1,3,7,1,1,357.4,9920,N,4,99300.0,0,4,N,2,2,2,2,130,91,8465
48-02515,36,2,1,0,1,0,3,1,1,2134.8,3080,4,8,79200.0,8,501,N,2,2,2,2,76,82,6184
48-02516,5,1,N,0,1,0,6,1,1,450.9,9920,N,7,98510.0,1,343,N,2,2,2,2,131,137,8470
48-02510,40,1,6,0,1,2,4,1,2,3092.4,7860,3,8,10300.0,9,500,N,2,2,2,2,89,129,5529
48-02507,31,2,1,0,6,3,5,1,1,3731.1,9920,9,9,10070.0,0,13,N,2,2,2,2,87,90,5587
48-02101,5,1,N,0,1,2,4,1,1,357.4,9920,9,1,N,N,52,N,2,2,2,2,50,56,8742
48-02102,28,2,4,0,1,1,4,1,1,2134.8,3180,11,9,39100.0,5,501,N,2,2,2,2,14,13,722
48-02102,38,2,1,0,8,0,2,1,1,450.9,8660,9,9,10100.0,0,52,N,2,2,2,2,49,57,1790
48-02515,26,1,1,0,1,0,3,1,1,3092.4,8590,N,5,59420.0,4,501,N,2,2,2,2,84,87,575
48-02101,37,2,5,0,1,0,4,1,1,1338.4,6991,11,1,58430.0,6,385,N,2,2,2,2,52,58,792
48-02510,58,1,1,0,1,0,2,1,1,3092.4,770,6,8,34020.0,7,56,N,2,2,2,2,50,58,3968
48-02102,60,1,6,0,1,0,N,1,2,450.9,9920,6,7,103100.0,1,93,N,2,2,2,2,42,49,2213
48-02515,39,1,1,1,6,1,3,1,1,2134.8,9920,N,1,9900.0,N,501,N,N,1,2,2,51,42,7232
48-02101,6,1,N,0,1,3,5,1,1,357.4,N,N,3,79700.0,9,132,N,2,2,2,2,79,90,3897
48-02102,4,1,N,0,1,3,5,1,1,450.9,9920,9,2,N,N,407,N,2,N,2,2,87,52,7602
48-02101,64,1,1,0,1,4,2,1,1,357.4,9290,14,6,139600.0,6,230,N,2,2,2,2,138,58,3976
48-02516,47,2,1,0,1,0,3,1,1,1338.4,6080,6,5,37200.0,5,501,N,2,2,2,2,92,82,5505
48-02101,42,1,1,0,1,0,4,1,1,357.4,6992,9,4,84200.0,9,501,N,2,2,2,2,83,19,6544
48-02510,12,1,1,0,9,2,6,1,2,3092.4,8580,13,3,3000.0,4,255,N,2,2,2,2,47,54,4433
48-02510,76,2,1,0,1,0,3,1,1,3092.4,9920,N,9,9900.0,8,501,N,2,1,2,1,38,11,7530
48-02101,48,1,1,0,1,0,4,1,1,357.4,2370,4,8,58130.0,6,400,N,2,2,2,1,88,59,4210
48-02510,71,2,4,0,1,0,2,1,2,3092.4,7870,14,7,58400.0,1,470,N,2,2,2,2,49,54,6962
48-02510,64,1,1,0,1,0,3,1,1,3092.4,7970,11,1,593000.0,1,52,N,2,2,2,2,81,86,7324
48-02510,61,1,1,0,1,0,5,1,1,3092.4,7770,11,9,79480.0,9,501,N,2,2,2,2,90,92,697
48-02102,36,2,1,0,1,0,3,1,1,450.9,8670,10,3,26000.0,3,237,N,2,2,2,2,20,17,4228
48-02101,16,2,6,1,1,0,2,1,1,450.9,9920,N,3,1000.0,3,133,N,2,2,2,2,91,95,2065
48-02101,29,2,1,0,1,3,7,1,1,357.4,7970,3,5,79700.0,6,406,N,2,2,2,2,97,95,3775
48-02510,50,2,4,0,1,0,2,1,1,450.9,N,6,9,100000.0,0,501,N,2,2,2,2,16,19,3759
48-02510,29,1,1,0,1,0,4,1,1,3092.4,3180,3,7,6120.0,7,52,N,2,2,2,2,52,60,2140
48-02516,72,2,3,0,2,0,2,1,2,2134.8,9920,N,7,N,1,500,N,2,1,2,2,137,135,5481
48-02101,5,1,N,0,2,2,2,1,2,450.9,9920,3,3,37600.0,7,232,N,2,2,2,2,278,384,5827
48-02101,63,2,5,0,2,0,N,1,2,1338.4,N,14,1,-2100.0,3,133,N,2,2,2,2,78,84,3605
48-02515,58,2,4,0,1,0,N,1,2,2134.8,9920,N,5,57800.0,7,14,N,2,2,2,2,81,44,3719
48-02102,41,1,1,0,1,2,3,1,1,450.9,7870,10,7,41660.0,5,402,N,2,2,2,2,91,56,1969
48-02101,79,2,3,0,1,0,N,1,1,3092.4,9920,N,7,13790.0,3,122,N,2,2,2,2,47,44,4762
48-02516,48,2,3,0,1,0,N,1,1,1338.4,5170,6,7,13300.0,4,5,N,2,2,2,2,18,14,5617
48-02516,72,2,3,0,1,0,6,1,1,1338.4,9920,10,4,215000.0,3,229,N,2,2,2,2,47,55,573
48-02516,29,2,1,0,1,2,4,1,2,1338.4,7890,10,7,58500.0,6,47,N,2,2,2,2,20,90,3451
48-02510,60,2,1,0,1,0,3,1,1,3092.4,9920,10,7,-2100.0,9,52,N,2,2,2,2,73,76,566
48-02101,5,1,N,0,1,3,5,1,1,357.4,N,N,1,99300.0,9,399,N,2,2,2,2,61,50,9048
48-02101,58,1,1,0,2,1,4,1,1,357.4,9920,N,2,130500.0,0,9,N,2,2,2,2,284,272,8627
48-02102,37,2,1,1,3,0,5,1,1,2134.8,9920,N,6,37500.0,7,52,N,2,2,2,2,85,51,7556
48-02101,73,1,1,0,1,0,2,1,1,357.4,7860,10,1,53100.0,6,52,N,2,2,2,2,78,82,774
48-02510,65,2,4,0,1,0,3,1,1,3092.4,8660,14,7,102100.0,9,501,N,2,2,2,2,47,47,3411
48-02101,27,1,6,0,6,0,3,1,1,3731.1,6070,6,9,13200.0,9,500,N,2,2,2,2,91,89,5560
48-02507,11,1,N,1,1,3,5,1,1,3731.1,9920,9,3,990.0,9,148,N,2,2,2,2,131,51,7912
48-02101,54,1,1,1,1,2,7,1,2,357.4,7860,2,5,20900.0,3,218,N,2,2,2,2,233,324,7712
48-02507,29,2,N,0,1,0,2,1,1,3092.4,9920,N,2,10.0,1,501,N,2,2,2,2,236,19,5552
48-02102,26,2,1,0,1,0,3,1,2,1338.4,9380,15,9,61900.0,7,500,N,2,2,2,2,137,137,5200
48-02101,6,1,N,0,1,5,4,1,1,357.4,N,N,3,N,9,24,N,2,2,2,2,278,145,8657
48-02101,14,2,1,1,1,0,5,1,1,357.4,N,N,3,1000.0,N,52,N,2,2,2,2,137,158,8649
48-02101,55,2,4,1,1,0,2,1,1,357.4,9920,N,5,480.0,1,399,N,2,2,2,2,90,86,2048
48-02510,41,2,1,0,1,1,5,1,1,3092.4,7790,11,9,60350.0,7,501,N,2,2,2,2,52,53,1818
48-02515,63,1,1,0,1,0,2,1,1,357.4,2890,6,7,56700.0,9,52,N,2,2,2,2,89,82,3270
48-02510,66,2,4,0,1,0,6,1,2,3092.4,9920,9,9,144100.0,0,12,N,2,2,2,2,47,51,6327
48-02101,37,2,1,0,1,0,5,1,1,357.4,7072,11,4,99800.0,8,52,N,2,2,2,2,17,92,7454
48-02101,40,2,1,0,1,2,4,1,1,357.4,7080,11,8,840000.0,8,500,N,2,2,2,2,53,52,3852
48-02515,62,1,1,0,1,0,2,1,1,3092.4,7790,2,9,130600.0,8,465,N,2,2,2,2,56,60,1720
48-02101,17,1,N,0,9,2,5,1,2,357.4,9920,N,1,N,9,306,N,2,2,2,2,85,56,7308
48-02101,17,1,6,0,6,0,6,1,1,357.4,9920,14,3,27400.0,1,234,N,2,2,2,2,91,95,3370
48-02516,37,1,1,0,1,3,4,1,1,1338.4,N,N,9,201300.0,6,235,N,2,2,2,2,55,87,5249
48-02515,4,1,N,1,1,0,2,1,1,2134.8,N,N,1,N,9,223,N,N,N,2,2,51,45,7652
48-02507,68,2,6,0,2,0,N,1,2,3731.1,8670,14,1,43600.0,6,22,N,2,2,2,2,51,50,8312
48-02102,71,1,1,0,1,0,2,1,1,3731.1,7080,3,5,54500.0,7,501,N,2,2,2,2,36,39,1983
48-02515,28,2,1,0,1,0,2,1,1,2134.8,9920,N,9,-600.0,0,501,N,2,2,2,2,48,48,3099
48-02515,29,2,6,0,1,2,5,1,2,3731.1,7860,11,9,26500.0,0,347,N,2,2,2,2,46,47,2949
48-02515,74,1,1,0,1,0,2,1,1,1338.4,9920,4,4,8210.0,8,52,N,2,2,2,2,75,14,3886
48-02102,64,2,4,0,1,0,3,1,2,450.9,N,10,5,20730.0,1,214,N,2,2,2,2,50,49,912
48-02507,69,1,1,0,1,0,2,1,1,3731.1,7790,3,9,21000.0,3,332,N,2,2,2,2,157,84,3485
48-02516,46,2,1,0,1,0,3,1,1,450.9,9290,15,7,58010.0,6,53,N,2,2,2,2,45,80,2093
48-02507,57,2,1,0,1,0,2,1,1,3731.1,N,N,5,101200.0,0,233,N,2,2,2,2,159,77,4095
48-02102,6,1,1,0,1,3,6,1,1,2134.8,9920,N,2,N,N,154,N,2,2,2,2,86,99,3944
48-02516,50,2,1,1,1,2,3,1,1,1338.4,6970,10,5,142700.0,3,46,N,2,2,2,2,79,12,4207
48-02507,50,1,6,0,9,0,2,1,2,357.4,9920,9,4,10.0,1,501,N,2,2,2,2,21,19,3945
48-02101,60,2,N,0,6,0,2,1,1,3092.4,9920,9,6,N,1,95,N,2,2,2,2,45,47,7267
48-02101,61,2,N,0,1,0,2,1,1,450.9,N,N,3,146000.0,N,476,N,2,2,2,2,130,19,8802
48-02515,15,1,6,0,1,0,N,1,2,1338.4,8580,14,5,2300.0,1,234,N,2,2,2,2,56,14,3698
48-02101,18,2,6,0,1,0,5,1,1,357.4,9190,14,4,N,4,500,N,2,2,2,2,250,256,5514
48-02507,27,1,6,0,1,0,N,1,2,357.4,3470,5,6,59500.0,7,52,N,2,2,2,2,82,51,643
48-02101,58,2,6,0,1,0,2,1,1,1338.4,7980,11,8,137600.0,3,500,N,2,2,2,2,44,52,5033
48-02102,64,2,1,0,1,0,2,1,1,450.9,9920,N,6,10300.0,9,52,N,2,2,2,2,38,43,2182
48-02102,54,2,4,0,1,0,3,1,1,450.9,5391,6,8,41660.0,4,395,N,2,2,2,2,131,139,687
48-02102,39,2,1,0,1,0,4,1,1,450.9,8070,11,7,39700.0,8,52,N,2,2,2,2,80,87,650
48-02516,32,2,N,0,1,0,N,1,2,1338.4,8590,3,10,62000.0,6,330,N,2,2,2,2,47,147,3947
48-02516,65,1,1,0,2,0,3,1,1,2134.8,9920,N,1,36700.0,6,315,N,2,1,2,2,241,16,570
48-02101,37,1,1,0,1,1,4,1,2,2134.8,5070,N,2,55500.0,N,237,N,1,2,2,2,15,14,6149
48-02507,74,2,1,0,1,0,2,1,1,2134.8,7071,8,4,14800.0,3,52,N,2,1,2,2,43,40,2090
48-02101,58,1,1,0,1,0,3,1,1,357.4,5391,10,9,57500.0,7,501,N,2,2,2,2,67,65,2083
48-02516,38,1,1,0,1,0,6,1,1,1338.4,9180,15,5,27200.0,4,462,N,2,2,2,2,131,138,5383
48-02515,16,1,N,0,1,4,6,1,2,2134.8,N,N,2,99000.0,N,83,N,2,2,2,2,51,54,8723
48-02516,78,1,1,0,1,0,2,1,1,1338.4,9920,N,12,53500.0,8,500,N,2,2,2,2,79,82,651
48-02510,54,1,1,0,1,0,2,1,1,3092.4,6070,6,4,220000.0,7,253,N,2,2,2,2,37,39,5910
48-02101,65,1,1,0,1,0,2,1,1,357.4,9920,N,4,59240.0,1,136,N,2,2,2,2,81,83,3893
48-02102,13,1,6,0,1,1,4,1,1,450.9,8580,6,6,-6300.0,3,501,N,2,2,2,2,87,260,4885
48-02510,64,1,1,1,1,0,3,1,1,1338.4,N,N,6,195000.0,6,328,N,2,2,2,2,51,80,5871
48-02515,6,2,N,1,1,0,6,1,2,2134.8,9920,N,3,N,N,208,N,2,2,2,2,86,47,7519
48-02507,59,1,1,0,1,0,2,1,1,3731.1,9920,N,6,565600.0,0,473,N,2,2,2,2,51,55,7404
48-02507,25,2,6,0,1,0,2,1,2,3731.1,6991,10,9,15220.0,3,52,N,2,2,2,2,78,53,2143
48-02516,12,1,6,0,1,1,4,1,2,357.4,N,4,4,9950.0,6,388,N,2,2,2,2,137,90,7700
48-02101,75,1,1,0,1,0,N,1,1,357.4,9920,9,9,143200.0,9,52,N,2,1,2,2,88,19,856
48-02510,27,2,6,1,1,0,2,1,1,3731.1,5090,6,6,58000.0,7,468,N,2,2,2,2,51,55,1891
48-02507,14,1,6,0,1,1,5,1,1,3731.1,9920,N,4,-6300.0,0,52,N,2,2,2,2,44,54,7257
48-02515,28,2,1,0,1,0,2,1,1,2134.8,2890,10,1,600.0,7,52,N,2,2,2,2,77,83,2915
48-02515,63,1,1,0,1,0,N,1,1,2134.8,6080,14,9,79900.0,8,501,N,2,2,2,2,76,74,545
48-02516,50,2,1,0,1,0,4,1,1,1338.4,7071,9,7,25400.0,1,338,N,2,2,2,2,92,95,3973
48-02101,38,1,1,1,1,2,6,1,1,2134.8,8670,14,3,80000.0,1,500,N,2,2,2,2,53,48,3293
48-02102,45,2,1,0,1,1,3,1,1,450.9,8660,14,9,101700.0,3,463,N,2,2,2,2,54,58,6139
48-02102,37,2,1,0,1,1,3,1,1,450.9,6992,10,8,57600.0,8,500,N,2,2,2,2,19,19,1627
48-02507,26,1,1,0,1,1,3,1,1,3731.1,4990,6,4,10200.0,8,472,N,2,2,2,2,48,47,6879
48-02102,58,1,1,0,1,1,4,1,1,450.9,2970,3,7,58400.0,8,501,N,2,2,2,2,10,13,1951
48-02516,37,2,1,0,1,2,4,1,1,1338.4,9920,6,8,99800.0,5,328,N,2,2,2,2,126,143,5051
48-02102,13,2,2,1,1,0,N,1,2,450.9,8670,14,2,99000.0,1,124,N,2,2,2,2,238,19,1715
48-02102,64,1,6,0,1,0,3,1,1,450.9,N,N,4,100900.0,5,230,N,2,2,2,2,74,83,1949
48-02515,14,2,N,4,1,2,4,1,1,1338.4,N,N,9,98510.0,N,501,N,2,N,2,2,14,15,7379
48-02101,26,2,1,0,1,0,3,1,2,357.4,7880,10,7,42800.0,6,225,N,2,2,2,2,54,61,4716
48-02510,61,1,1,0,6,0,2,1,1,3092.4,6080,6,7,840000.0,9,397,N,2,2,2,2,54,51,4633
48-02507,37,2,1,0,1,2,6,1,2,450.9,9920,9,5,22550.0,4,206,N,2,2,2,1,291,60,7577
48-02101,16,1,6,0,1,0,7,1,1,357.4,9290,14,5,990.0,N,20,N,2,2,2,2,273,48,7578
48-02101,69,1,1,0,1,0,2,1,1,357.4,9920,2,7,215000.0,9,52,N,2,2,2,2,82,91,6539
48-02510,50,1,1,0,1,1,5,1,1,3092.4,N,N,9,100030.0,0,501,N,2,2,2,2,88,93,1614
48-02101,45,2,4,0,9,1,3,1,1,357.4,8690,11,7,53600.0,1,332,N,2,2,2,2,16,14,1805
48-02507,17,2,6,0,1,0,5,1,1,3731.1,8660,6,4,101100.0,3,501,N,2,2,2,2,87,90,3924
48-02102,61,1,1,0,1,0,4,1,1,357.4,N,N,8,3000.0,9,52,N,2,2,2,2,17,18,7515
48-02101,66,1,1,0,1,0,2,1,1,357.4,5090,6,8,557000.0,7,500,N,2,2,2,2,40,45,2103
48-02507,27,1,1,0,1,0,3,1,1,3731.1,7181,10,6,13400.0,8,53,N,2,2,2,2,79,90,1556
48-02510,55,1,1,0,1,1,3,1,1,3092.4,6991,11,8,101500.0,9,52,N,2,2,2,2,45,46,3980
48-02102,62,1,1,0,1,0,2,1,1,357.4,2790,6,4,79520.0,8,500,N,2,2,2,1,49,50,6750
48-02102,69,1,1,0,1,0,2,1,1,450.9,3070,6,6,370.0,6,52,N,2,2,2,2,37,40,4386
48-02102,50,1,1,0,1,3,5,1,1,450.9,9920,N,5,N,0,231,N,2,2,2,2,17,21,6255
48-02507,73,2,1,0,1,0,2,1,1,3731.1,9920,N,4,39200.0,9,500,N,2,2,2,2,80,47,3940
48-02507,16,2,N,0,1,4,6,1,1,3731.1,N,N,2,99800.0,N,261,N,2,2,2,2,91,24,8543
48-02507,62,1,5,0,1,0,2,1,1,3731.1,9160,14,4,54400.0,1,13,N,1,2,2,2,96,55,7003
48-02510,77,2,1,0,1,0,2,1,1,3092.4,9920,N,10,6120.0,9,53,N,2,2,2,2,21,221,6611
48-02510,29,1,1,0,1,0,2,1,1,3731.1,8090,11,9,126200.0,8,52,N,2,2,2,2,84,86,1617
48-02102,13,1,N,1,1,6,7,1,2,2134.8,9920,9,3,N,N,207,N,2,2,2,2,382,404,8708
48-02101,64,2,4,1,1,1,N,1,2,2134.8,9920,N,2,9950.0,1,123,N,2,2,2,2,86,108,3741
48-02510,5,2,N,0,1,3,5,1,1,3092.4,N,9,2,N,N,319,N,2,2,2,2,97,103,8564
48-02102,70,1,1,0,1,0,3,1,1,3092.4,3095,4,7,79700.0,8,501,N,2,2,2,1,77,86,725
48-02507,28,2,1,0,1,1,7,1,1,3731.1,N,N,9,-6300.0,0,151,N,2,2,2,2,97,92,5369
48-02507,67,1,6,0,6,0,3,1,1,3731.1,8564,8,3,101500.0,8,235,N,2,2,2,2,83,54,641
48-02507,60,1,1,0,1,0,3,1,1,3731.1,5070,3,2,13400.0,9,473,N,2,1,2,2,72,43,1931
48-02101,10,2,N,0,1,5,7,1,1,357.4,9920,N,3,N,N,252,N,2,2,2,2,379,409,8515
48-02507,73,1,1,0,1,0,6,1,1,3731.1,N,N,4,97300.0,1,400,N,2,2,2,2,44,49,2443
48-02507,48,1,1,0,1,0,3,1,1,3731.1,6992,10,7,8200.0,8,476,N,2,2,2,2,48,57,1977
48-02516,15,2,6,0,1,0,5,1,1,1338.4,7790,14,4,101700.0,0,501,N,2,2,2,2,18,49,771
48-02507,36,2,6,0,1,0,3,1,1,3731.1,4880,6,3,13800.0,1,213,N,2,2,2,2,44,43,4338
48-02102,57,2,1,0,1,0,2,1,1,2134.8,7890,N,1,54700.0,7,52,N,2,2,2,2,77,83,1667
48-02516,72,2,1,0,1,0,2,1,1,1338.4,N,9,1,77260.0,7,52,N,2,2,2,2,85,86,7449
48-02102,64,1,1,0,1,0,2,1,1,450.9,9920,N,9,22550.0,1,87,N,2,2,2,2,52,54,3346
48-02516,62,1,1,1,1,0,2,1,1,357.4,N,N,7,58500.0,7,419,N,2,2,2,1,85,84,5734
48-02101,38,1,4,0,1,0,6,1,2,357.4,5275,6,4,126200.0,8,461,N,2,2,2,2,246,325,3464
48-02507,16,1,6,0,1,0,3,1,1,3731.1,2890,2,6,141500.0,0,501,N,2,2,2,2,38,48,1765
48-02101,68,2,3,0,1,0,N,1,1,357.4,7270,11,8,36500.0,5,404,N,2,2,2,2,50,53,4676
48-02516,26,1,6,0,1,0,N,1,1,1338.4,5190,8,5,332000.0,1,501,N,2,2,2,2,136,97,3952
48-02102,39,2,3,0,1,0,N,1,1,450.9,7780,10,4,4260.0,5,226,N,2,2,2,2,89,52,7095
48-02510,74,2,4,0,1,0,2,1,2,3092.4,9920,9,6,14000.0,2,129,N,2,2,2,2,74,51,578
48-02510,77,2,1,0,1,0,3,1,1,3092.4,9920,N,9,49210.0,9,501,N,2,2,2,2,86,184,7452
48-02515,51,2,4,1,8,1,8,1,1,2134.8,3291,4,1,134000.0,3,14,N,2,2,2,2,44,48,3685
48-02510,37,2,1,0,1,0,3,1,1,3092.4,5275,6,6,215000.0,7,501,N,2,2,2,1,82,58,797
48-02102,14,2,N,0,2,2,3,1,1,450.9,9920,N,3,N,N,47,N,2,2,2,2,53,86,7677
48-02516,65,2,1,0,1,0,3,1,1,1338.4,4972,6,6,61200.0,7,453,N,2,2,2,2,44,79,1986
