,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP_x,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP_x,NOC_x,NPF_x,OWN_RENT_x,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA_x,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HISP_y,HOUSING_TYPE_y,INDP_y,MSP_y,NOC_y,NPF_y,OWN_RENT_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PUMA_y,PWGTP_y,WGTP_y,percent_match
11,51,2,0,2,2,2,N,6,0,3,9290,15,1,N,N,0,44862.06694193198,7,501,30-00600,89,3,2,0,58,2,0,2,2,2,N,0,1,9290,4,0,3,2,20000.0,4,310,40-00200,128,129,42.10526315789473
12,15,2,0,2,2,2,N,3,0,1,7390,10,6,1,3,1,37146.85385853024,5,248,38-00100,0,9,1,0,18,1,0,2,2,2,N,0,1,7270,6,1,5,1,0.0,0,9,40-00200,51,64,52.63157894736842
13,70,2,13,2,2,2,N,1,2,2,2190,4,1,N,N,0,37302.8020345059,5,0,36-03710,4899,8,2,0,48,2,7,2,2,2,N,1,1,1280,1,1,5,1,20000.0,3,211,19-01700,50,50,31.57894736842105
14,48,2,7,2,2,2,N,11,1,1,8380,13,2,1,7,1,89054.96215024944,9,N,19-01700,6559,2,2,6559,32,2,8,2,2,2,N,0,1,8370,6,2,4,2,26000.0,5,110,29-01901,143,142,31.57894736842105
15,26,2,10,2,2,2,N,6,0,1,8680,14,1,0,6,1,35225.73506594518,5,193,51-51255,0,9,1,0,42,2,8,2,2,2,N,0,1,8680,6,2,5,1,25000.0,4,501,24-01004,153,110,47.368421052631575
16,27,2,10,2,2,2,N,3,0,1,4670,6,5,3,6,1,62606.904448005145,7,375,51-51255,41,3,2,41,36,2,0,2,2,2,N,0,1,5275,6,4,5,2,22500.0,4,75,30-00600,26,26,36.84210526315789
17,63,2,7,2,2,2,N,4,0,1,7270,10,2,0,4,2,78735.8969354207,8,116,13-04600,230,6,2,230,16,2,8,2,2,2,N,0,1,7380,6,3,5,1,740.0,1,501,24-01004,65,94,36.84210526315789
18,33,2,10,2,2,2,N,5,0,1,9670,17,5,2,5,1,104651.67484460192,8,501,51-51255,104,2,1,104,33,2,13,2,2,2,N,0,1,9690,1,1,3,2,45000.0,6,501,36-04010,268,205,47.368421052631575
19,52,1,7,2,2,2,N,4,0,1,4971,6,1,0,3,1,31284.08695523393,6,269,01-01301,211,5,2,211,28,2,0,2,2,2,N,0,1,5190,1,1,3,1,0.0,0,501,40-00200,59,60,47.368421052631575
20,62,2,7,2,2,2,N,8,0,1,6991,9,4,0,N,2,37564.9554956453,6,327,13-04600,159,6,1,159,94,1,12,2,2,1,N,0,1,6992,1,0,2,1,401400.0,9,501,06-07502,111,111,31.57894736842105
21,51,2,0,2,2,2,N,7,0,1,5275,6,5,0,N,1,10627.546909302439,3,42,40-00200,46,7,2,46,50,2,0,2,2,2,N,0,1,5790,6,0,N,1,18000.0,3,137,30-00600,203,78,63.1578947368421
22,45,2,7,2,2,2,5,4,0,1,9190,15,1,0,2,2,1943.428093911735,1,0,28-01100,81,6,1,81,87,2,8,1,2,2,N,4,1,8970,1,0,2,1,68000.0,7,501,24-01004,141,141,36.84210526315789
23,42,2,9,2,2,2,N,4,0,2,170,0,2,N,N,0,39521.28201050766,6,368,32-00405,64,9,2,0,16,2,0,2,2,2,N,0,1,180,6,2,7,1,3000.0,1,384,38-00100,50,31,31.57894736842105
24,68,2,0,2,2,2,N,7,0,1,490,1,1,0,2,1,44157.28469684281,6,191,30-00600,112,3,2,112,21,2,0,2,2,2,N,0,1,490,6,0,4,1,15000.0,3,214,40-00200,59,34,57.89473684210527
25,21,2,7,2,2,1,N,4,0,2,7072,9,2,N,N,0,29776.95337544401,5,N,01-01301,0,3,1,0,28,2,0,2,2,2,N,0,1,6890,6,1,4,1,25000.0,4,427,30-00600,272,83,26.31578947368421
26,24,2,10,2,2,2,N,12,0,1,9160,15,1,0,2,2,36757.30589186754,5,501,51-01301,134,9,1,134,38,2,8,2,2,2,N,0,1,9170,6,0,N,2,90000.0,8,501,24-01004,78,79,52.63157894736842
27,67,2,8,2,2,2,N,11,0,1,9470,16,1,0,2,1,176302.6375997766,9,501,24-01004,38,9,2,38,33,2,7,2,2,2,N,1,1,9470,1,0,2,2,96300.0,9,501,28-01100,41,40,63.1578947368421
28,43,2,0,2,2,2,N,10,0,1,9290,15,1,1,3,1,189904.53848059842,9,501,38-00100,45,3,1,45,30,2,8,2,2,2,N,0,1,9190,6,0,3,1,5000.0,1,501,24-01004,63,25,52.63157894736842
29,20,1,8,2,2,2,N,6,1,1,8680,14,6,0,N,2,16403.97126271374,3,73,29-01901,54,4,2,54,26,2,0,2,2,2,N,0,1,8660,1,1,3,1,31100.0,4,501,38-00100,36,41,26.31578947368421
30,52,2,8,2,2,1,N,5,0,1,6570,8,6,3,8,1,82329.14383157977,8,488,26-02702,109,6,2,109,19,2,12,2,2,2,N,0,1,6770,6,0,N,2,3000.0,1,22,06-07502,53,44,36.84210526315789
31,24,2,13,2,2,2,N,8,4,1,7370,10,6,0,6,2,35845.687103908625,5,145,36-03710,190,8,1,190,31,2,10,2,2,2,N,4,1,7380,6,0,N,2,80000.0,7,501,51-51255,119,119,52.63157894736842
32,52,2,10,2,2,2,N,2,0,3,9920,18,4,N,N,0,38442.72670312415,5,273,17-03531,86,2,2,0,17,2,10,2,2,2,N,0,1,9920,6,0,2,1,0.0,0,0,17-03531,114,61,42.10526315789473
33,58,2,8,2,2,2,N,1,0,3,8191,12,2,N,N,0,25767.526367061164,4,0,26-02702,3374,6,2,0,58,2,7,2,2,2,N,0,1,8191,6,0,2,1,60000.0,8,456,19-01700,572,550,42.10526315789473
34,38,2,7,2,2,2,N,8,0,1,9680,17,4,0,N,1,58928.23809320569,7,477,08-00803,79,3,2,79,31,2,0,2,2,2,N,0,1,9680,6,0,N,1,55000.0,8,415,40-00200,175,176,57.89473684210527
35,67,2,10,2,1,2,N,9,0,1,4090,5,1,0,2,1,19543.842487636088,3,501,51-51255,43,9,1,43,26,2,12,2,2,2,N,0,1,4170,6,0,N,2,100000.0,8,501,06-07502,131,52,42.10526315789473
36,50,2,10,2,2,1,N,12,0,1,7480,10,6,0,N,1,181135.6825908094,9,501,51-51255,1988,9,1,1988,49,2,12,2,2,2,N,4,1,7380,6,0,N,2,144600.0,9,501,06-07502,117,117,52.63157894736842
37,38,2,0,2,2,2,N,6,0,1,770,3,6,0,3,1,17642.24933256654,4,267,40-00200,211,9,1,211,72,2,7,2,2,2,N,4,1,770,1,0,2,1,5900.0,2,158,13-04600,77,71,47.368421052631575
38,83,1,10,2,2,2,N,4,0,1,N,N,1,0,5,1,0.0,0,501,51-01301,69,7,1,69,15,2,0,2,2,2,N,0,1,N,6,3,4,1,0.0,0,2,40-00200,76,43,52.63157894736842
39,36,2,8,2,2,2,N,11,0,1,4971,6,1,4,5,2,239534.0056045501,8,359,24-01004,94,6,2,94,24,2,8,2,2,2,N,0,1,5070,6,0,2,2,0.0,0,75,29-01901,40,39,47.368421052631575
40,39,2,7,2,2,2,N,3,0,1,6870,9,4,0,N,2,13378.879580465435,2,92,08-00803,99,1,2,99,35,2,0,2,2,2,N,4,1,7072,1,1,7,1,493300.0,9,501,38-00100,44,56,31.57894736842105
41,23,2,0,2,2,2,N,7,0,3,6672,8,6,N,N,0,814.3509445918703,1,64,40-00200,0,6,1,0,18,2,8,2,2,2,N,0,3,6770,6,N,N,0,33000.0,5,N,26-02702,69,0,63.1578947368421
42,58,2,13,2,2,2,N,6,1,1,9920,18,6,0,N,2,158574.8944568193,9,44,36-03710,226,8,2,226,19,2,13,2,2,2,N,4,1,9920,6,0,3,2,0.0,0,251,36-04010,221,214,57.89473684210527
43,45,2,8,2,2,2,N,1,1,1,8680,14,5,0,N,1,27247.13690090895,5,132,29-01901,102,3,1,102,33,2,13,2,2,2,N,1,1,8660,1,2,4,1,60000.0,7,232,36-03710,176,176,42.10526315789473
44,56,2,9,2,2,2,N,4,4,1,170,0,1,0,2,2,59349.742211982535,7,418,32-00405,59,8,2,59,38,2,0,2,2,2,N,1,1,170,1,3,5,1,20000.0,4,144,40-00200,205,205,42.10526315789473
45,60,2,11,2,2,2,N,10,0,1,8680,14,1,0,2,1,18557.80116378825,3,501,17-03529,5711,9,1,5711,71,2,8,2,2,2,2,0,1,8680,1,0,2,1,49900.0,7,501,29-01901,80,80,63.1578947368421
46,21,2,8,2,2,2,N,5,0,1,9920,18,6,0,N,2,16526.435393322336,3,89,26-02702,56,9,1,56,18,2,0,2,2,2,N,1,1,9920,6,3,6,1,0.0,0,63,30-00600,581,107,42.10526315789473
47,47,2,7,2,2,2,N,3,0,3,8470,13,6,N,N,0,7020.304306917821,2,N,01-01301,0,9,1,0,66,2,13,2,2,2,N,0,1,8370,1,0,4,1,23000.0,4,177,36-04010,127,157,31.57894736842105
48,54,1,0,2,2,2,N,10,3,1,6080,7,5,7,9,1,24292.94202166378,4,359,38-00100,2667,5,1,2667,67,1,0,2,1,1,N,0,1,6170,3,0,N,1,14000.0,2,116,38-00100,23,23,31.57894736842105
49,26,2,7,2,2,2,N,11,0,1,3570,4,1,0,2,2,0.0,0,0,06-08507,81,6,2,81,44,2,7,2,2,2,N,0,1,2280,1,0,2,1,74000.0,7,501,06-08507,104,94,57.89473684210527
50,78,2,0,2,2,2,N,6,0,1,770,3,4,0,12,1,22417.351287230475,4,122,30-00600,13,3,2,13,62,1,0,2,2,2,N,0,1,770,1,0,2,1,17300.0,4,501,40-00200,47,47,57.89473684210527
51,41,1,0,2,2,1,N,5,2,1,9290,15,6,1,7,1,61923.15817246567,7,446,38-00100,16,3,2,16,19,2,0,2,2,2,N,0,1,8780,6,0,3,1,3000.0,1,501,40-00200,54,31,36.84210526315789
52,16,2,13,2,2,2,N,9,0,1,9370,16,3,5,10,2,58424.04943597582,7,365,36-03710,0,5,1,0,53,2,0,2,2,2,N,0,1,9370,4,0,N,1,30000.0,4,228,38-00100,64,64,42.10526315789473
53,68,2,10,2,1,2,N,10,3,1,N,N,1,0,3,1,0.0,0,501,51-01301,114,5,2,114,64,2,0,2,2,2,N,0,1,N,1,0,2,1,0.0,0,280,38-00100,45,40,57.89473684210527
54,42,2,7,2,2,2,N,12,0,1,9170,15,1,2,4,1,16924.35259732764,3,501,06-08507,75,6,2,75,28,2,8,2,2,2,N,0,1,9170,2,0,N,1,6000.0,1,45,24-01004,11,10,47.368421052631575
55,56,2,0,2,2,2,N,5,2,1,8980,15,6,0,N,2,41814.26878996159,7,439,40-00200,46,7,2,46,49,2,7,2,2,2,N,0,1,9290,4,0,N,1,50000.0,7,381,13-04600,41,41,47.368421052631575
56,19,2,10,2,2,2,N,10,0,2,5391,6,6,N,N,0,5184.3598733491335,1,N,51-51255,0,9,1,0,25,2,0,2,2,2,N,0,1,4870,6,0,N,2,23000.0,5,173,40-00200,177,89,42.10526315789473
57,50,2,7,2,2,2,N,7,0,1,9680,17,1,0,7,1,23286.86659768323,4,501,06-08507,25,6,1,25,27,2,0,2,2,2,N,0,1,9680,6,0,N,2,36000.0,5,274,38-00100,1699,1699,47.368421052631575
58,38,2,7,2,2,2,N,7,4,1,7071,9,6,0,N,1,60357.95699311813,8,501,19-01700,119,8,1,119,29,2,13,2,2,2,N,3,1,7071,6,0,N,2,90000.0,8,501,36-03710,430,599,63.1578947368421
59,56,2,13,2,2,1,N,1,0,1,7280,10,4,5,10,2,60354.722230590975,7,421,36-04010,198,2,2,198,56,2,13,2,2,2,N,0,1,7690,6,2,5,2,180000.0,9,501,36-04010,141,188,47.368421052631575
60,44,2,8,2,2,2,N,10,0,1,9080,15,1,0,2,1,169152.0470742438,9,501,24-01004,39,9,1,39,58,2,0,2,2,2,5,0,1,9160,1,0,2,1,98400.0,9,501,38-00100,226,226,63.1578947368421
61,71,2,10,2,2,2,N,2,0,3,8191,12,1,N,N,0,176933.8347287567,9,501,17-03531,55,2,2,0,40,2,13,2,2,2,N,0,1,8270,1,2,6,1,29800.0,5,199,36-04010,60,61,36.84210526315789
62,42,2,13,2,2,2,N,3,1,1,7970,12,6,0,N,2,69193.76545639869,7,501,36-03710,6841,8,1,6841,52,2,13,2,2,2,N,4,1,8180,1,1,4,2,50000.0,6,187,36-03710,251,250,42.10526315789473
63,35,2,10,2,2,2,N,10,0,1,8191,12,6,0,N,1,91757.32875618032,8,501,51-01301,125,9,1,125,61,2,0,2,2,2,N,0,1,8270,1,0,5,1,16000.0,4,219,40-00200,36,36,47.368421052631575
64,30,2,0,2,2,2,N,5,0,1,380,1,1,0,4,1,0.0,0,103,40-00200,77,3,1,77,44,2,0,2,2,2,N,0,1,380,1,0,2,1,75000.0,8,501,30-00600,98,84,63.1578947368421
65,35,2,0,2,2,2,N,6,0,1,8080,12,1,0,2,1,3175.2941443414397,1,48,40-00200,50,3,1,50,42,2,0,2,2,2,N,0,1,8090,1,1,5,2,36300.0,5,122,38-00100,45,104,47.368421052631575
66,37,2,12,2,2,2,N,12,4,1,7780,10,1,1,3,1,184442.49327936553,9,501,06-07502,23,8,1,23,52,2,13,2,2,2,N,4,1,7380,4,1,4,2,17000.0,3,157,36-03710,152,152,42.10526315789473
67,89,2,10,2,2,2,N,7,0,1,9670,17,3,0,3,2,30654.54491747082,5,501,17-03531,73,2,2,73,45,2,7,2,2,2,5,0,1,9670,4,0,2,1,46800.0,7,412,01-01301,88,55,42.10526315789473
68,29,2,10,2,2,2,N,3,0,1,9480,16,1,1,3,1,100649.3241975781,8,501,51-51255,32,3,1,32,80,2,0,2,2,2,N,0,1,9370,3,0,N,2,25000.0,4,205,38-00100,215,215,36.84210526315789
69,34,2,7,2,2,2,N,6,0,2,9480,16,2,N,N,0,15695.44115357493,3,N,06-08507,3787,6,1,0,44,2,9,2,2,2,N,0,1,9370,6,0,N,2,31000.0,5,234,32-00405,82,82,36.84210526315789
70,28,2,10,2,2,2,N,11,0,1,8380,13,6,0,N,2,128478.37781077556,9,205,51-51255,93,6,2,93,60,2,7,2,2,2,N,0,1,8470,5,1,3,2,52000.0,6,397,06-08507,78,70,42.10526315789473
71,87,2,7,2,1,2,N,12,0,1,8680,14,4,0,5,1,15706.54106980942,3,0,06-08507,56,6,1,56,29,2,8,2,2,2,N,0,1,8570,6,0,N,2,44900.0,5,343,24-01004,48,48,36.84210526315789
72,15,2,8,2,1,2,N,11,1,3,5170,6,6,N,N,0,30516.226215877512,4,42,24-01004,0,8,1,0,63,2,13,2,2,2,N,4,1,5570,6,2,5,2,20000.0,4,129,36-03710,129,152,31.57894736842105
73,57,2,0,2,2,2,N,8,0,1,4490,5,1,0,5,1,14839.775535118028,3,272,40-00200,118,3,1,118,43,2,0,2,2,2,N,0,1,4290,1,3,5,1,86000.0,9,409,30-00600,331,331,57.89473684210527
74,71,1,8,2,2,2,N,11,0,1,7870,11,1,0,2,2,27970.081619665085,4,501,24-01004,2528,3,2,2528,46,2,0,2,1,2,N,0,1,7860,1,3,5,1,85400.0,9,288,30-00600,82,70,31.57894736842105
75,16,2,13,2,2,2,N,4,0,2,770,3,6,N,N,0,4868.364172145268,1,N,36-03710,0,3,2,0,29,2,0,2,2,2,N,0,2,770,6,N,N,0,12000.0,2,N,38-00100,38,0,73.68421052631578
76,40,2,7,2,1,2,N,11,0,1,9680,17,5,2,4,2,238051.93043536157,9,0,06-08507,52,6,1,52,43,2,8,2,2,2,N,0,1,9670,1,3,5,1,150000.0,9,501,24-01004,14,14,36.84210526315789
77,34,2,0,2,2,2,N,9,0,1,5391,6,1,0,4,1,58449.30855071563,8,501,30-00600,174,8,1,174,30,2,13,2,2,2,N,4,1,5790,6,0,4,2,70000.0,7,501,36-03710,377,274,47.368421052631575
78,71,2,12,2,1,2,N,8,0,1,4380,5,3,0,N,2,15897.78358359425,3,252,06-07502,146,6,2,146,66,2,7,2,2,2,N,0,1,4170,1,0,2,1,323000.0,9,501,06-08507,109,100,36.84210526315789
79,39,1,13,2,2,2,N,4,2,2,8090,12,6,N,N,0,0.0,0,N,36-03710,0,5,2,0,29,2,13,2,2,2,N,0,1,8191,4,0,5,1,21600.0,4,227,36-04010,67,43,26.31578947368421
80,29,2,13,2,2,2,N,8,0,2,5391,6,6,N,N,0,0.0,0,N,36-03710,0,5,1,0,44,2,0,1,2,2,N,0,1,5381,1,0,2,1,7200.0,1,142,38-00100,57,57,26.31578947368421
81,70,1,11,2,2,2,N,7,2,1,7860,11,4,0,N,2,7407.704884115539,2,22,17-03529,4207,7,1,4207,21,2,12,2,2,2,N,0,1,7870,6,0,6,2,8000.0,2,86,06-07502,61,61,42.10526315789473
82,44,2,0,2,2,2,N,4,1,1,9590,16,1,2,4,1,50135.2161351679,7,157,40-00200,13,3,2,13,61,2,0,2,2,2,N,0,1,9370,1,0,3,1,12000.0,2,261,30-00600,24,24,47.368421052631575
83,21,2,7,2,2,2,N,10,0,1,370,1,6,0,4,2,370372.91680127406,9,0,19-01700,105,1,1,105,53,2,7,2,2,2,N,0,1,490,1,0,2,1,198600.0,9,501,08-00803,82,82,52.63157894736842
84,63,2,10,2,2,2,N,7,0,1,4170,5,1,0,2,1,13915.96876782479,3,443,17-03531,243,2,2,243,43,2,13,2,2,2,N,0,1,4470,2,0,3,2,30000.0,5,501,36-04010,159,149,42.10526315789473
85,52,2,7,2,2,2,N,11,0,1,3960,4,5,0,4,2,7320.14572359498,2,86,13-04600,90,9,2,90,30,2,10,2,2,2,N,0,1,2190,1,0,2,2,160000.0,9,501,51-01301,140,141,47.368421052631575
86,20,1,13,2,2,2,N,8,3,2,4770,6,6,N,N,0,0.0,0,N,36-03710,0,5,2,0,54,2,0,2,2,2,N,0,1,5391,1,0,2,1,45000.0,6,501,38-00100,36,36,21.052631578947366
87,42,2,13,2,2,2,N,7,4,1,9190,15,6,1,2,2,1545.2054264683984,1,104,36-03710,78,8,1,78,36,2,11,2,2,2,N,0,1,9090,2,0,N,1,20000.0,3,152,17-03529,184,183,31.57894736842105
88,30,2,7,2,2,2,N,3,3,3,180,0,6,N,N,0,3378.2234653635505,1,33,01-01301,111,2,1,0,39,2,7,2,2,2,N,0,1,170,1,2,4,1,12000.0,3,359,13-04600,75,78,31.57894736842105
89,27,2,8,2,2,2,N,6,2,1,770,3,6,0,N,2,32222.68009132041,5,170,29-01901,7569,7,1,7569,25,2,7,2,2,2,N,0,1,770,6,0,4,1,64000.0,7,501,06-08507,130,148,47.368421052631575
90,31,2,0,2,2,2,N,9,3,1,4090,5,1,0,4,1,55008.359089159116,8,501,40-00200,32,8,1,32,40,2,13,2,2,2,N,1,1,4580,6,0,N,2,76800.0,8,501,36-03710,117,117,47.368421052631575
91,72,2,0,2,2,2,N,3,0,3,6680,8,3,N,N,0,14984.648866098814,3,123,30-00600,9473,1,2,0,48,2,9,2,2,2,N,1,1,6670,1,0,4,1,0.0,0,101,32-00405,62,30,26.31578947368421
92,22,2,8,2,2,2,N,7,1,1,6480,8,6,0,N,2,3698.0688681812803,1,29,29-01901,87,8,2,87,24,2,13,2,2,2,N,4,1,6570,1,0,2,2,96000.0,8,501,36-03710,91,91,42.10526315789473
93,42,2,13,2,2,2,N,5,0,1,8370,13,6,0,N,2,58659.36908556251,7,470,36-04010,0,9,2,0,60,2,13,2,2,2,N,4,1,8470,6,0,3,2,12100.0,3,387,36-03710,99,94,52.63157894736842
94,35,2,9,2,2,2,N,12,1,1,1170,4,1,0,4,2,86791.88278586758,8,463,32-00405,138,8,2,138,48,2,7,2,2,2,N,0,1,3490,1,2,4,1,100000.0,8,501,06-08507,48,46,47.368421052631575
95,24,2,0,2,2,2,N,5,0,1,6680,8,6,1,3,1,26528.494619206256,5,440,40-00200,128,9,1,128,29,2,0,2,2,2,N,0,1,6470,6,0,3,1,27800.0,5,494,30-00600,101,18,63.1578947368421
96,58,2,0,2,2,2,N,3,0,1,6992,9,4,0,N,2,10754.528847726808,2,89,30-00600,76,1,1,76,47,2,9,2,2,2,N,0,2,7071,4,N,N,0,17100.0,3,N,32-00405,80,0,42.10526315789473
97,56,2,13,2,2,2,N,3,0,3,8680,14,4,N,N,0,3971.170895017756,1,131,36-03710,0,5,2,0,29,2,8,2,2,2,N,4,1,8680,6,1,2,2,63000.0,6,481,24-01004,122,153,31.57894736842105
98,68,2,11,2,2,2,N,1,0,1,7390,10,3,0,2,1,52449.99889640561,7,445,17-03529,108,6,1,108,70,2,12,2,2,2,N,0,1,7780,1,0,2,2,7200.0,2,86,06-07502,65,65,47.368421052631575
99,57,2,9,2,2,1,N,6,0,1,8290,12,5,2,5,2,127837.054442185,9,276,32-00405,109,9,2,109,30,2,13,2,2,2,N,0,1,8090,6,1,4,2,31700.0,5,123,36-03710,209,210,36.84210526315789
100,25,2,11,2,2,2,N,9,0,1,8680,14,6,0,N,2,13469.732836687503,3,321,17-03529,0,3,2,0,42,2,0,2,2,2,N,0,1,8590,4,3,5,1,21000.0,4,138,40-00200,55,55,36.84210526315789
101,18,2,13,2,2,2,N,3,0,2,3291,4,6,N,N,0,81803.43306357512,8,N,36-03710,0,2,1,0,34,2,7,2,2,2,N,0,1,2370,6,0,2,2,25200.0,5,444,13-04600,129,129,36.84210526315789
102,61,2,9,2,2,2,N,6,0,1,570,2,1,0,3,2,26854.650098982474,4,501,32-00405,5,1,2,5,65,2,0,2,1,2,N,0,1,670,3,0,N,1,8940.0,2,73,30-00600,12,13,36.84210526315789
103,70,2,11,2,2,2,N,1,2,1,770,3,3,0,N,1,74998.40289343456,8,418,17-03529,91,8,2,91,44,2,9,2,2,2,N,1,1,770,6,0,5,1,50000.0,7,165,32-00405,57,56,47.368421052631575
104,22,2,13,2,2,2,N,3,0,2,2670,4,6,N,N,0,82539.03208362279,8,N,36-03710,0,3,1,0,44,2,0,2,2,2,N,0,1,2880,1,1,4,1,45000.0,7,334,40-00200,171,163,31.57894736842105
105,15,2,12,2,2,1,N,6,1,1,7280,10,5,1,3,2,33810.71733848266,5,247,06-07502,3951,5,2,3951,28,2,0,2,2,2,N,0,1,7270,6,1,3,1,0.0,0,385,38-00100,79,27,36.84210526315789
106,29,2,8,2,2,2,N,6,0,3,7470,10,6,N,N,0,19369.72345005152,4,154,29-01901,0,3,2,0,51,2,0,2,2,2,N,0,1,7580,4,0,6,1,122000.0,9,501,40-00200,55,48,31.57894736842105
107,19,2,13,2,2,2,N,3,0,1,9470,16,6,1,4,1,0.0,0,269,36-04010,241,6,1,241,61,2,12,2,2,2,N,0,1,9370,1,0,3,2,20000.0,4,501,06-07502,135,112,36.84210526315789
108,51,2,10,2,2,2,N,12,0,1,7860,11,4,0,N,2,115138.31001335227,8,501,51-51255,35,3,2,35,36,2,0,2,2,2,N,0,1,7870,2,2,5,2,22100.0,3,265,38-00100,91,54,42.10526315789473
109,42,2,11,2,2,2,N,9,3,1,7380,10,1,1,3,1,200000.42433441468,9,501,17-03529,248,5,2,248,35,2,0,2,2,2,N,0,1,7490,6,0,4,1,90000.0,8,501,38-00100,91,85,42.10526315789473
110,62,2,0,2,2,2,N,7,0,1,4390,5,1,0,2,1,13452.974498474936,3,376,30-00600,36,9,1,36,25,2,0,2,2,2,N,0,1,4580,6,0,N,2,30000.0,6,228,40-00200,191,192,47.368421052631575
111,24,2,7,2,2,2,N,5,0,2,9470,16,1,N,N,0,45110.65885168377,6,501,08-00803,0,9,1,0,52,2,0,2,2,2,N,0,1,9470,1,0,2,1,45000.0,7,400,40-00200,93,93,42.10526315789473
112,44,2,7,2,2,2,5,1,0,1,9570,16,6,0,N,1,51673.745648133205,7,402,19-01700,7667,6,1,7667,53,2,8,2,2,2,N,0,1,9590,6,0,N,1,0.0,0,0,24-01004,148,148,52.63157894736842
113,30,2,8,2,2,2,N,8,4,1,4971,6,6,0,N,2,586552.653003685,9,501,24-01004,208,8,2,208,24,2,0,2,2,2,N,1,1,5090,6,3,6,2,32000.0,5,222,38-00100,17,40,42.10526315789473
