,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP_x,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP_x,NOC_x,NPF_x,OWN_RENT_x,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA_x,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HISP_y,HOUSING_TYPE_y,INDP_y,MSP_y,NOC_y,NPF_y,OWN_RENT_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PUMA_y,PWGTP_y,WGTP_y,percent_match
10,95,1,11,1,2,1,6,6,1,2,626,2,4,3,4,0,-9000.0,1,262,38-00100,1636,9,1,220,44,2,0,2,2,2,N,0,1,570,1,1,3,1,40000.0,6,501,30-00600,73,58,5.263157894736842
11,95,1,10,1,1,1,2,7,1,3,9325,16,2,7,2,0,-9000.0,2,199,51-01301,419,7,1,346,23,2,10,2,2,2,4,0,1,9590,6,0,N,2,54000.0,6,408,51-51255,66,76,5.263157894736842
12,50,1,11,1,1,1,6,5,1,3,3281,9,4,9,3,2,159668.10394782247,0,318,40-00200,1636,6,2,217,64,2,12,2,2,2,N,0,1,7071,1,0,2,2,3500.0,1,109,06-07502,290,290,5.263157894736842
13,71,1,13,1,1,1,6,11,1,3,5919,12,5,7,3,0,42030.808770165255,6,0,51-51255,1441,3,1,69,75,2,0,2,2,2,N,0,1,8191,1,0,3,1,153400.0,9,501,30-00600,13,19,5.263157894736842
14,47,2,13,1,1,1,6,11,1,2,279,11,3,3,4,0,58418.4943580925,2,388,51-01301,1221,8,1,185,27,2,11,2,2,2,N,1,1,7870,6,0,N,2,20100.0,3,153,17-03529,58,58,10.526315789473683
15,95,1,10,1,1,1,6,11,4,2,570,10,4,2,6,2,7711.89357016424,3,501,32-00405,185,8,1,316,41,2,8,2,2,2,N,0,1,7380,1,2,4,1,275000.0,9,501,24-01004,116,117,10.526315789473683
16,62,1,10,1,1,1,6,9,1,3,1980,9,5,7,4,0,-9000.0,0,377,51-01301,63,3,1,66,59,2,0,2,2,2,N,0,1,7071,1,0,3,1,40000.0,5,258,38-00100,35,35,0.0
17,6,1,10,1,1,1,6,12,1,3,554,11,5,4,4,0,-9000.0,0,239,51-51255,311,3,2,453,36,2,0,2,2,2,N,0,1,7870,2,2,5,2,22100.0,3,265,38-00100,91,54,0.0
18,65,1,12,1,1,1,6,10,1,3,4145,17,4,9,4,0,-9000.0,4,432,40-00200,1447,9,1,98,34,2,10,2,2,2,N,0,1,9780,1,1,3,1,104000.0,8,501,51-51255,45,45,0.0
19,0,1,12,1,1,1,2,6,3,3,5216,0,4,3,2,2,151036.89715877944,3,499,51-51255,42,1,1,376,18,2,0,2,2,2,N,0,3,170,6,N,N,0,1000.0,0,N,38-00100,77,0,5.263157894736842
20,79,1,11,1,1,1,2,1,1,2,1678,14,4,7,4,0,6364.394006298906,1,316,40-00200,114,3,1,0,33,2,13,2,2,2,N,1,1,8660,1,2,4,1,60000.0,7,232,36-03710,176,176,10.526315789473683
21,66,1,12,1,1,1,6,3,1,3,206,13,3,9,3,0,145943.3408998741,2,171,36-04010,1636,6,1,266,63,2,12,2,2,2,N,0,1,8370,1,0,2,2,24000.0,4,300,06-07502,78,97,5.263157894736842
22,73,1,12,1,1,1,6,7,1,3,8708,10,2,9,9,0,74057.60753921418,6,0,40-00200,231,7,1,467,55,2,12,2,2,2,N,0,1,7290,4,0,N,2,69000.0,7,501,06-07502,171,172,5.263157894736842
23,21,1,11,1,1,1,6,7,2,3,6910,1,3,9,4,0,233290.35210284515,2,0,51-01301,1093,3,2,188,21,2,0,2,2,2,N,0,1,490,6,0,4,1,15000.0,3,214,40-00200,59,34,10.526315789473683
24,19,1,10,1,1,1,6,7,1,3,170,11,4,7,3,0,244249.10756815135,7,379,51-51255,903,9,2,170,20,2,7,2,2,2,N,0,1,7870,6,0,N,2,1800.0,1,13,08-00803,410,410,0.0
25,0,1,10,1,1,1,6,6,1,3,1217,11,4,9,3,0,-9000.0,2,355,40-00200,143,8,2,373,73,2,9,2,2,2,N,4,1,7860,3,0,2,1,35600.0,5,501,32-00405,35,35,0.0
26,62,1,10,1,1,1,5,11,1,3,6384,1,5,7,2,0,118610.21113403529,1,205,30-00600,150,6,1,187,48,2,12,2,2,2,N,0,1,390,1,2,4,1,138000.0,9,501,06-07502,82,83,0.0
27,40,1,13,1,1,1,6,11,1,3,9920,17,2,7,2,0,331572.1744870129,2,118,51-01301,1457,6,1,192,43,2,8,2,2,2,N,0,1,9670,1,3,5,1,150000.0,9,501,24-01004,14,14,0.0
28,65,1,10,1,1,1,6,11,1,2,835,14,2,9,4,0,1098834.8309876064,1,143,38-00100,718,6,2,376,25,2,13,2,2,2,N,0,3,8660,6,N,N,0,5000.0,1,N,36-04010,42,0,10.526315789473683
29,13,1,13,1,1,1,6,12,3,3,170,11,4,6,3,0,69389.83396258671,2,51,40-00200,328,9,1,137,33,2,8,2,2,2,N,0,1,7870,6,0,3,2,50000.0,7,253,26-02702,78,79,5.263157894736842
30,93,1,13,1,1,1,2,8,4,2,4466,3,2,2,3,0,873183.0607913383,8,501,36-03710,391,8,1,168,30,2,9,2,2,2,N,1,1,770,6,2,3,2,35500.0,5,269,32-00405,129,104,10.526315789473683
31,0,1,11,1,1,1,5,10,1,3,5695,5,2,4,4,0,1678.4212210300834,0,375,38-00100,616,6,2,290,43,2,7,2,2,2,N,0,1,4380,1,2,4,1,375280.0,9,501,06-08507,97,96,5.263157894736842
32,22,1,11,2,1,1,6,11,3,3,170,13,3,4,3,0,39487.87280967142,2,91,51-51255,1636,8,2,0,45,2,7,2,2,2,N,1,1,8390,4,0,2,1,50000.0,6,381,06-08507,64,48,5.263157894736842
33,36,1,11,1,1,1,3,7,1,3,4617,18,4,7,6,0,26304.46046981509,9,183,51-01301,1137,3,1,376,70,2,0,2,2,2,N,0,1,9920,3,0,N,1,15600.0,3,128,30-00600,72,71,0.0
34,87,1,11,1,1,1,6,7,1,3,3460,9,4,5,3,0,692641.0222967926,3,501,38-00100,1471,8,1,376,29,2,13,2,2,2,N,3,1,7071,6,0,N,2,90000.0,8,501,36-03710,430,599,5.263157894736842
35,56,1,13,1,1,1,2,11,2,2,2169,4,4,9,5,0,90102.26254164249,0,198,19-01700,1,6,2,13,44,2,7,2,2,2,N,0,1,2280,1,0,2,1,74000.0,7,501,06-08507,104,94,0.0
36,22,1,10,1,1,1,6,7,1,3,1054,2,4,1,3,0,-9000.0,1,190,51-01301,931,3,1,228,48,2,0,2,2,2,N,0,1,570,1,0,3,1,75000.0,8,476,30-00600,73,77,5.263157894736842
