PUMA,SEX,MSP,HISP,RAC1P,HOUSING_TYPE,OWN_RENT,INDP_CAT,DREM,DPHY,DEYE,DEAR,AGEP,NOC,NPF,EDU,PINCP_DECILE,DVET,POVPIP,PINCP,DENSITY
25-02800,1,1,0,1,1,1,11,2,2,2,2,68,0,2,10,7,N,501,69969.9844576,3683.8999999999996
25-01000,1,1,0,1,1,1,16,2,2,2,2,80,0,2,9,6,N,501,63712.135752,2447.1
25-01300,1,1,0,1,1,1,3,2,2,2,2,60,0,2,9,9,N,501,88436.654384,1457.2
25-02800,1,5,0,1,1,1,5,2,2,2,2,64,0,9,9,9,N,336,172818.34228799999,3683.8999999999996
25-01000,2,1,0,1,1,1,10,2,2,2,2,42,2,4,10,7,N,501,68468.17913599999,2447.1
25-01000,1,6,0,1,1,1,14,2,2,2,2,17,3,5,4,1,N,501,24130.1693376,2447.1
25-00703,2,1,0,1,1,1,6,2,2,2,2,38,1,3,10,8,N,501,100161.21704,2195.3
25-01300,1,1,0,6,1,1,9,2,2,2,2,29,1,3,9,8,N,501,122063.27912,1457.2
25-01000,1,6,0,1,1,1,12,2,2,2,2,29,0,2,7,8,N,501,100136.24270399999,2447.1
25-00703,1,1,0,1,1,1,10,2,2,2,2,68,0,2,9,9,N,501,242020.5588,2195.3
25-00703,1,1,0,1,1,1,9,2,2,2,2,67,0,2,9,7,N,501,50014.328740799996,2195.3
25-01300,1,1,0,6,1,1,10,2,2,2,2,32,0,4,9,7,N,501,39968.774816000005,1457.2
25-00503,1,N,0,1,1,2,N,2,2,2,2,6,0,3,5,N,N,N,N,2872.7
25-01300,2,3,0,1,1,1,4,2,2,2,2,61,0,N,9,6,N,441,40095.153568,1457.2
25-00703,1,6,0,1,1,1,11,2,2,2,2,49,0,N,10,8,N,122,89294.460928,2195.3
25-02800,2,6,2,1,1,2,12,2,2,2,2,35,0,N,9,8,N,501,92494.79560000001,3683.8999999999996
25-02800,1,2,0,1,1,1,14,2,2,2,2,58,0,5,4,1,N,102,29943.644408,3683.8999999999996
25-01300,2,1,0,1,1,1,10,2,2,2,2,39,2,4,5,3,N,20,11416.8813312,1457.2
25-00703,1,N,0,1,1,1,N,N,N,2,2,0,1,4,N,N,N,501,N,2195.3
25-02800,2,6,0,1,1,1,15,2,2,2,2,20,0,4,9,4,N,121,36962.596768,3683.8999999999996
25-00703,1,N,0,9,1,2,N,N,N,2,2,4,2,4,1,N,N,123,N,2195.3
25-01000,1,6,0,1,1,1,3,2,2,2,2,31,0,9,8,7,N,501,52677.8093808,2447.1
25-00703,1,1,0,1,1,1,10,2,2,2,2,67,0,2,9,6,N,501,45623.9117888,2195.3
25-00503,1,6,0,6,1,1,6,2,2,2,2,49,2,4,4,0,N,425,37068.4591568,2872.7
25-00503,2,1,0,1,1,1,16,2,1,2,2,58,1,3,10,5,N,38,42834.997008,2872.7
25-01300,2,1,0,1,1,1,11,2,2,2,2,49,2,4,8,4,N,242,-0.5965663999995741,1457.2
25-01300,1,N,0,2,3,0,N,N,N,2,2,3,N,N,N,N,N,N,N,1457.2
25-00503,2,6,0,6,3,0,10,2,2,2,2,20,N,N,9,0,N,83,6004.9373376,2872.7
25-02800,1,1,0,1,1,1,16,2,2,2,2,51,2,4,5,6,N,101,50014.11882719999,3683.8999999999996
25-00703,2,6,0,1,1,1,13,2,2,2,2,70,0,N,5,4,N,356,3842.8676256,2195.3
25-01000,1,6,0,1,1,1,14,2,2,2,2,36,2,5,4,1,N,189,20024.792179199998,2447.1
25-00503,1,1,0,1,1,1,N,2,2,2,2,62,0,2,5,2,N,501,79807.60415999999,2872.7
25-00503,2,1,0,2,1,1,9,2,2,2,2,81,0,2,10,9,N,501,319635.143568,2872.7
25-00703,1,6,0,1,1,2,9,2,2,2,2,17,2,7,4,1,N,256,-0.43469071999970765,2195.3
25-01000,2,1,0,1,1,1,16,2,2,2,2,69,0,2,10,8,N,501,100522.954688,2447.1
25-01300,1,N,0,1,1,1,N,2,2,2,2,5,2,4,3,N,N,501,N,1457.2
25-00703,1,6,0,1,1,2,14,2,2,2,2,18,0,N,5,1,N,157,24802.5522016,2195.3
25-00703,2,1,0,1,1,1,10,2,2,2,2,41,2,4,9,9,N,501,148609.61232,2195.3
25-01000,1,1,0,1,1,1,16,2,2,2,2,52,0,2,9,7,N,501,63605.920816,2447.1
25-00703,2,6,0,1,2,0,N,1,1,2,2,19,N,N,12,0,N,358,20861.7755632,2195.3
25-00503,2,6,0,1,1,1,11,2,2,2,2,53,1,3,7,1,N,412,2742.589344,2872.7
25-00703,2,3,0,1,1,1,N,2,2,2,2,77,0,N,5,2,N,501,10976.964323200002,2195.3
25-00503,1,1,0,1,1,1,10,2,2,2,2,64,2,5,9,9,N,501,420610.62265599996,2872.7
25-00703,2,1,0,1,1,1,16,2,2,2,2,75,0,2,8,9,N,501,100503.551136,2195.3
25-02800,1,N,0,1,1,2,N,2,2,2,2,6,3,6,4,N,N,298,N,3683.8999999999996
25-02800,2,1,0,6,1,1,10,2,2,2,2,60,0,2,10,8,N,501,100631.7518304,3683.8999999999996
25-00703,2,1,0,1,1,1,11,2,2,2,2,49,2,4,8,7,N,501,45937.3087568,2195.3
25-00503,2,2,0,8,1,2,10,2,2,2,2,54,2,4,10,9,N,501,614009.18944,2872.7
25-00703,1,1,0,1,1,1,11,2,2,2,2,44,0,2,7,5,N,129,78518.0726208,2195.3
25-00503,2,6,0,1,3,0,N,2,2,2,2,19,N,N,5,0,N,N,24067.144124799997,2872.7
25-00703,2,6,0,1,1,1,N,2,2,2,2,30,0,N,7,6,N,0,39958.626300799995,2195.3
25-01000,2,1,0,1,1,1,12,2,2,2,2,47,0,2,10,7,N,460,52512.097395200006,2447.1
25-00503,2,6,0,1,1,1,5,2,2,2,2,89,0,2,9,4,N,469,21369.602312000003,2872.7
25-00703,1,6,0,1,1,2,N,2,2,2,2,19,0,N,7,2,N,371,36975.194275199996,2195.3
25-02800,2,4,0,1,1,1,N,2,1,2,2,49,0,5,5,4,N,501,19842.4351216,3683.8999999999996
25-00503,1,1,0,1,1,1,14,2,2,2,2,19,0,2,7,3,N,318,6022.3924608,2872.7
25-00703,1,N,0,1,1,1,N,2,2,2,2,14,2,4,3,N,N,501,N,2195.3
25-02800,2,6,0,6,2,0,7,1,1,2,2,61,N,N,12,2,N,0,0.2920678399996177,3683.8999999999996
25-01300,1,6,0,1,1,1,9,2,2,2,2,33,0,N,5,8,N,501,82451.52784960001,1457.2
25-00703,1,N,0,1,1,1,N,2,2,2,2,7,4,6,3,N,N,501,N,2195.3
25-01300,1,6,0,6,1,2,11,2,2,2,2,31,1,3,10,5,N,501,29978.6959424,1457.2
25-00703,2,6,4,1,1,1,13,2,2,2,2,16,2,4,4,1,N,478,1704.1292720000001,2195.3
25-02800,1,5,0,2,1,1,2,1,2,1,2,54,2,7,9,3,N,427,570449.15712,3683.8999999999996
25-01000,1,N,0,1,1,1,N,N,N,2,2,4,2,5,1,N,N,501,N,2447.1
25-02800,1,N,0,1,1,2,N,2,2,2,2,5,0,2,3,N,N,252,N,3683.8999999999996
25-00503,2,N,0,1,1,2,N,1,2,2,2,10,2,4,3,N,N,501,N,2872.7
25-01300,1,1,0,6,1,1,10,2,2,2,2,52,0,3,10,8,N,501,89768.47544000001,1457.2
25-00703,1,6,0,1,1,1,7,2,2,2,2,35,0,6,5,8,N,501,96897.074016,2195.3
25-01000,2,6,0,1,1,1,15,2,2,2,2,23,2,4,3,2,N,501,24655.2843552,2447.1
25-00503,1,N,0,1,1,1,N,2,2,2,2,7,2,4,3,N,N,501,N,2872.7
25-00703,2,N,0,1,1,1,N,2,2,2,2,7,0,3,3,N,N,501,N,2195.3
25-01300,2,1,0,1,1,1,11,2,2,2,1,82,0,2,9,9,N,501,92582.20577599999,1457.2
25-00503,2,1,0,6,1,1,11,2,2,2,2,34,2,4,9,1,N,501,12061.234001600002,2872.7
25-01000,1,1,0,1,1,1,13,2,2,2,2,37,0,2,7,5,N,461,63644.970128,2447.1
25-01300,1,4,0,1,1,1,7,2,2,2,2,79,0,2,9,6,N,218,67899.17872,1457.2
25-00503,2,3,0,1,1,2,10,2,2,2,2,68,0,N,10,9,N,501,89814.07782399999,2872.7
25-02800,1,6,0,1,1,2,10,2,2,2,2,34,0,N,9,5,N,210,49976.197128,3683.8999999999996
25-00703,2,2,0,1,1,1,N,2,2,2,2,31,1,4,9,0,N,501,3441.4300680000006,2195.3
25-00503,2,1,0,1,1,1,N,2,2,2,2,69,2,4,5,0,N,320,11455.0385104,2872.7
25-01000,2,N,0,1,1,1,N,2,2,2,2,8,1,3,3,N,N,501,N,2447.1
25-02800,1,1,0,1,1,1,5,2,1,2,2,67,0,2,7,3,N,1,0.36325008000039816,3683.8999999999996
25-00503,2,1,0,1,1,1,17,2,2,2,2,88,3,6,9,0,N,160,3579.8499216,2872.7
25-01300,1,1,0,1,1,1,3,2,2,2,2,38,0,2,7,9,N,381,146232.636832,1457.2
25-00503,2,6,0,6,2,0,5,2,2,2,2,20,N,N,7,2,5,68,159.7658518399994,2872.7
25-01000,1,6,0,1,1,1,15,2,2,2,2,30,1,5,4,9,N,501,11131.3813424,2447.1
25-00703,2,1,0,1,1,1,N,2,2,2,2,63,0,3,9,1,N,501,24138.3075264,2195.3
25-02800,1,6,0,6,1,1,10,2,2,2,2,34,0,N,9,6,N,501,55472.9435248,3683.8999999999996
25-02800,1,N,0,1,1,1,N,N,N,2,2,4,2,5,2,N,N,501,N,3683.8999999999996
25-01300,2,4,0,1,1,1,17,2,2,2,2,15,3,5,7,8,N,501,92616.61276799999,1457.2
25-00503,2,6,0,1,1,1,N,2,2,2,2,46,0,2,7,0,N,501,2388.3265040000006,2872.7
25-01300,1,1,0,9,1,2,7,2,2,2,2,40,2,6,10,7,N,309,53335.11076,1457.2
25-01000,1,1,0,1,1,1,N,2,2,2,2,50,0,2,9,5,N,200,6123.381086399999,2447.1
25-01300,2,4,0,1,1,1,6,2,2,2,2,63,0,N,7,5,N,305,70000.2362368,1457.2
25-00703,2,1,0,1,1,1,14,2,2,2,2,83,0,2,5,8,N,501,125287.161792,2195.3
25-02800,2,4,0,1,1,1,5,2,2,2,2,72,0,N,8,6,N,285,40097.4989488,3683.8999999999996
25-00703,2,6,0,1,3,0,12,2,2,2,2,22,N,N,7,1,N,268,29967.277180800003,2195.3
25-00703,2,1,0,1,1,1,12,2,2,2,2,58,0,2,10,3,N,313,0.06748719999995956,2195.3
25-00703,1,1,0,1,1,1,10,2,2,2,2,41,2,4,9,9,N,501,171996.79966400002,2195.3
25-01300,2,4,0,1,1,1,5,2,2,2,2,63,0,2,8,3,N,304,14725.1479248,1457.2
25-01300,2,1,0,6,1,1,6,2,2,2,2,52,0,3,10,7,N,501,39999.7962784,1457.2
25-01000,2,1,0,1,1,2,N,2,2,2,2,35,0,2,7,2,N,233,36972.9094464,2447.1
25-00703,1,4,1,6,1,2,15,2,2,2,2,57,3,6,2,5,N,179,990362.663904,2195.3
25-00703,2,4,0,1,1,1,16,2,2,2,1,74,0,N,9,8,N,501,97278.87456000001,2195.3
25-02800,2,6,4,1,1,2,12,2,2,2,2,21,0,N,7,3,N,501,971.2261641599998,3683.8999999999996
25-00703,1,1,0,1,1,1,9,2,2,2,2,50,0,2,10,8,N,501,136018.6232064,2195.3
25-00503,2,4,0,6,1,1,14,2,2,2,2,47,0,N,9,8,N,501,89825.4616,2872.7
25-00703,1,4,0,1,1,2,N,2,2,2,2,71,0,N,9,6,N,379,50003.50608,2195.3
25-00703,1,6,0,1,1,2,6,2,2,2,2,29,0,N,7,5,N,309,53999.843888,2195.3
25-01300,1,1,0,1,1,1,16,2,2,2,2,48,2,4,7,6,N,501,69160.67872,1457.2
25-01000,1,1,0,1,1,1,5,2,2,2,2,81,0,2,9,7,N,501,65818.6846624,2447.1
25-00703,2,N,0,1,1,1,N,2,2,2,2,13,0,2,3,N,N,501,N,2195.3
25-00703,2,1,0,1,1,1,N,2,2,2,2,71,0,2,8,2,N,501,27217.3942192,2195.3
25-01000,2,N,4,1,2,0,N,2,2,2,2,14,N,N,3,N,N,149,N,2447.1
25-01000,1,N,0,1,1,1,N,2,2,2,2,14,0,4,5,N,N,501,N,2447.1
25-00703,2,N,0,1,1,1,N,2,2,2,2,12,2,5,3,N,N,501,N,2195.3
25-00703,1,1,0,1,1,1,9,2,2,2,2,54,2,4,9,9,N,501,142022.87340799998,2195.3
25-00503,1,6,0,1,3,0,11,2,2,2,2,32,N,N,7,1,N,305,-0.028992319999815663,2872.7
25-00503,1,6,0,1,1,2,10,2,2,2,2,22,0,N,9,7,N,501,43894.038032,2872.7
25-00503,2,6,0,1,1,2,14,2,2,2,2,24,0,N,7,3,N,501,12053.2236448,2872.7
25-01000,1,1,0,6,1,1,6,2,2,2,2,38,2,3,9,9,N,501,139823.140352,2447.1
25-00503,1,N,0,6,1,1,N,2,2,2,2,6,3,5,2,N,N,143,N,2872.7
25-00503,2,6,0,1,1,2,14,2,2,2,2,36,0,N,10,8,N,501,109809.02102399999,2872.7
25-00503,2,1,0,1,1,1,12,2,2,2,2,53,0,2,9,8,N,501,110822.648048,2872.7
25-01000,1,N,0,1,1,1,N,2,2,2,2,9,0,2,5,N,N,501,N,2447.1
25-02800,1,1,0,1,1,1,6,2,2,2,2,40,2,4,7,7,N,501,60524.0420032,3683.8999999999996
25-01300,1,N,0,1,1,1,N,2,2,2,2,9,3,5,3,N,N,501,N,1457.2
25-02800,1,1,0,1,1,1,15,2,2,2,2,72,0,2,11,9,N,501,195886.40713600002,3683.8999999999996
25-00703,1,4,0,1,1,1,12,2,2,2,2,54,0,2,9,6,N,118,79615.142992,2195.3
25-01300,2,6,0,6,1,1,13,2,2,2,2,53,2,4,9,0,N,303,0.5027887999995073,1457.2
25-00703,2,6,0,1,3,0,6,2,2,2,2,22,N,N,7,1,N,308,15717.8481776,2195.3
25-00503,2,6,0,6,1,2,14,2,2,2,2,31,2,4,4,1,N,145,20236.103857600003,2872.7
25-01000,1,4,0,9,3,0,11,1,1,1,1,91,N,N,3,1,6,155,12063.096312000001,2447.1
25-00503,2,2,0,9,1,2,17,1,2,2,2,54,0,N,10,8,N,501,178005.07859199998,2872.7
25-02800,2,6,0,1,1,1,N,2,2,2,2,25,0,N,9,3,N,120,18415.04148,3683.8999999999996
25-00703,1,N,0,6,1,1,N,2,2,2,2,11,2,3,3,N,N,135,N,2195.3
25-00503,1,6,0,6,3,0,N,2,2,2,2,19,N,N,7,0,N,5,32171.791153599996,2872.7
25-02800,2,1,0,1,1,1,N,2,2,2,2,60,1,3,5,1,N,317,18959.176553600002,3683.8999999999996
25-00703,2,1,0,1,1,1,16,1,1,2,2,73,0,2,10,9,N,501,685232.120384,2195.3
25-00703,1,6,0,1,1,1,16,2,2,2,2,16,4,6,4,0,N,501,-0.4823249599994597,2195.3
25-00703,2,N,0,1,1,1,N,2,2,2,2,13,2,4,3,N,N,501,N,2195.3
25-02800,2,4,0,1,1,1,14,2,2,2,2,72,2,N,8,3,N,336,0.4014651199995569,3683.8999999999996
25-00703,1,1,0,1,1,2,N,2,2,2,2,65,0,2,5,4,N,501,-0.11013199999979406,2195.3
25-00703,1,2,3,7,1,1,17,2,2,2,2,57,3,8,6,7,5,133,505132.4548,2195.3
25-02800,2,N,0,1,1,1,N,2,2,2,2,10,2,4,3,N,N,286,N,3683.8999999999996
25-00503,1,1,0,1,1,2,1,2,2,2,2,63,0,2,5,1,N,346,19805.914191999997,2872.7
25-00703,1,6,0,1,1,2,6,2,2,2,2,26,0,N,7,2,N,356,11238.0625288,2195.3
25-02800,1,1,0,1,1,2,6,2,2,2,2,86,0,2,5,1,N,152,21660.402619200002,3683.8999999999996
25-02800,1,5,0,1,1,1,3,2,2,2,2,67,0,2,10,6,N,465,75180.677824,3683.8999999999996
25-01000,1,1,0,1,1,1,9,2,2,2,2,70,0,4,9,7,N,317,51791.4088368,2447.1
25-00703,1,6,0,1,1,1,N,2,2,2,2,16,0,4,5,2,N,501,11578.6251424,2195.3
25-00503,1,6,0,1,1,1,6,2,2,2,2,19,0,2,12,2,N,501,124028.178064,2872.7
25-01000,1,N,0,1,1,1,N,N,N,2,2,1,2,4,N,N,N,501,N,2447.1
25-00503,1,6,0,1,1,2,4,2,2,1,2,54,0,3,10,5,N,501,463490.736752,2872.7
25-01000,2,6,0,1,1,1,N,1,1,2,2,88,0,N,10,0,N,501,34871.6662368,2447.1
25-00503,2,6,4,7,3,0,3,2,2,2,2,19,N,N,5,0,N,285,19824.7821952,2872.7
25-00703,2,N,0,1,1,1,N,2,2,2,2,14,1,3,3,N,N,501,N,2195.3
25-02800,1,6,4,1,1,1,8,2,2,2,2,17,0,7,4,1,N,2,-0.18319807999978366,3683.8999999999996
25-01000,2,6,0,1,1,1,6,2,2,2,2,21,0,N,10,1,N,284,11182.1642864,2447.1
25-00703,2,4,0,8,2,0,17,1,1,2,2,66,N,N,10,3,3,173,1706.5089656,2195.3
25-01000,1,1,0,1,1,1,10,2,2,2,2,52,2,4,9,6,N,501,47847.962528,2447.1
25-01300,2,1,0,1,1,1,11,2,2,2,2,65,1,3,9,9,N,501,114499.95755199999,1457.2
25-01300,2,N,0,1,1,1,N,2,2,2,2,12,1,3,4,N,N,501,N,1457.2
25-02800,2,1,0,1,1,2,7,2,2,2,2,55,0,4,5,0,N,429,17061.351732799998,3683.8999999999996
25-00703,1,N,0,1,1,1,N,2,2,2,2,7,2,4,3,N,N,501,N,2195.3
25-02800,2,1,0,6,1,1,6,2,2,2,2,37,3,5,12,5,N,501,69031.4513328,3683.8999999999996
25-01000,1,2,0,1,1,2,3,1,2,2,2,65,0,9,9,4,N,185,632783.027552,2447.1
25-01300,1,1,0,1,1,1,10,2,2,2,2,38,1,3,9,7,N,501,53708.0047776,1457.2
25-02800,2,1,0,1,1,1,N,2,2,2,2,81,0,2,5,3,N,225,11653.311324799999,3683.8999999999996
25-00703,2,6,0,1,3,0,6,2,2,2,2,20,N,N,7,1,N,357,-0.6991011200007051,2195.3
25-00503,1,1,0,1,1,1,10,2,2,2,2,72,0,2,10,9,N,501,96673.206544,2872.7
25-00703,2,1,0,1,1,1,4,2,2,2,2,64,2,5,9,9,N,501,131230.11184,2195.3
25-01000,2,6,0,2,3,0,10,1,1,2,2,52,N,N,5,1,N,424,-0.05832639999971434,2447.1
25-02800,2,N,0,1,1,1,N,2,2,2,2,12,3,5,3,N,N,501,N,3683.8999999999996
25-00503,1,1,0,6,1,1,4,2,2,2,2,43,0,4,9,9,N,501,250201.94136000003,2872.7
25-02800,1,1,0,1,1,1,4,2,2,2,2,36,0,2,9,9,N,501,83904.6534,3683.8999999999996
25-00503,1,6,0,1,3,0,13,2,2,2,2,20,N,N,5,3,N,49,1580.0097824000004,2872.7
25-02800,2,1,0,1,1,1,11,2,2,2,2,64,0,4,9,9,N,501,100130.39607199999,3683.8999999999996
25-00503,1,6,0,1,3,0,11,2,2,2,2,21,N,N,7,1,N,450,20519.203296,2872.7
25-01000,2,N,0,1,1,1,N,N,N,2,2,3,1,3,1,N,N,501,N,2447.1
25-01300,1,1,4,9,1,1,18,2,2,2,2,29,1,2,11,6,2,434,1072028.28512,1457.2
25-01000,1,N,0,9,1,1,N,2,2,2,2,14,3,5,3,N,N,501,N,2447.1
25-00503,1,1,0,1,1,1,10,2,2,2,2,20,0,2,10,9,N,501,351103.224064,2872.7
25-01300,1,1,0,1,1,1,8,2,2,2,1,68,0,2,10,0,N,501,0.06681440000011207,1457.2
25-00503,1,1,0,1,1,1,10,2,2,2,2,44,1,3,12,9,N,501,95814.45808000001,2872.7
25-01300,2,N,0,1,1,1,N,2,2,2,2,8,2,4,3,N,N,501,N,1457.2
25-00703,2,1,0,1,1,2,12,2,2,2,2,34,1,2,9,7,N,501,40076.3905216,2195.3
25-01000,1,1,0,1,1,1,8,2,2,2,2,54,0,2,9,8,N,501,86270.41331199999,2447.1
25-02800,1,6,0,1,1,1,4,2,2,2,2,62,0,N,9,8,N,501,101154.4044,3683.8999999999996
25-00503,2,6,0,1,1,2,N,2,2,2,2,22,0,N,9,0,N,501,0.40052319999995234,2872.7
25-02800,1,1,0,1,1,1,10,2,2,2,2,29,0,3,10,8,N,501,82412.160976,3683.8999999999996
25-02800,1,N,0,1,1,1,N,N,N,2,2,0,1,3,N,N,N,501,N,3683.8999999999996
25-02800,1,1,0,1,1,1,11,2,2,2,2,43,1,2,12,6,N,501,49960.9689728,3683.8999999999996
25-00503,1,1,0,1,1,1,10,2,2,2,2,60,0,2,10,9,N,501,150441.269952,2872.7
25-01300,2,1,0,1,1,1,10,2,2,2,2,44,4,6,9,9,N,501,198447.12430400003,1457.2
25-00503,1,1,0,1,1,1,4,2,2,2,2,59,0,2,7,8,N,501,90749.22407360001,2872.7
25-00703,1,1,0,1,1,1,5,2,2,2,2,57,0,4,10,9,N,501,29418.9424896,2195.3
25-02800,1,1,0,1,1,1,10,2,2,2,2,50,0,2,9,9,N,501,82879.0653376,3683.8999999999996
25-02800,1,1,0,1,1,1,N,2,2,2,2,61,1,3,5,0,N,501,-0.35328191999997216,3683.8999999999996
25-00503,1,6,0,1,1,2,15,2,2,2,2,23,0,2,5,3,N,143,33210.4086608,2872.7
25-01000,1,1,0,1,1,1,N,2,1,2,2,94,0,2,5,8,N,501,119303.46697600001,2447.1
25-00503,2,1,0,6,1,2,0,2,2,2,2,70,2,4,7,4,N,322,24137.2175904,2872.7
25-00503,1,6,0,1,3,0,14,2,2,2,2,19,N,N,7,3,N,318,24561.015656000003,2872.7
25-00703,2,6,0,1,1,2,13,2,2,2,2,31,0,2,5,4,N,57,14738.073758400002,2195.3
25-00503,2,1,4,2,1,2,6,2,2,2,2,45,1,2,10,5,N,501,0.06748719999995956,2872.7
25-00503,2,1,0,1,1,1,9,1,1,2,2,58,0,3,12,5,N,357,47811.119999999995,2872.7
25-01300,1,1,0,1,1,1,4,2,2,2,2,59,2,4,9,9,N,501,125417.05256,1457.2
25-00503,2,6,0,1,1,2,11,2,2,2,2,24,0,N,9,4,N,501,0.2924715199997081,2872.7
25-00503,2,1,0,6,1,1,4,2,2,2,2,42,0,2,9,9,N,501,171099.257552,2872.7
25-02800,2,1,0,1,1,2,15,2,2,2,2,55,1,3,5,0,N,365,20542.0219808,3683.8999999999996
25-00703,1,N,0,1,1,2,N,2,2,2,2,6,2,5,3,N,N,377,N,2195.3
25-00503,1,1,0,1,1,1,4,2,2,2,2,85,0,2,12,9,N,501,179621.911184,2872.7
25-00703,2,4,0,1,1,2,7,1,1,2,2,66,0,2,7,3,N,243,23369.3684432,2195.3
25-01000,2,1,0,1,1,1,N,2,2,2,2,63,2,4,10,0,N,501,34871.7590832,2447.1
25-02800,2,1,0,1,1,1,6,2,2,2,2,58,0,2,9,7,N,457,51392.205648,3683.8999999999996
25-01000,1,6,0,1,1,2,12,2,2,2,2,29,0,N,4,7,N,501,-0.7195542400004342,2447.1
25-01000,1,1,0,1,1,1,3,2,2,2,2,61,0,2,9,9,N,501,154518.2092,2447.1
25-02800,2,1,0,1,1,1,4,2,2,2,2,72,1,6,12,5,N,501,70054.5836752,3683.8999999999996
25-00503,1,N,0,1,3,0,N,2,2,2,2,7,N,N,6,N,N,N,N,2872.7
25-00503,2,N,0,1,1,1,N,2,2,2,2,14,3,5,3,N,N,442,N,2872.7
25-01300,2,4,0,1,1,1,6,2,2,2,2,15,3,5,5,2,N,496,15720.0845648,1457.2
25-01000,2,6,0,1,1,1,12,2,2,2,2,29,0,N,10,6,N,501,54677.8015728,2447.1
25-01300,2,1,0,1,1,1,4,2,2,2,2,54,0,4,9,9,N,501,131429.085712,1457.2
25-02800,1,1,0,1,1,1,4,2,2,2,2,56,1,3,9,9,N,501,190735.961664,3683.8999999999996
25-00703,1,1,0,1,1,2,15,2,2,2,2,25,1,3,3,1,N,93,6018.350278400001,2195.3
25-00703,1,1,0,1,1,2,7,2,2,2,2,59,0,2,5,5,N,6,50012.18519999999,2195.3
25-01300,2,N,0,1,1,1,N,2,2,2,2,14,3,5,1,N,N,437,N,1457.2
25-01300,1,N,0,6,1,1,N,2,2,2,2,9,0,4,3,N,N,429,N,1457.2
25-00703,1,N,0,1,1,1,N,2,2,2,2,7,0,7,2,N,N,501,N,2195.3
25-01300,2,N,0,5,1,1,N,2,2,2,2,12,3,5,3,N,N,192,N,1457.2
25-01300,2,1,0,1,1,1,11,2,2,2,2,37,0,3,10,7,N,501,40039.526464,1457.2
25-02800,1,6,0,1,1,2,10,2,2,2,2,29,0,N,7,4,N,203,12008.7253256,3683.8999999999996
25-01000,2,1,0,6,1,1,16,2,2,2,2,47,0,2,9,6,N,501,81922.93311039999,2447.1
25-00703,1,1,0,1,1,1,N,2,2,2,2,72,1,3,9,6,N,417,39940.3342144,2195.3
25-00703,1,6,0,1,1,1,11,2,2,2,2,21,0,2,7,2,N,474,20094.0798144,2195.3
25-00703,2,1,0,1,1,2,11,2,2,2,2,30,1,5,9,1,N,87,3739.976321600001,2195.3
25-00703,2,6,0,1,1,2,N,1,1,2,2,94,0,N,10,3,N,501,10873.1526288,2195.3
25-00703,2,3,0,1,1,1,N,2,2,2,2,66,0,2,8,3,N,0,20021.268052800002,2195.3
25-01000,2,3,0,1,1,1,10,2,2,2,2,48,0,N,9,6,N,501,52944.503264,2447.1
25-01000,2,1,0,6,1,1,N,2,2,2,2,68,0,2,4,0,N,501,16998.599676799997,2447.1
25-02800,1,1,0,1,1,1,11,2,2,2,2,60,1,3,4,6,N,501,69153.5927904,3683.8999999999996
25-01300,2,1,0,1,1,1,4,2,2,2,2,40,2,4,10,7,N,501,136007.9956576,1457.2
25-02800,2,N,0,1,1,1,N,2,2,2,2,14,0,2,3,N,N,501,N,3683.8999999999996
