PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
28-01100,66,2,1,0,2,0,4,1,2,2674.3,N,5,9500.0,3,138,N,2,1,2,2
36-04010,67,1,3,0,2,1,2,1,2,50441.6,10,5,66000.0,7,400,N,2,2,2,2
30-00600,33,2,1,0,1,3,5,1,1,16.3,6,9,49500.0,7,326,N,2,2,2,2
51-51255,41,2,4,0,1,0,2,1,2,11224.3,15,5,18900.0,3,200,N,2,2,2,2
08-00803,24,2,6,0,1,0,N,1,2,3393.2,11,9,25000.0,4,188,N,2,2,2,2
32-00405,33,1,6,4,1,N,N,3,0,7990.5,14,7,12000.0,2,90,N,2,2,2,2
24-01004,13,1,N,0,9,2,4,1,1,4187.9,N,3,N,N,497,N,2,2,2,2
36-04010,26,1,6,0,2,0,3,1,1,50441.6,7,7,47000.0,6,501,N,2,2,2,2
40-00200,43,1,1,0,3,0,3,1,1,90.7,3,7,12000.0,3,241,N,2,2,2,2
24-01004,9,2,N,0,1,2,5,1,1,4187.9,N,3,N,N,501,N,2,2,2,2
38-00100,30,2,1,0,1,3,5,1,1,73.0,6,7,11000.0,2,343,N,2,2,2,2
32-00405,47,2,1,0,6,0,3,1,2,7990.5,4,9,33000.0,5,372,N,2,2,2,2
28-01100,62,2,3,0,9,0,N,1,1,2674.3,N,5,9000.0,2,68,N,2,1,2,2
28-01100,28,1,1,0,1,0,2,1,1,2674.3,12,11,53200.0,8,501,N,2,2,2,2
28-01100,41,2,6,0,2,0,2,1,2,2674.3,12,5,18000.0,4,159,N,2,2,2,2
08-00803,16,1,6,0,1,3,5,1,1,3393.2,14,4,1200.0,1,334,N,2,2,2,2
51-51255,80,2,3,0,1,0,N,1,1,11224.3,N,8,133900.0,9,501,N,2,1,2,2
29-01901,42,2,1,0,2,0,2,1,1,5434.8,12,6,18000.0,3,501,N,2,2,2,2
19-01700,0,1,N,0,1,2,3,1,2,3572.3,N,N,N,N,63,N,N,N,2,2
32-00405,65,1,4,0,1,0,N,1,2,7990.5,15,7,12300.0,2,101,N,2,1,2,2
32-00405,41,2,5,1,1,1,2,1,2,7990.5,14,5,15000.0,3,86,N,2,2,2,2
38-00100,67,2,1,1,8,0,2,1,1,73.0,N,3,7500.0,1,472,N,1,1,1,2
51-01301,29,2,6,0,2,0,N,1,2,11162.8,6,7,25660.0,4,196,N,1,2,2,2
24-01004,48,2,4,0,1,0,2,1,1,4187.9,12,10,464000.0,9,501,N,2,2,2,2
30-00600,57,2,4,0,1,0,N,1,1,16.3,10,8,20300.0,4,155,N,2,2,2,2
24-01004,76,2,1,0,1,0,2,1,1,4187.9,11,10,115800.0,8,501,N,2,2,2,2
26-02702,71,2,1,0,1,0,2,1,1,4817.2,6,7,14300.0,3,501,N,2,2,2,2
30-00600,57,2,3,0,1,0,N,1,1,16.3,9,7,56000.0,7,421,N,2,2,2,2
17-03529,50,2,4,0,2,0,2,1,1,15097.5,6,7,11000.0,2,64,N,2,2,2,2
26-02702,20,2,6,0,6,0,N,1,2,4817.2,14,7,0.0,0,0,N,1,2,2,2
32-00405,58,1,4,0,1,0,N,1,1,7990.5,10,9,150000.0,9,501,N,2,2,2,2
06-07502,56,1,6,1,8,0,N,1,1,33632.6,N,5,0.0,0,0,N,2,2,2,2
06-08507,68,2,1,0,1,0,2,1,1,3305.1,N,9,0.0,0,501,N,2,2,2,2
17-03529,64,2,1,0,6,0,2,1,2,15097.5,N,10,22000.0,4,501,N,2,2,2,2
32-00405,63,2,4,0,6,0,2,1,2,7990.5,N,7,820.0,1,64,N,2,1,2,2
06-07502,31,1,1,0,1,0,2,1,2,33632.6,6,9,87000.0,8,501,N,2,2,2,2
28-01100,63,2,4,0,2,0,N,1,2,2674.3,N,7,22300.0,5,169,N,2,1,2,2
08-00803,49,2,6,4,1,1,4,1,2,3393.2,11,7,2000.0,1,235,N,2,2,2,2
28-01100,25,1,6,0,2,0,2,1,2,2674.3,14,3,10400.0,3,292,N,1,1,2,2
19-01700,15,1,6,0,1,1,3,1,1,3572.3,N,4,200.0,0,501,N,2,2,2,2
06-08507,56,1,5,0,1,0,N,1,2,3305.1,4,10,571000.0,9,501,N,2,2,2,2
26-02702,20,1,6,0,6,0,N,1,2,4817.2,N,7,0.0,0,0,N,2,2,2,2
29-01901,61,1,4,0,2,0,2,1,1,5434.8,N,7,11600.0,2,217,N,1,1,2,2
29-01901,61,2,1,0,2,0,2,1,2,5434.8,N,5,7000.0,2,79,N,2,1,2,2
28-01100,30,1,6,0,1,0,N,1,2,2674.3,12,11,47000.0,7,358,N,2,2,2,2
24-01004,31,1,4,0,1,0,N,1,2,4187.9,10,9,85000.0,7,501,N,2,2,2,2
01-01301,30,2,6,0,2,N,N,2,0,2731.2,N,5,9400.0,2,N,N,1,2,2,2
36-03710,50,2,1,4,2,0,2,1,1,52864.7,11,8,25000.0,4,298,N,2,2,2,2
40-00200,52,2,1,0,1,0,3,1,2,90.7,12,9,41000.0,7,226,N,2,2,2,2
13-04600,26,1,6,0,2,N,N,2,0,3670.4,4,5,3700.0,1,N,N,2,2,2,2
24-01004,58,2,4,0,1,0,2,1,1,4187.9,11,5,16500.0,3,391,N,2,2,2,2
24-01004,60,2,1,0,1,0,3,1,1,4187.9,10,7,14400.0,2,501,N,2,2,2,2
13-04600,26,1,6,0,1,0,N,1,2,3670.4,10,9,24000.0,4,181,N,2,2,2,2
17-03531,63,1,6,0,2,0,N,1,1,11171.6,15,5,8400.0,2,63,N,2,2,2,2
24-01004,76,1,1,0,1,0,2,1,1,4187.9,N,11,125000.0,8,501,N,2,2,2,2
01-01301,82,2,3,0,2,0,2,1,1,2731.2,N,7,31200.0,6,361,N,2,2,2,2
06-08507,30,1,1,0,6,0,2,1,2,3305.1,10,9,100000.0,8,501,N,2,2,2,2
51-51255,28,1,1,0,9,0,2,1,2,11224.3,10,9,47500.0,6,293,N,2,2,2,2
24-01004,60,1,1,0,1,1,3,1,1,4187.9,16,11,182100.0,9,501,N,2,2,2,2
13-04600,53,1,6,0,2,0,N,1,2,3670.4,15,3,27000.0,5,204,N,2,2,2,2
28-01100,20,1,6,0,2,N,N,3,0,2674.3,N,7,0.0,0,N,N,2,2,2,2
24-01004,61,1,4,0,1,0,N,1,1,4187.9,9,9,27250.0,4,208,N,2,2,2,2
51-51255,71,2,3,0,6,0,N,1,2,11224.3,N,7,0.0,0,0,N,2,1,2,1
40-00200,29,2,6,0,9,1,2,1,2,90.7,12,8,52000.0,7,297,N,2,2,2,1
36-03710,70,2,6,2,2,0,2,1,2,52864.7,N,4,3600.0,1,85,N,2,2,2,2
38-00100,77,2,6,0,1,N,N,3,0,73.0,N,8,16500.0,3,136,N,2,1,2,2
28-01100,6,1,N,0,2,1,2,1,2,2674.3,N,1,N,N,55,N,2,2,2,2
28-01100,24,2,6,0,2,0,6,1,1,2674.3,16,5,9800.0,3,165,N,2,2,2,2
13-04600,8,1,N,0,2,2,3,1,2,3670.4,N,3,N,N,216,N,2,2,2,2
06-08507,58,2,1,0,1,0,2,1,1,3305.1,9,8,88000.0,8,501,N,2,2,2,2
08-00803,47,1,1,1,1,0,4,1,2,3393.2,N,4,0.0,0,137,N,2,2,2,2
24-01004,51,2,1,0,1,0,2,1,1,4187.9,11,12,105070.0,8,501,N,2,2,2,2
30-00600,13,1,N,0,1,3,5,1,1,16.3,N,3,N,N,196,N,2,2,2,2
38-00100,64,2,1,0,1,0,2,1,2,73.0,11,5,26300.0,4,454,N,2,2,2,2
06-07502,28,1,6,0,1,0,2,1,2,33632.6,8,9,136000.0,9,501,N,2,2,2,2
17-03529,15,2,6,0,2,3,5,1,2,15097.5,N,4,0.0,0,463,N,2,2,2,2
32-00405,48,1,6,0,1,2,3,1,2,7990.5,7,5,26000.0,4,127,N,2,2,2,2
06-08507,65,1,1,0,1,2,4,1,1,3305.1,10,10,10000.0,2,78,N,2,2,2,2
36-04010,89,1,3,0,2,0,N,1,1,50441.6,N,7,37000.0,5,305,N,2,2,2,2
36-03710,32,2,6,2,2,0,N,1,2,52864.7,6,4,26000.0,4,197,N,2,2,2,2
26-02702,45,1,1,0,1,0,3,1,1,4817.2,11,12,100000.0,9,501,N,2,2,2,2
30-00600,54,2,1,0,1,0,2,1,1,16.3,0,7,375000.0,9,501,N,2,2,2,2
17-03529,1,1,N,4,1,4,5,1,2,15097.5,N,N,N,N,191,N,N,N,2,2
36-04010,60,2,4,0,2,0,4,1,1,50441.6,16,7,14700.0,3,319,N,2,2,2,2
51-01301,67,1,1,0,1,0,2,1,1,11162.8,N,9,7200.0,2,73,N,2,2,2,2
32-00405,15,1,6,0,6,2,5,1,1,7990.5,N,4,0.0,0,154,N,2,2,2,2
38-00100,45,2,1,0,1,2,4,1,1,73.0,16,7,29800.0,4,80,N,2,2,2,2
28-01100,78,2,3,0,2,0,N,1,1,2674.3,N,7,13300.0,3,110,N,2,2,2,2
17-03529,41,2,3,0,2,4,5,1,2,15097.5,7,7,11000.0,2,68,N,1,1,2,2
36-03710,36,2,1,2,2,0,2,1,2,52864.7,12,8,21300.0,4,302,N,2,2,1,2
36-04010,18,1,6,0,2,0,6,1,2,50441.6,N,4,0.0,0,329,N,2,2,2,2
36-03710,11,1,N,0,2,0,5,1,2,52864.7,N,3,N,N,99,N,2,2,2,2
36-03710,40,2,6,0,9,1,4,1,2,52864.7,N,3,0.0,0,123,N,2,2,2,2
17-03531,82,1,1,0,2,0,3,1,1,11171.6,N,7,39000.0,5,323,N,2,2,2,2
29-01901,52,2,5,0,2,1,3,1,1,5434.8,16,7,50400.0,7,325,N,2,2,2,2
24-01004,6,2,N,0,1,2,4,1,1,4187.9,N,2,N,N,260,N,2,2,2,2
40-00200,51,2,4,0,3,0,6,1,1,90.7,10,6,122000.0,9,501,N,2,2,2,2
28-01100,12,1,N,0,2,0,3,1,1,2674.3,N,3,N,N,169,N,2,2,2,2
36-03710,41,1,6,4,8,0,2,1,2,52864.7,3,5,5000.0,1,72,N,2,2,2,2
26-02702,20,2,6,0,1,0,N,1,2,4817.2,11,7,9300.0,2,70,N,2,2,2,2
06-07502,77,1,1,0,6,0,2,1,2,33632.6,4,9,75300.0,7,501,N,2,1,2,1
08-00803,31,2,1,0,1,0,2,1,2,3393.2,15,7,80000.0,8,501,N,2,2,2,2
30-00600,7,2,N,1,1,1,2,1,2,16.3,N,3,N,N,218,N,2,2,2,2
24-01004,40,2,1,0,1,2,4,1,1,4187.9,8,9,225000.0,9,501,N,2,2,2,2
32-00405,42,2,4,1,8,1,2,1,1,7990.5,15,5,24100.0,4,139,N,2,2,2,2
38-00100,2,1,N,0,5,0,9,1,1,73.0,N,N,N,N,41,N,N,N,2,2
30-00600,6,1,N,0,3,6,8,1,1,16.3,N,2,N,N,100,N,2,2,2,2
13-04600,19,2,6,0,1,N,N,3,0,3670.4,N,7,0.0,0,N,N,2,2,2,2
24-01004,11,2,N,0,1,2,4,1,1,4187.9,N,3,N,N,501,N,2,2,2,2
38-00100,53,2,1,0,1,0,2,1,1,73.0,15,8,12000.0,2,501,N,2,2,2,2
38-00100,23,1,6,0,1,0,3,1,1,73.0,6,8,2500.0,1,494,N,2,2,2,2
38-00100,36,2,2,0,3,2,5,1,2,73.0,11,12,22100.0,3,265,N,2,2,2,2
29-01901,24,2,6,0,2,0,4,1,2,5434.8,5,8,20000.0,4,171,N,2,2,2,2
51-51255,46,2,2,0,2,0,2,1,1,11224.3,9,9,50000.0,6,485,N,2,2,2,2
06-07502,70,2,3,0,6,0,N,1,2,33632.6,4,3,12700.0,3,104,N,2,2,2,2
06-08507,17,2,6,0,6,2,6,1,1,3305.1,11,4,10000.0,2,501,N,2,2,2,2
30-00600,75,2,3,0,1,0,N,1,1,16.3,N,5,17400.0,3,143,N,2,2,2,2
08-00803,31,1,6,0,1,0,N,1,2,3393.2,11,12,49200.0,6,375,N,2,2,2,2
32-00405,27,2,6,0,2,N,N,2,0,7990.5,10,5,15000.0,3,N,N,2,2,1,2
17-03531,38,1,4,0,2,0,N,1,1,11171.6,15,7,50000.0,6,377,N,2,2,2,2
24-01004,23,1,6,0,2,1,11,1,1,4187.9,9,9,65000.0,6,501,N,2,2,2,2
06-08507,64,1,1,0,1,0,2,1,1,3305.1,15,10,19800.0,4,501,N,2,2,2,2
24-01004,24,2,6,0,1,0,N,1,2,4187.9,11,10,42000.0,5,317,N,2,2,2,2
38-00100,62,2,4,0,1,0,N,1,1,73.0,10,7,10400.0,2,78,N,2,1,2,2
17-03531,50,2,1,0,2,0,6,1,2,11171.6,10,9,68260.0,7,376,N,2,2,2,2
36-04010,12,1,N,0,2,3,4,1,2,50441.6,N,3,N,N,42,N,1,2,2,2
06-07502,24,2,6,0,1,0,N,1,2,33632.6,8,9,99000.0,8,501,N,2,2,2,2
29-01901,9,2,N,0,2,0,2,1,1,5434.8,N,3,N,N,254,N,2,2,2,2
38-00100,62,1,1,0,1,0,2,1,1,73.0,N,7,36200.0,5,433,N,2,2,2,2
17-03529,22,2,6,0,1,0,N,1,2,15097.5,11,9,40000.0,6,302,N,2,2,2,2
38-00100,35,1,6,0,1,0,N,1,1,73.0,9,7,410120.0,9,501,N,2,2,2,2
51-51255,48,1,2,4,8,N,N,2,0,11224.3,3,4,44000.0,6,N,N,2,2,2,2
51-01301,46,1,6,0,1,0,N,1,1,11162.8,16,10,185000.0,9,501,N,2,2,2,2
24-01004,36,1,6,0,1,N,N,3,0,4187.9,8,5,0.0,0,0,N,2,2,2,2
30-00600,16,2,6,1,9,3,6,1,1,16.3,N,4,0.0,0,63,N,2,2,2,2
30-00600,69,2,1,0,3,0,3,1,1,16.3,11,9,80000.0,8,501,N,2,1,2,2
24-01004,44,2,1,0,1,3,5,1,1,4187.9,11,9,35000.0,4,501,N,2,2,2,2
24-01004,4,2,N,0,1,1,3,1,1,4187.9,N,2,N,N,501,N,N,N,2,2
38-00100,37,2,1,0,1,1,3,1,1,73.0,13,9,50000.0,6,501,N,2,2,2,2
17-03529,29,1,6,0,2,3,5,1,2,15097.5,14,4,12000.0,2,381,N,2,2,2,2
28-01100,42,2,4,0,2,5,6,1,2,2674.3,13,7,17000.0,4,63,N,2,2,2,2
51-01301,74,2,1,0,1,0,2,1,1,11162.8,N,10,14000.0,3,501,N,2,2,2,2
24-01004,17,1,6,0,1,2,4,1,1,4187.9,14,4,1100.0,1,501,N,2,2,2,2
51-01301,26,1,6,0,6,0,N,1,2,11162.8,10,9,90300.0,8,501,N,2,2,2,2
24-01004,37,1,2,0,1,0,N,1,2,4187.9,10,9,144000.0,9,501,N,2,2,2,2
30-00600,68,1,1,0,1,0,2,1,1,16.3,11,9,52200.0,7,384,N,2,2,2,2
19-01700,30,2,6,0,2,1,2,1,1,3572.3,13,7,36000.0,5,205,N,2,2,2,2
36-03710,0,1,N,2,9,0,3,1,2,52864.7,N,N,N,N,206,N,N,N,2,2
30-00600,14,1,N,1,1,4,6,1,1,16.3,N,3,N,N,264,N,2,2,2,2
36-03710,35,1,6,2,8,0,3,1,2,52864.7,N,4,9300.0,2,93,N,1,1,2,2
30-00600,9,1,N,0,1,2,4,1,1,16.3,N,3,N,N,377,N,2,2,2,2
36-03710,38,1,6,0,2,N,N,2,0,52864.7,N,5,0.0,0,N,N,2,2,2,2
36-04010,3,2,N,0,1,3,5,1,1,50441.6,N,1,N,N,182,N,N,N,2,2
17-03529,72,2,3,0,2,0,N,1,2,15097.5,N,4,30700.0,5,252,N,2,1,2,2
26-02702,27,2,1,0,1,0,2,1,2,4817.2,14,10,10000.0,2,468,N,2,2,2,2
19-01700,23,1,6,0,1,0,N,1,2,3572.3,14,7,23000.0,4,174,N,2,2,2,2
13-04600,49,1,4,0,2,0,N,1,2,3670.4,6,10,26500.0,5,201,N,2,2,2,2
06-07502,90,1,1,0,1,0,2,1,1,33632.6,11,11,284200.0,9,501,N,2,2,2,1
30-00600,50,2,1,0,1,0,2,1,1,16.3,14,7,13000.0,3,431,N,2,2,2,2
24-01004,12,1,N,0,1,3,5,1,1,4187.9,N,3,N,N,501,N,2,2,2,2
32-00405,22,1,6,1,8,0,4,1,2,7990.5,15,4,19200.0,3,339,N,2,2,2,2
51-51255,16,1,6,0,2,3,6,1,2,11224.3,N,4,0.0,0,106,N,2,2,2,2
19-01700,56,2,5,0,1,0,N,1,1,3572.3,7,4,12600.0,2,96,N,1,1,2,2
38-00100,27,2,1,0,1,1,3,1,1,73.0,6,5,30000.0,4,499,N,2,2,2,2
32-00405,9,2,N,1,1,2,4,1,1,7990.5,N,3,N,N,212,N,2,2,2,2
13-04600,24,2,6,0,2,0,3,1,1,3670.4,11,5,6500.0,2,251,N,2,2,2,2
06-07502,87,2,6,0,1,0,N,1,2,33632.6,N,9,361300.0,9,501,N,2,1,2,2
29-01901,28,1,6,0,2,0,N,1,2,5434.8,13,10,43800.0,7,330,N,2,2,2,2
24-01004,51,2,1,0,1,1,3,1,2,4187.9,14,9,40000.0,5,501,N,2,2,2,2
38-00100,45,1,1,0,1,1,3,1,1,73.0,4,5,0.0,0,204,N,2,2,2,2
36-04010,35,2,6,0,2,0,2,1,1,50441.6,12,9,53000.0,6,501,N,2,2,2,2
40-00200,58,2,6,0,1,0,N,1,1,90.7,N,5,9600.0,2,73,N,2,1,2,2
38-00100,2,1,N,0,1,3,5,1,1,73.0,N,N,N,N,435,N,N,N,2,2
51-01301,4,1,N,0,1,4,6,1,2,11162.8,N,2,N,N,387,N,N,N,2,2
17-03529,67,1,3,0,1,0,N,1,2,15097.5,N,7,63000.0,7,501,N,2,2,2,2
06-08507,81,1,1,0,1,0,2,1,1,3305.1,10,10,54000.0,6,501,N,1,2,1,2
08-00803,65,1,1,0,1,0,2,1,1,3393.2,4,9,193000.0,9,501,N,2,2,2,2
29-01901,34,2,1,2,1,0,2,1,2,5434.8,4,12,140000.0,9,501,N,2,2,2,2
38-00100,38,1,5,0,1,0,N,1,2,73.0,3,4,43000.0,6,327,N,2,2,2,2
29-01901,45,2,6,0,1,0,3,1,1,5434.8,15,9,13000.0,3,501,N,1,2,2,2
08-00803,11,1,N,0,9,3,4,1,1,3393.2,N,3,N,N,28,N,2,2,2,2
06-08507,10,2,N,0,6,2,4,1,2,3305.1,N,3,N,N,501,N,2,2,2,2
28-01100,59,2,1,0,2,0,2,1,1,2674.3,12,9,3500.0,2,317,N,2,2,2,2
28-01100,94,2,3,0,2,0,N,1,2,2674.3,N,7,5900.0,2,48,N,2,1,1,1
40-00200,4,2,N,0,1,6,8,1,1,90.7,N,2,N,N,202,N,N,N,2,2
24-01004,14,1,N,0,6,3,5,1,1,4187.9,N,3,N,N,501,N,2,2,2,2
13-04600,16,2,6,0,2,3,4,1,2,3670.4,14,4,11600.0,3,162,N,2,2,2,2
40-00200,55,1,4,0,3,1,2,1,1,90.7,N,4,14000.0,3,105,N,1,1,1,2
51-51255,2,1,N,0,9,1,3,1,2,11224.3,N,N,N,N,51,N,N,N,2,2
51-51255,43,1,1,1,1,2,4,1,1,11224.3,10,11,191000.0,9,501,N,2,2,2,2
08-00803,64,2,1,0,1,0,2,1,1,3393.2,12,8,0.0,0,107,N,2,2,2,2
08-00803,18,2,6,0,1,N,N,3,0,3393.2,N,7,0.0,0,N,N,2,2,2,2
29-01901,29,2,6,0,2,1,2,1,2,5434.8,6,5,3440.0,1,19,N,2,2,2,2
40-00200,9,1,N,0,1,3,4,1,1,90.7,N,3,N,N,73,N,2,2,2,2
01-01301,18,2,6,0,9,N,N,3,0,2731.2,N,7,0.0,0,N,N,2,2,2,2
40-00200,0,2,N,0,1,3,4,1,1,90.7,N,N,N,N,73,N,N,N,2,2
08-00803,50,2,1,0,1,0,2,1,2,3393.2,4,9,190000.0,9,501,N,2,2,2,2
51-01301,23,1,6,0,6,1,4,1,1,11162.8,10,9,35000.0,5,501,N,2,2,2,2
38-00100,64,1,1,0,1,0,2,1,1,73.0,0,7,10200.0,2,189,N,2,2,2,2
24-01004,42,1,1,0,1,3,5,1,2,4187.9,9,10,250000.0,9,501,N,2,2,2,2
36-04010,7,1,N,0,2,2,7,1,2,50441.6,N,3,N,N,229,N,1,2,2,2
19-01700,48,1,1,0,1,2,4,1,1,3572.3,6,7,30060.0,5,337,N,2,2,2,2
38-00100,18,2,6,0,2,N,N,3,0,73.0,7,8,20000.0,3,N,N,2,2,2,2
24-01004,79,2,3,0,1,0,N,1,1,4187.9,11,10,135000.0,9,501,N,2,1,2,2
32-00405,21,1,6,0,2,0,2,1,2,7990.5,6,7,1200.0,1,210,N,2,2,2,2
28-01100,53,2,1,0,2,1,4,1,2,2674.3,N,4,9300.0,2,144,N,2,2,2,1
51-01301,26,1,6,0,1,0,N,1,2,11162.8,12,12,54000.0,6,410,N,2,2,2,2
17-03531,54,2,4,0,2,0,3,1,1,11171.6,12,8,15600.0,3,115,N,2,2,2,2
17-03531,10,2,N,0,2,1,5,1,1,11171.6,N,3,N,N,235,N,2,2,2,2
01-01301,79,1,6,0,1,0,N,1,1,2731.2,N,10,109100.0,9,501,N,2,2,2,2
13-04600,39,2,6,0,2,2,3,1,2,3670.4,N,5,2800.0,1,13,N,2,2,2,2
40-00200,66,1,4,0,3,0,N,1,1,90.7,7,7,27650.0,5,226,N,2,2,2,2
51-51255,33,2,1,0,1,1,3,1,1,11224.3,15,9,60000.0,7,501,N,2,2,2,2
51-51255,39,1,4,0,1,1,2,1,1,11224.3,11,12,145000.0,9,501,N,2,2,2,2
24-01004,45,1,1,0,1,3,5,1,1,4187.9,6,5,45000.0,5,501,N,2,2,2,2
06-07502,0,2,N,0,1,1,3,1,2,33632.6,N,N,N,N,501,N,N,N,2,2
17-03529,2,2,N,0,2,2,5,1,1,15097.5,N,N,N,N,501,N,N,N,2,2
13-04600,18,1,6,0,2,1,3,1,2,3670.4,N,4,9970.0,2,48,N,1,2,2,2
17-03531,61,1,6,2,1,0,N,1,2,11171.6,N,4,9000.0,2,68,N,2,2,2,1
17-03529,9,1,N,0,2,7,8,1,2,15097.5,N,3,N,N,6,N,2,2,2,2
32-00405,30,1,2,1,1,1,7,1,1,7990.5,14,7,5000.0,1,366,N,2,2,2,2
01-01301,21,1,6,1,1,0,3,1,2,2731.2,10,7,20000.0,4,202,N,2,2,2,2
17-03531,75,2,3,0,2,0,N,1,2,11171.6,N,5,12900.0,2,106,N,2,1,2,2
06-07502,25,2,6,0,1,0,2,1,2,33632.6,10,9,60000.0,7,501,N,2,2,2,2
28-01100,87,2,3,0,1,N,N,3,0,2674.3,N,4,8000.0,2,66,N,1,1,2,2
26-02702,3,2,N,0,2,2,3,1,2,4817.2,N,1,N,N,227,N,N,N,2,2
38-00100,36,2,1,0,1,0,2,1,1,73.0,12,12,44800.0,6,501,N,2,2,2,2
51-51255,14,2,N,0,1,3,5,1,1,11224.3,N,4,N,N,501,N,2,2,2,2
24-01004,17,1,6,0,9,1,4,1,1,4187.9,10,4,1300.0,1,501,N,2,2,2,2
24-01004,23,1,6,0,1,0,N,1,2,4187.9,4,7,20000.0,3,152,N,2,2,2,2
19-01700,35,2,4,0,1,0,N,1,1,3572.3,9,9,52000.0,7,396,N,2,2,2,2
30-00600,67,1,3,0,1,0,N,1,1,16.3,0,7,10000.0,2,82,N,2,2,2,2
30-00600,8,1,N,1,3,4,6,1,2,16.3,N,3,N,N,16,N,2,2,2,2
