,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE
1811,2,1,6,1,9,10,53,1,N,2
25406,2,N,1,2,N,1,6,1,N,2
4641,1,6,6,2,0,9,25,1,N,2
19841,1,6,1,1,5,9,53,1,N,2
22159,2,1,1,1,3,7,38,1,N,2
7821,2,2,1,2,3,5,30,1,N,2
11667,2,1,2,1,6,8,42,1,N,2
9756,2,6,6,2,4,10,26,1,N,2
17894,1,1,1,1,1,8,56,1,N,2
22464,2,1,1,1,7,9,59,1,N,2
9233,2,1,1,1,9,10,36,1,N,2
24515,2,N,3,1,N,3,9,1,N,2
9138,1,1,1,1,9,11,72,1,N,2
7660,2,1,1,1,6,7,49,1,N,2
25369,1,N,1,1,N,2,4,1,N,2
24876,2,N,2,2,N,1,4,1,N,2
24987,1,N,2,2,N,2,6,1,N,2
15388,2,6,5,1,0,5,18,1,N,2
3882,2,4,1,1,8,9,56,1,N,2
6963,2,6,2,2,2,7,73,1,N,2
4557,2,6,2,1,2,9,39,1,N,2
23471,1,N,2,1,N,2,5,1,N,2
16158,2,6,9,2,0,5,19,1,N,2
13656,1,4,1,1,5,8,83,1,N,1
5928,2,4,1,2,0,4,58,1,N,1
20051,1,6,3,2,2,6,43,1,N,1
8909,2,6,1,1,3,8,27,1,N,2
5655,1,4,2,1,3,10,52,1,N,2
26226,1,N,1,1,N,N,1,1,N,2
9384,1,1,6,1,8,10,76,1,N,2
19350,1,1,1,1,9,7,64,1,N,2
14195,2,6,3,2,0,8,20,1,N,2
22513,2,6,1,1,0,4,15,1,N,2
19652,1,1,1,1,6,7,61,1,5,2
542,2,1,2,1,6,5,59,1,N,2
21935,1,1,1,2,7,10,40,1,N,2
14520,1,6,1,1,9,7,31,1,N,2
5210,2,6,2,0,1,5,94,2,N,2
11672,1,6,2,1,5,9,25,1,N,2
17451,2,6,1,2,4,12,33,1,N,2
26681,2,N,1,2,N,3,9,1,N,2
25106,1,N,2,1,N,2,7,1,N,2
11572,2,6,2,2,2,7,21,1,N,2
20695,2,4,1,0,2,7,87,2,N,2
26356,1,N,1,1,N,3,10,1,N,2
12336,1,6,2,2,6,7,64,1,N,2
25707,1,N,1,2,N,N,0,1,N,2
15360,2,1,8,2,2,8,81,1,N,2
6492,2,6,2,1,3,9,53,1,N,2
8644,1,1,1,1,9,11,42,1,N,2
22370,2,6,1,1,8,10,43,1,N,2
9430,1,1,1,1,9,11,63,1,N,2
19609,2,6,1,0,2,7,20,3,N,2
7099,2,1,9,2,5,5,36,1,N,2
18232,2,1,6,1,5,7,40,1,N,2
14288,2,6,1,1,0,7,20,1,N,2
5440,2,4,2,1,8,10,79,1,N,2
270,2,6,8,1,0,5,56,1,N,2
17994,2,4,5,1,5,8,57,1,N,2
8547,2,3,1,1,8,9,95,1,N,2
20937,2,1,1,1,9,11,44,1,N,2
8353,1,1,1,1,0,7,44,1,N,2
17243,2,6,2,1,5,9,29,1,N,2
6023,1,6,2,1,3,5,35,1,N,2
21036,1,6,1,1,1,9,22,1,N,2
22611,2,1,1,1,3,9,51,1,N,2
15747,2,1,8,1,8,7,35,1,N,2
26119,1,N,1,1,N,N,0,1,N,2
2477,2,1,1,2,9,9,37,1,N,2
26445,2,N,9,1,N,3,8,1,N,2
26040,1,N,1,2,N,1,4,1,N,2
6240,2,1,2,1,6,10,48,1,N,2
15359,1,1,8,2,1,8,84,1,N,2
25602,2,N,9,1,N,2,4,1,N,2
14759,1,2,1,1,7,4,62,1,N,2
1749,1,6,1,1,8,9,32,1,N,2
7931,2,1,1,2,8,9,33,1,N,2
1550,2,6,6,2,6,5,52,1,N,2
20000,2,1,1,1,4,9,54,1,N,2
12265,2,3,9,1,2,5,62,1,N,2
27172,1,N,3,1,N,1,4,1,N,2
14714,1,6,1,1,7,9,71,1,N,2
17560,2,1,2,1,3,5,70,1,N,2
24562,2,N,1,1,N,2,4,1,N,2
12977,2,6,1,2,0,4,15,1,N,2
3701,1,6,1,2,1,7,21,1,N,2
8098,1,6,1,1,4,7,18,1,N,2
10697,2,6,6,2,1,7,19,1,N,2
14676,2,1,1,1,5,4,70,1,N,2
5124,1,6,2,2,0,5,45,1,N,2
19203,2,5,1,1,3,5,72,1,N,2
18928,1,1,1,1,6,8,29,1,N,2
1313,2,1,1,1,9,11,44,1,N,2
1639,2,1,6,2,0,10,47,1,N,2
25356,1,N,1,1,N,N,1,1,N,2
1208,2,1,6,1,9,10,46,1,N,2
21996,2,1,1,2,6,9,29,1,N,2
5013,1,6,2,2,4,5,53,1,4,2
4747,1,4,2,1,2,1,66,1,N,1
2850,2,1,1,1,0,9,42,1,N,2
22620,1,1,2,2,6,5,58,1,N,2
26191,2,N,1,1,N,2,5,1,N,2
394,2,4,2,1,5,8,37,1,N,2
3069,1,6,1,2,1,9,25,1,N,2
2224,2,6,1,2,3,9,23,1,N,2
14308,1,6,1,1,1,5,20,1,N,2
11035,1,6,1,1,2,9,26,1,N,2
307,2,6,2,2,0,5,33,1,N,2
12004,1,6,2,1,7,9,47,1,N,2
20972,1,4,1,1,8,12,49,1,N,2
12813,2,6,2,1,2,7,22,1,N,1
26488,2,N,1,2,N,2,5,1,N,2
14098,1,1,1,1,7,5,25,1,N,2
25229,1,N,2,2,N,3,11,1,N,2
14737,1,6,1,2,0,11,87,1,N,2
724,1,1,6,1,9,9,44,1,N,2
11845,2,1,1,1,8,11,27,1,N,2
15599,2,4,1,1,5,8,55,1,N,2
11437,1,6,1,0,2,8,89,2,N,2
13455,2,1,1,1,1,4,47,1,N,2
2276,2,5,1,1,4,9,48,1,N,2
20057,1,6,3,1,2,4,17,1,N,2
7900,1,1,1,1,5,9,41,1,N,2
21552,1,6,1,2,8,10,45,1,N,2
27095,1,N,1,2,N,3,10,1,N,2
10798,1,1,1,1,9,11,58,1,N,2
9523,2,6,1,2,6,10,30,1,N,2
25243,1,N,2,2,N,3,9,1,N,2
19363,2,1,1,1,0,5,45,1,N,2
26500,2,N,1,1,N,2,6,1,N,2
7086,2,4,2,2,2,5,88,1,N,2
10281,2,2,1,1,7,10,55,1,N,2
21583,2,4,6,1,7,9,49,1,N,2
13599,2,1,1,1,7,9,62,1,N,2
6234,2,6,2,2,2,7,41,1,N,2
8985,2,1,1,1,5,9,69,1,N,2
3379,1,6,1,2,3,10,74,1,N,2
17270,1,2,8,2,6,5,39,1,N,2
12477,1,6,2,1,6,5,27,1,N,2
22717,2,1,6,1,8,9,31,1,N,2
18605,2,6,1,1,5,4,19,1,N,2
19699,1,6,3,2,0,5,19,1,N,2
8804,2,1,1,1,9,10,49,1,N,2
9172,1,1,1,1,9,11,63,1,N,2
10557,2,6,1,0,5,7,18,3,N,2
16308,2,3,2,1,2,4,83,1,N,2
18245,1,1,1,1,7,9,41,1,N,2
7352,1,6,1,2,0,9,54,1,N,1
21397,1,1,6,1,1,9,51,1,N,2
22004,2,1,1,1,4,9,57,1,N,2
17360,2,1,1,2,8,8,32,1,N,2
812,2,1,1,1,9,10,64,1,N,2
10497,1,6,1,0,5,7,19,3,N,2
21716,2,1,1,1,9,10,49,1,N,2
20471,2,4,1,1,4,6,48,1,N,2
14733,2,1,1,1,9,9,54,1,N,2
11719,2,1,2,1,5,7,50,1,N,2
10284,1,2,2,1,4,8,31,1,N,2
26629,1,N,1,1,N,N,2,1,N,2
16657,1,6,2,1,0,7,19,1,N,2
4155,2,6,2,0,0,7,21,3,N,2
989,2,6,9,2,5,8,38,1,N,2
11004,2,6,1,2,4,10,27,1,N,2
20164,2,4,3,1,3,5,33,1,N,2
10766,2,6,1,1,0,6,23,1,N,2
23159,1,N,2,2,N,3,12,1,N,2
25388,1,N,1,2,N,3,12,1,N,2
27168,1,N,1,1,N,1,6,1,N,2
20332,1,6,3,1,0,7,26,1,N,2
7011,1,6,1,2,2,7,57,1,N,2
13027,1,6,1,1,8,9,28,1,N,2
17747,1,6,1,0,3,7,21,3,N,2
20808,1,6,1,2,9,9,22,1,N,2
1388,1,6,6,2,9,9,27,1,N,2
5971,2,6,9,2,4,5,27,1,N,2
3041,2,6,1,2,2,9,24,1,N,2
17408,2,6,2,2,3,7,24,1,N,2
5461,2,3,2,1,2,5,85,1,N,1
17285,1,1,1,1,3,4,72,1,N,2
2298,2,1,1,1,2,7,79,1,N,2
16888,2,6,2,1,2,6,39,1,N,2
4946,1,1,2,2,3,7,83,1,N,2
10261,1,1,8,1,9,9,37,1,N,2
26134,2,N,1,1,N,2,5,1,N,2
1159,2,6,1,2,1,7,19,1,N,2
19162,2,1,1,1,4,9,55,1,N,2
23440,2,N,2,2,N,3,13,1,N,2
