AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,1,N,1,1,1,3,N,N
10,2,5,6,1,2,1,1,4
12,1,3,6,3,2,10,9,3
13,1,N,6,1,2,3,N,N
13,1,N,6,1,2,3,N,N
13,1,N,6,1,2,3,N,N
13,1,N,6,1,2,3,N,N
13,1,N,6,1,2,3,N,N
15,1,1,6,1,2,9,3,2
18,1,1,9,2,1,7,3,4
18,1,3,2,3,0,5,4,5
18,2,3,2,3,1,10,1,5
18,2,6,9,3,0,7,3,N
18,2,6,9,3,0,7,3,N
19,2,2,8,2,0,3,4,1
20,2,6,3,1,2,5,1,N
21,1,6,6,3,0,7,0,N
21,1,6,6,3,0,7,0,N
21,1,6,6,3,0,7,0,N
21,1,6,6,3,0,7,0,N
21,1,6,6,3,0,7,0,N
21,1,6,6,3,0,7,0,N
21,1,6,6,3,0,7,0,N
21,1,6,6,3,0,7,3,N
21,1,6,6,3,0,7,3,N
21,2,6,2,1,1,1,2,N
21,2,6,3,1,1,7,3,N
21,2,6,3,1,1,7,3,N
22,1,6,1,3,0,8,3,N
22,1,6,6,1,2,9,6,N
22,1,6,6,1,2,9,6,N
22,2,4,3,2,1,6,9,6
22,2,6,2,1,1,9,0,N
22,2,6,6,1,2,9,0,N
22,2,6,6,1,2,9,0,N
22,2,6,6,1,2,9,0,N
23,2,5,2,3,0,6,9,1
24,1,6,1,1,2,9,8,N
24,1,6,1,1,2,9,8,N
24,1,6,1,1,2,9,8,N
24,1,6,1,1,2,9,8,N
24,1,6,1,1,2,9,8,N
24,1,6,1,1,2,9,8,N
24,1,6,2,1,1,4,0,N
25,1,6,1,1,1,10,2,N
25,2,6,1,1,2,9,7,N
25,2,6,1,1,2,9,7,N
25,2,6,1,1,2,9,7,N
25,2,6,2,1,2,5,5,N
25,2,6,2,1,2,5,5,N
26,1,1,7,1,2,9,N,5
26,1,2,2,1,2,8,5,N
26,2,1,2,2,2,3,1,5
27,1,2,1,1,1,10,7,N
27,2,6,1,1,1,7,8,N
28,1,6,1,1,1,9,7,N
28,1,6,6,1,1,9,6,N
28,2,1,1,1,1,7,4,N
28,2,6,1,1,1,7,6,N
28,2,6,2,1,0,3,0,2
29,1,1,1,1,1,8,6,N
30,1,1,1,1,2,5,7,N
30,1,1,3,1,1,5,5,N
30,1,6,1,1,2,8,5,N
30,1,6,2,1,2,9,5,N
30,2,1,1,1,1,7,0,N
30,2,6,1,1,2,8,5,N
30,2,6,2,1,1,4,2,N
30,2,6,2,1,1,4,2,N
31,1,5,9,2,0,1,5,4
31,1,6,1,1,2,12,5,N
31,1,6,2,1,2,7,4,N
31,1,6,6,1,1,11,9,N
31,2,1,1,1,1,8,5,N
31,2,1,2,1,2,8,1,N
31,2,4,9,1,0,2,2,N
32,1,1,1,1,1,9,4,N
32,2,2,2,1,2,7,1,N
32,2,6,1,1,2,9,2,N
33,1,6,1,1,2,12,8,N
33,1,6,1,1,2,12,8,N
33,1,6,2,1,2,9,8,N
33,2,2,9,1,2,11,9,N
34,1,6,1,1,2,10,6,N
34,2,1,1,1,1,5,0,N
34,2,1,1,1,1,5,0,N
34,2,4,1,1,1,8,7,N
34,2,6,2,1,1,10,0,N
35,1,5,1,2,2,8,7,2
35,1,6,2,2,0,4,9,N
35,1,6,2,2,0,4,9,N
35,2,1,1,1,2,10,1,N
35,2,6,2,1,1,9,7,N
35,2,6,2,1,1,9,7,N
36,1,1,6,1,2,9,4,N
36,1,5,3,1,1,6,1,2
36,1,6,1,1,1,10,9,N
36,1,6,1,1,1,10,9,N
36,1,6,1,1,1,10,9,N
37,2,4,1,1,2,11,7,N
38,1,1,1,1,1,4,6,N
38,1,4,1,1,1,9,6,N
38,2,2,1,3,0,9,3,N
38,2,4,5,3,2,7,7,6
39,1,4,2,3,0,6,1,2
39,2,2,2,1,2,4,5,N
39,2,6,2,1,2,5,5,N
39,2,6,3,1,1,3,3,N
39,2,6,6,3,0,5,3,N
40,1,1,1,1,1,10,9,N
40,1,1,1,1,1,10,9,N
40,1,1,1,1,1,10,9,N
40,1,1,1,1,1,10,9,N
40,1,1,1,1,1,10,9,N
40,1,1,1,1,1,10,9,N
40,1,6,3,1,2,7,7,N
40,2,2,8,1,2,5,2,N
41,1,1,1,1,1,5,7,N
41,1,1,1,1,1,5,7,N
41,1,6,2,1,2,5,7,N
41,2,1,1,1,1,11,2,N
42,1,1,1,1,1,11,9,N
42,1,1,1,1,1,11,9,N
42,1,1,1,1,1,11,9,N
42,1,1,1,1,1,11,9,N
42,1,1,1,1,1,11,9,N
42,1,4,9,1,1,12,1,6
42,1,6,1,3,2,10,N,1
42,2,6,1,1,2,3,3,N
43,1,1,1,1,1,10,9,N
43,1,1,1,1,1,10,9,N
43,1,1,1,1,1,10,9,N
43,1,1,1,1,1,10,9,N
43,1,1,1,1,1,10,9,N
43,1,1,2,1,1,10,8,N
43,1,1,9,1,1,9,5,3
44,2,6,2,1,2,8,4,N
45,1,6,2,2,0,6,1,N
45,2,1,6,1,1,9,6,N
45,2,6,1,3,1,8,7,4
46,1,4,2,1,2,6,2,N
46,1,6,9,1,1,6,1,N
46,2,1,1,1,1,5,5,N
47,1,6,9,1,1,6,6,N
47,2,6,1,1,1,8,7,N
48,2,1,9,1,1,8,8,N
48,2,5,3,2,1,7,1,5
48,2,6,2,1,2,7,0,N
49,1,1,1,1,1,7,7,N
49,1,4,1,1,2,7,6,N
50,1,1,1,1,2,9,9,N
50,1,1,7,2,1,2,0,1
50,1,4,4,1,2,12,7,6
50,1,5,2,1,2,5,3,N
50,2,4,1,1,2,6,1,N
51,1,1,6,1,1,9,1,N
51,2,1,1,1,1,7,2,N
51,2,6,1,1,1,9,6,N
53,1,1,2,1,2,8,9,N
53,2,6,2,1,2,4,7,N
55,1,1,2,1,2,10,0,N
55,1,5,1,1,2,7,6,N
55,2,1,2,1,2,6,0,N
56,2,1,1,1,1,9,2,N
56,2,5,2,1,1,9,6,N
57,1,4,2,1,1,12,2,N
57,1,5,7,1,0,9,1,6
57,1,6,1,1,1,5,7,N
57,2,6,2,2,0,5,3,N
58,2,1,2,1,1,9,1,N
58,2,3,4,3,2,5,2,3
58,2,4,2,1,1,7,8,N
58,2,6,1,1,1,9,7,N
59,1,1,1,1,2,8,7,N
59,1,6,2,3,0,7,2,3
59,2,4,1,1,1,10,6,N
59,2,4,1,3,0,7,2,N
59,2,6,2,1,2,5,2,N
60,1,1,1,1,1,3,6,N
60,1,3,5,2,0,2,9,6
60,2,3,2,1,1,8,7,N
61,1,4,2,3,0,6,0,N
61,1,6,2,1,2,7,3,N
61,1,6,2,1,2,7,3,N
61,1,N,2,1,2,12,N,N
61,2,6,1,1,1,10,9,N
61,2,6,1,1,2,9,9,N
62,2,1,2,1,1,5,4,N
62,2,4,8,3,1,12,7,3
63,2,1,6,1,1,9,0,N
63,2,1,6,1,1,9,0,N
63,2,3,1,1,2,8,6,N
63,2,3,6,1,1,8,9,N
63,2,4,1,1,1,8,9,N
64,1,4,6,1,2,6,5,N
64,2,1,1,1,1,7,5,N
64,2,1,6,1,1,10,9,N
64,2,1,6,1,1,10,9,N
64,2,1,6,1,1,10,9,N
65,2,1,1,1,1,7,7,N
65,2,1,1,1,1,7,7,N
65,2,4,9,1,2,9,2,N
65,2,6,1,1,2,9,4,N
66,1,1,1,1,1,12,5,N
66,1,4,2,1,2,7,5,N
66,2,1,1,1,1,8,4,N
66,2,3,6,1,2,9,6,N
67,1,1,2,1,1,5,4,N
67,1,1,2,1,1,5,4,N
67,1,4,1,1,2,5,1,N
67,2,4,2,1,2,5,4,N
67,2,4,2,1,2,5,4,N
68,1,1,1,1,1,7,7,N
68,1,2,1,1,1,7,9,N
68,1,6,5,3,0,6,2,1
68,2,1,3,1,1,5,4,N
69,1,2,6,1,2,7,7,N
69,1,5,1,1,0,N,5,N
69,2,5,2,1,2,7,2,N
70,1,4,2,1,1,5,3,N
70,1,4,2,1,1,5,3,N
70,1,4,2,1,1,5,3,N
70,2,1,2,1,1,5,3,N
70,2,1,2,1,1,5,3,N
70,2,1,2,1,1,9,7,N
70,2,5,2,1,2,6,2,N
70,2,5,2,1,2,6,2,N
70,2,6,2,1,2,9,4,N
71,2,1,2,1,1,5,2,N
72,1,1,1,1,1,4,5,5
72,1,1,2,1,1,7,3,N
72,1,1,2,1,1,7,3,N
72,1,6,2,1,2,5,2,N
72,2,1,1,1,1,5,1,N
72,2,1,1,1,1,5,1,N
72,2,1,1,1,1,8,3,N
72,2,3,2,1,1,3,2,N
72,2,3,6,1,1,7,2,N
72,2,4,2,1,2,9,1,N
72,2,6,1,1,2,6,3,N
74,2,1,2,1,2,5,3,N
74,2,6,4,3,2,11,8,N
74,2,N,6,2,1,N,4,2
75,1,1,1,1,1,5,4,N
75,1,1,1,1,1,5,4,N
75,1,6,1,2,1,7,N,N
75,2,2,6,1,2,10,2,N
75,2,4,1,1,2,7,9,N
75,2,6,1,3,1,11,3,6
76,1,1,1,1,1,10,8,N
76,1,1,1,1,1,10,8,N
76,1,1,1,1,1,10,8,N
76,1,1,1,1,1,10,8,N
76,1,1,2,1,1,10,7,N
76,1,1,2,1,1,5,1,N
76,2,3,2,1,1,10,6,N
77,1,1,1,1,1,5,4,N
77,1,1,1,1,1,5,4,N
77,1,2,5,2,0,N,9,5
77,1,4,2,1,2,4,2,N
77,2,4,2,1,1,9,4,N
78,1,6,7,2,0,11,5,4
78,2,N,5,1,2,N,N,5
79,1,1,2,1,1,1,3,N
80,1,3,9,2,1,9,3,5
80,2,1,1,1,1,7,2,N
81,1,1,1,1,1,7,5,N
81,2,3,2,1,2,4,3,N
82,2,3,6,1,1,10,4,N
84,1,5,1,1,1,8,2,N
84,2,1,1,1,1,9,2,N
85,2,3,2,1,1,4,2,N
87,1,1,1,1,1,12,4,N
89,2,3,1,1,1,5,4,N
90,2,6,2,1,2,3,3,N
91,1,3,1,1,1,5,1,N
91,2,N,7,2,0,7,0,1
93,2,3,1,1,1,9,2,N
1,1,6,7,3,1,5,8,2
4,2,2,3,2,1,5,5,6
5,1,N,1,1,1,1,N,N
5,1,N,1,1,1,1,N,N
5,1,N,1,1,1,1,N,N
5,1,N,1,1,1,1,N,N
5,1,N,1,1,1,1,N,N
5,1,N,1,1,1,1,N,N
5,1,N,1,1,1,1,N,N
5,1,N,1,1,1,1,N,N
5,1,N,1,1,1,1,N,N
5,1,N,1,1,1,1,N,N
5,1,N,1,1,1,1,N,N
5,1,N,1,1,1,1,N,N
5,1,N,1,1,1,1,N,N
5,1,N,1,1,1,1,N,N
5,1,N,1,1,1,1,N,N
5,2,1,2,1,2,4,6,4
8,1,3,1,1,2,N,6,4
8,2,N,3,1,2,3,N,N
8,2,N,3,1,2,3,N,N
9,1,N,8,1,1,3,N,N
9,1,N,8,1,1,3,N,N
9,1,N,8,1,1,3,N,N
9,1,N,8,1,1,3,N,N
9,1,N,8,1,1,3,N,N
9,1,N,8,1,1,3,N,N
16,1,6,2,2,0,3,0,N
16,2,N,1,2,2,N,0,N
17,2,6,2,1,2,4,0,N
17,2,6,2,1,2,4,0,N
17,2,6,2,1,2,4,0,N
17,2,6,2,1,2,4,0,N
17,2,6,2,1,2,4,0,N
17,2,6,2,1,2,4,0,N
17,2,6,2,1,2,4,0,N
17,2,6,2,1,2,4,0,N
17,2,6,2,1,2,4,0,N
18,2,1,7,1,0,8,8,2
18,2,6,1,1,1,5,2,N
18,2,6,1,1,1,5,2,N
19,1,4,1,3,2,N,4,5
19,1,6,2,3,0,5,0,N
19,1,6,2,3,0,5,0,N
19,1,6,7,1,1,6,5,1
20,1,3,3,2,0,5,2,3
20,1,6,1,3,0,7,1,N
20,1,6,1,3,0,7,1,N
20,1,6,1,3,0,7,1,N
20,1,6,1,3,0,7,1,N
20,1,6,1,3,0,7,1,N
20,1,6,1,3,0,7,1,N
20,2,6,1,1,1,7,1,N
20,2,6,1,1,1,7,1,N
20,2,6,1,1,1,7,1,N
20,2,6,1,1,1,7,1,N
20,2,6,1,1,1,7,1,N
20,2,6,1,3,0,7,4,N
20,2,6,1,3,0,7,4,N
20,2,N,2,3,1,8,6,5
21,1,6,1,1,2,8,2,N
21,2,6,5,2,2,4,9,1
22,1,6,2,1,2,7,2,N
22,1,6,2,1,2,7,2,N
22,1,N,8,3,2,11,1,3
22,2,4,1,1,1,5,2,N
22,2,4,7,1,0,5,N,6
23,1,6,2,1,1,9,6,N
24,1,6,8,1,1,5,1,N
25,2,6,9,1,0,2,3,2
26,1,1,1,1,2,5,4,N
26,1,4,2,1,2,9,5,N
26,2,1,1,1,2,9,0,N
26,2,6,7,3,2,5,8,1
27,1,6,2,1,1,5,7,N
27,2,1,1,1,2,6,0,N
27,2,6,1,1,2,11,2,N
28,1,1,8,1,2,9,6,N
28,1,6,1,1,1,7,2,N
28,2,6,1,1,1,7,0,N
29,1,1,1,1,1,4,7,N
29,1,6,1,1,2,6,7,N
29,2,1,1,1,1,11,8,N
29,2,2,6,1,2,12,0,N
29,2,2,9,2,1,1,5,3
30,1,6,2,1,2,10,2,N
30,2,6,1,1,2,5,2,N
30,2,6,3,1,1,1,N,N
31,1,6,1,1,1,8,4,N
31,2,1,1,1,1,10,9,N
31,2,1,1,1,1,10,9,N
31,2,6,1,1,2,5,3,N
32,2,1,1,1,2,9,9,N
32,2,1,1,1,2,9,9,N
32,2,1,1,1,2,9,9,N
32,2,6,1,1,1,4,4,N
32,2,6,2,1,2,4,4,N
33,2,1,1,1,2,10,3,N
33,2,1,1,1,2,9,7,N
33,2,1,1,1,2,9,7,N
33,2,1,1,1,2,9,7,N
33,2,2,1,1,2,4,3,N
33,2,5,1,1,2,4,5,N
33,2,5,1,3,0,7,1,N
34,1,4,1,1,2,9,7,N
35,1,6,1,1,1,5,7,N
35,2,2,2,1,1,5,5,N
35,2,2,8,1,2,5,2,N
35,2,6,2,1,2,9,7,N
36,1,N,2,3,1,10,0,6
36,2,1,1,1,1,5,2,N
36,2,5,2,3,2,N,2,3
37,1,1,2,1,1,9,8,N
37,2,6,1,1,2,6,2,N
37,2,6,6,1,1,12,3,N
38,1,4,2,1,1,7,6,N
39,2,1,3,2,1,N,N,N
39,2,1,6,1,2,7,1,N
39,2,4,8,1,2,7,4,N
40,1,3,8,2,0,2,5,6
40,1,6,1,1,1,8,6,N
40,2,4,1,1,1,6,6,N
40,2,6,2,1,2,5,5,N
41,1,1,1,1,1,8,4,N
41,1,1,6,1,2,7,2,N
41,2,1,6,1,1,10,9,N
42,1,6,7,3,0,7,8,5
42,2,1,8,2,1,4,5,2
43,1,1,1,1,1,10,8,N
43,1,1,2,1,1,9,6,N
43,1,2,7,1,2,7,4,N
43,2,1,1,1,2,7,6,N
43,2,6,1,1,2,9,9,N
44,1,1,1,1,2,7,2,N
44,1,6,2,1,1,7,4,N
44,1,6,2,1,2,4,2,N
44,1,6,2,1,2,4,2,N
44,1,6,2,1,2,4,2,N
44,1,N,2,3,1,8,5,2
44,2,1,1,1,1,9,9,N
44,2,1,1,1,1,9,9,N
44,2,1,1,1,1,9,9,N
44,2,4,7,3,2,6,8,1
45,1,1,8,1,1,4,6,N
45,1,N,5,1,2,3,6,3
45,2,1,6,1,1,11,9,N
45,2,1,6,1,1,11,9,N
45,2,4,3,1,1,10,9,N
46,2,1,6,1,1,12,9,N
46,2,1,6,1,1,9,0,N
46,2,1,9,1,2,5,6,N
46,2,4,1,1,2,4,2,N
47,1,2,1,2,0,4,0,N
47,1,4,1,1,1,6,1,N
47,1,4,1,1,2,9,7,N
47,1,N,7,3,2,5,5,5
47,2,1,8,3,2,9,1,3
47,2,2,1,1,1,4,3,N
47,2,5,2,1,1,9,1,N
48,1,1,1,1,1,5,1,N
48,1,1,2,1,2,5,7,N
48,2,1,1,1,1,10,0,N
48,2,1,1,1,1,10,0,N
48,2,2,6,1,1,4,4,N
49,1,1,1,1,1,5,6,N
49,1,1,1,1,1,5,6,N
49,1,1,1,1,1,5,6,N
49,1,4,1,1,1,7,4,N
49,2,1,1,1,1,9,3,N
49,2,1,1,1,1,9,3,N
49,2,4,3,2,2,N,4,6
49,2,6,1,1,1,5,1,N
50,1,6,1,1,1,5,8,N
50,2,6,2,1,1,7,0,N
51,1,1,2,1,1,8,5,N
51,2,1,2,1,2,4,2,N
51,2,6,1,1,1,9,8,N
52,1,6,1,1,1,7,7,N
52,1,6,3,1,1,5,1,N
52,2,6,2,2,0,4,1,N
53,1,1,1,1,1,4,0,N
53,1,1,2,1,1,7,8,N
53,2,1,2,1,1,8,6,N
53,2,1,6,1,0,7,7,3
54,1,1,1,1,1,7,7,N
54,1,1,6,1,2,10,3,N
54,2,1,6,1,2,3,4,N
55,1,1,2,1,2,7,6,N
55,1,6,3,1,1,6,4,N
55,2,1,2,1,1,9,7,N
55,2,1,2,1,1,9,7,N
55,2,6,1,1,1,11,9,N
56,1,6,1,1,2,7,5,N
56,2,1,3,1,1,7,5,N
56,2,4,1,1,1,5,5,N
56,2,4,1,1,1,7,4,N
56,2,5,2,1,2,7,7,N
57,1,1,1,1,1,4,7,N
57,2,1,1,1,1,5,4,N
57,2,1,1,1,1,5,4,N
57,2,1,1,1,1,5,4,N
57,2,5,2,1,2,5,2,N
58,2,1,2,1,1,7,4,N
58,2,4,1,1,1,1,3,N
59,1,4,2,1,2,4,2,N
59,2,1,1,1,2,9,6,N
59,2,1,2,1,2,5,2,N
60,2,1,2,1,2,7,2,N
60,2,1,3,1,1,1,2,N
60,2,4,8,1,2,11,6,1
61,1,1,1,1,1,5,8,N
61,1,4,1,1,2,7,0,2
61,1,4,2,1,2,7,6,N
63,1,4,2,1,2,1,0,N
63,1,6,2,1,2,7,1,6
63,2,1,1,1,1,10,7,N
63,2,1,1,1,1,10,7,N
63,2,3,2,1,2,6,6,N
63,2,6,1,1,1,5,5,N
64,2,2,6,1,2,5,2,N
64,2,4,2,1,2,7,3,N
65,1,1,3,1,1,7,3,N
65,1,1,3,1,1,7,3,N
65,1,5,2,1,2,9,7,N
65,2,3,2,1,1,12,8,N
66,1,1,1,1,1,5,9,N
66,1,1,6,1,2,4,4,N
66,1,4,1,1,1,3,2,N
66,1,4,1,2,0,7,2,N
66,1,6,1,1,2,5,4,N
66,2,4,2,1,2,7,8,N
67,1,1,1,1,1,10,9,N
67,1,1,1,1,1,10,9,N
67,1,1,1,1,1,10,9,N
67,1,1,1,1,1,10,9,N
67,1,1,1,1,2,5,2,N
67,1,1,2,1,1,8,6,N
67,1,3,6,1,1,9,0,N
67,1,4,1,1,1,5,4,N
67,1,4,1,1,2,8,4,N
67,2,1,3,1,1,9,3,N
67,2,4,1,1,1,6,2,N
68,1,2,5,2,1,7,2,3
68,1,4,1,1,1,7,5,N
68,2,1,1,1,1,10,3,N
68,2,1,1,1,1,10,3,N
68,2,1,1,1,1,10,3,N
68,2,1,1,1,1,5,5,N
68,2,3,1,1,2,9,8,N
69,2,3,6,1,1,10,7,N
69,2,4,1,1,1,7,4,N
69,2,5,2,1,2,8,2,N
69,2,6,2,1,1,7,5,N
70,1,4,2,1,2,7,4,N
70,2,3,2,1,1,10,3,N
70,2,4,3,1,1,7,5,N
70,2,5,9,3,0,3,0,N
70,2,N,5,1,1,8,1,5
71,1,5,2,1,2,11,2,N
71,2,1,2,1,1,7,5,N
71,2,2,1,1,1,4,0,N
71,2,3,1,1,1,5,5,N
71,2,3,2,1,1,8,4,N
71,2,4,1,1,1,4,3,N
71,2,4,2,1,2,7,2,N
72,2,1,1,1,1,10,8,N
72,2,1,1,1,1,10,8,N
72,2,5,4,1,0,2,0,N
73,1,3,2,1,1,4,4,N
73,1,6,1,1,1,5,9,N
73,2,4,1,1,1,10,9,N
74,1,2,9,2,0,1,2,1
74,2,3,6,1,2,1,0,N
75,1,4,1,1,1,7,7,N
75,1,4,2,1,2,7,2,N
76,2,2,2,2,0,4,5,N
76,2,4,4,2,0,N,1,2
76,2,6,2,1,2,4,2,N
77,1,1,2,1,1,8,1,N
77,1,2,1,1,1,9,6,N
78,2,3,1,1,1,7,7,N
79,1,1,1,1,1,11,5,N
79,1,4,3,1,2,5,4,N
79,2,6,9,3,1,7,4,2
80,1,1,2,1,1,7,1,N
80,2,1,1,1,1,5,2,N
80,2,3,1,1,1,5,3,N
80,2,6,2,1,1,5,3,N
80,2,N,2,3,2,6,4,5
81,1,6,5,3,2,12,7,3
82,1,1,2,1,1,4,1,N
82,1,1,2,1,1,7,4,N
82,2,N,2,1,2,3,4,5
83,1,4,1,1,1,11,9,N
83,1,5,1,1,1,5,5,N
83,2,4,1,1,2,6,3,N
83,2,5,8,3,2,6,4,3
84,2,3,1,1,1,5,2,N
85,1,2,8,2,2,N,1,4
85,2,3,1,1,1,5,5,N
87,2,3,1,1,1,7,7,N
88,2,3,1,1,1,4,4,N
89,1,3,2,2,0,6,N,5
89,1,6,8,1,2,3,2,N
89,2,4,9,2,0,11,4,6
90,2,3,1,1,2,7,6,N
91,1,3,1,1,1,5,6,N
92,1,3,6,2,1,4,9,4
0,1,2,1,2,0,6,6,6
0,2,2,1,3,2,1,6,5
2,1,6,6,1,2,2,0,5
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
2,1,N,2,1,2,N,N,N
4,2,N,3,1,2,1,N,N
4,2,N,3,1,2,1,N,N
4,2,N,3,1,2,1,N,N
4,2,N,3,1,2,1,N,N
4,2,N,3,1,2,1,N,N
5,1,3,2,1,1,2,5,2
6,2,2,1,2,2,5,2,1
6,2,5,4,2,0,9,7,5
6,2,N,6,1,1,3,N,N
6,2,N,6,1,1,3,N,N
10,2,N,6,1,2,3,N,N
10,2,N,6,1,2,3,N,N
10,2,N,6,1,2,3,N,N
10,2,N,6,1,2,3,N,N
11,2,1,6,1,0,N,N,2
12,2,1,3,1,0,10,2,4
14,1,N,3,1,1,3,N,N
14,1,N,3,1,1,3,N,N
14,1,N,3,1,1,3,N,N
15,1,6,6,1,1,4,0,N
15,1,6,6,1,1,4,0,N
15,1,6,6,1,1,4,0,N
15,1,6,6,1,1,4,0,N
15,1,6,6,1,1,4,0,N
15,1,6,6,1,1,4,0,N
15,1,6,6,1,1,4,0,N
15,1,6,6,1,1,4,0,N
15,1,6,6,1,1,4,0,N
15,1,6,6,1,1,4,0,N
16,1,3,4,1,0,3,3,3
16,1,3,7,1,0,12,0,2
17,1,N,2,1,0,3,5,N
18,1,6,2,1,1,1,0,N
18,2,6,1,1,1,5,0,N
18,2,6,1,1,1,5,0,N
18,2,6,1,1,1,5,0,N
18,2,6,1,1,1,5,0,N
18,2,6,1,1,1,5,0,N
18,2,6,1,1,1,5,0,N
19,2,6,1,1,2,5,4,N
19,2,6,6,3,0,7,5,N
19,2,6,9,1,2,5,0,N
19,2,6,9,1,2,5,0,N
20,2,1,1,1,2,5,0,N
20,2,6,2,1,1,8,2,N
21,1,6,1,1,1,7,6,N
21,1,6,1,3,0,7,0,N
21,1,6,1,3,0,7,0,N
21,1,6,1,3,0,7,0,N
21,1,6,1,3,0,7,0,N
21,1,6,1,3,0,7,0,N
21,1,6,2,1,1,5,1,N
21,1,6,4,2,2,7,6,1
21,2,6,2,1,2,5,3,N
21,2,6,2,1,2,5,3,N
21,2,6,2,1,2,5,3,N
22,1,6,1,1,2,9,3,N
22,1,6,1,1,2,9,3,N
22,1,6,1,1,2,9,3,N
22,1,6,1,1,2,9,3,N
22,1,6,1,1,2,9,3,N
22,1,6,2,1,1,8,2,N
22,1,6,6,1,2,10,0,N
22,1,6,6,1,2,10,0,N
22,1,6,6,1,2,10,0,N
23,1,1,1,1,2,9,2,N
23,1,6,1,1,2,9,6,N
23,1,6,1,1,2,9,6,N
23,1,6,1,1,2,9,6,N
23,1,6,1,1,2,9,6,N
23,1,6,1,1,2,9,6,N
