,DENSITY,count_target,count_deidentified
209,11277,0.0,29.0
210,50629,0.0,30.0
211,50122,0.0,19.0
212,50402,0.0,24.0
213,50415,0.0,24.0
214,50430,0.0,24.0
215,50450,0.0,31.0
216,50471,0.0,25.0
217,50487,0.0,27.0
218,50503,0.0,22.0
219,50551,0.0,26.0
220,50565,0.0,30.0
221,50631,0.0,27.0
222,33292,0.0,34.0
223,50637,0.0,25.0
224,50646,0.0,29.0
225,50693,0.0,33.0
226,50719,0.0,16.0
227,50723,0.0,26.0
228,50750,0.0,28.0
229,50758,0.0,31.0
230,50768,0.0,22.0
231,50820,0.0,33.0
232,50821,0.0,25.0
233,47240,0.0,28.0
234,35745,0.0,29.0
235,34123,0.0,30.0
236,33865,0.0,26.0
237,33381,0.0,25.0
238,33385,0.0,26.0
239,33392,0.0,32.0
240,33496,0.0,26.0
241,33513,0.0,22.0
242,33524,0.0,28.0
243,33531,0.0,29.0
244,33540,0.0,23.0
245,33570,0.0,27.0
246,33574,0.0,27.0
247,33609,0.0,22.0
248,33634,0.0,52.0
249,33656,0.0,31.0
250,33686,0.0,30.0
251,33700,0.0,30.0
252,33720,0.0,26.0
253,33759,0.0,30.0
254,33821,0.0,20.0
255,33825,0.0,19.0
256,33833,0.0,26.0
257,33849,0.0,12.0
258,50855,0.0,18.0
259,50908,0.0,30.0
260,50920,0.0,25.0
261,52204,0.0,20.0
262,52221,0.0,15.0
263,52234,0.0,31.0
264,52241,0.0,40.0
265,52268,0.0,20.0
266,52311,0.0,27.0
267,52312,0.0,31.0
268,52340,0.0,28.0
269,52357,0.0,32.0
270,52389,0.0,30.0
271,52407,0.0,34.0
272,52548,0.0,24.0
273,52566,0.0,32.0
274,52611,0.0,24.0
275,52635,0.0,28.0
276,52734,0.0,24.0
277,52743,0.0,29.0
278,52748,0.0,27.0
279,52786,0.0,32.0
280,52810,0.0,30.0
281,52829,0.0,33.0
282,52852,0.0,38.0
283,52209,0.0,30.0
284,52182,0.0,22.0
285,50929,0.0,24.0
286,52143,0.0,26.0
287,50937,0.0,26.0
288,50968,0.0,24.0
289,51003,0.0,29.0
290,51006,0.0,32.0
291,51009,0.0,26.0
292,51017,0.0,37.0
293,51032,0.0,32.0
294,51057,0.0,25.0
295,51059,0.0,22.0
296,51087,0.0,27.0
297,51110,0.0,30.0
298,51118,0.0,29.0
299,51124,0.0,19.0
300,51149,0.0,30.0
301,51158,0.0,27.0
302,51188,0.0,18.0
303,52040,0.0,26.0
304,52043,0.0,37.0
305,52051,0.0,21.0
306,52056,0.0,26.0
307,52061,0.0,30.0
308,33327,0.0,28.0
309,33289,0.0,29.0
310,11282,0.0,29.0
311,14906,0.0,27.0
312,11526,0.0,27.0
313,11532,0.0,30.0
314,11544,0.0,32.0
315,11548,0.0,27.0
316,11559,0.0,20.0
317,11565,0.0,27.0
318,11566,0.0,26.0
319,12078,0.0,20.0
320,14897,0.0,34.0
321,14903,0.0,29.0
322,14910,0.0,24.0
323,33236,0.0,35.0
324,14948,0.0,30.0
325,14963,0.0,34.0
326,14970,0.0,28.0
327,14971,0.0,26.0
328,15015,0.0,31.0
329,15030,0.0,27.0
330,15045,0.0,28.0
331,15053,0.0,22.0
332,15067,0.0,26.0
333,15072,0.0,46.0
334,11513,0.0,29.0
335,11504,0.0,36.0
336,11503,0.0,21.0
337,11499,0.0,25.0
338,4721,0.0,29.0
339,11301,0.0,26.0
340,11302,0.0,38.0
341,11307,0.0,20.0
342,11311,0.0,25.0
343,11312,0.0,27.0
344,11326,0.0,60.0
345,11330,0.0,31.0
346,11350,0.0,35.0
347,11352,0.0,28.0
348,11387,0.0,27.0
349,11388,0.0,32.0
350,11402,0.0,22.0
351,11419,0.0,28.0
352,11429,0.0,21.0
353,11439,0.0,21.0
354,11451,0.0,21.0
355,11459,0.0,17.0
356,11477,0.0,31.0
357,11484,0.0,29.0
358,11488,0.0,21.0
359,15094,0.0,23.0
360,15100,0.0,47.0
361,15108,0.0,21.0
362,15477,0.0,29.0
363,15491,0.0,25.0
364,15497,0.0,28.0
365,15512,0.0,27.0
366,15524,0.0,23.0
367,15568,0.0,36.0
368,15577,0.0,23.0
369,15589,0.0,27.0
370,15629,0.0,17.0
371,15660,0.0,28.0
372,15685,0.0,28.0
373,17201,0.0,27.0
374,33089,0.0,19.0
375,33097,0.0,25.0
376,33133,0.0,19.0
377,33134,0.0,38.0
378,33146,0.0,25.0
379,33163,0.0,30.0
380,33176,0.0,29.0
381,33189,0.0,29.0
382,33191,0.0,25.0
383,33231,0.0,33.0
384,15487,0.0,29.0
385,15468,0.0,21.0
386,15122,0.0,29.0
387,15453,0.0,61.0
388,15123,0.0,20.0
389,15131,0.0,20.0
390,15168,0.0,35.0
391,15172,0.0,58.0
392,15187,0.0,26.0
393,15188,0.0,29.0
394,15194,0.0,27.0
395,15214,0.0,31.0
396,15225,0.0,34.0
397,15234,0.0,30.0
398,15279,0.0,19.0
399,15299,0.0,24.0
400,15321,0.0,34.0
401,15324,0.0,30.0
402,15346,0.0,20.0
403,15350,0.0,36.0
404,15358,0.0,23.0
405,15370,0.0,19.0
406,15386,0.0,26.0
407,15388,0.0,57.0
408,15403,0.0,19.0
409,4722,0.0,24.0
410,4689,0.0,24.0
411,4709,0.0,21.0
412,3025,0.0,16.0
413,2954,0.0,19.0
414,2957,0.0,25.0
415,2968,0.0,35.0
416,2969,0.0,30.0
417,2973,0.0,40.0
418,2984,0.0,28.0
419,2988,0.0,26.0
420,3008,0.0,35.0
421,3013,0.0,30.0
422,3018,0.0,48.0
423,3031,0.0,18.0
424,2685,0.0,27.0
425,3040,0.0,33.0
426,3049,0.0,20.0
427,3064,0.0,24.0
428,3068,0.0,20.0
429,3070,0.0,60.0
430,3073,0.0,35.0
431,3075,0.0,24.0
432,3084,0.0,34.0
433,3092,0.0,33.0
434,3109,0.0,37.0
435,2953,0.0,35.0
436,2951,0.0,27.0
437,2947,0.0,23.0
438,2934,0.0,57.0
439,2718,0.0,26.0
440,2723,0.0,25.0
441,2729,0.0,24.0
442,2738,0.0,39.0
443,2742,0.0,51.0
444,2751,0.0,33.0
445,2753,0.0,31.0
446,2766,0.0,25.0
447,2770,0.0,28.0
448,2784,0.0,33.0
449,2790,0.0,27.0
450,2794,0.0,32.0
451,2820,0.0,28.0
452,2827,0.0,32.0
453,2831,0.0,27.0
454,2840,0.0,31.0
455,2876,0.0,28.0
456,2878,0.0,38.0
457,2883,0.0,24.0
458,2895,0.0,55.0
459,2928,0.0,26.0
460,3113,0.0,64.0
461,3115,0.0,23.0
462,3118,0.0,31.0
463,3288,0.0,24.0
464,3290,0.0,27.0
465,3293,0.0,35.0
466,3294,0.0,30.0
467,3296,0.0,24.0
468,3299,0.0,81.0
469,3300,0.0,24.0
470,3303,0.0,55.0
471,3306,0.0,26.0
472,3309,0.0,22.0
473,3310,0.0,24.0
474,3312,0.0,20.0
475,3314,0.0,37.0
476,3316,0.0,55.0
477,3318,0.0,26.0
478,3319,0.0,25.0
479,3321,0.0,24.0
480,3325,0.0,19.0
481,3329,0.0,31.0
482,3332,0.0,41.0
483,3335,0.0,20.0
484,3339,0.0,27.0
485,3289,0.0,24.0
486,3284,0.0,18.0
487,3121,0.0,33.0
488,3280,0.0,22.0
489,3128,0.0,33.0
490,3132,0.0,21.0
491,3136,0.0,24.0
492,3137,0.0,24.0
493,3145,0.0,27.0
494,3150,0.0,26.0
495,3154,0.0,24.0
496,3157,0.0,30.0
497,3166,0.0,32.0
498,3167,0.0,20.0
499,3175,0.0,30.0
500,3180,0.0,29.0
501,3203,0.0,29.0
502,3226,0.0,21.0
503,3231,0.0,28.0
504,3244,0.0,62.0
505,3248,0.0,26.0
506,3251,0.0,29.0
507,3253,0.0,20.0
508,3260,0.0,23.0
509,3267,0.0,59.0
510,2698,0.0,23.0
511,2679,0.0,29.0
512,3343,0.0,60.0
513,84,0.0,27.0
514,71,0.0,60.0
515,72,0.0,26.0
516,73,0.0,28.0
517,74,0.0,31.0
518,75,0.0,24.0
519,77,0.0,27.0
520,78,0.0,40.0
521,79,0.0,23.0
522,81,0.0,23.0
523,83,0.0,67.0
524,86,0.0,46.0
525,2676,0.0,29.0
526,88,0.0,63.0
527,89,0.0,25.0
528,91,0.0,23.0
529,92,0.0,37.0
530,93,0.0,62.0
531,95,0.0,38.0
532,96,0.0,25.0
533,98,0.0,65.0
534,112,0.0,24.0
535,121,0.0,30.0
536,69,0.0,51.0
537,68,0.0,31.0
538,67,0.0,25.0
539,66,0.0,23.0
540,16,0.0,2958.0
541,18,0.0,31.0
542,26,0.0,31.0
543,32,0.0,37.0
544,39,0.0,54.0
545,41,0.0,19.0
546,42,0.0,52.0
547,43,0.0,27.0
548,44,0.0,30.0
549,48,0.0,54.0
550,49,0.0,78.0
551,51,0.0,32.0
552,52,0.0,53.0
553,53,0.0,59.0
554,54,0.0,29.0
555,56,0.0,68.0
556,59,0.0,24.0
557,60,0.0,33.0
558,61,0.0,32.0
559,63,0.0,17.0
560,65,0.0,61.0
561,133,0.0,28.0
562,165,0.0,32.0
563,207,0.0,27.0
564,802,0.0,31.0
565,2449,0.0,19.0
566,2508,0.0,27.0
567,2510,0.0,21.0
568,2538,0.0,21.0
569,2540,0.0,28.0
570,2559,0.0,28.0
571,2568,0.0,31.0
572,2569,0.0,27.0
573,2572,0.0,29.0
574,2574,0.0,37.0
575,2582,0.0,27.0
576,2585,0.0,20.0
577,2600,0.0,28.0
578,2615,0.0,23.0
579,2616,0.0,33.0
580,2628,0.0,36.0
581,2630,0.0,13.0
582,2634,0.0,28.0
583,2652,0.0,30.0
584,2659,0.0,24.0
585,2660,0.0,29.0
586,1012,0.0,18.0
587,759,0.0,32.0
588,230,0.0,31.0
589,756,0.0,30.0
590,307,0.0,33.0
591,313,0.0,24.0
592,327,0.0,17.0
593,331,0.0,27.0
594,335,0.0,25.0
595,345,0.0,25.0
596,380,0.0,23.0
597,384,0.0,38.0
598,412,0.0,29.0
599,422,0.0,27.0
600,431,0.0,23.0
601,456,0.0,26.0
602,463,0.0,27.0
603,469,0.0,23.0
604,541,0.0,30.0
605,575,0.0,32.0
606,576,0.0,24.0
607,675,0.0,26.0
608,679,0.0,25.0
609,698,0.0,22.0
610,706,0.0,25.0
611,3341,0.0,66.0
612,3355,0.0,25.0
613,4703,0.0,26.0
614,4172,0.0,30.0
615,4157,0.0,14.0
616,4159,0.0,49.0
617,4161,0.0,24.0
618,4162,0.0,49.0
619,4164,0.0,104.0
620,4165,0.0,37.0
621,4167,0.0,28.0
622,4168,0.0,27.0
623,4169,0.0,47.0
624,4171,0.0,21.0
625,4173,0.0,27.0
626,3856,0.0,28.0
627,4175,0.0,34.0
628,4176,0.0,34.0
629,4177,0.0,30.0
630,4178,0.0,64.0
631,4182,0.0,30.0
632,4183,0.0,31.0
633,4185,0.0,61.0
634,4186,0.0,42.0
635,4187,0.0,24.0
636,4188,0.0,26.0
637,4156,0.0,33.0
638,4152,0.0,26.0
639,4150,0.0,29.0
640,4149,0.0,55.0
641,3905,0.0,17.0
642,3918,0.0,28.0
643,3925,0.0,34.0
644,3929,0.0,37.0
645,3942,0.0,36.0
646,3947,0.0,27.0
647,3957,0.0,24.0
648,3963,0.0,25.0
649,3973,0.0,32.0
650,3976,0.0,34.0
651,3989,0.0,31.0
652,4001,0.0,21.0
653,4012,0.0,32.0
654,4029,0.0,43.0
655,4044,0.0,25.0
656,4049,0.0,27.0
657,4059,0.0,25.0
658,4073,0.0,37.0
659,4094,0.0,58.0
660,4101,0.0,64.0
661,4146,0.0,53.0
662,4189,0.0,24.0
663,4192,0.0,40.0
664,4193,0.0,29.0
665,4450,0.0,29.0
666,4459,0.0,36.0
667,4474,0.0,28.0
668,4498,0.0,25.0
669,4508,0.0,33.0
670,4509,0.0,31.0
671,4532,0.0,24.0
672,4542,0.0,18.0
673,4552,0.0,32.0
674,4565,0.0,27.0
675,4581,0.0,27.0
676,4596,0.0,21.0
677,4612,0.0,20.0
678,4633,0.0,34.0
679,4637,0.0,29.0
680,4639,0.0,23.0
681,4652,0.0,31.0
682,4653,0.0,66.0
683,4655,0.0,30.0
684,4659,0.0,28.0
685,4687,0.0,31.0
686,4699,0.0,29.0
687,4451,0.0,29.0
688,4449,0.0,24.0
689,4197,0.0,17.0
690,4441,0.0,29.0
691,4202,0.0,23.0
692,4204,0.0,27.0
693,4205,0.0,30.0
694,4207,0.0,19.0
695,4208,0.0,23.0
696,4209,0.0,50.0
697,4222,0.0,22.0
698,4225,0.0,65.0
699,4265,0.0,23.0
700,4267,0.0,36.0
701,4273,0.0,23.0
702,4277,0.0,20.0
703,4289,0.0,29.0
704,4334,0.0,30.0
705,4348,0.0,28.0
706,4355,0.0,32.0
707,4356,0.0,31.0
708,4366,0.0,25.0
709,4386,0.0,34.0
710,4390,0.0,38.0
711,4421,0.0,25.0
712,3895,0.0,25.0
713,3848,0.0,31.0
714,3361,0.0,21.0
715,3456,0.0,23.0
716,3427,0.0,21.0
717,3431,0.0,30.0
718,3432,0.0,35.0
719,3437,0.0,19.0
720,3441,0.0,22.0
721,3444,0.0,34.0
722,3445,0.0,34.0
723,3447,0.0,36.0
724,3448,0.0,46.0
725,3455,0.0,21.0
726,3461,0.0,25.0
727,3814,0.0,26.0
728,3462,0.0,34.0
729,3466,0.0,31.0
730,3467,0.0,52.0
731,3470,0.0,17.0
732,3473,0.0,23.0
733,3474,0.0,35.0
734,3475,0.0,29.0
735,3476,0.0,32.0
736,3477,0.0,21.0
737,3490,0.0,31.0
738,3426,0.0,28.0
739,3425,0.0,22.0
740,3424,0.0,23.0
741,3421,0.0,60.0
742,3365,0.0,25.0
743,3367,0.0,32.0
744,3371,0.0,52.0
745,3375,0.0,32.0
746,3378,0.0,54.0
747,3380,0.0,30.0
748,3383,0.0,27.0
749,3385,0.0,23.0
750,3394,0.0,63.0
751,3397,0.0,26.0
752,3400,0.0,31.0
753,3401,0.0,60.0
754,3403,0.0,27.0
755,3406,0.0,23.0
756,3407,0.0,28.0
757,3408,0.0,23.0
758,3414,0.0,24.0
759,3415,0.0,28.0
760,3416,0.0,31.0
761,3417,0.0,27.0
762,3420,0.0,17.0
763,3491,0.0,22.0
764,3495,0.0,27.0
765,3497,0.0,24.0
766,3623,0.0,25.0
767,3629,0.0,27.0
768,3636,0.0,30.0
769,3637,0.0,21.0
770,3641,0.0,52.0
771,3646,0.0,26.0
772,3647,0.0,29.0
773,3648,0.0,33.0
774,3659,0.0,24.0
775,3664,0.0,25.0
776,3665,0.0,32.0
777,3671,0.0,27.0
778,3672,0.0,28.0
779,3677,0.0,25.0
780,3691,0.0,55.0
781,3703,0.0,21.0
782,3717,0.0,29.0
783,3721,0.0,32.0
784,3724,0.0,24.0
785,3751,0.0,27.0
786,3752,0.0,27.0
787,3781,0.0,20.0
788,3628,0.0,43.0
789,3614,0.0,68.0
790,3503,0.0,21.0
791,3607,0.0,27.0
792,3504,0.0,29.0
793,3507,0.0,25.0
794,3509,0.0,26.0
795,3514,0.0,25.0
796,3519,0.0,29.0
797,3521,0.0,31.0
798,3526,0.0,30.0
799,3534,0.0,31.0
800,3537,0.0,21.0
801,3539,0.0,30.0
802,3541,0.0,22.0
803,3543,0.0,74.0
804,3546,0.0,23.0
805,3553,0.0,27.0
806,3555,0.0,41.0
807,3556,0.0,32.0
808,3568,0.0,26.0
809,3582,0.0,29.0
810,3593,0.0,25.0
811,3594,0.0,32.0
812,3600,0.0,22.0
813,52864,0.0,109.0
