PUMA,SEX,MSP,HISP,RAC1P,HOUSING_TYPE,OWN_RENT,INDP_CAT,DREM,DPHY,DEYE,DEAR,AGEP,NOC,NPF,EDU,PINCP_DECILE,DVET,POVPIP,DENSITY,PINCP
48-02515,1,N,1,1,1,1,N,2,2,2,2,7,0,3,7,N,N,137,2147.62286696,N
48-02510,2,3,0,4,1,1,4,1,1,1,2,22,3,13,3,2,N,417,881.254438778,4597.693388399999
48-02507,2,6,0,1,1,1,2,2,2,2,2,15,3,4,4,1,N,416,423.54036964259996,20466.6452235
48-02515,1,5,3,3,3,0,16,1,2,2,1,49,N,N,5,4,2,20,1394.7307690900002,88466.118174
48-02102,2,4,0,1,1,1,15,2,2,2,2,84,0,N,7,7,N,501,3278.573945998,63912.94944299999
48-02101,2,1,0,1,1,1,0,2,2,2,2,35,0,3,8,5,N,501,391.9196039364,62957.6933958
48-02515,1,4,4,1,1,2,11,1,1,2,2,74,0,2,4,3,5,199,2439.4857024000003,17793.4881915
48-02102,1,N,0,1,1,1,N,2,2,2,2,9,5,N,5,N,N,493,426.4952079191,N
48-02515,1,1,0,1,1,1,10,2,2,2,2,64,0,2,9,9,N,501,2169.2624534999995,84088.1354922
48-02510,2,1,0,1,1,1,12,2,2,2,2,32,0,7,10,8,N,501,377.67879351179,89104.228374
48-02102,1,6,1,5,1,1,10,2,2,2,2,16,3,5,1,9,N,403,427.4232891732,48052.339586999995
48-02101,1,N,1,1,1,1,N,2,2,2,2,9,3,5,6,N,N,125,379.15625144758997,N
48-02516,1,1,0,1,1,1,17,2,2,2,2,57,0,2,7,3,N,190,1370.796796654,384440.01057
48-02102,1,6,0,1,1,2,4,2,2,2,2,44,2,5,5,0,N,75,3480.5702525320003,-1.3239809100005004
48-02507,2,1,0,4,1,1,11,2,2,2,2,57,0,2,9,5,N,501,1995.90083056,94579.400076
48-02510,1,1,0,1,1,1,7,2,2,2,2,24,0,2,5,4,N,501,3098.03329188,22238.189780099998
48-02510,2,1,0,1,1,1,12,2,2,2,2,52,3,7,9,8,N,501,3123.3025073020003,425673.55765200005
48-02102,2,1,0,1,1,1,17,2,2,2,1,46,1,3,7,8,N,363,2175.9820542119996,14642.6599746
48-02101,1,N,0,1,1,1,N,2,2,2,2,6,4,6,3,N,N,326,395.7323302648,N
48-02510,2,N,0,1,1,1,N,N,2,2,2,12,2,6,3,N,N,249,3108.106249181,N
48-02515,2,N,0,1,1,2,N,2,2,2,2,14,2,N,3,N,N,229,2166.3632306679997,N
48-02102,1,1,0,1,1,1,12,2,2,2,2,62,0,2,5,6,N,155,460.6255813391,75362.03097780001
48-02510,1,6,0,1,1,1,5,2,2,2,2,58,3,5,7,1,N,313,3115.7299340189998,-3.651052019999952
48-02510,2,6,0,1,1,1,10,2,2,2,2,23,0,2,9,0,N,501,3125.89769229,-0.5180494200003523
48-02516,2,N,1,1,1,1,N,2,2,2,2,5,0,5,3,N,N,173,1340.7299774099997,N
48-02102,1,4,0,1,1,1,9,2,2,2,2,55,0,3,9,7,N,397,424.0410267226,62822.508818999995
48-02101,1,4,0,1,1,1,13,2,1,2,2,23,0,2,9,6,N,255,376.6892478295,31149.7617858
48-02507,1,1,0,1,1,1,4,2,2,2,2,64,0,4,5,9,N,501,3457.727840731,112631.943858
48-02507,1,1,0,1,1,1,0,2,2,2,2,42,0,2,5,4,N,165,1181.208047821,32348.464491
48-02516,1,3,0,1,1,2,5,1,2,2,1,49,1,3,2,7,N,286,1349.9622424079998,17895.471573
48-02102,1,N,0,1,1,1,N,N,N,2,2,4,0,4,2,N,N,185,435.9796603658,N
48-02102,2,3,0,1,1,1,12,2,2,2,2,30,2,5,8,5,N,297,448.0067996548,84835.25421
48-02515,1,1,0,1,1,1,11,2,2,2,2,68,0,2,9,8,N,501,1350.9304943079999,59244.267789000005
48-02102,1,1,0,1,1,1,1,2,2,2,1,48,1,2,7,8,N,501,432.4274309092,78814.329027
48-02507,1,1,0,1,1,2,18,2,2,2,2,28,0,2,5,2,N,501,1830.65531771,146487.337521
48-02515,2,1,0,1,1,1,14,2,2,2,2,52,0,2,7,8,N,501,2172.635951078,76643.696472
48-02516,1,1,0,1,1,1,3,2,2,2,2,53,0,3,7,9,N,501,3093.42313083,43544.8306902
48-02102,2,1,0,1,1,1,1,2,2,2,1,74,1,2,4,3,N,260,440.25838238039995,18518.9653257
48-02101,1,N,0,1,1,2,N,2,2,2,2,13,2,N,3,N,N,1,404.9201029072,N
48-02515,2,6,0,2,1,2,4,2,1,2,2,21,3,13,7,4,N,238,2142.65239475,16437.6698913
48-02507,2,6,0,7,1,2,6,2,2,2,2,54,1,4,4,5,N,134,3358.8290735,30677.4383706
48-02516,1,6,0,1,1,1,N,2,2,2,2,83,0,3,7,7,N,501,1368.251137582,38488.1467215
48-02101,1,1,0,1,1,1,11,2,2,2,2,66,0,2,9,8,N,501,398.6560562799,20342.948322900003
48-02515,2,4,0,1,1,2,3,2,2,2,2,71,2,N,8,5,N,334,2147.76928554,26229.171320100002
48-02101,1,N,0,1,1,1,N,2,2,2,2,10,0,2,6,N,N,453,438.1461594159,N
48-02102,2,N,1,1,1,1,N,2,2,2,2,14,0,5,5,N,N,479,413.50667208849995,N
48-02507,1,6,0,1,1,2,12,2,2,2,2,15,2,N,4,5,N,408,2137.90087567,37542.689981999996
48-02101,2,6,0,1,1,1,16,2,2,2,2,31,0,4,5,0,N,438,408.7753547241,-2.5424836500005767
48-02515,1,1,4,1,1,2,12,2,2,2,2,69,3,7,7,8,N,440,2169.713348505,100829.64717
48-02510,1,6,0,1,1,1,5,2,2,2,2,38,0,3,7,7,N,337,3108.76908002,41471.950863
48-02101,1,1,0,1,1,1,1,2,2,2,2,54,0,2,9,9,N,501,394.413942284,47158.30826699999
48-02516,1,1,1,1,1,1,14,2,2,2,1,57,3,4,10,3,N,140,1274.728125142,434412.07908
48-02507,1,6,0,1,1,2,15,1,2,2,2,15,1,4,2,7,N,434,1217.035122445,174458.813508
48-02515,1,N,0,1,1,1,N,2,2,2,2,11,0,2,4,N,N,199,2146.9727549699996,N
48-02102,2,4,4,8,1,2,12,1,2,2,2,35,7,8,7,5,2,474,2217.6490710099997,37884.011235000005
48-02515,2,N,1,1,1,1,N,2,2,2,2,9,0,4,6,N,N,90,2167.2472075419996,N
48-02516,1,1,1,3,1,2,0,2,2,2,1,19,1,3,4,4,N,69,1340.47188936,26838.0926331
48-02516,2,1,0,1,1,1,15,2,2,2,2,57,1,2,4,3,N,501,3125.414139869,14571.861055500001
48-02515,2,1,0,1,1,1,10,2,2,2,2,91,0,2,9,3,N,48,2130.8164430399997,10347.121299900002
48-02510,2,1,1,2,1,1,0,2,1,2,2,72,0,2,6,3,5,97,1115.6323950739998,2590.8935115000004
48-02516,1,6,0,1,1,1,5,1,1,2,2,34,0,3,12,4,N,487,1540.4830433399998,27808.119154199994
48-02101,1,4,0,1,1,1,4,2,2,2,2,46,1,N,9,7,N,501,380.16479173562,125311.34586599999
48-02510,1,3,0,1,1,1,14,2,1,2,2,23,0,2,2,3,N,153,952.69341344,2280.9285198
48-02507,2,6,0,1,1,1,10,2,2,2,2,79,0,4,5,0,N,205,3496.0649144179997,0.8317144500006179
48-02516,1,1,0,1,1,1,11,2,2,2,2,38,4,6,9,8,N,501,1355.297344114,688.8960413999994
48-02510,2,6,0,1,1,1,N,2,2,2,2,58,0,3,7,7,N,501,3111.2129883,28751.706417
48-02101,2,6,0,1,1,1,6,2,2,2,2,22,1,2,4,4,N,501,394.1148502842,19388.0045604
48-02507,1,1,0,1,1,1,4,2,2,2,2,30,0,4,5,7,N,113,2630.409593008,57683.732904000004
48-02101,1,N,1,1,1,1,N,2,2,2,2,7,0,5,3,N,N,122,403.3041714549,N
48-02515,1,4,0,1,1,2,4,2,2,2,2,69,1,N,8,7,N,211,2142.49787929,100795.28739
48-02102,2,1,0,1,1,2,11,2,2,2,2,44,2,4,7,0,N,501,452.98354357309995,588.7559013
48-02516,1,1,0,1,1,2,11,2,2,2,2,39,1,3,9,9,N,501,1341.78054759,47087.032881
48-02516,2,N,0,1,1,1,N,N,N,2,2,1,1,3,N,N,N,296,1364.397360072,N
48-02102,2,4,0,1,1,1,6,2,2,2,2,55,1,2,9,6,N,260,426.8421862167,76524.17352299999
48-02516,1,1,1,1,1,2,5,2,2,2,2,26,2,4,4,0,N,280,1346.0717927790001,-4.959939599999416
48-02516,2,1,0,6,1,1,9,2,2,2,2,57,0,2,4,3,N,501,1345.2843374620002,24305.7675378
48-02101,2,1,0,1,1,1,18,2,2,2,2,38,2,4,12,8,N,501,394.37931462719996,48149.325567
48-02515,1,N,0,1,1,1,N,1,2,2,2,5,2,4,3,N,N,195,1558.511826244,N
48-02101,1,6,0,5,1,1,8,2,2,2,2,60,3,6,4,8,N,106,382.789150457,14893.6480119
48-02515,2,6,1,1,1,1,12,2,2,2,2,22,0,13,4,2,N,169,2155.741541062,132.1533548999996
48-02507,2,6,1,1,1,2,14,2,2,2,2,36,0,5,7,9,N,236,3503.23456671,43634.839773
48-02516,2,N,0,1,1,1,N,2,2,2,2,5,0,2,7,N,N,66,1333.113276131,N
48-02101,1,1,0,1,1,1,10,2,2,2,2,87,0,2,9,9,N,501,376.26565415438,48509.925534
48-02507,1,4,3,1,2,0,16,2,2,2,2,49,N,N,10,9,4,387,3339.06526416,102735.252417
48-02101,1,4,0,1,1,1,5,2,2,2,2,54,0,2,5,0,N,289,402.65596560539996,-4.207917419999831
48-02515,1,N,1,1,1,1,N,2,2,2,2,11,0,2,6,N,N,90,2130.6514691099997,N
48-02101,1,N,0,1,1,1,N,2,2,2,2,8,0,3,5,N,N,501,378.6667083475,N
48-02102,1,N,0,1,1,2,N,2,2,2,2,10,1,3,2,N,N,441,445.598436678,N
48-02516,2,1,0,1,1,1,1,1,2,2,2,74,2,4,12,3,N,384,1339.0452865779998,28776.043466100004
48-02102,2,3,0,1,1,1,4,2,1,2,2,88,0,3,7,5,N,242,995.4230782639999,43694.5657029
48-02510,1,1,0,1,1,1,10,2,2,2,2,24,0,2,9,9,N,501,3134.516584891,87561.1645062
48-02516,1,4,0,1,1,1,N,2,1,2,2,83,0,N,7,3,N,487,364.14051529040995,37615.661353200005
48-02516,2,1,0,1,1,1,0,2,2,2,2,40,0,4,2,7,N,501,998.66378701,45387.848667
48-02101,2,6,0,1,1,1,6,2,2,2,2,52,0,2,11,8,N,106,402.02646523554995,49777.78449
48-02507,2,1,0,1,1,2,7,2,2,2,2,37,0,4,5,2,N,377,3468.472805335,13149.9340308
48-02102,2,N,0,1,1,1,N,2,2,2,2,6,0,N,7,N,N,493,2146.57330889,N
48-02507,2,1,0,1,1,1,1,1,2,2,2,73,0,4,11,2,N,344,2148.82390416,26270.2507221
48-02510,1,1,0,1,1,1,15,2,2,2,2,37,0,2,9,0,N,501,2985.9053360499997,-3.2487209999999322
48-02515,2,6,0,1,1,2,10,2,2,2,2,18,0,N,7,4,N,13,2138.34080615,17539.5169467
48-02516,1,6,0,1,1,1,14,2,1,2,2,64,0,3,7,7,N,243,1374.3637421899998,45411.9614466
48-02101,1,1,0,1,1,1,11,2,2,2,2,66,0,2,9,9,N,501,426.9186005217,22265.1258165
48-02102,1,6,0,1,1,2,12,1,2,2,2,35,2,6,4,4,N,154,416.48349339419997,28738.191006
48-02102,1,4,0,1,1,1,6,2,2,2,2,74,0,2,7,8,N,501,3575.28532813,32306.460929399997
48-02516,1,3,0,1,1,1,10,2,2,2,2,79,1,3,9,7,N,412,425.4179247825,63997.33401599999
48-02507,1,2,0,1,1,2,12,2,2,2,2,34,1,2,4,5,N,206,457.46040973609996,31430.9585016
48-02102,2,6,0,1,1,2,6,2,2,2,2,29,1,6,7,5,N,260,427.30479808179996,37112.2050999
48-02510,2,6,2,1,1,1,9,1,1,2,2,65,0,7,4,3,1,415,3125.952852285,1660.5753863999998
48-02101,2,1,0,1,1,1,N,2,2,2,2,70,0,2,6,0,N,501,377.1827729077,0.11557538999932149
48-02102,2,1,1,8,1,1,11,2,2,2,2,29,3,5,7,5,N,176,1020.6833533809998,35112.4481316
48-02507,2,4,3,2,2,0,2,1,2,2,2,32,N,N,10,0,3,344,2551.6072482,0.9006878999998662
48-02510,2,6,0,1,1,1,10,2,2,2,2,24,2,3,9,0,N,501,3135.6038271899997,26166.9428811
48-02101,1,1,1,9,1,2,4,1,1,2,1,19,1,4,6,2,4,96,1403.805819668,213758.05731000003
48-02515,1,6,2,1,1,1,3,2,2,2,2,38,0,11,5,6,N,454,2161.7819484899996,41988.496838399995
48-02516,2,6,0,1,1,1,4,2,2,2,2,83,0,4,7,7,N,139,1337.402901944,38925.6990549
48-02102,1,4,0,1,1,1,3,2,2,2,2,67,0,3,9,7,N,193,427.051318506,63615.27188100001
48-02516,2,1,0,1,1,1,11,2,2,2,2,38,0,N,9,6,N,501,1349.8613013039999,43383.429432
48-02515,1,6,0,1,1,1,6,2,2,2,2,23,0,2,5,3,N,209,1371.1955005199998,2876.3284977000003
48-02101,1,4,0,1,1,1,4,2,2,2,2,46,1,N,9,7,N,501,403.8107527521,137764.87040400002
48-02102,2,1,0,1,1,1,10,2,2,2,2,48,0,2,5,3,N,498,457.2451676761,32173.7754765
48-02102,1,N,0,1,1,1,N,2,2,2,2,10,2,5,3,N,N,305,442.98478068249995,N
48-02101,2,1,0,1,1,1,13,2,2,2,2,66,0,2,8,6,N,501,395.3036983061,25401.362975099997
48-02516,2,1,4,1,1,1,2,2,2,2,2,62,0,4,7,0,N,384,1326.830063514,21357.2549526
48-02101,1,6,1,1,1,1,10,2,2,2,2,16,2,4,3,0,N,188,379.46422403789995,49027.16716799999
48-02515,1,1,0,1,1,2,17,2,2,2,2,26,0,2,6,4,N,42,1574.5876079549998,26006.7882228
48-02507,1,N,0,1,1,1,N,N,N,2,2,0,1,3,N,N,N,501,1543.0328857999998,N
48-02515,2,N,0,1,1,1,N,2,2,2,2,12,0,6,7,N,N,501,2175.5156064499997,N
48-02516,2,1,0,1,1,1,12,2,2,2,2,61,2,4,10,6,N,501,440.0114950144,39934.1797554
48-02510,2,N,0,1,1,1,N,N,N,2,2,1,0,6,N,N,N,501,3088.915429049,N
48-02510,2,N,0,1,1,1,N,N,N,2,2,4,0,2,3,N,N,165,3134.7617516699997,N
48-02510,1,N,0,9,1,1,N,2,2,2,2,9,3,5,6,N,N,147,1327.840351716,N
48-02510,2,6,0,1,1,1,3,2,2,2,2,71,0,6,1,2,N,501,3134.09780751,8170.196504400001
48-02510,1,1,0,1,1,1,3,2,2,2,2,66,0,2,9,9,N,501,3110.89046258,48998.807655000004
48-02507,2,3,3,7,1,1,5,1,2,2,1,49,10,13,10,5,3,335,1336.862873785,24131.847810000003
48-02101,1,4,0,1,1,1,10,2,2,2,2,79,0,2,9,5,N,501,392.64777322329996,63872.736652199994
48-02516,1,1,0,1,1,1,9,2,2,2,2,49,0,2,7,9,N,501,1325.2555577239998,45289.821738
48-02101,1,1,0,1,1,1,10,2,2,2,2,52,1,2,1,9,N,501,373.8986041583,138268.190403
48-02510,1,1,0,1,1,1,16,2,2,2,2,49,0,2,8,7,N,501,3103.665818978,101034.485622
48-02515,2,N,0,2,1,1,N,2,2,2,2,9,3,5,6,N,N,270,2134.4445200200003,N
48-02510,1,2,0,1,1,1,5,1,2,2,1,66,0,2,10,5,1,287,1484.4265213019999,213175.650576
48-02516,2,6,0,1,1,1,9,2,2,2,2,49,0,4,7,4,N,13,1372.599060931,2076.9270584999995
48-02507,2,6,0,1,1,1,6,2,2,2,2,22,1,2,4,1,N,501,433.0795266348,4301.0203845
48-02516,1,N,0,9,1,2,N,1,2,2,2,11,1,3,1,N,N,417,1373.8657165959999,N
48-02510,1,6,0,1,1,1,8,2,2,2,2,42,0,3,9,7,N,68,3123.06783273,36801.373497
48-02102,1,1,0,1,1,1,7,2,2,2,2,37,0,5,5,8,N,472,3604.76067029,-2.1708733200002825
48-02101,1,6,0,1,1,1,18,2,2,2,2,28,0,6,3,2,N,501,378.99063955092,8518.2906963
48-02102,2,N,1,1,1,1,N,N,2,2,2,9,2,5,3,N,N,142,424.8762367631,N
48-02102,1,N,0,1,1,1,N,N,N,2,2,4,0,3,2,N,N,397,460.28131212259996,N
48-02516,2,1,0,2,1,1,5,2,2,2,2,75,0,2,9,0,N,501,1331.689675942,-1.7939312999997128
48-02102,2,N,1,1,1,1,N,2,2,2,2,9,1,5,6,N,N,363,438.83493738159996,N
48-02101,1,1,1,1,2,0,4,2,1,2,2,85,N,N,6,9,4,392,364.95930721985997,104292.943734
48-02102,2,N,0,1,1,2,N,2,2,2,2,13,1,2,3,N,N,441,419.30650096949995,N
48-02102,2,1,0,1,1,1,18,2,2,2,2,56,0,3,5,0,N,501,419.22798147569995,9871.1283279
48-02510,2,6,0,1,1,2,14,2,2,2,2,43,2,6,4,0,N,330,3114.2898026999997,-2.383294620000015
48-02515,2,1,0,5,1,1,13,2,2,2,2,81,0,2,3,9,5,501,2085.63146683,173.2115993999996
48-02510,2,6,0,1,1,1,14,2,2,2,2,52,2,3,9,0,N,249,3095.506289369,27753.834087000003
48-02516,1,N,1,1,1,1,N,2,2,2,2,11,0,5,5,N,N,17,1323.2100159399997,N
48-02101,1,1,0,1,1,1,5,2,2,2,2,63,0,2,7,9,N,501,376.95039380118,48130.12302
48-02510,1,1,0,1,1,1,6,2,2,2,2,51,1,2,10,8,N,501,3134.117813551,74643.212532
48-02516,1,N,0,1,1,1,N,2,2,2,2,9,1,3,6,N,N,501,1364.719919529,N
48-02507,1,1,1,1,1,2,13,2,2,2,2,15,1,4,5,2,4,304,2157.8362713919996,185112.367965
48-02510,1,1,0,1,1,1,18,2,2,2,2,42,2,7,12,8,N,501,3111.1895410849997,2995.2311087999988
48-02507,2,6,0,1,1,1,3,1,2,2,2,50,0,3,1,2,N,166,624.1056808372,171.6066760800004
48-02515,2,4,0,2,2,0,17,2,2,2,2,55,N,N,4,0,N,387,2170.525735465,-1.6966068000001542
48-02101,1,1,0,1,1,1,13,2,2,2,2,66,0,2,9,6,N,501,441.2913418464,25212.302094
48-02101,1,1,0,1,1,1,1,2,2,2,2,39,1,3,9,9,N,501,383.95725528444996,49066.48626600001
48-02101,2,1,0,1,1,1,N,2,2,2,2,68,0,2,9,5,N,501,379.33365037732,62870.13858300001
48-02510,2,1,0,2,1,1,16,2,2,2,2,20,0,2,8,3,N,267,3107.8512986719998,10278.472829100003
48-02516,2,1,0,1,1,1,14,2,1,2,2,61,0,3,7,6,N,239,3105.5938547909996,41846.117019
48-02507,2,6,0,1,1,1,16,2,2,2,2,50,0,3,7,1,N,356,3325.28639862,7877.928492000001
48-02102,1,3,1,1,1,1,6,2,2,2,2,22,5,6,2,3,N,228,463.4697487608,1680.6521613000004
48-02102,1,6,0,1,1,1,2,2,2,2,2,18,2,4,9,0,N,397,426.3331691081,9833.7040956
48-02507,1,1,0,1,1,1,4,2,2,2,2,64,0,4,5,9,N,501,3515.546345068,116034.85691700001
